NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;NAC_SEIS;NOTA_PLINEAL;NOTA_IECONOMICA;NOTA_DISENO;NOTA_METODOS;NOTA_EI_TRES;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NOTA_EMPRENDIMIENTO;VECES_EMPRENDIMIENTO;CREDITOS_EMPRENDIMIENTO;NOTA_GRAFOS;VECES_GRAFOS;CREDITOS_GRAFOS;NOTA_CALIDAD_UNO;VECES_CALIDAD_UNO;CREDITOS_CALIDAD_UNO;NOTA_MERCADOTECNIA;VECES_MERCADOTECNIA;CREDITOS_MERCADOTECNIA;NOTA_ERGONOMIA;VECES_ERGONOMIA;CREDITOS_ERGONOMIA;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO
414;36.86666666666667;33.05882352941177;38.0;33.44444444444444;25.0;36.0;43;32.85294117647059;30.0;36.0;49.0;37.0;32.0;37.64705882352941;8;28.0;40.0;46.0;36.0;38;34.26666666666667;0;15;15;0;8;8;0;2;33.0;1;2;33.0;1;2;34.0;1;2;34.0;1;2;36.0;1;2;42.0;1;1;36.0;1;2;30.0;1;2;2;34.21428571428572
415;36.66666666666666;38.1764705882353;37.0;34.55555555555556;30.0;34.0;0;33.80392156862746;31.0;37.0;46.5;39.0;30.0;37.64705882352941;8;32.0;39.0;41.0;33.0;42;37.08888888888889;1;15;13;2;8;7;1;2;20.66666666666667;3;2;47.0;1;2;40.0;1;2;36.0;1;2;40.0;1;2;43.0;1;1;39.0;1;2;34.0;1;2;3;41.07142857142857
416;33.46666666666667;31.97058823529412;38.0;35.19444444444444;28.33333333333333;30.0;41;38.47058823529412;31.0;40.0;50.0;45.0;43.0;37.0;8;30.0;32.0;39.0;39.0;32;39.86666666666667;1;15;15;0;8;8;0;2;30.0;2;2;43.0;1;2;40.0;1;2;36.0;1;2;43.0;1;2;46.0;1;1;44.0;1;2;40.0;1;2;2;39.14285714285715
418;35.06666666666667;31.41176470588235;24.5;30.52777777777778;20.66666666666667;41.0;48;36.47058823529412;30.0;41.0;45.0;45.0;40.0;34.11764705882353;8;25.0;30.0;42.0;33.0;25;40.0;1;15;15;0;8;8;0;2;32.5;2;2;37.0;1;2;45.0;1;2;45.0;1;2;41.0;1;2;41.0;1;1;36.0;1;2;43.0;1;2;3;40.85714285714285
421;36.33333333333334;31.52941176470588;43.0;32.33333333333334;27.5;36.0;41;37.58823529411764;39.0;47.0;45.0;39.0;31.0;36.02941176470588;8;29.5;37.0;34.0;37.0;39;39.73333333333333;0;15;15;0;8;8;0;2;31.0;1;2;44.0;1;2;39.0;1;2;30.0;1;2;42.0;1;2;42.0;1;1;43.0;1;2;48.0;1;2;3;41.0
422;36.0;33.6764705882353;40.0;33.88888888888889;30.0;35.0;50;37.05882352941177;33.0;39.0;50.0;42.0;35.0;38.79411764705883;8;26.5;36.0;45.0;37.0;46;38.33333333333334;0;15;15;0;8;8;0;2;31.0;1;2;48.0;1;2;38.0;1;2;36.0;1;2;41.0;1;2;41.0;1;1;30.0;1;2;43.0;1;2;2;37.10714285714285
429;34.0;33.14705882352941;48.0;31.94444444444444;24.66666666666667;30.0;40;36.33333333333333;31.0;39.0;50.0;43.0;34.0;34.61764705882353;8;31.5;48.0;39.0;37.0;13;39.4;1;15;15;0;8;8;0;2;42.0;1;2;34.5;2;2;41.0;1;2;32.0;1;2;40.0;1;2;40.0;1;1;45.0;1;2;41.0;1;2;2;38.78571428571428
434;34.46666666666667;31.33333333333333;0.0;27.609375;28.0;0.0;0;30.63636363636364;0.0;39.0;36.0;41.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;30.0;0;2;2;0;1;1;0;2;30.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0;0.0
436;34.46666666666667;33.58823529411764;43.0;32.83333333333334;30.0;38.0;40;34.64705882352941;33.0;39.0;45.0;37.0;31.0;34.26470588235294;8;26.5;32.0;38.0;37.0;33;39.0;0;15;15;0;8;8;0;2;33.0;1;2;48.0;1;2;43.0;1;2;31.0;1;2;42.0;1;2;41.0;1;1;34.0;1;2;41.0;1;2;2;33.78571428571428
443;39.73333333333333;36.91176470588236;45.0;33.66666666666666;31.0;30.0;45;35.41176470588236;33.0;37.0;50.0;39.0;34.0;36.41176470588236;8;32.0;30.0;42.0;34.0;42;37.13333333333333;1;15;15;0;8;8;0;2;43.0;1;2;44.0;1;2;31.0;2;2;33.0;1;2;41.0;1;2;41.0;1;1;34.0;1;2;32.0;1;2;2;36.21428571428572
