EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_HIST;LITERATURA_ICFES;NOTA_INT;VECES_TOP;NCA_UNO;IDIOMA_ICFES;NAP_UNO;VECES_HIST;NOTA_EYB;NOTA_DIF;BIOLOGIA_ICFES;NCP_UNO;NOTA_DITO;NAA_DOS;NCA_DOS;CAR_DOS;NOTA_SEM;VECES_PROGB;VECES_INT;CON_MAT_ICFES;VECES_ALGEBRA;NAC_DOS;NAA_UNO;NAP_DOS;NOTA_ALGEBRA;NOTA_CD&C;NCP_DOS;NOTA_ASES;NCC_DOS;VECES_FIS_UNO;NOTA_TEXTOS;QUIMICA_ICFES;FILOSOFIA_ICFES;VECES_ASES;GENERO;VECES_EYB;CREDITOS_ASES;CREDITOS_EYB;CREDITOS_FIS_UNO;CREDITOS_PROGB;CREDITOS_TOP;PROMEDIO_DOS;PROMEDIO_UNO;CREDITOS_INT;RENDIMIENTO_TRES;PROMEDIO_TRES
2;35;30;35;45;60.02;45;1;15.0;48.65;0;1;45;35;56.75;0.0;35;6;17.0;1;45;1;2;58.5;1;6;7;0;45;30;0.0;30;17.0;1;45;49.97;47.61;1;0;1;3;2;3;3;3;36.1764705882353;40.0;3;2.0;34.44444444444444
2;32;30;35;45;52.77;21;1;15.0;55.84;0;1;37;30;40.27;0.0;30;5;14.0;3;45;3;3;56.59;4;6;7;1;30;30;3.0;30;17.0;4;30;46.0;44.33;1;0;1;3;2;3;3;3;30.470588235294116;33.0;3;1.0;28.666666666666668
2;35;50;30;35;55.65;33;1;15.0;50.37;0;1;30;30;57.49;0.0;35;6;17.0;2;40;1;4;63.76;2;6;7;0;30;30;0.0;30;17.0;2;30;43.56;39.54;1;0;1;3;2;3;3;3;34.94117647058823;32.0;3;2.0;33.888888888888886
2;40;30;35;45;49.34;30;1;15.0;87.56;0;1;40;40;50.99;0.0;40;6;17.0;2;45;1;2;58.22;1;6;7;0;35;45;0.0;30;17.0;2;30;53.59;42.4;1;0;1;3;2;3;3;3;33.8235294117647;39.0;3;2.0;35.77777777777778
2;30;50;30;40;53.24;30;1;15.0;52.09;0;1;45;30;44.0;0.0;30;6;17.0;2;45;1;3;53.16;1;6;7;0;30;40;0.0;30;17.0;3;35;48.33;47.29;1;1;1;3;2;3;3;3;35.294117647058826;33.666666666666664;3;2.0;30.333333333333332
2;35;45;35;45;54.87;40;1;15.0;81.05;0;1;40;35;53.84;0.0;40;6;17.0;1;40;2;1;45.01;2;6;7;0;40;35;0.0;30;17.0;1;30;57.36;42.25;1;0;1;3;2;3;3;3;37.35294117647059;37.666666666666664;3;3.0;43.05555555555556
2;35;30;30;45;54.87;35;1;15.0;57.13;0;1;45;30;53.84;0.0;30;6;17.0;2;35;1;2;47.48;1;6;7;0;35;45;0.0;35;17.0;1;35;53.84;48.98;2;0;1;3;2;3;3;3;34.411764705882355;35.0;3;2.0;36.833333333333336
2;30;45;30;40;57.88;30;1;15.0;53.32;0;1;35;30;55.27;0.0;35;6;17.0;1;40;1;2;63.76;1;6;7;0;30;30;0.0;30;17.0;1;30;55.37;52.09;1;0;1;3;2;3;3;3;33.23529411764706;32.666666666666664;3;2.0;33.611111111111114
2;35;30;35;40;51.41;30;1;15.0;47.79;0;1;35;40;53.11;0.0;35;6;17.0;1;40;2;1;78.81;1;6;7;0;40;40;0.0;30;17.0;1;30;50.23;42.11;1;0;1;3;2;3;3;3;32.35294117647059;38.0;3;2.0;35.0
2;35;45;30;40;57.32;30;1;15.0;67.6;0;1;40;30;62.54;0.0;35;6;17.0;0;40;1;1;65.16;1;6;7;0;35;40;0.0;30;17.0;1;30;54.01;48.41;1;0;1;3;2;3;3;3;34.705882352941174;34.333333333333336;3;2.0;34.55555555555556
2;35;30;30;40;46.97;30;1;15.0;45.98;0;1;35;35;46.34;0.0;30;6;17.0;2;40;3;2;52.06;1;6;7;0;35;45;0.0;30;17.0;1;30;54.29;47.08;1;0;1;3;2;3;3;3;31.470588235294116;35.333333333333336;3;2.0;33.0
2;30;30;30;35;53.24;34;1;15.0;48.65;0;1;35;30;56.75;0.0;30;6;17.0;4;40;2;2;66.96;1;6;7;0;30;40;0.0;30;17.0;3;30;45.02;61.69;2;0;1;3;2;3;3;3;31.294117647058822;32.0;3;2.0;36.0
2;30;30;30;40;51.14;30;1;15.0;44.34;0;1;35;30;50.31;0.0;30;6;17.0;3;40;1;2;58.3;2;6;7;0;30;35;0.0;30;17.0;3;35;59.09;49.72;2;0;1;3;2;3;3;3;30.58823529411765;33.0;3;2.0;34.27777777777778
2;30;50;30;40;53.24;35;1;15.0;46.92;0;1;35;30;50.31;0.0;35;6;17.0;0;45;1;1;74.56;1;6;7;0;30;35;0.0;30;17.0;1;30;51.64;39.54;1;0;1;3;2;3;3;3;35.0;33.333333333333336;3;2.0;34.77777777777778
2;35;30;30;40;44.9;30;1;15.0;50.37;0;1;40;30;41.79;0.0;30;6;17.0;2;40;2;2;55.7;1;6;7;0;30;40;0.0;30;17.0;1;35;49.97;47.29;1;0;1;3;2;3;3;3;32.05882352941177;33.333333333333336;3;2.0;30.555555555555557
2;35;30;35;45;44.91;30;1;15.0;45.98;0;1;40;30;64.97;0.0;35;6;17.0;3;40;2;1;61.26;1;6;7;0;35;40;0.0;30;17.0;2;40;52.59;44.72;2;0;1;3;2;3;3;3;32.94117647058823;36.333333333333336;3;2.0;31.72222222222222
2;30;35;0;35;45.01;0;2;11.0;40.88;1;1;40;25;49.87;4.0;30;4;11.0;3;40;2;0;60.49;1;4;6;0;30;35;0.0;30;11.0;0;30;52.34;50.76;3;0;1;3;2;3;3;3;33.18181818181818;30.333333333333332;3;1.0;20.0
2;40;44;32;30;46.97;34;1;15.0;45.98;0;1;40;30;64.97;0.0;31;6;17.0;3;31;1;3;63.73;3;6;7;0;39;30;0.0;34;17.0;2;38;56.05;39.26;1;0;3;3;2;3;3;3;37.1764705882353;33.06666666666667;3;2.0;34.27777777777778
2;35;30;30;40;64.21;30;1;15.0;50.87;0;1;40;30;62.54;0.0;40;6;17.0;0;40;1;1;55.71;1;6;7;0;30;40;0.0;35;17.0;1;45;47.22;55.47;1;1;1;3;2;3;3;3;32.94117647058823;36.0;3;2.0;34.44444444444444
2;30;30;35;40;68.15;35;1;15.0;36.79;0;1;35;30;51.21;0.0;35;6;17.0;3;40;3;3;58.86;1;6;7;0;30;35;0.0;30;17.0;1;30;47.16;43.2;2;0;1;3;2;3;3;3;32.35294117647059;33.0;3;2.0;34.55555555555556
2;30;35;40;35;56.79;31;1;15.0;58.45;0;1;35;30;55.79;0.0;30;6;17.0;4;30;3;3;52.15;4;6;7;0;30;40;0.0;30;17.0;2;30;57.36;36.44;3;0;1;3;2;3;3;3;33.411764705882355;31.333333333333332;3;2.0;34.388888888888886
2;30;30;30;40;56.57;30;1;15.0;47.21;0;1;40;30;51.96;0.0;35;6;17.0;3;45;3;1;58.89;1;6;7;0;30;40;0.0;30;17.0;2;35;54.29;49.38;2;1;1;3;2;3;3;3;31.176470588235293;34.333333333333336;3;2.0;33.388888888888886
2;30;30;30;40;65.59;30;1;15.0;50.37;0;1;40;30;53.11;0.0;35;6;17.0;1;45;2;1;60.92;1;6;7;0;35;40;0.0;30;17.0;1;45;39.86;42.11;1;1;1;3;2;3;3;3;31.176470588235293;36.666666666666664;3;2.0;35.0
2;35;30;38;35;46.97;38;1;15.0;76.45;0;1;35;30;55.8;0.0;35;6;17.0;2;35;1;2;56.59;2;6;7;0;30;35;0.0;30;17.0;2;35;54.29;47.08;1;0;1;3;2;3;3;3;34.294117647058826;32.666666666666664;3;2.0;33.833333333333336
2;30;50;43;45;45.12;33;2;15.0;48.43;0;1;35;30;50.07;0.0;35;6;17.0;2;45;1;1;52.15;2;6;7;0;30;40;0.0;35;17.0;1;35;52.16;39.64;3;0;1;3;2;3;3;3;37.8235294117647;35.0;3;2.0;34.388888888888886
2;35;40;30;45;62.59;40;1;15.0;58.59;0;1;50;30;54.55;0.0;40;6;17.0;0;35;1;1;63.86;2;6;7;0;30;35;0.0;35;17.0;1;35;57.04;52.09;1;0;1;3;2;3;3;3;37.64705882352941;34.666666666666664;3;2.0;36.72222222222222
2;30;35;30;45;65.43;30;1;15.0;50.37;0;1;50;30;44.0;0.0;40;6;17.0;0;40;1;1;64.09;1;6;7;0;35;40;0.0;30;17.0;1;45;55.14;52.13;1;1;1;3;2;3;3;3;33.23529411764706;37.666666666666664;3;2.0;35.27777777777778
2;35;50;38;40;56.79;30;2;15.0;58.45;0;1;40;30;57.84;0.0;30;6;17.0;3;40;1;2;49.84;1;6;7;0;30;45;0.0;30;17.0;3;35;53.84;47.08;1;1;1;3;2;3;3;3;37.0;33.666666666666664;3;2.0;32.833333333333336
2;35;41;30;45;53.3;40;1;15.0;55.64;0;1;40;30;55.53;0.0;40;6;17.0;0;45;1;1;53.42;1;6;7;0;35;45;0.0;30;17.0;1;30;47.6;60.49;1;0;1;3;2;3;3;3;35.76470588235294;36.333333333333336;3;2.0;34.77777777777778
2;30;35;38;35;44.91;30;2;15.0;47.21;0;1;40;30;51.96;0.0;30;6;17.0;3;30;2;3;56.59;4;6;7;0;30;30;0.0;32;17.0;1;30;50.94;48.98;1;0;1;3;2;3;3;3;33.8235294117647;30.666666666666668;3;2.0;33.166666666666664
2;30;30;30;40;61.76;25;2;15.0;41.03;0;1;40;30;55.22;0.0;30;5;14.0;4;40;2;5;51.32;3;6;7;1;30;40;3.0;30;17.0;1;40;41.14;59.08;2;1;1;3;2;3;3;3;30.294117647058822;34.0;3;2.0;33.916666666666664
2;35;50;30;35;53.3;35;1;15.0;55.64;0;1;40;30;57.36;0.0;40;6;17.0;0;30;1;1;58.15;1;6;7;0;30;35;0.0;30;17.0;1;35;49.26;56.09;1;1;1;3;2;3;3;3;36.470588235294116;33.0;3;2.0;36.22222222222222
