NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_TERMODINAMICA;NOTA_ECONOMIA_UNO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;NOTA_EE_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NOTA_METODOLOGIA;VECES_METODOLOGIA;CREDITOS_METODOLOGIA;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_CONTABILIDAD;VECES_CONTABILIDAD;CREDITOS_CONTABILIDAD;NOTA_PROCESOSM;VECES_PROCESOSM;CREDITOS_PROCESOSM;NOTA_ADMINISTRACION;VECES_ADMINISTRACION;CREDITOS_ADMINISTRACION;NOTA_LENGUA_UNO;VECES_LENGUA_UNO;CREDITOS_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;RENDIMIENTO_SEIS;PROMEDIO_SEIS
494;34.06666666666667;50.0;36.58823529411764;36.0;32.0;35.0;43.0;35.94444444444444;6;28.33333333333333;34.0;34.0;36.0;30.0;35.0;28.0;43.0;36;35.6764705882353;1;17;14;3;8;7;1;2;41.0;1;1;28.5;2;3;34.0;1;2;32.0;1;3;39.0;1;2;40.0;1;2;42.0;1;2;37.0;1;2;2;37.52941176470588
498;31.33333333333333;40.0;30.80882352941176;27.5;19.75;30.0;43.0;36.0;2;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0;28.57142857142857;0;14;7;7;7;4;3;1;30.0;1;1;24.0;1;3;19.0;1;2;0.0;0;3;40.0;1;2;40.0;1;2;36.0;1;2;14.0;1;2;2;34.0
505;39.2;44.0;38.64705882352941;35.0;35.0;35.0;41.0;41.05555555555556;7;35.0;35.0;34.0;39.0;42.0;40.0;35.0;33.0;42;41.64705882352941;0;17;17;0;8;8;0;2;33.0;1;1;44.0;1;3;36.0;1;2;37.0;1;3;49.0;1;2;41.0;1;2;44.0;1;2;46.0;1;2;3;44.1764705882353
507;40.06666666666667;43.0;35.76470588235294;30.0;30.0;35.0;39.0;35.05555555555556;7;30.0;30.0;40.0;33.0;34.0;44.0;35.0;43.0;46;38.23529411764706;0;17;17;0;8;8;0;2;39.0;1;1;35.0;1;3;34.0;1;2;30.0;1;3;36.0;1;2;50.0;1;2;45.0;1;2;43.0;1;2;2;39.35294117647059
509;25.13333333333333;41.0;17.05;10.5;17.75;0.0;27.0;35.5;2;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0;22.0;0;6;0;6;3;0;3;1;0.0;0;1;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;16.0;1;2;25.0;1;2;25.0;1;2;2;31.0
510;41.8;46.0;42.05882352941177;40.0;40.0;40.0;40.0;43.05555555555556;7;40.0;40.0;41.0;41.0;41.0;36.0;35.0;42.0;45;40.70588235294117;0;17;17;0;8;8;0;2;37.0;1;1;40.0;1;3;32.0;1;2;37.0;1;3;42.0;1;2;45.0;1;2;46.0;1;2;47.0;1;2;3;44.58823529411764
511;32.85555555555555;41.0;35.5;32.5;30.0;35.0;48.0;36.41666666666666;7;32.0;30.5;45.0;32.0;30.5;36.0;32.0;31.5;47;34.70588235294117;1;17;14;3;8;7;1;2;31.0;1;1;29.0;2;3;36.0;1;2;30.0;1;3;43.0;1;2;46.0;1;2;35.0;1;2;31.0;1;2;2;38.58823529411764
513;27.23076923076923;0.0;29.36666666666667;35.0;21.0;30.0;0.0;16.38461538461538;1;0.0;13.0;35.0;0.0;0.0;0.0;0.0;0.0;0;23.5;1;3;0;3;1;0;1;1;0.0;0;1;23.5;2;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;1;19.5
519;25.8974358974359;0.0;28.46666666666667;15.5;30.0;30.0;0.0;27.07692307692308;3;22.0;37.0;33.0;0.0;0.0;0.0;34.0;0.0;0;26.22222222222222;2;9;4;5;4;2;2;1;0.0;0;1;14.0;3;3;34.0;1;2;0.0;0;3;0.0;0;2;43.0;1;2;20.0;2;2;0.0;0;2;1;30.0
521;26.12;44.0;24.36363636363636;0.0;27.0;14.0;0.0;19.5;1;0.0;0.0;40.0;0.0;0.0;0.0;0.0;0.0;0;34.66666666666666;1;6;4;2;3;2;1;2;0.0;0;1;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;39.0;1;2;27.0;2;2;38.0;1;2;0;0.0
522;41.2;44.0;39.35294117647059;40.0;30.0;35.0;47.0;39.66666666666666;7;35.0;37.0;39.0;35.0;36.0;48.0;38.0;43.0;39;41.88235294117647;0;17;17;0;8;8;0;2;43.0;1;1;35.0;1;3;35.0;1;2;36.0;1;3;49.0;1;2;50.0;1;2;46.0;1;2;48.0;1;2;2;38.52941176470588
524;35.66666666666666;45.0;32.11764705882353;25.0;30.0;30.0;43.0;35.30555555555556;6;37.0;28.5;35.0;27.5;28.5;25.5;30.0;40.0;31;33.58823529411764;0;17;17;0;8;8;0;2;46.0;1;1;30.0;1;3;31.0;1;2;35.0;1;3;31.0;1;2;30.0;1;2;41.0;1;2;32.0;1;2;2;35.61764705882353
528;30.66666666666667;50.0;37.1764705882353;35.0;30.0;35.0;43.0;36.88888888888889;7;39.0;38.0;32.0;40.0;30.0;34.0;39.0;35.0;47;35.8;2;15;14;1;7;6;1;2;29.0;2;1;32.0;1;3;30.0;1;2;34.0;2;3;36.0;1;2;0.0;0;2;44.0;1;2;45.0;1;2;2;36.70588235294117
532;35.26666666666667;40.0;35.88235294117647;35.0;25.0;30.0;45.0;33.91666666666666;7;40.0;30.0;45.0;35.0;38.0;35.0;34.0;30.0;0;35.41176470588236;1;17;17;0;8;8;0;2;30.0;1;1;33.0;2;3;31.0;1;2;33.0;1;3;38.0;1;2;39.0;1;2;35.0;1;2;44.0;1;2;2;37.73333333333333
536;35.66666666666666;42.0;34.88235294117647;30.0;25.0;30.0;44.0;31.25;5;27.0;28.5;34.0;34.0;25.33333333333333;28.0;32.0;42.0;43;32.5;1;17;14;3;8;7;1;2;31.0;1;1;27.5;2;3;30.0;1;2;35.0;1;3;32.0;1;2;38.0;1;2;37.0;1;2;30.0;1;2;2;37.73529411764706
