CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_DOS;EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_INT;VECES_TOP;NOTA_EYB;PROMEDIO_TRES;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_ECUA;NCA_TRES;NOTA_FOTO;NOTA_CFJC;VECES_SUELOS;PROMEDIO_CUATRO;NOTA_GEOGEO;NCA_CUATRO;NOTA_PRII;EPA_CUATRO;NOTA_PROB;PROMEDIO_CINCO;NOTAS_SISC;VECES_BD;NOTA_ME;CAR_CINCO;NOTA_CARTO;VECES_CARTO;PROMEDIO_SEIS;NOTA_GEO_FIS;NOTA_L_DOS;NOTA_LEGIC;NOTA_INGECO;VECES_L_DOS;PROMEDIO_SIETE;NOTA_ECONOMET;NOTA_AVAP;NOTA_EI_UNO;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
63.76;50.37;57.49;0;39.54;11;55.65;43.56;394.48;32.0;30;35;30;30;15.0;7;35;40;30;0;1;2;0.0;34.94117647058823;2;35;50;30;33;1;30;33.888888888888886;30;35;34;32;18.0;35;45;1;35.23529411764706;32;17.0;39;2;44;35.94444444444444;37;1;33;2;34;1;35.733333333333334;34;36;35;34;2;40.1875;42;36;44;38.30769230769231;2.0
58.22;87.56;50.99;0;42.4;12;49.34;53.59;417.66;39.0;35;40;30;45;15.0;7;45;45;40;0;1;1;0.0;33.8235294117647;2;40;30;35;30;1;40;35.77777777777778;30;50;30;31;18.0;40;45;1;37.05882352941177;37;17.0;33;2;40;36.94444444444444;38;2;35;2;43;1;39.13333333333333;31;35;40;43;1;38.8125;39;39;36;41.5;3.0
45.01;81.05;53.84;0;42.25;20;54.87;57.36;410.32;37.666666666666664;40;40;30;35;15.0;7;45;40;35;0;1;2;0.0;37.35294117647059;2;35;45;35;40;1;40;43.05555555555556;40;50;40;40;18.0;38;42;1;43.1764705882353;50;17.0;40;2;40;40.5;43;1;45;0;33;1;40.06666666666667;38;43;38;39;1;39.875;42;36;37;40.61538461538461;3.0
47.48;57.13;53.84;0;48.98;10;54.87;53.84;432.8;35.0;35;30;35;45;15.0;7;45;35;30;0;1;1;0.0;34.411764705882355;2;35;30;30;35;1;45;36.833333333333336;30;50;35;30;18.0;45;45;1;35.64705882352941;36;17.0;36;2;30;35.166666666666664;32;1;39;0;38;1;35.2;31;33;37;31;1;35.0625;34;37;42;40.15384615384615;3.0
63.76;53.32;55.27;0;52.09;7;57.88;55.37;426.81;32.666666666666664;30;35;30;30;15.0;7;40;40;30;0;1;1;0.0;33.23529411764706;2;30;45;30;30;1;35;33.611111111111114;40;30;30;34;18.0;35;40;1;37.8235294117647;36;17.0;44;2;32;35.27777777777778;38;2;36;2;37;1;38.93333333333333;31;43;40;40;1;39.0625;35;38;35;42.9;3.0
78.81;47.79;53.11;0;42.11;6;51.41;50.23;416.65;38.0;40;35;30;40;15.0;7;40;40;40;0;1;1;0.0;32.35294117647059;2;35;30;35;30;1;35;35.0;30;50;30;35;18.0;30;45;1;36.1764705882353;34;17.0;34;2;40;34.833333333333336;34;1;34;2;39;1;37.2;30;32;39;45;1;37.6875;33;34;48;35.5;2.0
65.16;67.6;62.54;0;48.41;6;57.32;54.01;442.4;34.333333333333336;35;35;30;40;15.0;7;40;40;30;0;1;1;0.0;34.705882352941174;2;35;45;30;30;1;40;34.55555555555556;35;40;30;30;18.0;35;45;1;33.705882352941174;30;17.0;30;2;30;35.22222222222222;30;1;30;1;38;1;38.93333333333333;38;44;39;36;1;37.75;31;36;42;40.69230769230769;3.0
52.06;45.98;46.34;0;47.08;4;46.97;54.29;406.21;35.333333333333336;35;30;30;45;15.0;7;40;40;35;0;1;1;0.0;31.470588235294116;2;35;30;30;30;1;35;33.0;30;44;30;34;15.0;30;45;1;33.857142857142854;31;14.0;35;2;35;36.53846153846154;42;1;0;1;0;0;36.142857142857146;0;0;38;34;0;33.0;0;33;0;50.0;4.0
66.96;48.65;56.75;0;61.69;16;53.24;45.02;428.25;32.0;30;30;30;40;15.0;7;35;40;30;0;1;1;0.0;31.294117647058822;2;30;30;30;34;1;35;36.0;34;30;39;34;18.0;41;44;1;33.588235294117645;30;17.0;39;2;33;33.55555555555556;30;2;33;2;35;1;38.2;40;43;34;38;1;39.9375;30;34;42;32.1;2.0
58.3;44.34;50.31;0;49.72;6;51.14;59.09;411.26;33.0;30;30;35;35;15.0;7;40;40;30;0;1;2;0.0;30.58823529411765;2;30;30;30;30;1;35;34.27777777777778;34;39;31;37;18.0;32;37;1;36.294117647058826;32;17.0;32;2;42;33.833333333333336;31;1;31;4;33;2;35.46666666666667;30;34;33;46;1;35.875;37;34;36;38.25;2.0
74.56;46.92;50.31;0;39.54;20;53.24;51.64;404.86;33.333333333333336;30;35;30;35;15.0;7;40;45;30;0;1;1;0.0;35.0;2;30;50;30;35;1;35;34.77777777777778;30;50;30;37;18.0;30;35;1;35.88235294117647;32;17.0;35;2;30;40.5;39;1;37;1;40;1;38.2;31;44;39;31;1;43.0625;40;43;50;41.30769230769231;3.0
55.7;50.37;41.79;0;47.29;8;44.9;49.97;377.46;33.333333333333336;30;30;35;40;15.0;7;40;40;30;0;1;1;0.0;32.05882352941177;2;35;30;30;30;1;40;30.555555555555557;30;30;30;30;18.0;30;40;1;37.8235294117647;40;17.0;37;2;46;37.0;30;1;35;2;40;1;36.53333333333333;32;39;37;36;1;36.125;31;30;48;39.0;2.0
61.26;45.98;64.97;0;44.72;11;44.91;52.59;414.94;36.333333333333336;35;35;40;40;15.0;7;45;40;30;0;1;1;0.0;32.94117647058823;2;35;30;35;30;1;40;31.72222222222222;30;35;30;31;18.0;35;30;1;36.8235294117647;33;17.0;35;2;41;37.5;38;1;31;1;37;1;39.4;33;43;42;37;1;39.6875;30;41;34;44.1;3.0
63.73;45.98;64.97;0;39.26;11;46.97;56.05;425.93;33.06666666666667;39;31;38;30;15.0;7;30;31;30;0;1;3;0.0;37.1764705882353;2;40;44;32;34;1;40;34.27777777777778;38;34;32;34;18.0;40;30;1;38.88235294117647;32;17.0;41;2;42;36.72222222222222;35;1;30;3;40;1;37.266666666666666;30;39;39;50;1;38.0625;37;33;45;38.0;2.0
55.71;50.87;62.54;1;55.47;8;64.21;47.22;446.27;36.0;30;40;45;40;15.0;7;40;40;30;0;1;1;0.0;32.94117647058823;2;35;30;30;30;1;40;34.44444444444444;30;35;30;40;18.0;40;45;1;37.1764705882353;32;17.0;39;2;41;38.111111111111114;43;2;30;1;42;1;40.46666666666667;33;47;40;44;1;36.125;30;39;38;40.84615384615385;3.0
58.86;36.79;51.21;0;43.2;11;68.15;47.16;418.57;33.0;30;35;30;35;15.0;7;40;40;30;0;1;1;0.0;32.35294117647059;2;30;30;35;35;1;35;34.55555555555556;33;32;38;33;18.0;39;34;1;35.705882352941174;33;17.0;46;2;30;35.05555555555556;38;1;33;1;36;1;36.13333333333333;35;34;34;32;1;37.6875;40;32;41;25.0;1.0
52.15;58.45;55.79;0;36.44;20;56.79;57.36;401.32;31.333333333333332;30;30;30;40;15.0;7;35;30;30;0;1;4;0.0;33.411764705882355;2;30;35;40;31;1;35;34.388888888888886;30;40;30;33;18.0;36;37;2;35.35294117647059;30;17.0;42;2;40;32.333333333333336;31;1;32;1;37;1;36.4;39;33;37;34;1;37.4375;30;35;39;38.1;2.0
58.89;47.21;51.96;1;49.38;20;56.57;54.29;432.53;34.333333333333336;30;35;35;40;15.0;7;40;45;30;0;1;1;0.0;31.176470588235293;2;30;30;30;30;1;40;33.388888888888886;40;30;31;34;18.0;33;40;1;39.529411764705884;37;17.0;39;2;48;35.111111111111114;37;1;30;0;39;1;43.333333333333336;40;45;43;47;1;39.125;34;34;45;43.3;3.0
60.92;50.37;53.11;1;42.11;19;65.59;39.86;400.09;36.666666666666664;35;35;45;40;15.0;7;40;45;30;0;1;1;0.0;31.176470588235293;2;30;30;30;30;1;40;35.0;35;40;30;35;18.0;40;40;1;37.529411764705884;33;17.0;37;2;30;37.666666666666664;34;1;31;1;45;1;40.733333333333334;33;47;44;36;1;40.375;30;40;36;43.84615384615385;3.0
56.59;76.45;55.8;0;47.08;19;46.97;54.29;433.15;32.666666666666664;30;35;35;35;15.0;7;35;35;30;0;1;2;0.0;34.294117647058826;2;35;30;38;38;1;35;33.833333333333336;32;32;36;34;18.0;35;35;1;38.470588235294116;36;17.0;38;2;35;40.611111111111114;43;1;39;1;41;1;40.93333333333333;30;47;39;49;1;41.5;40;37;38;44.3;3.0
52.15;48.43;50.07;0;39.64;19;45.12;52.16;405.17;35.0;30;35;35;40;15.0;7;45;45;30;0;1;2;0.0;37.8235294117647;2;30;50;43;33;2;35;34.388888888888886;30;34;35;30;18.0;36;40;1;35.470588235294116;39;17.0;30;2;32;33.166666666666664;30;1;33;3;34;1;33.8;30;36;31;30;2;35.1875;31;33;39;40.53846153846154;3.0
63.86;58.59;54.55;0;52.09;7;62.59;57.04;463.34;34.666666666666664;30;40;35;35;15.0;7;45;35;30;0;1;2;0.0;37.64705882352941;2;35;40;30;40;1;50;36.72222222222222;35;43;34;30;18.0;42;46;1;35.8235294117647;30;17.0;38;2;30;34.666666666666664;32;1;35;2;41;1;35.666666666666664;32;34;39;36;1;38.0;41;36;39;38.3;2.0
64.09;50.37;44.0;1;52.13;8;65.43;55.14;422.62;37.666666666666664;35;40;45;40;15.0;7;45;40;30;0;1;1;0.0;33.23529411764706;2;30;35;30;30;1;50;35.27777777777778;35;50;30;30;18.0;35;40;1;35.1764705882353;34;17.0;40;2;30;38.0;42;1;30;2;43;1;40.733333333333334;40;43;42;33;1;39.0625;38;40;35;38.90909090909091;2.0
49.84;58.45;57.84;1;47.08;10;56.79;53.84;412.77;33.666666666666664;30;30;35;45;15.0;7;40;40;30;0;1;1;0.0;37.0;2;35;50;38;30;2;40;32.833333333333336;33;33;30;36;18.0;35;35;2;34.64705882352941;34;17.0;37;2;37;37.44444444444444;38;1;38;3;36;2;37.733333333333334;31;40;42;35;1;37.4375;38;36;30;42.7;3.0
53.42;55.64;55.53;0;60.49;20;53.3;47.6;424.05;36.333333333333336;35;40;30;45;15.0;7;45;45;30;0;1;1;0.0;35.76470588235294;2;35;41;30;40;1;40;34.77777777777778;40;32;30;35;18.0;40;45;1;36.76470588235294;32;17.0;36;2;45;36.55555555555556;30;1;34;1;38;1;38.06666666666667;33;36;38;43;1;42.9375;36;42;48;39.8;2.0
56.59;47.21;51.96;0;48.98;11;44.91;50.94;407.57;30.666666666666668;30;30;30;30;15.0;7;35;30;30;0;1;4;0.0;33.8235294117647;2;30;35;38;30;2;40;33.166666666666664;37;30;33;33;18.0;34;40;1;36.86666666666667;38;15.0;34;2;45;32.22222222222222;30;1;20;3;44;1;30.0;0;0;36;30;0;33.84615384615385;30;30;30;39.0;2.0
