CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
64.0;43.0;68.0;0;53.0;20;57.0;58.0;434.0;38.13333333333333;34;44;45;42;15.0;7;37;40;34;0;1;1;0.0;43.388888888888886;3.0
64.0;58.0;48.0;1;48.0;9;69.0;67.0;419.0;37.0;30;40;41;41;15.0;7;40;38;36;0;1;1;0.0;38.5;2.0
68.0;43.0;58.0;0;84.0;20;69.0;41.0;446.0;37.06666666666667;30;39;43;43;15.0;7;39;37;36;0;1;1;0.0;36.44444444444444;2.0
68.0;66.0;69.0;0;49.0;4;63.0;47.0;421.0;36.6;38;42;35;39;15.0;7;35;40;33;0;1;1;0.0;38.333333333333336;2.0
68.0;58.0;63.0;0;53.0;20;57.0;56.0;425.0;33.733333333333334;33;30;33;34;15.0;7;43;33;32;0;1;3;0.0;35.888888888888886;2.0
63.0;61.0;59.0;0;69.0;1;63.0;56.0;432.0;32.46666666666667;30;30;31;32;15.0;7;39;33;33;0;1;2;0.0;37.0;2.0
63.0;43.0;68.0;1;69.0;10;63.0;63.0;445.0;34.333333333333336;30;42;37;36;15.0;7;36;39;30;0;1;1;0.0;35.333333333333336;2.0
64.0;49.0;51.0;0;60.0;10;78.0;55.0;425.0;34.666666666666664;32;36;40;41;15.0;7;38;35;30;0;1;1;0.0;34.94444444444444;2.0
64.0;43.0;59.0;1;69.0;19;62.0;62.0;433.0;34.266666666666666;31;35;37;41;15.0;7;37;38;31;0;1;3;0.0;35.833333333333336;2.0
68.0;43.0;55.0;1;45.0;19;50.0;53.0;404.0;34.0;30;36;37;38;15.0;7;39;38;30;0;1;2;0.0;39.55555555555556;2.0
75.0;45.0;63.0;0;69.0;20;63.0;53.0;432.0;33.2;30;36;40;35;11.0;6;39;31;28;1;1;1;4.0;20.666666666666668;1.0
69.0;56.0;68.0;0;53.0;10;69.0;49.0;423.0;32.8;30;33;34;31;15.0;7;33;31;35;0;1;1;0.0;27.666666666666668;1.0
59.0;56.0;69.0;1;69.0;20;57.0;59.0;437.0;40.2;41;46;35;37;15.0;7;44;41;38;0;1;1;0.0;38.611111111111114;2.0
60.0;55.0;55.0;0;44.0;20;68.0;55.0;409.0;37.13333333333333;30;36;43;41;15.0;7;41;42;36;0;1;1;0.0;38.611111111111114;2.0
60.0;43.0;55.0;1;53.0;6;63.0;55.0;411.0;38.13333333333333;30;38;41;41;15.0;7;41;41;40;0;1;1;0.0;37.5;2.0
68.0;50.0;51.0;1;60.0;16;69.0;59.0;421.0;34.86666666666667;35;30;42;37;15.0;7;41;35;30;0;1;2;0.0;36.166666666666664;2.0
