CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_DOS;EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_INT;VECES_TOP;NOTA_EYB;PROMEDIO_TRES;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_ECUA;NCA_TRES;NOTA_FOTO;NOTA_CFJC;VECES_SUELOS;PROMEDIO_CINCO;RENDIMIENTO_CINCO
63.76;53.32;55.27;0;52.09;7;57.88;55.37;426.81;32.666666666666664;30;35;30;30;15.0;7;40;40;30;0;1;1;0.0;33.23529411764706;2;30;45;30;30;1;35;33.611111111111114;40;30;30;34;18.0;35;40;1;35.27777777777778;2.0
78.81;47.79;53.11;0;42.11;6;51.41;50.23;416.65;38.0;40;35;30;40;15.0;7;40;40;40;0;1;1;0.0;32.35294117647059;2;35;30;35;30;1;35;35.0;30;50;30;35;18.0;30;45;1;34.833333333333336;2.0
65.16;67.6;62.54;0;48.41;6;57.32;54.01;442.4;34.333333333333336;35;35;30;40;15.0;7;40;40;30;0;1;1;0.0;34.705882352941174;2;35;45;30;30;1;40;34.55555555555556;35;40;30;30;18.0;35;45;1;35.22222222222222;2.0
52.06;45.98;46.34;0;47.08;4;46.97;54.29;406.21;35.333333333333336;35;30;30;45;15.0;7;40;40;35;0;1;1;0.0;31.470588235294116;2;35;30;30;30;1;35;33.0;30;44;30;34;15.0;30;45;1;36.53846153846154;2.0
66.96;48.65;56.75;0;61.69;16;53.24;45.02;428.25;32.0;30;30;30;40;15.0;7;35;40;30;0;1;1;0.0;31.294117647058822;2;30;30;30;34;1;35;36.0;34;30;39;34;18.0;41;44;1;33.55555555555556;2.0
58.3;44.34;50.31;0;49.72;6;51.14;59.09;411.26;33.0;30;30;35;35;15.0;7;40;40;30;0;1;2;0.0;30.58823529411765;2;30;30;30;30;1;35;34.27777777777778;34;39;31;37;18.0;32;37;1;33.833333333333336;2.0
74.56;46.92;50.31;0;39.54;20;53.24;51.64;404.86;33.333333333333336;30;35;30;35;15.0;7;40;45;30;0;1;1;0.0;35.0;2;30;50;30;35;1;35;34.77777777777778;30;50;30;37;18.0;30;35;1;40.5;3.0
55.7;50.37;41.79;0;47.29;8;44.9;49.97;377.46;33.333333333333336;30;30;35;40;15.0;7;40;40;30;0;1;1;0.0;32.05882352941177;2;35;30;30;30;1;40;30.555555555555557;30;30;30;30;18.0;30;40;1;37.0;2.0
61.26;45.98;64.97;0;44.72;11;44.91;52.59;414.94;36.333333333333336;35;35;40;40;15.0;7;45;40;30;0;1;1;0.0;32.94117647058823;2;35;30;35;30;1;40;31.72222222222222;30;35;30;31;18.0;35;30;1;37.5;2.0
63.73;45.98;64.97;0;39.26;11;46.97;56.05;425.93;33.06666666666667;39;31;38;30;15.0;7;30;31;30;0;1;3;0.0;37.1764705882353;2;40;44;32;34;1;40;34.27777777777778;38;34;32;34;18.0;40;30;1;36.72222222222222;2.0
55.71;50.87;62.54;1;55.47;8;64.21;47.22;446.27;36.0;30;40;45;40;15.0;7;40;40;30;0;1;1;0.0;32.94117647058823;2;35;30;30;30;1;40;34.44444444444444;30;35;30;40;18.0;40;45;1;38.111111111111114;2.0
58.86;36.79;51.21;0;43.2;11;68.15;47.16;418.57;33.0;30;35;30;35;15.0;7;40;40;30;0;1;1;0.0;32.35294117647059;2;30;30;35;35;1;35;34.55555555555556;33;32;38;33;18.0;39;34;1;35.05555555555556;2.0
52.15;58.45;55.79;0;36.44;20;56.79;57.36;401.32;31.333333333333332;30;30;30;40;15.0;7;35;30;30;0;1;4;0.0;33.411764705882355;2;30;35;40;31;1;35;34.388888888888886;30;40;30;33;18.0;36;37;2;32.333333333333336;2.0
58.89;47.21;51.96;1;49.38;20;56.57;54.29;432.53;34.333333333333336;30;35;35;40;15.0;7;40;45;30;0;1;1;0.0;31.176470588235293;2;30;30;30;30;1;40;33.388888888888886;40;30;31;34;18.0;33;40;1;35.111111111111114;2.0
60.92;50.37;53.11;1;42.11;19;65.59;39.86;400.09;36.666666666666664;35;35;45;40;15.0;7;40;45;30;0;1;1;0.0;31.176470588235293;2;30;30;30;30;1;40;35.0;35;40;30;35;18.0;40;40;1;37.666666666666664;2.0
56.59;76.45;55.8;0;47.08;19;46.97;54.29;433.15;32.666666666666664;30;35;35;35;15.0;7;35;35;30;0;1;2;0.0;34.294117647058826;2;35;30;38;38;1;35;33.833333333333336;32;32;36;34;18.0;35;35;1;40.611111111111114;3.0
52.15;48.43;50.07;0;39.64;19;45.12;52.16;405.17;35.0;30;35;35;40;15.0;7;45;45;30;0;1;2;0.0;37.8235294117647;2;30;50;43;33;2;35;34.388888888888886;30;34;35;30;18.0;36;40;1;33.166666666666664;2.0
63.86;58.59;54.55;0;52.09;7;62.59;57.04;463.34;34.666666666666664;30;40;35;35;15.0;7;45;35;30;0;1;2;0.0;37.64705882352941;2;35;40;30;40;1;50;36.72222222222222;35;43;34;30;18.0;42;46;1;34.666666666666664;2.0
64.09;50.37;44.0;1;52.13;8;65.43;55.14;422.62;37.666666666666664;35;40;45;40;15.0;7;45;40;30;0;1;1;0.0;33.23529411764706;2;30;35;30;30;1;50;35.27777777777778;35;50;30;30;18.0;35;40;1;38.0;2.0
49.84;58.45;57.84;1;47.08;10;56.79;53.84;412.77;33.666666666666664;30;30;35;45;15.0;7;40;40;30;0;1;1;0.0;37.0;2;35;50;38;30;2;40;32.833333333333336;33;33;30;36;18.0;35;35;2;37.44444444444444;2.0
53.42;55.64;55.53;0;60.49;20;53.3;47.6;424.05;36.333333333333336;35;40;30;45;15.0;7;45;45;30;0;1;1;0.0;35.76470588235294;2;35;41;30;40;1;40;34.77777777777778;40;32;30;35;18.0;40;45;1;36.55555555555556;2.0
56.59;47.21;51.96;0;48.98;11;44.91;50.94;407.57;30.666666666666668;30;30;30;30;15.0;7;35;30;30;0;1;4;0.0;33.8235294117647;2;30;35;38;30;2;40;33.166666666666664;37;30;33;33;18.0;34;40;1;32.22222222222222;2.0
51.32;41.03;55.22;1;59.08;3;61.76;41.14;418.87;34.0;30;30;40;40;15.0;7;40;40;30;0;1;3;0.0;30.294117647058822;2;30;30;30;25;2;40;33.916666666666664;36;32;30;0;12.0;39;35;3;28.4;1.0
58.15;55.64;57.36;1;56.09;5;53.3;49.26;436.36;33.0;30;40;35;35;15.0;7;35;30;30;0;1;1;0.0;36.470588235294116;2;35;50;30;35;1;40;36.22222222222222;35;40;35;34;18.0;35;45;1;38.111111111111114;2.0
59.02;39.11;44.38;1;53.52;20;58.76;48.83;411.36;36.0;30;40;35;40;15.0;7;40;40;35;0;1;1;0.0;37.94117647058823;2;35;50;35;40;1;30;36.388888888888886;35;30;30;45;18.0;35;45;1;39.44444444444444;2.0
49.77;52.09;46.34;0;41.86;8;58.52;47.67;410.45;34.333333333333336;30;35;35;40;15.0;7;35;35;35;0;1;2;0.0;33.23529411764706;2;35;35;35;30;1;35;32.77777777777778;35;30;30;35;15.0;40;45;1;32.75;2.0
55.63;42.2;53.11;1;52.09;7;53.5;45.27;405.82;36.333333333333336;30;35;40;40;15.0;7;40;45;35;0;1;2;0.0;33.23529411764706;2;30;40;30;30;1;35;34.44444444444444;30;37;37;35;18.0;36;41;1;37.166666666666664;2.0
47.48;49.65;50.07;0;36.82;4;47.18;55.57;383.33;36.0;30;35;40;45;15.0;7;45;45;30;0;1;2;0.0;32.1764705882353;2;30;35;30;30;2;35;35.27777777777778;30;45;38;30;18.0;36;44;1;35.388888888888886;2.0
53.09;49.51;46.74;0;54.45;11;55.65;51.89;415.94;35.666666666666664;35;35;40;40;15.0;7;40;40;30;0;1;2;0.0;30.58823529411765;2;30;30;30;30;1;35;34.333333333333336;30;35;30;38;18.0;40;40;2;35.05555555555556;2.0
52.06;52.09;51.96;1;46.69;8;54.66;47.67;415.3;37.333333333333336;30;40;40;40;15.0;7;45;40;35;0;1;1;0.0;35.588235294117645;2;30;50;35;30;1;40;36.666666666666664;35;45;30;40;18.0;40;40;1;39.0;2.0
40.15;50.67;51.63;1;41.62;20;49.09;52.03;376.41;36.0;30;40;40;40;15.0;7;45;40;30;0;1;3;0.0;32.94117647058823;2;30;40;30;30;2;40;30.444444444444443;30;33;30;13;15.0;45;35;1;28.5;1.0
47.48;49.65;50.07;0;44.33;10;47.18;48.83;387.28;37.0;35;40;40;45;15.0;7;40;45;30;0;1;2;0.0;35.88235294117647;2;30;50;35;30;1;35;32.72222222222222;30;30;35;38;18.0;30;40;1;35.72222222222222;2.0
36.42;47.21;50.07;1;42.25;7;49.15;52.16;391.18;35.333333333333336;30;40;35;45;15.0;7;45;35;30;0;1;3;0.0;33.705882352941174;2;30;40;30;31;2;45;33.5;31;35;30;31;18.0;36;42;2;36.55555555555556;2.0
52.06;47.21;44.41;1;47.08;11;54.66;52.59;406.08;33.666666666666664;35;30;30;45;15.0;7;40;35;30;0;1;2;0.0;33.8235294117647;2;30;40;35;30;1;40;32.77777777777778;30;43;30;30;18.0;33;35;1;34.611111111111114;2.0
48.67;52.42;64.49;1;52.99;7;62.72;40.8;407.42;36.0;30;40;40;40;15.0;7;45;40;30;0;1;3;0.0;32.05882352941177;2;30;30;30;30;1;37;34.94444444444444;33;36;37;33;18.0;35;34;3;35.333333333333336;2.0
52.82;33.35;43.43;0;34.54;4;46.7;49.0;369.78;34.333333333333336;30;40;35;40;15.0;7;40;35;30;0;1;2;0.0;33.35294117647059;2;30;33;35;31;2;45;34.611111111111114;30;39;41;30;18.0;32;40;1;36.388888888888886;2.0
53.09;45.2;44.56;0;40.37;15;62.78;46.94;390.16;35.0;30;40;40;35;15.0;7;40;40;30;0;1;2;0.0;33.23529411764706;2;30;45;30;30;1;35;34.0;32;30;33;30;18.0;36;45;2;35.94444444444444;2.0
54.33;43.48;46.34;1;47.08;19;52.77;50.94;402.72;41.0;35;45;40;45;15.0;7;45;45;40;0;1;1;0.0;36.470588235294116;2;35;50;35;30;2;40;38.05555555555556;35;40;40;40;18.0;40;35;1;38.166666666666664;2.0
50.54;43.48;45.64;1;46.04;7;47.14;45.4;369.9;36.666666666666664;30;40;40;40;15.0;7;40;40;35;0;1;1;0.0;32.588235294117645;2;30;40;30;30;2;37;35.166666666666664;30;40;35;35;18.0;34;40;1;34.0;2.0
42.39;40.89;46.32;1;44.72;1;49.15;50.5;380.46;35.666666666666664;35;35;40;40;15.0;7;40;40;30;0;1;2;0.0;33.8235294117647;2;30;45;30;30;1;40;33.166666666666664;31;40;30;31;18.0;30;45;1;33.94444444444444;2.0
60.92;40.5;62.31;1;52.48;20;51.41;48.59;425.85;37.333333333333336;35;40;40;40;15.0;7;45;45;30;0;1;2;0.0;35.0;2;30;50;30;35;2;35;35.27777777777778;35;40;35;35;18.0;35;40;1;34.5;2.0
53.2;43.48;47.79;0;50.76;10;51.21;45.4;402.14;34.0;30;35;35;40;15.0;7;45;30;30;0;1;2;0.0;32.05882352941177;2;35;30;30;30;2;40;33.111111111111114;30;38;30;39;18.0;30;35;1;37.166666666666664;2.0
64.16;0.0;54.77;1;53.59;8;58.84;54.3;447.04;38.666666666666664;40;40;45;45;15.0;7;40;45;30;0;1;3;0.0;35.0;2;40;35;40;30;1;35;34.72222222222222;31;38;35;35;18.0;36;37;1;38.05555555555556;2.0
53.2;64.23;58.09;0;38.35;10;66.94;54.01;424.37;36.666666666666664;30;40;40;40;15.0;7;40;40;35;0;1;1;0.0;39.11764705882353;2;40;50;35;30;1;40;35.666666666666664;40;35;34;30;18.0;45;45;1;35.166666666666664;2.0
58.94;53.32;55.09;0;51.14;20;48.26;54.59;443.53;37.333333333333336;35;30;35;35;15.0;7;45;40;40;0;1;2;0.0;31.58823529411765;2;30;32;30;31;1;39;32.8;37;0;20;32;12.0;44;35;1;36.0;2.0
