NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS_SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
964;36.93333333333333;37.52941176470588;30.0;45.0;37.33333333333334;33.0;41.0;35;40.23529411764706;35.0;35.0;48.0;47.0;45.0;38.88235294117647;0;17;17;0;8;8;0;2;37.0;1;2;30.0;1;3;46.0;1;1;39.0;1;2;37.0;1;2;39.0;1;3;46.0;1;2;45;1;2;3;43.33333333333334
966;35.03333333333333;39.41176470588236;33.0;35.0;41.22222222222222;44.0;40.0;36;35.94117647058823;37.0;33.0;44.0;33.0;42.0;38.29411764705883;0;17;17;0;8;8;0;2;35.0;1;2;35.0;1;3;37.0;1;1;38.0;1;2;44.0;1;2;37.0;1;3;38.0;1;2;44;1;2;3;40.66666666666666
969;35.1;37.0;36.0;46.0;42.44444444444444;33.0;37.0;49;36.02941176470588;31.5;37.0;44.0;39.0;40.0;38.20588235294117;1;17;17;0;8;8;0;2;46.0;1;2;30.5;2;3;42.0;1;1;34.0;1;2;39.0;1;2;38.0;1;3;43.0;1;2;39;1;2;3;43.06666666666667
970;32.73076923076923;28.6;17.5;0.0;34.3125;32.0;27.0;0;31.28571428571428;0.0;39.0;35.0;20.0;41.0;28.9;2;10;5;5;5;3;2;1;0.0;0;2;20.0;2;3;38.0;1;1;36.0;1;2;0.0;0;2;0.0;0;3;21.5;2;2;38;1;2;2;38.5
973;34.93333333333333;38.88235294117647;35.0;45.0;43.44444444444444;37.0;34.0;43;41.05882352941177;42.0;38.0;46.0;46.0;50.0;40.94117647058823;0;17;17;0;8;8;0;2;47.0;1;2;39.0;1;3;38.0;1;1;41.0;1;2;43.0;1;2;39.0;1;3;38.0;1;2;43;1;2;3;42.13333333333333
976;35.73333333333333;33.38235294117647;32.5;40.0;39.44444444444444;30.0;37.0;45;37.6764705882353;33.5;35.0;47.0;30.0;43.0;39.11764705882353;0;17;17;0;8;8;0;2;40.0;1;2;36.0;1;3;41.0;1;1;33.0;1;2;46.0;1;2;38.0;1;3;39.0;1;2;43;1;2;3;42.0
978;32.51111111111111;33.61764705882353;31.0;40.0;38.38888888888889;31.0;41.0;0;34.88235294117647;30.0;39.0;45.0;38.0;38.0;35.5;1;17;17;0;8;8;0;2;30.0;1;2;31.5;2;3;45.0;1;1;30.0;1;2;36.0;1;2;38.0;1;3;34.0;1;2;45;1;2;3;40.33333333333334
984;36.0;37.47058823529412;35.0;48.0;39.94444444444444;40.0;41.0;50;41.58823529411764;38.0;46.0;48.0;39.0;46.0;41.70588235294117;0;17;17;0;8;8;0;2;45.0;1;2;42.0;1;3;33.0;1;1;41.0;1;2;46.0;1;2;36.0;1;3;44.0;1;2;45;1;2;3;44.33333333333334
988;35.0;38.58823529411764;34.0;42.0;42.72222222222222;40.0;34.0;43;37.41176470588236;38.0;38.0;42.0;38.0;42.0;39.35294117647059;1;17;17;0;8;8;0;2;46.0;1;2;34.0;2;3;39.0;1;1;36.0;1;2;39.0;1;2;38.0;1;3;43.0;1;2;43;1;2;2;38.3
989;35.23333333333333;35.21568627450981;31.33333333333333;43.0;43.61111111111111;45.0;38.0;48;39.94117647058823;43.0;32.0;42.0;38.0;48.0;36.76470588235294;0;17;17;0;8;8;0;2;33.0;1;2;30.0;1;3;44.0;1;1;30.0;1;2;47.0;1;2;37.0;1;3;42.0;1;2;38;1;2;3;41.26666666666667
996;32.36666666666667;32.97058823529412;30.0;42.0;37.52777777777778;31.0;34.0;48;38.29411764705883;35.0;34.0;49.0;42.0;43.0;41.64705882352941;0;17;17;0;8;8;0;2;50.0;1;2;30.0;1;3;46.0;1;1;44.0;1;2;40.0;1;2;40.0;1;3;43.0;1;2;49;1;2;3;42.4
998;33.93333333333333;39.05882352941177;40.0;44.0;41.5;43.0;46.0;50;41.8235294117647;41.0;44.0;45.0;41.0;50.0;37.76470588235294;0;17;17;0;8;8;0;2;44.0;1;2;30.0;1;3;33.0;1;1;35.0;1;2;42.0;1;2;39.0;1;3;45.0;1;2;35;1;2;3;44.06666666666667
999;28.62222222222222;32.05882352941177;30.0;41.0;34.86111111111111;33.5;42.0;50;38.76470588235294;35.0;41.0;42.0;42.0;42.0;37.23529411764706;1;17;15;2;8;7;1;2;42.0;1;2;35.0;1;3;45.0;1;1;29.5;2;2;43.0;1;2;34.0;1;3;33.0;1;2;43;1;2;2;39.53333333333333
1002;35.3;36.02941176470588;31.0;45.0;36.05555555555556;33.0;32.0;45;37.6764705882353;37.0;38.0;50.0;39.0;38.0;40.64705882352941;0;17;17;0;8;8;0;2;47.0;1;2;34.0;1;3;46.0;1;1;33.0;1;2;46.0;1;2;39.0;1;3;39.0;1;2;48;1;2;3;43.4
1003;33.86666666666667;31.13333333333333;27.0;0.0;29.25;21.0;0.0;0;25.56666666666667;30.0;30.0;0.0;21.0;39.0;17.45833333333333;2;12;3;9;6;2;4;1;45.0;1;2;10.5;2;3;34.0;1;1;0.0;0;2;7.0;1;2;0.0;0;3;0.0;1;2;20;2;2;1;23.85714285714286
1007;30.6;37.41176470588236;30.0;43.0;39.38888888888889;31.0;34.0;0;37.88235294117647;31.0;33.0;46.5;47.0;36.0;40.23529411764706;0;17;17;0;8;8;0;2;45.0;1;2;36.0;1;3;45.0;1;1;37.0;1;2;37.0;1;2;39.0;1;3;42.0;1;2;46;1;2;3;42.2
1008;37.06666666666667;36.05882352941177;35.0;44.0;36.5;34.0;33.0;50;39.52941176470588;38.0;42.0;38.0;38.0;46.0;36.94117647058823;0;17;17;0;8;8;0;2;40.0;1;2;32.0;1;3;35.0;1;1;45.0;1;2;41.0;1;2;37.0;1;3;33.0;1;2;34;1;2;3;42.6
1010;32.86666666666667;35.88235294117647;32.0;44.0;36.66666666666666;37.0;38.0;45;37.47058823529412;39.0;30.0;46.0;42.0;44.0;38.88235294117647;0;17;17;0;8;8;0;2;50.0;1;2;34.0;1;3;44.0;1;1;32.0;1;2;36.0;1;2;37.0;1;3;36.0;1;2;48;1;2;2;39.86666666666667
1011;30.06666666666667;32.23529411764706;31.0;42.0;35.77777777777778;35.0;41.0;46;32.02941176470588;25.5;33.0;42.0;31.0;33.0;35.47058823529412;0;17;17;0;8;8;0;2;43.0;1;2;33.0;1;3;45.0;1;1;30.0;1;2;31.0;1;2;35.0;1;3;30.0;1;2;43;1;2;2;35.86666666666667
1013;33.6;33.26470588235294;35.0;38.0;39.6875;40.0;0.0;0;32.68181818181818;0.0;33.0;0.0;38.0;43.0;31.58333333333333;0;12;11;1;6;5;1;2;42.0;1;2;33.0;1;3;0.0;1;1;30.0;1;2;0.0;0;2;0.0;0;3;31.0;1;2;37;1;2;1;25.36363636363636
1021;35.2;35.58823529411764;32.0;45.0;37.69444444444444;38.0;37.0;50;38.35294117647059;38.0;35.0;40.0;43.0;40.0;36.52941176470588;0;17;17;0;8;8;0;2;36.0;1;2;30.0;1;3;42.0;1;1;32.0;1;2;39.0;1;2;35.0;1;3;41.0;1;2;44;1;2;2;39.26666666666667
1023;35.7;34.5;32.0;46.0;34.83333333333334;31.0;37.0;45;36.1764705882353;33.0;37.0;45.0;30.0;48.0;40.29411764705883;0;17;17;0;8;8;0;2;46.0;1;2;35.0;1;3;46.0;1;1;47.0;1;2;41.0;1;2;34.0;1;3;36.0;1;2;46;1;2;2;39.46666666666667
1025;36.63333333333333;36.70588235294117;40.0;36.0;34.97222222222222;31.0;36.0;42;37.29411764705883;34.0;39.0;41.0;41.0;37.0;38.29411764705883;0;17;17;0;8;8;0;2;45.0;1;2;41.0;1;3;44.0;1;1;44.0;1;2;30.0;1;2;34.0;1;3;34.0;1;2;38;1;2;3;43.06666666666667
1026;38.06666666666667;34.52941176470588;42.0;38.0;37.94444444444444;33.0;37.0;44;37.70588235294117;30.0;30.0;48.0;38.0;48.0;39.88235294117647;1;17;17;0;8;8;0;2;40.0;1;2;32.0;2;3;42.0;1;1;43.0;1;2;47.0;1;2;36.0;1;3;39.0;1;2;47;1;2;3;42.93333333333333
1027;36.2;35.64705882352941;34.0;45.0;34.44444444444444;30.0;34.0;48;37.23529411764706;30.0;37.0;44.0;38.0;48.0;40.76470588235294;0;17;17;0;8;8;0;2;44.0;1;2;42.0;1;3;42.0;1;1;36.0;1;2;41.0;1;2;33.0;1;3;45.0;1;2;47;1;2;3;44.53333333333333
1030;33.6;30.23529411764706;32.0;38.0;33.38888888888889;20.0;30.0;46;34.44117647058823;30.0;39.0;44.0;38.0;40.0;37.23529411764706;0;17;17;0;8;8;0;2;34.0;1;2;34.0;1;3;38.0;1;1;30.0;1;2;42.0;1;2;39.0;1;3;41.0;1;2;41;1;2;2;37.26666666666667
1031;38.93333333333333;43.29411764705883;44.0;48.0;39.88888888888889;39.0;45.0;45;42.8235294117647;38.0;45.0;48.0;42.0;50.0;43.58823529411764;0;17;17;0;8;8;0;2;50.0;1;2;38.0;1;3;45.0;1;1;44.0;1;2;47.0;1;2;38.0;1;3;44.0;1;2;49;1;2;4;45.93333333333333
1033;33.0;29.3125;29.0;45.0;29.5;34.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;3;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;0;0.0
1038;31.28888888888889;31.70588235294118;27.5;39.0;36.22222222222222;33.0;29.5;46;35.11764705882353;34.0;30.0;48.0;31.0;39.0;33.70588235294117;2;17;14;3;8;7;1;2;30.0;1;2;21.0;2;3;33.0;1;1;31.5;2;2;37.0;1;2;38.0;1;3;42.0;1;2;41;1;2;2;36.4
1040;34.6;33.8235294117647;37.0;45.0;40.27777777777778;33.0;36.0;35;35.76470588235294;32.0;35.0;50.0;30.0;47.0;36.70588235294117;2;17;17;0;8;8;0;2;36.5;2;2;34.0;1;3;38.0;1;1;30.5;2;2;36.0;1;2;36.0;1;3;42.0;1;2;43;1;2;2;37.53333333333333
1043;39.0;34.1764705882353;30.0;42.0;37.11111111111111;37.0;36.0;50;36.4;37.0;30.0;0.0;42.0;34.0;34.47058823529412;0;17;17;0;8;8;0;2;38.0;1;2;31.0;1;3;47.0;1;1;30.0;1;2;30.0;1;2;30.0;1;3;39.0;1;2;41;1;2;2;38.46666666666667
1057;32.93333333333333;32.05882352941177;30.0;46.0;34.11111111111111;31.0;38.0;47;37.02941176470588;35.0;45.0;48.0;38.0;33.0;37.35294117647059;0;17;17;0;8;8;0;2;44.0;1;2;32.0;1;3;38.0;1;1;31.0;1;2;48.0;1;2;35.0;1;3;41.0;1;2;34;1;2;2;39.66666666666666
1064;40.66666666666666;37.13333333333333;30.0;0.0;41.0;39.0;44.0;0;40.58333333333334;30.0;39.0;49.0;0.0;0.0;43.66666666666666;0;6;6;0;3;3;0;2;0.0;0;2;42.0;1;3;36.0;1;1;50.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;3;41.5
1073;37.66666666666666;36.05882352941177;30.0;31.0;36.0;30.0;31.0;43;36.76470588235294;30.0;41.0;38.0;41.0;46.0;36.8235294117647;1;17;17;0;8;8;0;2;38.0;1;2;34.0;1;3;44.0;1;1;31.0;2;2;38.0;1;2;34.0;1;3;43.0;1;2;39;1;2;2;39.4
1082;31.55555555555555;36.8235294117647;41.0;41.0;37.77777777777778;45.0;31.0;50;34.0;32.0;35.0;41.0;31.0;41.0;33.76470588235294;1;17;17;0;8;8;0;2;32.0;1;2;30.0;2;3;36.0;1;1;30.0;1;2;32.0;1;2;34.0;1;3;43.0;1;2;36;1;2;2;37.0
1092;27.70512820512821;35.06666666666667;41.0;0.0;27.25;30.0;0.0;0;24.42857142857143;0.0;0.0;49.0;0.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;3;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;0;0.0
1093;32.2;33.37777777777778;27.33333333333333;0.0;32.875;31.0;34.0;0;31.67647058823529;30.0;25.0;40.0;31.0;33.0;35.1764705882353;3;17;17;0;8;8;0;2;47.0;1;2;31.0;2;3;34.0;1;1;33.0;2;2;35.0;1;2;37.0;1;3;33.0;2;2;32;1;2;2;36.75
1094;33.43333333333333;33.88235294117647;40.0;48.0;32.46875;30.0;0.0;0;30.17647058823529;35.0;40.0;0.0;37.0;31.5;30.91666666666667;1;12;10;2;6;5;1;2;0.0;0;2;30.0;1;3;35.0;1;1;17.0;2;2;33.0;1;2;0.0;0;3;38.0;1;2;35;1;2;2;32.45454545454545
1095;37.66666666666666;32.52941176470588;29.0;30.0;34.375;32.0;0.0;0;20.25;36.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;3;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;0;0.0
1097;30.06666666666667;32.0;37.0;43.0;34.63888888888889;19.5;41.0;43;31.51960784313726;11.0;39.0;41.0;38.0;46.0;36.58333333333334;0;12;12;0;6;6;0;2;30.0;1;2;35.0;1;3;44.0;1;1;37.0;1;2;0.0;0;2;0.0;0;3;41.0;1;2;37;1;2;3;40.85714285714285
1098;38.66666666666666;35.8235294117647;30.0;41.0;39.16666666666666;40.0;39.0;0;40.23529411764706;36.0;39.0;49.0;38.0;42.0;41.1764705882353;0;17;17;0;8;8;0;2;48.0;1;2;39.0;1;3;43.0;1;1;33.0;1;2;41.0;1;2;42.0;1;3;41.0;1;2;44;1;2;3;41.2
1099;30.78888888888889;23.68888888888889;28.66666666666667;0.0;34.0;0.0;0.0;0;13.94444444444444;0.0;36.0;0.0;8.0;0.0;45.0;0;1;1;0;1;1;0;2;0.0;0;2;0.0;0;3;45.0;1;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;0;0.0
1101;31.32222222222222;30.47058823529412;40.0;42.0;38.0;47.0;32.0;49;33.20588235294117;32.0;38.0;32.0;40.0;31.0;39.1764705882353;0;17;17;0;8;8;0;2;45.0;1;2;31.0;1;3;44.0;1;1;47.0;1;2;47.0;1;2;33.0;1;3;37.0;1;2;39;1;2;2;38.73333333333333
1104;34.33333333333334;35.26470588235294;33.0;49.0;36.11111111111111;31.0;33.0;46;33.58823529411764;30.0;34.0;43.0;33.0;33.0;37.05882352941177;1;17;17;0;8;8;0;2;34.5;2;2;35.0;1;3;38.0;1;1;32.0;1;2;41.0;1;2;36.0;1;3;37.0;1;2;45;1;2;2;35.8
1105;37.2;37.94117647058823;32.0;48.0;41.22222222222222;39.0;41.0;49;41.11764705882353;37.0;41.0;43.0;48.0;44.0;41.64705882352941;0;17;17;0;8;8;0;2;49.0;1;2;36.0;1;3;44.0;1;1;43.0;1;2;42.0;1;2;42.0;1;3;40.0;1;2;41;1;2;3;40.53333333333333
1106;33.55555555555556;31.67647058823529;28.0;44.0;41.11111111111111;48.0;46.0;48;39.41176470588236;31.0;47.0;44.0;40.0;39.0;39.35294117647059;0;17;17;0;8;8;0;2;35.0;1;2;34.0;1;3;38.0;1;1;44.0;1;2;36.0;1;2;41.0;1;3;43.0;1;2;45;1;2;3;43.26666666666667
