NOTA_EL_DOS;NOTA_MPI;NOTA_ME;NOTA_PYE;NOTA_ELD;VECES_ME;VECES_EL_DOS;NOTA_GEE;NOTA_CIR_TRES;VECES_PYE;PROMEDIO_DOS;VECES_ECUA;NCP_TRES;NOTA_ECUA;VECES_MPI;PROMEDIO_TRES;VECES_CIR_TRES;VECES_ELD;NOTA_CIR_DOS;NAP_TRES;NAC_TRES;NAA_TRES;NOTA_TERMO;NOTA_EL_UNO;NOTA_MULTI;VECES_GEE;NCA_TRES;CAR_TRES;NCP_DOS;NCC_TRES;NCA_DOS;EPA_TRES;VECES_TERMO;NOTA_FIS_TRES;NOTA_FIS_DOS;CREDITOS_CIR_TRES;CREDITOS_EL_DOS;CREDITOS_ELD;CREDITOS_PYE;CREDITOS_MPI;CREDITOS_ME;CREDITOS_GEE;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
0;15;0;0;0;0;0;0;0;0;21.153846153846153;0;3.0;0;1;25.0;0;0;0;1;1;0;0;0;0;0;0.0;1;10.0;3.0;3.0;1;0;25;25;2;3;3;2;2;3;2;1.0;15.0
0;15;0;0;0;0;0;0;0;0;23.4375;0;0.0;0;1;30.0;0;0;0;0;1;1;0;0;0;0;3.0;0;10.0;3.0;6.0;2;0;30;30;2;3;3;2;2;3;2;1.0;15.0
30;30;33;33;38;1;1;39;48;2;34.375;1;0.0;37;1;33.0;1;1;33;0;6;6;36;32;30;2;18.0;4;0.0;18.0;16.0;2;2;30;30;2;3;3;2;2;3;2;2.0;35.470588235294116
35;40;45;45;45;1;1;40;35;1;40.9375;1;0.0;35;1;33.333333333333336;1;1;35;0;6;6;35;30;35;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;3.0;40.88235294117647
0;35;35;35;27;1;0;0;0;1;35.0;2;3.0;30;1;32.6;0;1;26;1;5;4;0;42;35;0;12.0;3;0.0;15.0;16.0;2;0;30;30;2;3;3;2;2;3;2;2.0;32.6
39;35;34;30;42;1;1;30;37;1;35.625;1;0.0;34;1;32.666666666666664;1;2;33;0;6;6;30;35;34;2;18.0;2;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.8235294117647
0;40;0;0;0;0;0;0;0;0;37.5;0;0.0;0;1;35.0;0;0;0;0;1;1;0;0;0;0;3.0;0;0.0;3.0;10.0;2;0;35;35;2;3;3;2;2;3;2;2.0;40.0
41;35;33;30;30;1;1;30;37;1;36.875;1;0.0;30;1;35.0;1;2;30;0;6;6;50;40;30;1;18.0;2;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;33.88235294117647
32;40;40;45;45;1;1;37;47;1;37.1875;1;0.0;35;1;35.0;1;2;30;0;6;6;50;30;35;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;3.0;40.529411764705884
34;30;32;30;40;2;2;50;40;2;39.0625;1;0.0;30;1;30.833333333333332;1;1;30;0;6;6;30;30;35;1;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;36.35294117647059
38;30;32;30;48;1;2;33;33;1;39.6875;3;0.0;30;1;33.0;1;2;33;0;6;6;30;45;30;1;18.0;4;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.64705882352941
40;40;50;45;45;1;1;40;40;1;38.4375;1;0.0;45;1;36.666666666666664;1;1;35;0;6;6;35;35;40;1;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;3.0;43.23529411764706
32;35;35;38;43;1;1;37;48;1;34.0625;2;0.0;34;1;35.5;1;1;44;0;6;6;45;30;30;2;18.0;4;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.0
35;45;50;40;40;1;1;35;40;1;40.625;1;0.0;35;1;39.166666666666664;1;1;40;0;6;6;40;40;45;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;3.0;40.88235294117647
40;40;50;45;40;1;1;40;35;1;39.6875;1;0.0;40;1;39.166666666666664;1;1;35;0;6;6;50;30;45;1;18.0;0;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;3.0;41.76470588235294
