NOTA_L_DOS;NOTA_ECONOMET;NOTA_AVAP;CAR_CINCO;NOTA_POO;NOTA_ECUA;NOTA_FOTO;NOTA_GEOGEO;NOTA_EI_UNO;VECES_ECONOMET;NOTA_PDI;NOTA_INGECO;NOTA_CFJC;NOTA_CARTO;NOTA_SUELOS;NOTA_EI_DOS;NAC_SIETE;NCA_SIETE;NAP_SIETE;NAA_SIETE;VECES_PDI;VECES_EI_UNO;NOTA_LEGIC;NCC_SIETE;VECES_EI_DOS;VECES_GEO_SAL;CAR_SIETE;VECES_AVAP;VECES_L_DOS;NOTA_PROCC;NCP_SIETE;NOTA_GEO_SAL;EPA_SIETE;NOTA_GEO_FIS;PROMEDIO_DOS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;VECES_PROCC;CREDITOS_AVAP;CREDITOS_EI_DOS;CREDITOS_ECONOMET;CREDITOS_EI_UNO;CREDITOS_PDI;CREDITOS_PROCC;CREDITOS_GEO_SAL;RENDIMIENTO_OCHO;PROMEDIO_OCHO
34;40;32;1;32;33;39;33;41;2;30;32;34;36;33;36;7;16.0;0;7;1;1;34;16.0;2;1;2;1;1;43;0.0;43;2;35;32.35294117647059;35.05555555555556;36.13333333333333;37.6875;1;2;2;2;2;3;2;3;2.0;34.214285714285715
33;30;35;1;40;33;36;30;39;1;34;34;37;37;30;37;7;16.0;0;7;2;1;37;16.0;1;1;1;1;1;46;0.0;41;2;39;33.411764705882355;32.333333333333336;36.4;37.4375;1;2;2;2;2;3;2;3;2.0;36.285714285714285
45;34;34;0;30;34;33;37;45;1;40;47;40;39;40;31;7;16.0;0;7;1;1;43;16.0;1;1;0;1;1;40;0.0;46;2;40;31.176470588235293;35.111111111111114;43.333333333333336;39.125;1;2;2;2;2;3;2;3;3.0;40.42857142857143
47;30;40;1;40;35;40;33;36;1;42;36;40;45;35;49;7;16.0;0;7;1;1;44;16.0;1;1;0;1;1;39;0.0;44;2;33;31.176470588235293;37.666666666666664;40.733333333333334;40.375;1;2;2;2;2;3;2;3;3.0;41.42857142857143
47;40;37;1;32;34;35;36;38;2;41;49;35;41;32;44;7;16.0;0;7;1;1;39;16.0;1;1;1;1;1;41;0.0;47;2;30;34.294117647058826;40.611111111111114;40.93333333333333;41.5;1;2;2;2;2;3;2;3;3.0;40.785714285714285
36;31;33;3;34;30;36;39;39;1;30;30;40;34;30;38;7;16.0;0;7;1;1;31;16.0;1;1;0;1;2;40;0.0;37;2;30;37.8235294117647;33.166666666666664;33.8;35.1875;1;2;2;2;2;3;2;3;2.0;37.357142857142854
34;41;36;2;43;30;42;30;39;2;37;36;46;41;35;35;7;16.0;0;7;1;1;39;16.0;1;1;2;2;1;39;0.0;39;2;32;37.64705882352941;34.666666666666664;35.666666666666664;38.0;1;2;2;2;2;3;2;3;2.0;36.285714285714285
43;38;40;2;50;30;35;34;35;1;35;33;40;43;35;37;7;16.0;0;7;1;1;42;16.0;1;1;0;1;1;38;0.0;48;2;40;33.23529411764706;38.0;40.733333333333334;39.0625;1;2;2;2;2;3;2;3;3.0;40.142857142857146
40;38;36;3;33;36;35;34;30;1;32;35;35;36;33;39;7;16.0;0;7;1;1;42;16.0;1;1;0;1;1;47;0.0;41;2;31;37.0;37.44444444444444;37.733333333333334;37.4375;1;2;2;2;2;3;2;3;2.0;36.214285714285715
36;36;42;1;32;35;40;32;48;3;44;43;45;38;40;34;7;16.0;0;7;2;1;38;16.0;1;1;2;1;1;50;0.0;45;2;33;35.76470588235294;36.55555555555556;38.06666666666667;42.9375;1;2;2;2;2;3;2;3;2.0;39.214285714285715
0;30;30;3;30;33;34;38;30;1;30;30;40;44;37;38;6;13.0;0;6;2;1;36;13.0;1;0;2;3;0;47;0.0;0;2;0;33.8235294117647;32.22222222222222;30.0;33.84615384615385;1;2;2;2;2;3;2;3;2.0;31.333333333333332
30;34;31;1;40;34;35;31;43;1;33;37;45;46;35;40;7;16.0;0;7;1;1;42;16.0;1;1;0;1;1;44;0.0;45;2;30;36.470588235294116;38.111111111111114;37.266666666666666;38.625;1;2;2;2;2;3;2;3;2.0;38.5
41;37;35;0;30;45;35;42;46;1;43;42;45;40;35;41;7;16.0;0;7;1;1;35;16.0;1;1;0;1;1;39;0.0;32;2;33;37.94117647058823;39.44444444444444;39.266666666666666;38.8125;1;2;2;2;2;3;2;3;2.0;38.357142857142854
36;30;34;1;37;35;36;30;37;1;31;43;41;44;30;47;7;16.0;0;7;1;1;40;16.0;1;2;1;1;1;39;0.0;35;2;31;33.23529411764706;37.166666666666664;36.666666666666664;35.75;1;2;2;2;2;3;2;3;2.0;35.785714285714285
42;34;42;2;45;30;36;33;47;2;41;34;44;43;30;38;7;16.0;0;7;1;1;37;16.0;1;1;1;1;1;37;0.0;48;2;42;32.1764705882353;35.388888888888886;39.666666666666664;41.4375;1;2;2;2;2;3;2;3;2.0;37.642857142857146
37;38;36;0;35;38;40;32;47;1;33;36;40;39;30;45;7;16.0;0;7;1;1;39;16.0;1;1;0;1;1;47;0.0;37;2;30;30.58823529411765;35.05555555555556;37.53333333333333;39.75;1;2;2;2;2;3;2;3;2.0;38.357142857142854
40;38;38;0;45;40;40;37;44;1;36;30;40;44;35;38;7;16.0;0;7;1;1;38;16.0;1;1;0;1;1;40;0.0;33;2;37;35.588235294117645;39.0;37.733333333333334;37.6875;1;2;2;2;2;3;2;3;3.0;40.142857142857146
0;0;22;3;33;13;45;38;0;0;0;30;35;37;30;0;1;0.0;1;0;0;0;38;2.0;0;0;0;1;0;0;2.0;0;1;0;32.94117647058823;28.5;28.8;22.0;0;2;2;2;2;3;2;3;1.0;23.0
37;38;43;1;30;38;30;30;43;2;31;35;40;38;30;40;7;16.0;0;7;1;1;38;16.0;1;1;1;1;1;42;0.0;34;2;30;35.88235294117647;35.72222222222222;37.2;37.9375;1;2;2;2;2;3;2;3;3.0;40.57142857142857
43;37;41;3;35;31;36;38;43;1;30;36;42;44;31;39;7;16.0;0;7;1;1;34;16.0;1;1;0;1;1;49;0.0;41;2;30;33.705882352941174;36.55555555555556;37.4;39.4375;1;2;2;2;2;3;2;3;2.0;36.92857142857143
32;33;34;4;43;30;33;37;40;4;33;34;35;35;30;31;7;16.0;0;7;2;1;43;16.0;1;1;2;1;3;49;0.0;39;2;30;33.8235294117647;34.611111111111114;34.4;36.875;1;2;2;2;2;3;2;3;2.0;32.42857142857143
31;37;30;1;36;33;35;34;46;1;42;33;34;41;33;41;7;16.0;0;7;1;1;37;16.0;1;1;0;1;1;34;0.0;34;2;30;32.05882352941177;35.333333333333336;34.266666666666666;37.75;1;2;2;2;2;3;2;3;2.0;35.07142857142857
35;37;35;1;39;30;32;35;44;1;30;35;40;42;30;44;7;16.0;0;7;1;1;36;16.0;1;1;0;1;1;49;0.0;42;2;31;33.35294117647059;36.388888888888886;34.0;39.625;1;2;2;2;2;3;2;3;2.0;34.92857142857143
33;34;35;2;30;30;36;39;40;1;33;41;45;32;32;32;7;16.0;0;7;1;1;38;16.0;1;1;0;1;1;38;0.0;37;2;33;33.23529411764706;35.94444444444444;35.266666666666666;35.5;1;2;2;2;2;3;2;3;2.0;34.57142857142857
38;31;35;0;40;40;40;32;41;1;38;34;35;42;35;48;7;16.0;0;7;1;1;42;16.0;1;1;0;1;1;37;0.0;42;2;34;36.470588235294116;38.166666666666664;39.53333333333333;39.0;1;2;2;2;2;3;2;3;2.0;37.714285714285715
42;31;36;1;40;35;34;38;47;2;44;43;40;37;30;32;7;16.0;0;7;1;1;41;16.0;1;1;1;1;1;35;0.0;47;2;32;32.588235294117645;34.0;39.4;39.6875;1;2;2;2;2;3;2;3;2.0;36.5
37;37;32;2;40;31;30;40;39;3;33;32;45;33;31;33;7;16.0;0;7;1;1;39;16.0;1;1;1;1;1;46;0.0;39;2;32;33.8235294117647;33.94444444444444;35.2;36.875;1;2;2;2;2;3;2;3;2.0;36.642857142857146
32;37;36;1;40;35;35;34;46;3;30;31;40;33;35;36;7;16.0;0;7;1;1;37;16.0;1;1;1;1;1;37;0.0;48;2;30;35.0;34.5;33.53333333333333;38.625;1;2;2;2;2;3;2;3;2.0;36.42857142857143
32;37;38;3;38;39;30;33;41;1;30;41;35;34;30;32;7;16.0;0;7;1;1;38;16.0;1;1;0;1;1;43;0.0;42;2;30;32.05882352941177;37.166666666666664;37.53333333333333;37.375;1;2;2;2;2;3;2;3;2.0;35.642857142857146
44;41;47;1;38;35;36;36;44;1;38;34;37;42;31;36;7;16.0;0;7;1;1;43;16.0;1;1;0;1;1;43;0.0;39;2;43;35.0;38.05555555555556;41.13333333333333;40.8125;1;2;2;2;2;3;2;3;3.0;42.5
39;32;38;0;35;30;45;36;43;3;41;43;45;42;40;36;7;16.0;0;7;1;1;38;16.0;1;1;1;1;1;41;0.0;48;2;45;39.11764705882353;35.166666666666664;41.666666666666664;40.4375;1;2;2;2;2;3;2;3;2.0;37.92857142857143
46;39;38;0;42;33;45;42;43;1;41;40;40;44;35;37;7;16.0;0;7;1;1;40;16.0;1;1;0;1;1;41;0.0;32;2;33;33.23529411764706;38.5;40.93333333333333;38.4375;1;2;2;2;2;3;2;3;2.0;38.285714285714285
43;35;38;0;44;36;39;40;37;1;38;38;30;34;30;42;7;16.0;0;7;1;1;42;16.0;1;1;0;1;1;40;0.0;38;2;36;34.411764705882355;36.333333333333336;39.2;38.25;1;2;2;2;2;3;2;3;2.0;38.92857142857143
48;40;41;1;40;31;30;32;42;1;41;34;41;38;35;40;7;16.0;0;7;1;1;40;16.0;1;1;0;1;1;46;0.0;45;2;31;36.11764705882353;37.666666666666664;38.2;42.25;1;2;2;2;2;3;2;3;2.0;38.42857142857143
