NOTA_SISDIN;NOTA_ELECPOT;PROMEDIO_SIETE;PROMEDIO_TRES;NOTA_COMDIG;NOTA_FDS;NOTA_VARCOM;CON_MAT_ICFES;NOTA_TFM;PROMEDIO_SEIS;NCC_SIETE;NOTA_COMANA;NAA_SIETE;NOTA_ECO;NCA_SIETE;VECES_COMANA;PG_ICFES;VECES_ELECPOT;NOTA_CCON;VECES_COMDIG;VECES_ADMICRO;NOTA_L_TRES;NCP_SIETE;PROMEDIO_CINCO;NAC_SIETE;CAR_SIETE;NOTA_HSE;NAP_SIETE;VECES_ECO;VECES_FDS;VECES_SISDIN;EPA_SIETE;VECES_DDM;VECES_L_TRES;CREDITOS_ELECPOT;VECES_HSE;RENDIMIENTO_OCHO;PROMEDIO_OCHO
30.0;30.0;31.75;34.411764705882355;37.0;25.0;40.0;65.16;47.0;39.07142857142857;12.0;30.0;4;35.0;10.0;1;460.6;1;30.0;1;1;0.0;2.0;37.06666666666667;5;1;0.0;1;1;2;1;2;1;0;3;0;2.0;36.80555555555556
40.0;36.0;38.333333333333336;33.38235294117647;44.0;40.0;40.0;72.55;48.0;30.714285714285715;12.0;30.0;5;30.0;12.0;1;472.66;1;45.0;1;1;0.0;0.0;43.333333333333336;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;42.833333333333336
30.0;41.0;42.0;35.55555555555556;43.0;50.0;35.0;75.27;46.0;30.0;12.0;30.0;5;46.0;12.0;2;466.5;1;30.0;1;1;0.0;0.0;38.03333333333333;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;42.888888888888886
0.0;0.0;6.666666667;11.6;0.0;0.0;0.0;67.54;0.0;10.0;2.0;0.0;0;6.666666667;0.0;0;507.0;0;30.0;0;0;0.0;2.0;0.0;1;1;0.0;1;3;0;0;1;0;0;3;0;1.0;12.0
23.33333333;20.5;29.430555555;29.166666666111112;35.0;35.0;25.0;67.54;40.0;30.678571428571427;12.0;20.5;3;35.0;7.0;2;451.26;4;30.0;1;1;0.0;5.0;36.03333333333333;5;2;0.0;2;1;1;3;1;1;0;3;0;2.0;36.63333333333333
30.0;28.33333333;32.74999999916667;28.529411764705884;36.0;35.0;45.0;55.71;45.0;36.464285714285715;12.0;33.0;4;35.0;9.0;1;496.04;3;40.0;1;1;0.0;3.0;36.2;5;1;0.0;1;1;1;1;2;1;0;3;0;2.0;37.5
27.5;33.0;30.25;32.35294117647059;33.0;25.0;25.0;60.49;46.0;32.6;12.0;38.0;3;30.0;8.0;1;458.0;1;40.0;1;2;0.0;4.0;37.53333333333333;5;2;0.0;2;1;2;2;2;5;0;3;0;2.0;34.888888888888886
40.0;30.0;33.666666666666664;31.61764705882353;38.0;30.0;32.5;58.13;45.0;31.464285714285715;12.0;28.5;5;30.0;12.0;2;457.32;1;40.0;1;1;0.0;0.0;37.53333333333333;5;1;0.0;0;2;1;1;2;1;0;3;0;2.0;39.33333333277778
40.0;36.0;34.666666666666664;34.44444444444444;36.0;30.0;30.0;65.16;46.0;26.75;12.0;39.0;5;30.0;12.0;1;451.32;1;35.0;1;2;0.0;0.0;32.43333333333333;5;0;0.0;0;1;1;1;2;2;0;3;0;2.0;34.80555555555556
22.5;21.5;32.125;31.764705882352942;40.0;36.0;23.33333333;72.55;47.0;30.142857142857142;12.0;19.5;3;42.0;7.0;2;472.69;2;40.0;1;2;0.0;5.0;33.5;5;2;0.0;2;1;1;2;2;1;0;3;0;2.0;37.27777777777778
40.0;50.0;45.0;35.833333333333336;40.0;50.0;30.0;72.55;48.0;37.5;12.0;30.0;5;45.0;12.0;1;476.82;1;35.0;1;1;0.0;0.0;40.93333333333333;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;41.388888888888886
30.0;32.0;34.083333333333336;31.470588235294116;37.0;37.0;45.0;78.22;42.0;30.892857142857142;12.0;30.0;5;34.0;12.0;1;457.21;1;32.0;1;1;0.0;0.0;39.733333333333334;5;0;0.0;0;1;1;1;2;2;0;3;0;2.0;37.333333333333336
27.5;40.0;37.0;34.26470588235294;43.0;35.0;30.0;75.87;46.0;38.785714285714285;12.0;35.0;4;35.0;10.0;1;468.28;1;35.0;1;2;0.0;2.0;37.6;5;1;0.0;1;1;1;2;2;1;0;3;0;3.0;42.333333333333336
25.0;30.0;31.833333333333332;30.58823529411765;30.0;38.0;25.0;62.82;46.0;34.607142857142854;12.0;30.0;4;38.0;10.0;1;389.1;1;35.0;1;1;0.0;2.0;36.2;5;1;0.0;1;1;1;2;2;1;0;3;0;2.0;32.66666666722222
27.5;41.0;38.583333333333336;33.611111111111114;45.0;35.0;30.0;69.99;45.0;32.5;12.0;35.0;4;40.0;10.0;1;455.29;1;40.0;1;1;0.0;2.0;38.5;5;1;0.0;1;1;1;2;2;1;0;3;0;3.0;40.666666666666664
