NOTA_TG_UNO;NOTA_L_DOS;NOTA_AVAP;NOTA_EI_CINCO;NOTA_ECONOMET;NOTA_AVAM;NOTA_FOTO;NOTA_FGEP;NOTA_EI_SEIS;NOTA_EE_DOS;NOTA_ECUA;NOTA_EI_UNO;NOTA_L_TRES;NOTA_GEOGEO;NOTA_ORD_TER;NCC_NUEVE;NOTA_POO;NCA_NUEVE;NAC_NUEVE;NAA_NUEVE;VECES_EE_DOS;NOTA_FOTOD;VECES_EI_CINCO;VECES_ORD_TER;NOTA_EI_CUATRO;VECES_TG_UNO;EPA_NUEVE;VECES_EI_SEIS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_NUEVE;NCP_NUEVE;NAP_NUEVE;CREDITOS_EI_CINCO;CREDITOS_TG_UNO;CREDITOS_ORD_TER;CREDITOS_EI_SEIS;CREDITOS_EE_DOS;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
50;37;39;40;36;40;39;39;0;42;38;39;42;41;36;10.0;43;10.0;4;4;1;33;1;1;39;1;2;0;37.77777777777778;38.53333333333333;41.125;41.2;0.0;0;3;2;3;3;2;3.0;41.45454545454545
50;42;40;38;30;43;35;34;0;38;37;45;42;38;40;10.0;34;10.0;4;4;1;39;1;1;43;1;2;0;39.0;42.46666666666667;42.5625;41.0;0.0;0;3;2;3;3;2;4.0;45.18181818181818
50;38;30;37;35;45;39;35;30;31;38;33;46;34;44;13.0;44;13.0;5;5;1;46;1;1;31;1;2;1;35.55555555555556;36.666666666666664;36.8125;38.07692307692308;0.0;0;3;2;3;3;2;3.0;43.125
50;43;34;39;40;41;38;48;0;47;43;43;40;39;44;10.0;47;10.0;4;4;1;40;1;1;37;1;2;0;41.44444444444444;43.13333333333333;41.0625;44.3;0.0;0;3;2;3;3;2;3.0;43.0
45;36;30;41;30;34;40;47;0;32;30;42;32;30;38;10.0;36;10.0;4;4;1;31;1;1;30;1;2;0;36.22222222222222;35.2;35.625;39.1;0.0;0;3;2;3;3;2;3.0;42.54545454545455
49;41;38;42;37;39;37;37;0;48;38;39;46;39;46;10.0;31;10.0;4;4;1;40;1;1;45;1;2;0;37.94444444444444;39.0;39.0;45.8;0.0;0;3;2;3;3;2;3.0;44.0
49;47;34;42;39;38;47;34;0;47;43;46;49;38;46;10.0;49;10.0;4;4;1;35;1;1;36;1;2;0;39.05555555555556;40.93333333333333;41.4375;45.6;0.0;0;3;2;3;3;2;4.0;46.90909090909091
48;43;37;41;34;37;30;33;30;49;30;46;43;35;43;13.0;40;13.0;5;5;1;34;1;1;34;1;2;1;33.0;36.86666666666667;39.6875;41.23076923076923;0.0;0;3;2;3;3;2;3.0;40.63636363636363
50;31;40;30;31;38;34;38;0;42;31;48;41;33;42;10.0;37;10.0;4;4;1;30;1;1;35;1;2;0;33.72222222222222;37.2;38.125;40.0;0.0;0;3;2;3;3;2;3.0;40.27272727272727
49;41;34;43;42;39;35;43;0;44;31;47;44;38;47;10.0;50;10.0;4;4;1;37;1;1;43;1;2;0;35.94444444444444;40.733333333333334;41.125;45.6;0.0;0;3;2;3;3;2;3.0;42.36363636363637
43;36;34;41;36;34;42;34;0;39;34;41;37;32;41;10.0;33;10.0;4;4;1;36;1;1;39;1;2;0;36.0;37.06666666666667;39.375;41.0;0.0;0;3;2;3;3;2;3.0;41.09090909090909
0;30;41;37;39;36;30;41;0;33;39;50;34;37;46;8.0;35;8.0;3;3;1;35;1;1;37;0;2;0;34.77777777777778;35.53333333333333;40.3125;39.375;0.0;0;3;2;3;3;2;2.0;38.625
48;32;32;43;35;40;38;32;33;43;30;42;39;36;43;13.0;44;13.0;5;5;1;39;1;1;40;1;2;1;34.666666666666664;38.666666666666664;41.0625;41.46153846153846;0.0;0;3;2;3;3;2;3.0;41.54545454545455
50;41;38;32;35;37;38;34;0;43;40;45;37;38;33;10.0;50;10.0;4;4;1;38;1;1;39;1;2;0;33.27777777777778;37.13333333333333;38.8125;38.1;0.0;0;3;2;3;3;2;3.0;40.54545454545455
44;45;37;38;38;37;33;47;0;41;30;46;43;40;43;10.0;45;10.0;4;4;1;35;1;1;41;1;2;0;42.22222222222222;42.666666666666664;40.4375;41.3;0.0;0;3;2;3;3;2;2.0;38.45454545454545
50;43;37;37;30;38;38;41;0;44;31;33;34;38;43;10.0;32;10.0;4;4;1;30;1;1;30;1;2;0;36.05555555555556;36.86666666666667;36.25;42.8;0.0;0;3;2;3;3;2;3.0;43.0
48;41;32;37;31;33;32;38;34;44;35;34;39;36;46;13.0;30;13.0;5;5;1;30;1;1;35;1;2;1;35.77777777777778;39.2;37.8125;41.15384615384615;0.0;0;3;2;3;3;2;3.0;41.5
50;38;38;30;35;39;33;37;0;34;32;41;45;36;39;10.0;40;10.0;4;4;1;30;1;1;36;1;2;0;32.833333333333336;33.666666666666664;36.6875;37.5;0.0;0;3;2;3;3;2;2.0;39.27272727272727
