NOTA_PROB;NOTA_CIENCIAS_COMP_UNO;NOTA_MOD_PROG_DOS;NOTA_ARQ_COMP;NOTA_INV_OP_UNO;NOTA_FISICA_TRES;VECES_INV_OP_UNO;VECES_PROB;NOTA_METODOS_NUM;NOTA_MOD_PROG_UNO;VECES_MOD_PROG_DOS;VECES_FISICA_TRES;NOTA_EE_TRES;VECES_CIENCIAS_COMP_UNO;VECES_ARQ_COMP;VECES_EE_TRES;NCC_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_MAT_DIS;NOTA_A_SISTEMAS;NAC_TRES;NAA_DOS;VECES_A_SISTEMAS;NOTA_GT_DOS;CAR_CUATRO;NAA_CUATRO;NOTA_FUND_BASES;NCC_TRES;NOTA_HOMBRE;NCP_CUATRO;NAA_TRES;VECES_HOMBRE;NAC_CUATRO;EPA_CUATRO;CREDITOS_PROB;CREDITOS_INV_OP_UNO;PROMEDIO_CINCO;CREDITOS_EE_TRES;CREDITOS_MOD_PROG_DOS;CREDITOS_CIENCIAS_COMP_UNO;CREDITOS_FISICA_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;CREDITOS_ARQ_COMP;RENDIMIENTO_CINCO
28.5;38.0;42.0;39.0;31.0;18.0;1;2;42.0;19.0;1;2;42;1;1;1;18.0;12.0;2;24.5;30.0;7;6;1;50;2;7;47.0;18.0;47.0;6.0;5;1;9;2;3;3;33.39473684210526;2;3;3;3;34.72222222222222;35.63157894736842;32.583333333333336;2;2.0
20.33333333;38.0;47.0;0.0;0.0;0.0;0;3;27.0;47.0;1;0;46;1;0;1;14.0;13.0;1;33.0;31.0;7;5;1;0;1;6;46.0;18.0;42.0;1.0;3;1;7;2;3;3;37.09090909;2;3;3;3;28.02777777777778;36.333333333333336;27.916666666666668;2;2.0
37.0;38.0;50.0;39.0;43.0;34.0;1;1;45.0;47.0;1;1;50;1;1;1;18.0;18.0;0;43.0;40.0;7;7;1;50;0;9;47.0;18.0;43.0;0.0;7;1;9;2;3;3;41.26315789473684;2;3;3;3;42.166666666666664;41.21052631578947;39.05555555555556;2;3.0
0.0;0.0;0.0;4.0;0.0;0.0;0;0;30.0;0.0;0;0;0;0;1;0;3.0;3.0;0;0.0;40.0;1;1;1;0;0;2;0.0;2.0;0.0;0.0;0;0;2;2;3;3;4.0;2;3;3;3;23.725490195294118;23.0;10.33333333;2;1.0
32.0;9.0;0.0;38.0;0.0;0.0;0;2;39.0;36.0;0;0;0;1;1;0;11.0;11.0;0;37.0;40.0;6;4;1;0;0;5;37.0;16.0;0.0;0.0;3;0;5;2;3;3;24.875;2;3;3;3;31.944444444444443;32.05882353;26.0;2;1.0
25.5;32.0;45.0;41.0;36.0;31.0;1;2;35.0;41.0;1;1;38;2;1;1;18.0;18.0;0;34.0;38.0;7;6;1;50;0;9;35.0;18.0;43.0;0.0;7;1;9;2;3;3;35.078947368421055;2;3;3;3;37.833333333333336;34.86842105263158;36.138888888888886;2;2.0
18.66666667;19.0;30.0;27.5;35.0;18.66666667;1;3;30.0;29.33333333;1;3;47;3;2;1;18.0;10.0;3;16.0;42.0;7;5;1;50;3;6;22.33333333;18.0;42.0;8.0;3;1;9;1;3;3;27.000000001052634;2;3;3;3;29.0;32.39473684157895;30.555555555555557;2;1.0
39.0;38.0;49.0;42.0;36.0;34.0;1;1;35.0;48.0;1;1;50;1;1;1;18.0;15.0;1;37.0;35.0;7;8;1;50;1;8;45.0;18.0;43.0;3.0;7;1;9;2;3;3;40.63157894736842;2;3;3;3;39.72222222222222;41.31578947368421;40.55555555555556;2;3.0
34.0;30.0;36.0;36.0;33.0;33.5;1;1;30.0;35.0;1;2;47;2;1;1;18.0;18.0;0;34.0;39.0;7;5;1;50;0;9;44.0;18.0;44.0;0.0;7;1;9;2;3;3;35.026315789473685;2;3;3;3;32.0;34.71052631578947;33.638888888888886;2;2.0
30.0;38.0;43.0;32.0;34.0;35.0;1;1;40.0;37.0;1;1;47;1;1;1;18.0;18.0;0;36.0;38.0;7;7;1;50;0;9;39.0;18.0;40.0;0.0;7;1;9;2;3;3;36.73684210526316;2;3;3;3;37.94444444444444;35.868421053157896;37.94444444444444;2;2.0
