PROMEDIO_UNO;NOTA_DIF;CON_MAT_ICFES;EPA_UNO;FISICA_ICFES;PG_ICFES;NOTA_PROGB;NOTA_FIS_UNO;BIOLOGIA_ICFES;IDIOMA_ICFES;LITERATURA_ICFES;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;NOTA_SEM;NCC_UNO;GENERO;LOCALIDAD;VECES_TEXTOS;NAA_UNO;NCA_UNO;VECES_DIF;VECES_SEM;NAC_UNO;CAR_UNO;QUIMICA_ICFES;VECES_CFJC;VECES_FIS_UNO;VECES_PROGB;RENDIMIENTO_DOS;PROMEDIO_DOS
36.666666666666664;30.0;69.99;2;56.51;482.55;50.0;30.0;60.25;71.53;59.48;0.0;0.0;40.0;0;40.0;12.0;0;10;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;35.294117647058826
39.54545454545455;35.0;78.22;2;64.0;499.31;50.0;35.0;67.71;71.53;64.21;0.0;0.0;40.0;0;0.0;11.0;0;10;0;4;11.0;1;0;4;0;61.18;1;1;1;2.0;35.0
32.27272727272727;23.75;60.49;2;69.69;443.65;45.0;30.0;58.09;73.83;59.48;4.0;0.0;35.0;1;0.0;11.0;0;9;0;3;7.0;4;0;4;1;54.01;1;1;1;1.0;25.0
36.666666666666664;30.0;65.16;2;58.93;460.6;50.0;30.0;53.95;69.48;64.21;0.0;0.0;40.0;0;40.0;12.0;0;10;0;5;12.0;1;1;5;0;59.25;1;1;1;2.0;34.411764705882355
35.0;35.0;69.99;2;58.93;469.88;40.0;30.0;58.09;45.98;59.48;0.0;0.0;35.0;0;0.0;11.0;0;15;0;4;11.0;1;0;4;0;48.97;1;1;1;2.0;35.0
33.333333333333336;27.5;72.55;2;54.12;472.66;35.0;35.0;62.54;83.41;59.48;4.0;0.0;40.0;1;40.0;12.0;0;20;0;4;8.0;2;1;5;1;52.34;1;1;1;2.0;31.764705882352942
40.833333333333336;45.0;75.27;2;61.41;466.5;40.0;35.0;51.92;88.67;59.48;0.0;0.0;40.0;0;45.0;12.0;1;9;0;5;12.0;1;1;5;0;59.25;1;1;1;2.0;31.764705882352942
25.378787879090908;26.66666667;67.54;1;61.41;507.0;23.33333333;25.0;58.09;83.41;61.76;11.0;0.0;27.5;4;0.0;11.0;0;10;0;0;0.0;3;0;4;4;54.01;2;2;3;1.0;18.88888889
37.5;40.0;67.54;2;64.0;451.26;40.0;30.0;58.09;69.48;59.48;0.0;0.0;40.0;0;40.0;12.0;1;20;0;5;12.0;1;1;5;0;55.7;1;1;1;2.0;33.529411764705884
35.833333333333336;35.0;55.71;2;64.0;496.04;35.0;35.0;62.54;71.53;59.48;0.0;0.0;40.0;0;40.0;12.0;0;9;0;5;12.0;2;1;5;1;63.27;1;1;1;2.0;31.058823529411764
