LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
14;463.31;72.55;51.73;53.95;64.23;18;33.13333333333333;1;15;11;4;7;6;1;2;4;5;25.0;2;35.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;35.0;1;1;41.0;1;2;2;30.46875
7;479.42;75.27;61.41;65.0;64.23;6;37.66666666666666;0;15;15;0;7;7;0;2;4;5;40.0;1;30.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.25
10;455.39;65.16;69.69;65.0;71.53;10;35.0;0;11;11;0;5;5;0;2;4;10;30.0;1;0.0;0;2;35.0;1;3;45.0;1;1;40.0;1;2;35.0;1;1;0.0;0;2;1;30.0
16;456.64;58.13;66.74;60.25;79.55;18;33.6;0;15;15;0;7;7;0;2;4;5;30.0;1;40.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;32.0;1;2;2;33.125
6;457.91;85.28;61.41;65.0;59.81;7;36.33333333333334;0;15;15;0;7;7;0;2;4;5;35.0;1;35.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;35.0;1;1;35.0;1;2;2;30.25
6;450.16;72.55;58.93;51.92;59.81;8;27.27272727272727;1;11;2;9;5;2;3;1;4;1;25.0;2;0.0;0;2;25.0;1;3;35.0;1;1;25.0;1;2;40.0;1;1;0.0;0;2;1;28.33333333333333
10;486.91;85.28;51.73;65.0;57.13;12;22.77777777777778;0;9;4;5;4;2;2;1;4;10;15.0;1;0.0;0;2;30.0;1;3;20.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;25.0
19;490.11;72.55;69.69;60.25;59.81;19;33.46666666666667;1;15;15;0;7;7;0;2;4;5;30.0;1;30.0;2;2;30.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;36.0;1;2;2;30.15625
10;467.75;81.5;51.73;55.99;54.57;2;38.0;0;15;15;0;7;7;0;2;4;5;30.0;1;35.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;50.0;1;2;2;32.90625
12;456.92;75.27;56.51;55.99;65.86;10;36.33333333333334;0;15;15;0;7;7;0;2;4;5;30.0;1;35.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;45.0;1;2;3;40.625
21;461.49;65.16;64.0;55.99;76.45;10;23.88888888888889;0;9;5;4;4;3;1;1;4;10;15.0;1;0.0;0;2;30.0;1;3;35.0;1;1;0.0;0;2;30.0;1;1;0.0;0;2;1;20.0
14;500.12;85.28;54.12;58.09;65.86;14;40.45454545454545;0;11;11;0;5;5;0;2;4;1;45.0;1;0.0;0;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;0.0;0;2;2;32.5
6;491.58;62.82;56.51;70.81;73.83;6;34.66666666666666;1;15;11;4;7;6;1;2;4;5;25.0;3;40.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;45.0;1;1;40.0;1;2;2;32.40625
16;467.79;78.22;58.93;55.99;67.6;8;38.0;0;15;15;0;7;7;0;2;4;5;30.0;1;45.0;1;2;35.0;1;3;45.0;1;1;40.0;1;2;40.0;1;1;45.0;1;2;2;35.40625
14;463.98;78.22;58.93;65.0;52.09;14;33.0;1;15;15;0;7;7;0;2;4;1;32.5;2;35.0;1;2;30.0;1;3;40.0;1;1;30.0;1;2;35.0;1;1;35.0;1;2;1;30.0
16;485.01;72.55;49.32;60.25;55.84;11;37.66666666666666;0;15;15;0;7;7;0;2;4;5;40.0;1;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;45.0;1;2;2;35.75
15;474.74;81.5;61.41;60.25;67.6;14;36.33333333333334;1;15;11;4;7;6;1;2;4;5;27.5;2;45.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.71875
16;463.85;69.99;61.41;62.54;55.84;16;38.0;0;15;15;0;7;7;0;2;4;5;35.0;1;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;45.0;1;1;40.0;1;2;2;36.1875
8;463.31;55.71;66.74;51.92;49.65;8;31.37777777777778;2;15;11;4;7;6;1;2;4;1;21.66666666666667;3;30.0;1;2;40.0;1;3;40.0;1;1;32.5;2;2;35.0;1;1;32.0;1;2;2;32.78125
8;482.21;75.27;66.74;49.87;52.09;8;33.66666666666666;1;15;11;4;7;6;1;2;4;5;22.5;2;40.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;45.0;1;1;45.0;1;2;2;35.15625
16;493.93;60.49;66.74;70.81;49.65;16;26.53846153846154;1;13;7;6;6;4;2;1;4;10;15.0;2;15.0;1;2;35.0;1;3;30.0;1;1;40.0;1;2;40.0;1;1;0.0;0;2;1;23.33333333333333
5;475.19;67.54;69.69;60.25;49.65;5;18.18181818181818;3;11;1;10;5;1;4;1;4;10;15.0;3;0.0;0;2;16.66666666666667;3;3;40.0;1;1;15.0;2;2;20.0;1;1;0.0;0;2;1;15.0
11;489.31;78.22;58.93;65.0;59.81;11;32.11111111111111;1;15;11;4;7;6;1;2;4;5;21.66666666666667;3;35.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;45.0;1;1;40.0;1;2;2;33.6875
15;461.13;73.29;58.68;57.36;60.2;15;15.0;0;9;0;9;4;0;4;1;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;15.0
8;415.29;47.67;41.52;53.95;76.45;8;27.0;2;15;7;8;7;4;3;1;4;1;22.5;2;25.0;2;2;30.0;1;3;40.0;1;1;30.0;1;2;45.0;1;1;15.0;1;2;1;30.0
6;471.49;69.99;58.93;58.09;55.84;7;30.42222222222222;1;15;11;4;7;6;1;2;4;5;23.33333333333333;3;30.0;1;2;30.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;39.0;1;2;1;29.53125
11;493.34;78.22;46.84;65.0;79.55;11;35.66666666666666;1;15;11;4;7;6;1;2;4;5;27.5;2;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;35.78125
18;457.59;69.99;58.93;62.54;52.09;18;33.24444444444445;2;15;11;4;7;6;1;2;4;5;26.66666666666667;3;30.0;1;2;35.0;1;3;40.0;1;1;32.5;2;2;40.0;1;1;41.0;1;2;2;36.09375
14;501.39;85.28;54.12;60.25;59.81;11;33.33333333333334;0;9;9;0;4;4;0;2;4;1;30.0;1;0.0;0;2;35.0;1;3;40.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;3;45.0
10;485.7;60.48;63.43;63.27;57.84;10;30.26666666666667;1;15;11;4;7;6;1;2;4;5;22.5;2;30.0;1;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;37.0;1;2;2;34.375
17;499.26;69.99;66.74;60.25;83.41;8;39.93333333333333;0;15;15;0;7;7;0;2;4;5;35.0;1;45.0;1;2;45.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;37.0;1;2;3;40.3125
14;493.97;72.55;61.41;67.71;64.23;9;37.33333333333334;0;15;15;0;7;7;0;2;4;1;35.0;1;45.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;31.60714285714286
6;468.99;81.5;51.73;55.99;54.57;20;36.66666666666666;1;15;15;0;7;7;0;2;4;5;30.0;2;40.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;33.6875
14;479.55;81.5;49.32;60.25;62.69;10;32.8;2;15;11;4;7;6;1;2;4;15;20.0;3;40.0;1;2;35.0;2;3;35.0;1;1;40.0;1;2;40.0;1;1;36.0;1;2;2;33.78125
3;474.47;67.54;66.74;45.64;88.67;11;37.46666666666667;0;15;15;0;7;7;0;2;4;5;30.0;1;45.0;1;2;35.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;36.0;1;2;2;39.375
2;486.26;67.54;72.97;60.25;73.83;12;28.88888888888889;0;9;6;3;4;3;1;1;4;10;30.0;1;0.0;0;2;25.0;1;3;30.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;20.0
8;509.37;89.86;56.51;65.0;65.86;8;30.4;3;15;9;6;7;5;2;2;4;5;22.5;2;32.5;2;2;40.0;1;3;30.0;1;1;22.5;2;2;30.0;1;1;38.0;1;2;2;32.78125
13;487.09;67.54;61.41;53.95;76.45;13;15.0;0;9;0;9;4;0;4;1;4;10;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;15.0
9;477.07;72.55;56.51;62.54;88.67;8;33.0;1;15;11;4;7;6;1;2;4;5;22.5;2;35.0;1;2;30.0;1;3;45.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.375
14;463.72;89.86;54.12;55.99;50.87;9;36.2;0;15;15;0;7;7;0;2;4;5;35.0;1;40.0;1;2;30.0;1;3;35.0;1;1;35.0;1;2;40.0;1;1;44.0;1;2;2;30.09375
8;479.66;75.27;54.12;65.0;52.09;8;33.33333333333334;0;9;9;0;4;4;0;2;4;1;30.0;1;0.0;0;2;35.0;1;3;40.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;30.0
10;466.52;78.22;69.69;58.09;43.48;11;34.0;0;15;15;0;7;7;0;2;4;5;30.0;1;40.0;1;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;40.0;1;2;2;33.5625
0;445.46;75.27;56.51;49.87;73.83;8;26.92307692307692;1;13;9;4;6;5;1;1;4;1;15.0;3;0.0;0;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;30.0;1;2;1;24.16666666666667
1;456.64;75.27;51.73;62.54;76.45;11;21.11111111111111;0;9;2;7;4;2;2;1;4;10;15.0;1;0.0;0;2;20.0;1;3;40.0;1;1;0.0;0;2;30.0;1;1;0.0;0;2;1;20.0
11;433.46;62.82;69.69;58.09;33.63;11;25.38461538461538;1;13;7;6;6;4;2;1;4;10;15.0;3;15.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;0.0;0;2;1;20.83333333333333
9;451.46;69.99;56.51;53.95;48.43;9;37.33333333333334;1;15;11;4;7;6;1;2;4;5;27.5;2;45.0;1;2;40.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;50.0;1;2;2;34.6875
10;452.98;60.49;66.74;60.25;64.23;10;31.33333333333333;1;15;11;4;7;6;1;2;4;5;22.5;2;30.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;33.1875
18;464.46;65.16;58.93;58.09;50.87;18;35.0;0;15;15;0;7;7;0;2;4;5;35.0;1;35.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;35.0;1;2;2;31.71875
9;453.44;69.99;56.51;49.87;62.69;9;17.27272727272727;3;11;1;10;5;1;4;1;4;10;15.0;4;0.0;0;2;16.66666666666667;3;3;35.0;1;1;0.0;0;2;15.0;2;1;15.0;1;2;1;15.0
10;413.16;60.49;41.52;49.87;45.98;10;31.83333333333333;2;15;8;7;7;5;2;2;4;5;22.5;2;30.0;1;2;27.5;2;3;45.0;1;1;45.0;1;2;40.0;1;1;35.0;1;2;2;34.15625
6;457.61;58.13;66.74;58.09;67.6;6;34.0;1;15;11;4;7;6;1;2;4;5;25.0;2;40.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;32.875
10;471.3;58.13;61.41;51.92;53.32;9;23.58974358974359;1;13;4;9;6;3;3;1;4;1;16.66666666666667;3;15.0;1;2;25.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;1;24.16666666666667
15;464.61;60.49;54.12;51.92;48.43;4;15.0;0;9;0;9;4;0;4;1;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;20.0
17;440.62;69.99;54.12;53.95;71.53;15;15.0;0;9;0;9;4;0;4;1;4;10;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;15.0
10;472.35;81.5;46.84;53.95;45.98;2;20.55555555555556;2;9;2;7;4;2;2;1;4;10;15.0;2;0.0;0;2;20.0;2;3;30.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;1;17.5
8;449.5;62.82;61.41;58.09;62.69;8;34.46666666666667;1;15;11;4;7;6;1;2;4;5;22.5;2;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;41.0;1;2;2;35.0625
10;450.52;62.84;63.43;61.19;43.74;10;24.1;4;15;4;11;7;3;4;1;4;10;20.0;5;37.0;1;2;22.5;2;3;40.0;1;1;22.5;2;2;35.0;1;1;10.0;2;2;1;26.83333333333333
16;443.74;65.16;51.73;58.09;61.22;18;35.46666666666667;1;15;11;4;7;6;1;2;4;5;22.5;2;40.0;1;2;35.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;41.0;1;2;2;33.125
9;442.69;69.99;51.73;60.25;55.84;9;35.0;1;15;11;4;7;6;1;2;4;5;25.0;2;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.08823529411764
14;475.58;53.2;61.41;67.71;69.48;14;22.40740740740741;2;9;2;7;4;2;2;1;4;10;16.66666666666667;3;0.0;0;2;18.33333333333333;3;3;40.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;1;23.0
16;406.34;53.2;46.84;53.95;42.2;16;28.18181818181818;1;11;7;4;5;4;1;1;4;1;20.0;3;0.0;0;2;30.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;1;25.41666666666667
1;452.92;60.49;58.93;65.0;61.22;1;33.66666666666666;1;15;11;4;7;6;1;2;4;5;25.0;2;35.0;1;2;30.0;1;3;35.0;1;1;45.0;1;2;40.0;1;1;40.0;1;2;2;34.25
8;433.38;60.49;58.93;60.25;67.6;8;32.06666666666667;1;15;15;0;7;7;0;2;4;5;30.0;2;30.0;1;2;30.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;38.0;1;2;2;37.35294117647059
6;460.26;72.55;46.84;60.25;65.86;6;36.8;1;15;15;0;7;7;0;2;4;10;30.0;2;40.0;1;2;40.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;41.0;1;2;2;38.625
19;434.27;72.55;61.41;60.25;53.32;19;31.77777777777778;2;15;8;7;7;5;2;2;4;10;21.66666666666667;3;40.0;1;2;25.0;2;3;30.0;1;1;45.0;1;2;35.0;1;1;40.0;1;2;2;31.96428571428572
8;434.02;62.82;58.93;47.79;55.84;8;20.45454545454545;1;11;2;9;5;2;3;1;4;1;15.0;2;0.0;0;2;15.0;1;3;30.0;1;1;0.0;0;2;40.0;1;1;25.0;1;2;2;35.0
7;453.76;62.82;56.51;58.09;83.41;7;16.81818181818182;0;11;0;11;5;0;5;1;4;10;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;25.0;1;2;1;15.0
9;453.18;63.9;54.31;61.53;40.5;9;17.73076923076923;3;13;3;10;6;2;4;1;4;10;11.5;8;0.0;0;2;8.166666666666666;6;3;20.0;1;1;15.0;2;2;40.0;1;1;35.0;1;2;1;18.69047619047619
14;457.2;67.54;56.51;60.25;58.45;8;30.6;2;15;8;7;7;5;2;2;4;5;25.0;2;40.0;1;2;25.0;2;3;30.0;1;1;30.0;1;2;40.0;1;1;37.0;1;2;1;29.625
1;435.53;65.16;56.51;49.87;43.48;1;31.94444444444445;2;15;8;7;7;5;2;2;4;5;21.66666666666667;3;35.0;1;2;27.5;2;3;40.0;1;1;35.0;1;2;40.0;1;1;45.0;1;2;2;31.84375
8;462.64;65.25;53.97;59.24;65.79;7;32.0;1;15;11;4;7;6;1;2;4;5;22.5;2;40.0;1;2;30.0;1;3;30.0;1;1;30.0;1;2;40.0;1;1;45.0;1;2;2;36.6875
4;446.0;67.54;56.51;55.99;57.13;8;18.63636363636364;5;11;2;9;5;2;3;1;4;10;15.0;3;0.0;0;2;15.0;3;3;32.5;3;1;0.0;0;2;32.5;2;1;17.5;2;2;1;21.66666666666667
15;476.14;79.16;56.8;59.44;61.22;8;33.66666666666666;1;15;11;4;7;6;1;2;4;1;25.0;2;40.0;1;2;30.0;1;3;35.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;34.21875
1;479.64;55.8;51.55;57.36;60.2;11;31.0;2;15;11;4;7;6;1;2;4;5;27.5;2;32.5;2;2;30.0;1;3;30.0;1;1;30.0;1;2;30.0;1;1;40.0;1;2;2;31.375
10;503.06;58.15;61.03;63.27;60.2;10;39.33333333333334;0;15;15;0;7;7;0;2;4;11;40.0;1;35.0;1;2;40.0;1;3;35.0;1;1;35.0;1;2;35.0;1;1;50.0;1;2;2;37.4375
19;462.19;53.2;61.41;65.0;64.23;19;30.66666666666667;2;15;11;4;7;6;1;2;4;5;20.0;4;40.0;1;2;30.0;2;3;30.0;1;1;35.0;1;2;40.0;1;1;35.0;1;2;2;33.125
9;470.77;55.71;56.51;70.81;52.09;9;32.66666666666666;1;15;11;4;7;6;1;2;4;5;25.0;2;35.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;32.84375
10;446.64;58.13;61.41;58.09;65.86;11;25.90909090909091;0;11;4;7;5;3;2;1;4;1;20.0;1;0.0;0;2;15.0;1;3;30.0;1;1;0.0;0;2;40.0;1;1;45.0;1;2;1;30.0
1;447.08;65.16;58.93;60.25;47.21;1;30.5;2;15;10;5;7;5;2;2;4;5;30.0;1;35.0;1;2;22.5;2;3;30.0;1;1;22.5;2;2;45.0;1;1;40.0;1;2;1;29.39583333333333
10;473.29;78.22;66.74;53.95;62.69;19;22.5974025974026;2;11;4;7;5;3;2;1;4;1;17.5;6;0.0;0;2;17.85714285714286;7;3;30.0;1;1;30.0;1;2;35.0;1;1;0.0;0;2;1;16.91666666666667
11;474.21;72.55;49.32;62.54;65.86;8;21.11111111111111;0;9;1;8;4;1;3;1;4;1;15.0;1;0.0;0;2;25.0;1;3;25.0;1;1;0.0;0;2;30.0;1;1;0.0;0;2;1;15.0
4;456.64;65.16;54.12;70.81;61.22;4;36.66666666666666;0;15;15;0;7;7;0;2;4;5;30.0;1;35.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;2;39.6875
8;454.87;51.11;56.39;55.18;59.92;8;27.69230769230769;2;13;6;7;6;4;2;1;4;10;20.0;5;35.0;1;2;25.0;2;3;35.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;1;21.5
8;458.74;72.55;61.41;55.99;64.23;7;33.66666666666666;1;15;11;4;7;6;1;2;4;10;25.0;2;40.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;35.0;1;2;2;31.25
16;473.95;67.77;63.43;59.24;47.66;8;39.33333333333334;0;15;15;0;7;7;0;2;4;5;40.0;1;35.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;40.0;1;2;3;42.8125
8;493.7;60.49;66.74;60.25;79.55;8;36.66666666666666;0;15;15;0;7;7;0;2;4;5;30.0;1;30.0;1;2;35.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;45.0;1;2;2;36.6875
17;438.83;75.27;54.12;65.0;57.13;8;37.2;1;15;15;0;7;7;0;2;4;5;32.5;2;30.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;44.0;1;2;2;36.5625
8;470.32;69.99;66.74;60.25;58.45;8;32.55555555555556;1;15;11;4;7;6;1;2;4;5;23.33333333333333;3;35.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;35.0;1;2;2;31.28125
2;422.15;58.13;64.0;51.92;62.69;10;32.53333333333333;1;15;11;4;7;6;1;2;4;5;22.5;2;35.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;45.0;1;1;39.0;1;2;1;28.4375
7;455.29;55.73;56.39;60.55;48.92;8;17.77777777777778;0;9;1;8;4;1;3;1;4;10;15.0;1;0.0;0;2;15.0;1;3;25.0;1;1;0.0;0;2;30.0;1;1;0.0;0;2;1;15.0
14;457.83;78.22;58.93;55.99;67.6;10;42.77777777777778;0;9;9;0;4;4;0;2;4;1;50.0;1;0.0;0;2;35.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;2;35.0
10;414.34;65.16;61.41;49.87;47.21;11;34.55555555555555;1;15;11;4;7;6;1;2;4;5;23.33333333333333;3;40.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;50.0;1;2;2;32.75
