CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_DOS;NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NAC_DOS;NOTA_METODOS_NUM;NOTA_A_SISTEMAS;NOTA_MOD_PROG_UNO;NOTA_MAT_DIS;NOTA_HOMBRE;NOTA_GT_DOS;VECES_A_SISTEMAS;VECES_HOMBRE;NCC_TRES;NAA_TRES;NOTA_FUND_BASES;NAC_TRES;PROMEDIO_CINCO;RENDIMIENTO_CINCO
53.95;54.9;7;55.09;51.1;433.66;65.94;30.63888888888889;22.5;45.0;27.5;5;4;22.5;35.0;35.0;1;9;18.0;8.0;1;40.0;4;2;44.0;1;36.23684210526316;39.0;46.0;27.0;36.0;44.0;2;44;1;8;1;19.0;1;34.0;8;30.0;37.0;36.0;36.0;44.0;50;1;1;18.0;6;35.0;7;34.94736842105263;2.0
70.11;45.94;8;56.82;54.3;439.3;48.26;32.05882352941177;22.5;45.0;35.0;6;1;40.0;35.0;45.0;1;8;17.0;11.0;1;15.0;2;2;0.0;1;27.15625;36.0;40.0;0.0;0.0;32.0;0;0;1;2;1;4.0;0;20.5;6;41.0;31.0;38.0;19.0;0.0;0;1;0;10.0;3;0.0;4;32.0;2.0
70.5;41.6;9;55.49;50.66;418.18;51.1;33.44444444533333;21.66666667;45.0;40.0;6;1;35.0;30.0;45.0;1;7;15.0;11.0;1;0.0;1;3;0.0;0;34.266666666;30.0;24.5;22.5;13.0;0.0;2;0;2;5;1;12.0;3;0.0;6;42.0;34.0;0.0;11.33333333;0.0;0;1;0;11.0;1;0.0;4;36.2;2.0
67.01;54.9;16;50.78;64.33;429.49;58.8;35.294117647058826;27.5;50.0;45.0;6;1;35.0;35.0;50.0;1;8;17.0;11.0;1;15.0;2;2;0.0;1;34.199999999333336;29.5;40.0;24.0;28.5;36.0;2;45;1;3;2;6.0;2;32.0;6;35.0;0.0;38.0;31.0;0.0;50;0;0;18.0;4;33.0;7;38.25;2.0
58.94;58.06;7;63.98;62.42;462.6;48.37;37.77777777866666;26.66666667;50.0;40.0;6;1;45.0;35.0;50.0;1;7;15.0;11.0;1;0.0;1;3;0.0;0;33.25;41.0;40.0;36.0;14.33333333;0.0;1;0;1;4;1;11.0;3;20.0;5;39.0;30.0;38.0;0.0;0.0;0;1;0;14.0;3;0.0;5;19.125;1.0
64.16;67.51;3;58.93;62.0;469.92;65.94;39.5;30.0;45.0;40.0;9;0;40.0;45.0;50.0;1;9;18.0;18.0;1;40.0;0;1;36.0;1;33.184210525789474;39.0;35.0;23.5;23.0;43.0;4;44;1;6;1;14.0;2;27.5;8;30.0;36.0;21.5;31.0;34.0;50;1;1;18.0;4;37.0;7;36.26315789473684;2.0
76.47;55.64;14;51.89;52.46;455.39;59.11;33.888888888888886;30.0;35.0;40.0;8;1;25.0;30.0;45.0;1;9;18.0;16.0;1;35.0;1;1;50.0;1;35.31578947368421;37.0;33.5;32.0;30.0;41.0;1;36;2;7;1;16.0;1;35.0;8;15.0;15.33333333;30.0;28.0;35.0;50;3;1;18.0;7;37.0;7;34.421052631578945;2.0
63.87;83.41;20;60.01;66.18;454.93;56.79;36.833333333333336;30.0;35.0;45.0;9;0;40.0;35.0;45.0;1;9;18.0;18.0;1;34.0;0;1;40.0;1;37.473684210526315;39.0;36.0;32.0;31.0;46.0;1;42;1;8;1;19.0;2;21.0;8;41.0;27.5;29.66666667;30.0;39.0;41;2;1;18.0;6;31.0;7;35.81578947368421;2.0
67.01;67.51;4;50.78;57.93;428.1;46.1;38.333333333333336;27.5;35.0;45.0;8;1;40.0;40.0;45.0;1;9;18.0;14.0;1;38.0;1;2;44.0;1;35.86842105263158;42.0;47.0;37.0;30.0;45.0;1;43;1;7;1;16.0;1;37.0;8;34.0;31.0;41.0;38.0;42.0;50;1;1;18.0;7;42.0;7;38.31578947368421;2.0
64.16;53.32;20;48.79;54.3;424.17;54.54;38.5;30.0;35.0;45.0;9;0;40.0;40.0;45.0;1;9;18.0;18.0;1;42.0;0;1;34.0;1;36.94736842105263;41.0;47.0;38.0;30.0;46.0;1;44;1;8;1;19.0;2;33.0;8;36.0;32.0;41.0;43.0;41.0;50;1;1;18.0;7;45.0;7;39.78947368421053;2.0
61.49;79.55;10;61.16;56.08;432.24;52.54;35.05555555555556;27.5;35.0;40.0;8;1;35.0;30.0;45.0;1;9;18.0;14.0;1;40.0;1;2;41.0;1;36.71052631578947;40.0;40.0;34.0;29.5;46.0;1;41;1;7;1;16.0;2;32.0;8;41.0;34.0;49.0;38.0;42.0;50;1;1;18.0;6;39.0;7;36.78947368421053;2.0
58.15;49.6;5;65.51;67.58;486.09;61.16;21.009803921176474;10.0;35.0;30.0;4;4;16.33333333;10.0;35.0;4;8;17.0;7.0;1;35.0;4;2;0.0;1;14.6;0.0;0.0;0.0;0.0;0.0;0;0;0;2;0;4.0;0;0.0;4;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0;8.0;1.0
68.11;79.55;1;53.46;50.44;461.68;60.74;42.666666666666664;35.0;40.0;50.0;9;0;40.0;45.0;45.0;1;9;18.0;18.0;1;44.0;0;1;50.0;1;42.526315789473685;44.0;45.0;39.0;44.0;38.0;1;47;1;8;1;19.0;1;46.0;8;39.0;42.0;40.0;36.0;44.0;50;1;1;18.0;7;36.0;7;44.78947368421053;3.0
85.28;62.69;8;43.37;47.22;441.16;59.48;33.8125;35.0;35.0;50.0;5;2;27.5;35.0;35.0;1;8;16.0;12.0;1;0.0;3;1;21.0;0;33.375;30.0;41.0;0.0;24.0;0.0;1;0;1;5;1;14.0;3;31.0;6;39.0;0.0;0.0;10.66666667;0.0;0;2;0;14.0;3;34.0;5;32.0;2.0
59.93;54.64;16;55.46;45.33;440.47;60.51;31.805555555555557;22.0;20.5;40.0;6;3;30.0;24.0;45.0;3;9;18.0;10.0;2;38.0;3;5;46.0;1;37.94736842105263;37.0;30.0;37.0;34.0;46.0;1;43;1;8;1;19.0;1;32.0;8;42.0;33.0;31.0;34.0;44.0;50;1;1;18.0;7;36.0;7;37.6578947368421;2.0
