NOTA_DIS_ARQ_SOFT;NOTA_EI_OP_AI;NOTA_ING_ECONOMICA;NOTA_REDES_COM_TRES;NOTA_CIBERNETICA_TRES;VECES_EI_OP_AI;VECES_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;VECES_EI_OP_BI;VECES_CIBERNETICA_TRES;NOTA_INV_OP_DOS;NOTA_F_ING_SOF;VECES_REDES_COM_TRES;NAP_SIETE;NOTA_GI_DOS;NOTA_EI_OP_BI;NOTA_INV_OP_TRES;NCA_SIETE;NOTA_REDES_COM_DOS;VECES_CIBERNETICA_DOS;NOTA_MOD_PROG_DOS;CAR_SIETE;NOTA_EI_DOS;NOTA_CIBERNETICA_UDOS;NAA_SIETE;NCC_SIETE;NOTA_ESTADISTICA;NOTA_GT_TRES;NOTA_HISTORIA_COL;VECES_REDES_COM_DOS;NCP_SEIS;NOTA_ECONOMIA;VECES_EI_DOS;NAC_SIETE;VECES_ECONOMIA;EPA_SIETE;NOTA_METODOS_NUM;NCP_SIETE;CREDITOS_CIBERNETICA_TRES;CREDITOS_EE_CUATRO;VECES_F_ING_SOF;NOTA_EE_CUATRO;CREDITOS_ING_ECONOMICA;CREDITOS_EI_OP_BI;CREDITOS_EI_OP_AI;CREDITOS_DIS_ARQ_SOFT;CREDITOS_REDES_COM_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_OCHO;PROMEDIO_OCHO
49.0;46.0;50.0;38.0;50.0;1;1;1;1;1;43.0;43.0;1;0;50.0;42.0;48;19.0;45;1;50.0;0;45.0;50.0;9;19.0;45.0;50;32.0;1;0.0;31.0;1;9;1;2;45.0;0.0;2;2;1;0;2;3;3;4;2;42.166666666666664;41.21052631578947;39.05555555555556;41.26315789473684;44.0;4.0;46.0
44.0;30.0;37.0;43.0;42.0;1;1;1;1;1;46.0;34.0;1;1;45.0;38.0;50;17.0;32;2;45.0;1;44.0;29.0;8;19.0;31.5;45;34.0;1;0.0;34.0;1;9;1;2;35.0;2.0;2;2;1;0;2;3;3;4;2;37.833333333333336;34.86842105263158;36.138888888888886;35.078947368421055;38.416666666666664;2.0;39.0
32.0;23.0;31.0;40.0;36.5;2;1;1;1;2;40.0;39.0;1;0;0.0;30.0;36;16.0;40;1;30.0;0;30.0;38.0;8;16.0;40.0;40;32.0;1;0.0;35.0;1;8;1;2;30.0;0.0;2;2;1;0;2;3;3;4;2;29.0;32.39473684157895;30.555555555555557;27.000000001052634;38.833333333333336;2.0;31.375
42.0;47.0;33.0;41.0;43.0;1;1;1;1;1;47.0;39.0;1;0;50.0;35.0;32;19.0;38;1;49.0;0;35.0;39.0;9;19.0;32.0;50;35.0;1;0.0;40.0;1;9;1;2;35.0;0.0;2;2;1;0;2;3;3;4;2;39.72222222222222;41.31578947368421;40.55555555555556;40.63157894736842;41.833333333333336;3.0;40.5
44.0;43.0;38.0;47.0;42.0;1;1;1;1;1;47.0;33.0;1;0;50.0;35.0;45;19.0;36;1;36.0;1;33.0;47.0;9;19.0;39.0;50;33.0;1;0.0;40.0;1;9;1;2;30.0;0.0;2;2;2;0;2;3;3;4;2;32.0;34.71052631578947;33.638888888888886;35.026315789473685;41.888888888888886;3.0;41.5
48.0;43.0;35.0;44.0;44.0;1;1;1;1;1;47.0;36.0;1;0;50.0;39.0;41;19.0;40;1;43.0;0;43.0;44.0;9;19.0;33.0;50;33.0;1;0.0;34.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;37.94444444444444;35.868421053157896;37.94444444444444;36.73684210526316;40.94444444444444;3.0;42.75
42.0;43.0;40.0;43.0;43.0;1;1;1;1;1;40.0;39.0;1;1;50.0;40.0;37;17.0;44;1;48.0;1;31.0;37.0;8;19.0;32.0;50;30.0;1;0.0;22.0;1;9;2;2;35.0;2.0;2;2;1;0;2;3;3;4;2;36.55555555555556;33.894736841052634;33.888888888888886;37.81578947368421;38.166666666666664;3.0;41.8125
45.0;35.0;48.0;46.0;49.0;2;1;1;1;1;44.0;40.0;1;0;50.0;35.0;44;19.0;42;1;44.0;0;35.0;49.0;9;19.0;36.0;50;37.0;1;0.0;48.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;35.833333333333336;36.71052631578947;38.333333333333336;37.578947368421055;42.333333333333336;3.0;42.25
47.0;36.5;30.0;46.0;44.0;2;1;1;1;1;45.0;39.0;1;1;50.0;39.0;47;17.0;43;1;39.0;1;42.0;45.0;8;19.0;41.0;46;35.0;1;0.0;28.0;1;9;2;2;35.0;2.0;2;2;1;0;2;3;3;4;2;38.0;38.63157894736842;35.50000000055556;37.89473684210526;42.0;3.0;40.90625
0.0;0.0;9.0;0.0;0.0;0;0;1;0;0;0.0;0.0;0;0;0.0;0.0;0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;36.0;0;7.0;0;2.0;0.0;0;0;0;1;32.0;0.0;2;2;0;0;2;3;3;4;2;27.04705882352941;28.852941175882354;20.791666666666668;17.571428571428573;26.857142857142858;1.0;9.0
46.0;44.0;49.0;38.0;44.0;1;1;1;1;1;40.0;37.0;1;0;50.0;37.0;30;19.0;40;1;47.0;0;33.0;43.0;9;19.0;41.0;45;48.0;1;0.0;36.0;1;9;1;2;35.0;0.0;2;2;1;0;2;3;3;4;2;38.22222222222222;35.526315789473685;36.388888888888886;37.68421052631579;41.833333333333336;3.0;43.0625
43.0;46.0;50.0;38.0;48.0;1;1;1;1;1;40.0;39.0;1;0;50.0;34.0;42;19.0;38;1;49.0;0;33.0;36.0;9;19.0;37.0;50;33.0;1;0.0;47.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;37.388888888888886;39.36842105263158;34.19444444444444;37.31578947368421;38.44444444444444;3.0;42.75
45.0;43.0;34.0;46.0;44.0;1;1;1;1;1;47.0;32.0;1;1;50.0;36.0;43;17.0;39;1;48.0;1;44.0;39.0;8;19.0;38.0;50;35.0;1;0.0;27.5;1;9;2;2;39.0;2.0;2;2;1;0;2;3;3;4;2;34.666666666666664;37.63157894736842;34.888888888888886;36.578947368421055;39.111111111111114;3.0;41.5625
45.0;43.0;45.0;37.0;46.0;1;1;1;1;1;38.0;36.0;1;0;50.0;39.0;37;19.0;42;1;43.0;0;40.0;44.0;9;19.0;50.0;50;30.0;1;0.0;47.0;1;9;1;2;35.0;0.0;2;2;1;0;2;3;3;4;2;39.27777777777778;37.526315789473685;36.833333333333336;38.973684210526315;42.166666666666664;3.0;42.625
46.0;42.0;35.0;45.0;45.0;1;1;1;1;1;42.0;36.0;1;0;50.0;38.0;41;19.0;41;1;49.0;0;36.0;33.0;9;19.0;31.0;50;44.0;1;0.0;40.0;1;9;1;2;35.0;0.0;2;2;1;0;2;3;3;4;2;39.94444444444444;35.36842105263158;34.666666666666664;38.36842105263158;41.0;3.0;42.125
47.0;41.0;33.0;42.0;42.0;1;1;1;1;1;45.0;40.0;1;0;50.0;38.0;37;19.0;36;1;30.0;0;30.0;45.0;9;19.0;41.0;50;38.0;1;0.0;34.0;1;9;1;2;30.0;0.0;2;2;1;0;2;3;3;4;2;30.63888888888889;36.23684210526316;37.94444444444444;34.94736842105263;41.27777777777778;3.0;41.1875
0.0;0.0;38.0;0.0;0.0;0;0;1;0;0;42.0;0.0;0;0;0.0;0.0;0;1.0;0;0;44.0;0;0.0;0.0;1;1.0;40.0;0;36.0;0;0.0;0.0;0;1;0;2;35.0;0.0;2;2;0;0;2;3;3;4;2;35.294117647058826;34.199999999333336;33.02777777777778;38.25;40.07692307692308;2.0;38.0
50.0;44.0;44.0;38.0;42.0;1;1;1;1;1;41.0;37.0;1;0;50.0;37.0;42;19.0;42;1;30.0;0;42.0;42.0;9;19.0;36.0;45;40.0;1;0.0;38.0;1;9;1;2;30.0;0.0;2;2;1;0;2;3;3;4;2;39.5;33.184210525789474;32.166666666666664;36.26315789473684;39.77777777777778;3.0;43.1875
45.0;42.0;43.0;38.0;42.0;1;1;1;1;1;32.0;37.0;1;2;45.0;40.0;41;15.0;37;3;40.0;2;33.0;18.33333333;7;19.0;36.0;50;21.5;1;2.0;19.0;1;9;2;2;15.0;4.0;2;2;1;0;2;3;3;4;2;33.888888888888886;35.31578947368421;34.416666666666664;34.421052631578945;37.55555555555556;3.0;42.0
41.0;43.0;30.0;0.0;34.0;1;1;2;1;1;40.0;0.0;0;0;0.0;0.0;45;10.0;34;2;49.0;1;0.0;32.5;5;10.0;36.0;0;32.0;1;0.0;40.0;0;5;1;2;41.0;0.0;2;2;0;0;2;3;3;4;2;36.833333333333336;37.473684210526315;34.111111111111114;35.81578947368421;37.2;2.0;30.071428571428573
49.0;42.0;33.0;44.0;44.0;1;1;1;1;1;46.0;40.0;1;0;45.0;37.0;43;19.0;45;1;45.0;0;42.0;45.0;9;19.0;37.0;50;31.0;1;0.0;39.0;1;9;1;2;34.0;0.0;2;2;1;0;2;3;3;4;2;38.333333333333336;35.86842105263158;39.611111111111114;38.31578947368421;40.888888888888886;3.0;42.1875
49.0;46.0;44.0;48.0;45.0;1;1;1;1;1;45.0;41.0;1;0;50.0;36.0;39;19.0;41;1;42.0;0;36.0;44.0;9;19.0;50.0;50;44.0;1;0.0;32.0;1;9;1;2;36.0;0.0;2;2;1;0;2;3;3;4;2;38.5;36.94736842105263;39.22222222222222;39.78947368421053;45.44444444444444;3.0;44.75
49.0;40.0;35.0;35.0;47.0;1;1;1;1;1;33.0;31.0;1;1;38.0;39.0;35;17.0;34;2;47.0;1;31.0;28.0;8;19.0;30.0;50;42.0;1;3.0;32.0;1;9;1;2;41.0;2.0;2;2;1;0;2;3;3;4;2;35.05555555555556;36.71052631578947;36.69444444444444;36.78947368421053;33.72222222222222;3.0;41.6875
