GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO
0;2;1;1;19;5;403.77;60.6;60.6;56.97;61.55;56.23;56.23;55.79;0.0;46.43;60.9;1;5;9;3;2011
0;2;10;1;19;5;401.22;66.56;66.56;56.97;52.28;54.28;54.28;57.8;0.0;55.62;60.44;10;3;9;2;2011
0;1;7;1;19;5;416.65;58.38;58.38;56.97;63.72;56.32;56.32;67.08;0.0;56.79;54.45;7;5;9;2;2011
0;1;1;1;19;5;399.89;60.6;60.6;57.16;53.65;62.45;62.45;53.24;0.0;51.03;60.44;11;5;9;2;2011
0;2;9;1;19;5;404.59;78.55;78.55;54.74;59.17;52.31;52.31;57.23;0.0;48.75;41.66;9;4;4;3;2011
1;1;10;1;19;5;401.6;47.62;47.62;56.97;61.55;64.72;64.72;55.79;0.0;48.75;75.52;10;3;6;3;2011
1;1;8;1;19;5;395.87;55.69;55.69;54.74;59.17;58.33;58.33;51.3;0.0;59.25;66.95;8;3;6;2;2011
0;1;15;1;19;5;473.0;101.0;101.0;60.0;59.0;62.0;62.0;63.0;0.0;60.0;50.0;14;2;9;3;2012
1;1;8;1;19;5;491.0;86.0;86.0;59.0;74.0;68.0;68.0;68.0;0.0;60.0;49.0;8;3;9;2;2012
1;2;14;1;19;5;469.0;85.0;85.0;70.0;50.0;69.0;69.0;63.0;0.0;69.0;53.0;20;6;9;3;2012
0;1;2;1;19;5;474.0;86.0;86.0;59.0;62.0;78.0;78.0;58.0;0.0;59.0;83.0;14;2;9;3;2012
0;1;11;1;19;5;461.0;76.0;76.0;68.0;62.0;77.0;77.0;68.0;0.0;49.0;52.0;11;5;9;3;2012
0;2;9;1;19;5;455.0;86.0;86.0;63.0;58.0;68.0;68.0;68.0;0.0;44.0;63.0;9;4;9;4;2012
1;2;11;1;19;5;435.0;102.0;102.0;59.0;58.0;62.0;62.0;63.0;0.0;44.0;55.0;9;4;9;4;2012
0;2;8;1;19;5;444.0;86.0;86.0;69.0;52.0;58.0;58.0;58.0;0.0;59.0;53.0;7;5;9;1;2012
0;2;13;1;19;5;453.0;69.0;69.0;68.0;67.0;78.0;78.0;59.0;0.0;49.0;60.0;9;4;9;3;2012
0;2;10;1;19;5;457.0;86.0;86.0;59.0;67.0;68.0;68.0;68.0;0.0;53.0;56.0;10;3;9;2;2012
1;1;12;1;19;5;447.0;86.0;86.0;63.0;50.0;63.0;63.0;63.0;0.0;53.0;56.0;12;3;9;3;2012
1;2;1;1;19;5;454.0;75.0;75.0;60.0;67.0;78.0;78.0;51.0;0.0;54.0;60.0;1;5;9;4;2012
0;2;1;1;19;5;452.0;85.0;85.0;60.0;63.0;63.0;63.0;68.0;0.0;53.0;74.0;1;5;9;3;2012
1;2;14;1;19;5;456.0;60.0;60.0;69.0;58.0;91.0;91.0;68.0;0.0;53.0;53.0;16;2;9;3;2012
0;2;8;1;19;5;450.0;68.0;68.0;65.0;53.0;77.0;77.0;51.0;0.0;54.0;58.0;16;2;9;3;2012
0;2;9;1;19;5;442.0;64.0;64.0;75.0;67.0;63.0;63.0;55.0;0.0;49.0;55.0;9;4;9;3;2012
1;2;4;1;19;5;462.0;64.0;64.0;69.0;55.0;62.0;62.0;68.0;0.0;53.0;43.0;4;4;9;2;2012
0;1;8;1;19;5;467.0;63.0;63.0;60.0;53.0;91.0;91.0;68.0;0.0;60.0;74.0;8;3;9;2;2012
