NOTA_L_TRES;NOTA_HSE;NOTA_ADMIN;NOTA_TGUNO;VECES_HSE;NOTA_EI_TRES;NOTA_EE_DOS;NOTA_PROTELEC;NCC_OCHO;VECES_L_TRES;VECES_PROTELEC;CAR_OCHO;VECES_ADMIN;PROMEDIO_SIETE;NOTA_L_UNO;NOTA_L_DOS;VECES_EI_TRES;PROMEDIO_OCHO;NOTA_EI_CUATRO;VECES_EE_DOS;VECES_TGUNO;NAA_OCHO;NOTA_AIELEC;NCA_OCHO;NOTA_CCON;VECES_L_DOS;VECES_FGEP;NOTA_FGEP;EPA_OCHO;NOTA_HIST;NAC_OCHO;NOTA_SUBEL;NCP_OCHO;VECES_HIST;VECES_EI_CUATRO;VECES_SUBEL;CREDITOS_EE_DOS;CREDITOS_EI_TRES;CREDITOS_PROTELEC;CREDITOS_L_TRES;NAP_OCHO;CREDITOS_TGUNO;VECES_CCON;CREDITOS_ADMIN;CREDITOS_EI_CUATRO;CREDITOS_HSE;NOTA_EI_CINCO;NOTA_TGDOS;NOTA_EI_SEIS;NOTA_EE_TRES;NCC_NUEVE;VECES_EI_CINCO;PROMEDIO_NUEVE;NCA_NUEVE;NAC_NUEVE;NAA_NUEVE;CAR_NUEVE;CREDITOS_EI_CINCO;CREDITOS_EE_TRES;NCP_NUEVE;CREDITOS_EI_SEIS;VECES_TGDOS;NAP_NUEVE;EPA_NUEVE;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
42;39;45;42;1;34;36;31;15.0;1;1;0;1;35.5;49;42;1;40.0;43;1;1;7;42;15.0;45;1;1;34;2;47;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;38;35;41;40;17.0;1;38.94117647058823;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;38.7
32;33;49;37;1;30;50;34;15.0;1;1;0;1;36.111111111111114;34;35;1;36.733333333333334;42;1;1;7;36;15.0;45;1;1;33;2;47;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;39;50;39;46;17.0;1;38.411764705882355;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.6
40;41;48;48;1;43;42;37;15.0;1;1;1;1;37.111111111111114;43;39;1;38.8;37;1;1;7;33;15.0;46;1;1;37;2;45;7;38;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;48;50;34;44;17.0;1;41.8235294117647;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;43.4
38;42;41;41;1;41;0;31;15.0;1;1;0;1;38.05555555555556;44;42;1;38.0;30;0;1;7;35;15.0;46;1;1;44;2;42;7;31;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;43;48;36;0;15.0;1;37.13333333333333;15.0;7;7;0;3;2;0.0;3;1;0;2;3.0;41.625
46;42;48;44;1;45;50;45;15.0;1;1;0;1;41.72222222222222;46;44;1;42.8;44;1;1;7;41;15.0;38;1;1;40;2;48;7;41;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;47;45;46;45;17.0;1;45.588235294117645;17.0;8;8;0;3;2;0.0;3;1;0;2;4.0;45.9
46;45;31;40;1;39;40;33;15.0;1;1;0;1;33.05555555555556;44;41;1;40.4;43;1;1;7;34;15.0;43;1;1;48;2;46;7;36;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;34;50;36;31;17.0;1;39.470588235294116;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;37.2
39;42;47;36;1;44;0;39;15.0;1;1;0;1;36.888888888888886;47;42;1;37.8;43;0;1;7;39;15.0;47;1;1;39;2;44;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;41;50;38;0;15.0;1;41.666666666666664;15.0;7;7;0;3;2;0.0;3;1;0;2;3.0;42.125
38;41;44;39;1;50;45;38;15.0;1;1;0;1;38.833333333333336;40;36;1;40.93333333333333;47;1;1;7;38;15.0;42;1;1;44;2;42;7;41;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;38;42;42;0;17.0;1;43.529411764705884;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;40.5
37;39;45;39;1;47;50;35;15.0;1;1;0;1;38.888888888888886;46;45;1;40.8;39;1;1;7;39;15.0;44;1;1;40;2;43;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;45;42;40;45;17.0;1;41.705882352941174;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.9
0;48;48;32;1;35;37;30;15.0;0;1;2;1;35.27777777777778;45;41;1;37.2;42;1;1;7;34;15.0;45;1;1;36;2;33;7;33;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;39;41;33;50;15.0;1;38.2;15.0;7;7;0;3;2;0.0;3;1;0;2;2.0;39.8
39;43;32;40;1;36;43;30;15.0;1;1;1;1;38.22222222222222;36;40;1;36.0;39;1;1;7;36;15.0;47;1;1;30;2;37;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;39;40;32;0;17.0;1;37.411764705882355;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;36.625
44;40;48;50;1;48;50;30;15.0;1;1;1;1;34.333333333333336;47;47;1;38.733333333333334;34;1;1;7;32;15.0;44;1;1;35;2;48;7;33;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;50;50;30;40;17.0;1;42.94117647058823;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.0
44;47;50;45;1;46;50;38;15.0;1;1;0;1;34.77777777777778;48;46;1;40.8;50;1;1;7;34;15.0;44;1;1;45;2;45;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;47;45;36;0;17.0;1;46.411764705882355;17.0;8;8;0;3;2;0.0;3;2;0;2;3.0;42.375
37;48;40;50;1;34;43;35;15.0;1;1;0;1;34.55555555555556;35;38;1;38.2;38;1;1;7;33;15.0;44;1;1;39;2;42;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;38;50;38;0;17.0;1;39.64705882352941;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;41.0
39;43;41;50;1;33;40;37;15.0;1;4;1;1;37.72222222222222;46;38;1;36.666666666666664;44;1;1;7;33;15.0;45;1;1;41;2;43;7;35;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;33;50;23;0;17.0;1;40.470588235294116;17.0;8;8;1;3;2;0.0;3;2;0;2;2.0;33.5
42;45;50;45;1;39;50;35;15.0;1;1;0;1;35.5;43;45;1;40.93333333333333;43;1;1;7;34;15.0;48;1;1;39;2;48;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;46;50;42;0;17.0;1;43.23529411764706;17.0;8;8;0;3;2;0.0;3;2;0;2;4.0;45.5
39;41;40;45;1;44;49;39;15.0;1;1;0;1;36.888888888888886;42;42;1;36.8;36;1;1;7;32;15.0;43;1;1;37;2;43;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;42;42;34;42;17.0;1;41.470588235294116;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;39.6
40;45;47;43;1;43;50;40;15.0;1;1;0;1;35.833333333333336;43;42;1;40.666666666666664;47;1;1;7;38;15.0;34;1;1;40;2;45;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;45;50;46;0;17.0;1;44.411764705882355;17.0;8;8;0;3;2;0.0;3;1;0;2;4.0;46.625
38;48;32;42;1;41;44;32;15.0;1;1;0;1;34.111111111111114;37;35;1;34.333333333333336;37;1;1;7;34;15.0;35;1;1;39;2;30;7;32;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;37;42;30;49;17.0;1;38.705882352941174;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;38.3
40;45;48;50;1;46;45;34;15.0;1;1;1;1;35.27777777777778;42;41;1;38.46666666666667;45;1;1;7;34;15.0;41;1;1;37;2;45;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;39;47;39;0;17.0;1;44.23529411764706;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;41.0
34;44;50;43;1;39;44;42;15.0;1;1;1;1;39.166666666666664;47;41;1;35.266666666666666;44;1;1;7;35;15.0;39;1;1;35;2;32;7;34;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;39;50;41;0;17.0;1;42.294117647058826;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;34.0
43;45;46;33;1;40;49;40;15.0;1;1;0;1;35.05555555555556;43;46;1;40.666666666666664;49;1;1;7;33;15.0;42;1;1;38;2;47;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;33;50;43;0;17.0;1;43.1764705882353;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;41.0
38;40;45;49;1;40;50;38;15.0;1;1;0;1;36.0;42;43;1;40.266666666666666;40;1;1;7;37;15.0;44;1;1;43;2;46;7;33;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;38;44;50;46;17.0;1;42.35294117647059;17.0;8;8;0;3;2;0.0;3;3;0;2;3.0;44.4
39;44;43;43;1;43;39;32;15.0;1;2;0;1;35.55555555555556;40;38;1;36.733333333333334;41;1;1;7;30;15.0;47;1;1;31;2;48;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;45;45;35;0;17.0;1;40.470588235294116;17.0;8;8;1;3;2;0.0;3;1;0;2;3.0;41.25
44;44;45;50;1;49;50;37;15.0;1;1;1;1;37.05555555555556;46;44;1;38.2;37;1;1;7;34;15.0;42;1;1;33;2;45;7;32;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;45;47;39;0;17.0;1;44.35294117647059;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;43.25
41;43;50;47;1;47;0;42;15.0;1;1;0;1;42.27777777777778;43;45;1;37.8;41;0;1;7;35;15.0;43;1;1;39;2;44;7;33;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;42;50;36;0;15.0;1;44.46666666666667;15.0;7;7;0;3;2;0.0;3;1;0;2;3.0;41.75
35;47;46;42;1;37;47;32;15.0;1;1;0;1;34.44444444444444;43;35;1;36.93333333333333;43;1;1;7;37;15.0;40;1;1;35;2;42;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;39;50;35;42;17.0;1;40.64705882352941;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;40.6
44;47;44;40;1;40;49;38;15.0;1;1;0;1;36.77777777777778;47;46;1;42.4;50;1;1;7;35;15.0;47;1;1;45;2;47;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;35;43;46;0;17.0;1;43.94117647058823;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;41.125
42;44;50;47;1;45;50;33;15.0;1;2;0;1;35.72222222222222;42;42;1;37.266666666666666;31;1;1;7;30;15.0;49;1;1;40;2;44;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;30;48;38;45;17.0;1;42.11764705882353;17.0;8;8;1;3;2;0.0;3;1;0;2;2.0;39.0
36;45;41;43;1;37;47;34;15.0;1;1;2;1;36.44444444444444;42;48;1;39.0;45;1;1;7;35;15.0;45;1;2;41;2;38;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;37;45;42;43;17.0;1;40.76470588235294;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;41.3
0;0;0;0;0;0;40;0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;1;0;0;0;0.0;0;0;0;0;1;0;0;0;0.0;0;0;0;2;3;2;2;0;2;0;2;3;1;0;0;0;41;2.0;0;40.0;2.0;1;1;0;3;2;0.0;3;0;0;2;3.0;41.0
43;38;34;37;1;41;0;31;15.0;1;1;3;1;36.833333333333336;44;37;1;36.8;45;0;1;7;35;15.0;43;1;2;39;2;43;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;37;46;33;0;15.0;1;39.06666666666667;15.0;7;7;0;3;2;0.0;3;1;0;2;2.0;37.75
42;47;44;38;1;38;49;30;15.0;1;1;1;1;37.388888888888886;44;42;1;39.333333333333336;43;1;1;7;33;15.0;46;1;1;40;2;46;7;37;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;46;50;39;0;17.0;1;40.94117647058823;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;44.375
40;43;50;50;1;43;50;39;15.0;1;1;1;1;37.05555555555556;41;44;1;40.733333333333334;46;1;1;7;37;15.0;45;1;1;40;2;42;7;43;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;41;50;40;39;17.0;1;45.1764705882353;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.1
36;37;40;44;2;33;50;34;15.0;1;1;1;1;36.111111111111114;43;48;1;37.8;44;1;1;7;33;15.0;42;1;1;36;2;39;7;37;0.0;2;1;1;2;3;2;2;0;2;1;2;3;1;34;40;35;36;17.0;1;39.76470588235294;17.0;8;8;1;3;2;0.0;3;1;0;2;2.0;35.9
38;45;34;46;1;42;50;34;15.0;1;2;0;1;33.166666666666664;44;37;1;39.13333333333333;42;1;1;7;34;15.0;47;1;1;47;2;50;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;46;42;38;0;17.0;1;41.23529411764706;17.0;8;8;1;3;2;0.0;3;1;0;2;3.0;42.0
41;43;43;41;1;45;35;35;15.0;1;1;2;1;33.72222222222222;40;46;1;36.6;32;1;1;7;34;15.0;42;1;1;34;2;45;7;30;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;45;50;35;44;17.0;1;39.05882352941177;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.8
37;45;44;50;1;42;50;33;15.0;1;1;1;1;34.22222222222222;35;39;1;39.93333333333333;30;1;1;7;35;15.0;43;1;1;42;2;45;7;35;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;43;50;37;0;17.0;1;40.529411764705884;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;34.0
41;45;37;46;1;42;50;30;15.0;1;1;0;1;34.5;50;42;1;41.13333333333333;42;1;1;7;31;15.0;46;1;1;47;2;50;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;45;42;36;0;17.0;1;41.470588235294116;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;40.875
46;40;44;42;1;41;43;30;15.0;1;1;1;1;35.22222222222222;40;50;1;40.0;36;1;1;7;37;15.0;45;1;1;37;2;44;7;37;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;38;50;42;0;17.0;1;40.05882352941177;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.5
45;35;32;39;1;41;50;37;15.0;1;2;2;1;34.166666666666664;41;44;1;35.2;30;1;1;7;30;15.0;37;1;1;32;2;42;7;31;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;46;40;30;34;17.0;1;38.470588235294116;17.0;8;8;1;3;2;0.0;3;1;0;2;2.0;37.6
42;47;48;38;1;45;45;32;15.0;1;1;1;1;42.388888888888886;47;36;1;38.2;40;1;1;7;30;15.0;46;1;1;49;2;45;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;33;50;45;0;17.0;1;41.88235294117647;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;41.75
40;41;50;47;1;44;49;41;15.0;1;1;0;1;38.333333333333336;50;45;1;38.333333333333336;35;1;1;7;32;15.0;40;1;1;34;2;47;7;37;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;39;50;50;0;17.0;1;43.05882352941177;17.0;8;8;0;3;2;0.0;3;1;0;2;4.0;45.875
40;44;50;42;1;42;37;30;15.0;1;1;1;1;36.0;48;44;1;37.266666666666666;36;1;1;7;36;15.0;47;1;1;38;2;42;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;42;50;34;0;17.0;1;39.76470588235294;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;41.0
33;45;37;30;1;38;0;34;15.0;1;1;0;1;35.27777777777778;40;45;1;37.2;33;0;1;7;39;15.0;45;1;1;33;2;42;7;32;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;50;35;33;0;15.0;1;35.06666666666667;15.0;7;7;0;3;2;0.0;3;4;0;2;2.0;39.875
47;41;48;42;1;41;50;30;15.0;1;1;1;1;36.27777777777778;48;48;1;40.86666666666667;46;1;1;7;39;15.0;49;1;1;48;2;45;7;31;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;40;50;43;41;17.0;1;43.294117647058826;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;43.1
42;45;50;44;1;45;41;38;15.0;1;1;0;1;36.888888888888886;43;42;1;38.733333333333334;44;1;1;7;32;15.0;38;1;1;38;2;44;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;41;50;31;42;17.0;1;43.64705882352941;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;40.0
43;45;46;41;1;46;49;37;15.0;1;1;2;1;39.833333333333336;44;48;1;39.06666666666667;31;1;1;7;38;15.0;39;1;1;40;2;47;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;45;50;38;0;17.0;1;41.64705882352941;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;43.625
47;46;38;38;1;43;41;30;15.0;1;2;2;1;35.333333333333336;41;36;1;39.0;34;1;1;7;34;15.0;47;1;1;45;2;43;7;36;0.0;1;1;4;2;3;2;2;0;2;1;2;3;1;45;50;44;44;17.0;1;39.11764705882353;17.0;8;8;1;3;2;0.0;3;1;0;2;4.0;45.5
42;46;30;34;1;45;43;22;15.0;1;1;2;1;35.44444444444444;50;42;1;34.06666666666667;33;1;1;6;40;12.0;36;1;1;44;2;41;7;17;3.0;1;1;4;2;3;2;2;1;2;1;2;3;1;36;50;31;38;17.0;1;36.588235294117645;15.0;8;7;0;3;2;2.0;3;1;1;2;2.0;37.7
47;41;48;44;1;48;43;38;15.0;1;1;0;1;36.166666666666664;46;46;1;42.46666666666667;45;1;1;7;37;15.0;45;1;1;46;2;47;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;41;50;42;46;17.0;1;44.705882352941174;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;44.1
44;50;42;50;1;35;50;36;15.0;1;1;0;1;38.611111111111114;50;50;1;40.4;40;1;1;7;35;15.0;41;1;1;47;2;41;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;32;50;36;37;17.0;1;42.294117647058826;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;37.8
40;32;33;39;1;35;0;31;15.0;1;1;2;1;34.55555555555556;50;43;1;34.333333333333336;41;0;1;7;32;15.0;36;1;1;33;2;34;7;34;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;31;50;34;0;15.0;1;36.4;15.0;7;7;0;3;2;0.0;3;2;0;2;2.0;36.875
41;41;35;41;1;34;0;31;15.0;1;1;1;1;33.111111111111114;40;40;1;37.0;30;0;1;7;30;15.0;43;1;1;33;2;42;7;38;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;47;50;36;0;15.0;1;35.266666666666666;15.0;7;7;0;3;2;0.0;3;2;0;2;3.0;43.625
42;45;42;37;1;37;35;30;15.0;1;1;2;1;33.5;42;37;1;37.333333333333336;39;1;1;7;32;15.0;47;1;1;32;2;46;7;37;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;36;50;45;0;17.0;1;37.94117647058823;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.875
34;44;37;37;1;37;42;28;15.0;1;2;1;1;37.05555555555556;50;44;1;33.46666666666667;41;1;1;6;33;12.0;38;1;1;47;2;45;7;10;3.0;1;1;2;2;3;2;2;1;2;1;2;3;1;45;48;30;0;17.0;1;37.294117647058826;15.0;8;7;1;3;2;2.0;3;1;1;2;3.0;40.125
41;43;47;40;1;49;45;30;15.0;1;1;0;1;36.05555555555556;48;48;1;38.46666666666667;40;1;1;7;33;15.0;44;1;1;34;2;45;7;33;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;40;50;42;46;17.0;1;42.11764705882353;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;43.8
35;45;34;38;1;35;0;33;15.0;1;1;1;1;37.166666666666664;35;31;1;38.06666666666667;40;0;1;7;39;15.0;47;1;1;31;2;44;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;36;50;35;0;15.0;1;36.666666666666664;15.0;7;7;0;3;2;0.0;3;1;0;2;2.0;39.125
46;44;50;42;1;41;50;31;15.0;1;1;1;1;37.166666666666664;50;49;1;39.93333333333333;45;1;1;7;35;15.0;47;1;1;37;2;44;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;41;50;40;41;17.0;1;43.529411764705884;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.5
37;35;36;37;1;43;0;32;15.0;1;2;2;1;36.5;42;40;1;33.46666666666667;42;0;1;7;30;15.0;30;1;2;37;2;39;7;30;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;37;45;41;0;15.0;1;38.266666666666666;15.0;7;7;1;3;2;0.0;3;1;0;2;3.0;40.5
41;50;50;43;1;0;46;33;12.0;1;1;2;1;37.6;50;48;0;35.583333333333336;0;1;1;6;31;12.0;35;1;1;30;2;30;6;38;0.0;1;0;3;2;3;2;2;0;2;1;2;3;1;0;48;0;0;11.0;0;43.27272727272727;11.0;6;6;0;3;2;0.0;3;1;0;2;4.0;48.0
41;46;49;35;1;0;50;42;12.0;1;1;0;1;33.666666666666664;42;39;0;37.75;0;1;1;6;34;12.0;43;1;1;47;2;40;6;30;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;0;50;0;45;11.0;0;43.63636363636363;11.0;6;6;0;3;2;0.0;3;1;0;2;4.0;47.5
39;42;43;39;1;0;36;35;12.0;1;2;1;1;37.46666666666667;40;34;0;37.75;0;1;1;6;36;12.0;37;1;1;37;2;47;6;36;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;0;0;0;50;11.0;0;38.72727272727273;11.0;6;6;1;3;2;0.0;3;1;0;2;1.0;25.0
30;42;49;42;1;0;40;33;12.0;1;1;2;1;34.46666666666667;48;37;0;36.25;0;1;1;6;34;12.0;47;1;1;35;2;40;6;32;0.0;1;0;3;2;3;2;2;0;2;1;2;3;1;0;42;0;37;11.0;0;39.09090909090909;11.0;6;6;0;3;2;0.0;3;2;0;2;2.0;39.5
42;45;39;47;1;0;50;35;12.0;1;1;1;1;36.4;50;45;0;40.333333333333336;0;1;1;6;34;12.0;47;1;1;46;2;41;6;35;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;0;50;0;33;11.0;0;42.81818181818182;11.0;6;6;0;3;2;0.0;3;1;0;2;3.0;41.5
44;37;40;40;1;0;46;30;12.0;1;1;2;1;34.93333333333333;41;42;0;38.0;0;1;1;6;30;12.0;35;1;1;44;2;33;6;41;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;0;45;0;42;11.0;0;39.72727272727273;11.0;6;6;0;3;2;0.0;3;1;0;2;3.0;43.5
