iter	Passed	Remaining
961	3826	151
962	3830	147
963	3834	143
964	3838	139
965	3842	135
966	3846	131
967	3850	127
968	3854	123
969	3859	119
970	3863	115
971	3868	111
972	3872	107
973	3876	103
974	3880	99
975	3885	95
976	3889	91
977	3893	87
978	3897	83
979	3902	79
980	3906	75
981	3910	71
982	3914	67
983	3918	63
984	3922	59
985	3926	55
986	3931	51
987	3935	47
988	3939	43
989	3943	39
990	3947	35
991	3952	31
992	3956	27
993	3960	23
994	3964	19
995	3969	15
996	3973	11
997	3977	7
998	3981	3
999	3986	0
