CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
68.39;58.01;10;63.99;66.99;459.54;59.27;2011;56.82;59.27;79.22;20;0;68.39;11;5;0;4;1;2;3;10;1;2.0;31.464285714285715
75.41;56.82;12;75.16;75.02;496.12;62.21;2011;66.58;62.21;79.58;20;1;75.41;9;5;0;3;1;1;5;10;1;2.0;35.357142857142854
65.63;60.9;20;66.77;69.64;471.11;56.41;2011;68.09;56.41;63.65;175;0;65.63;12;15;0;2;1;1;6;4;1;1.0;29.428571428571427
79.26;85.05;9;72.69;103.04;518.23;59.4;2011;66.58;59.4;72.78;20;1;79.26;9;5;0;4;1;2;4;10;1;2.0;37.142857142857146
71.35;71.53;11;63.2;63.93;475.42;64.91;2011;65.24;64.91;79.58;20;0;71.35;11;5;0;2;1;2;5;10;1;2.0;33.92857142857143
79.26;94.05;19;65.98;69.14;486.35;73.98;2011;66.58;73.98;66.93;20;0;79.26;7;5;0;2;1;1;5;10;1;2.0;35.5
71.35;94.05;20;75.95;72.45;509.72;67.8;2011;68.09;67.8;79.22;185;0;71.35;9;4;0;2;1;1;6;10;1;2.0;30.928571428571427
66.17;81.98;11;79.57;72.45;472.73;67.92;2011;60.81;67.92;63.65;20;0;66.17;10;5;0;3;1;1;5;4;1;3.0;41.785714285714285
75.41;62.94;1;60.48;71.97;468.19;70.87;2011;51.89;70.87;73.09;20;0;75.41;11;5;0;5;1;2;5;10;1;3.0;40.357142857142854
75.41;79.4;11;87.87;92.99;532.06;62.21;2011;69.52;62.21;79.58;20;0;75.41;11;5;0;2;1;2;5;10;1;2.0;38.92857142857143
78.36;55.62;10;65.98;71.97;492.59;70.74;2011;65.24;70.74;73.09;20;0;78.36;11;5;0;2;1;1;3;10;1;2.0;35.357142857142854
68.39;79.4;1;55.09;69.14;485.8;77.1;2011;65.24;77.1;73.09;20;0;68.39;10;5;0;3;1;2;4;10;1;2.0;31.785714285714285
82.87;68.41;11;79.57;82.67;500.24;62.11;2011;65.24;62.11;60.57;20;1;82.87;4;5;0;3;1;2;5;10;1;2.0;37.5
75.41;64.24;11;72.69;61.96;483.78;67.92;2011;63.68;67.92;72.78;20;0;75.41;11;5;0;3;1;2;5;10;1;2.0;32.5
74.62;65.57;10;60.48;69.14;482.98;70.74;2011;53.93;70.74;86.86;20;0;74.62;9;5;0;3;1;2;3;10;1;2.0;31.071428571428573
72.05;71.53;10;78.77;75.02;527.8;67.92;2011;79.06;67.92;83.07;20;0;72.05;9;5;0;2;1;1;3;10;1;1.0;28.999999999285713
68.39;52.08;7;57.8;78.39;441.12;67.8;2011;36.19;67.8;69.98;20;0;68.39;9;5;0;1;1;1;5;4;1;3.0;42.5
74.62;54.45;20;63.2;71.97;477.55;67.8;2011;59.66;67.8;73.09;204;0;74.62;6;15;0;3;1;1;6;10;1;2.0;34.535714285714285
