NOTA_L_TRES;NOTA_HSE;NOTA_ADMIN;NOTA_TGUNO;VECES_HSE;NOTA_EI_TRES;NOTA_EE_DOS;NOTA_PROTELEC;NCC_OCHO;VECES_L_TRES;VECES_PROTELEC;CAR_OCHO;VECES_ADMIN;PROMEDIO_SIETE;NOTA_L_UNO;NOTA_L_DOS;VECES_EI_TRES;PROMEDIO_OCHO;NOTA_EI_CUATRO;VECES_EE_DOS;VECES_TGUNO;NAA_OCHO;NOTA_AIELEC;NCA_OCHO;NOTA_CCON;VECES_L_DOS;VECES_FGEP;NOTA_FGEP;EPA_OCHO;NOTA_HIST;NAC_OCHO;NOTA_SUBEL;NCP_OCHO;VECES_HIST;VECES_EI_CUATRO;VECES_SUBEL;CREDITOS_EE_DOS;CREDITOS_EI_TRES;CREDITOS_PROTELEC;CREDITOS_L_TRES;NAP_OCHO;CREDITOS_TGUNO;VECES_CCON;CREDITOS_ADMIN;CREDITOS_EI_CUATRO;CREDITOS_HSE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
40;45;47;43;1;43;50;40;15.0;1;1;0;1;35.833333333333336;43;42;1;40.666666666666664;47;1;1;7;38;15.0;34;1;1;40;2;45;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;44.411764705882355
38;48;32;42;1;41;44;32;15.0;1;1;0;1;34.111111111111114;37;35;1;34.333333333333336;37;1;1;7;34;15.0;35;1;1;39;2;30;7;32;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;2.0;38.705882352941174
40;45;48;50;1;46;45;34;15.0;1;1;1;1;35.27777777777778;42;41;1;38.46666666666667;45;1;1;7;34;15.0;41;1;1;37;2;45;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;44.23529411764706
34;44;50;43;1;39;44;42;15.0;1;1;1;1;39.166666666666664;47;41;1;35.266666666666666;44;1;1;7;35;15.0;39;1;1;35;2;32;7;34;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;42.294117647058826
43;45;46;33;1;40;49;40;15.0;1;1;0;1;35.05555555555556;43;46;1;40.666666666666664;49;1;1;7;33;15.0;42;1;1;38;2;47;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.1764705882353
38;40;45;49;1;40;50;38;15.0;1;1;0;1;36.0;42;43;1;40.266666666666666;40;1;1;7;37;15.0;44;1;1;43;2;46;7;33;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;42.35294117647059
39;44;43;43;1;43;39;32;15.0;1;2;0;1;35.55555555555556;40;38;1;36.733333333333334;41;1;1;7;30;15.0;47;1;1;31;2;48;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;40.470588235294116
44;44;45;50;1;49;50;37;15.0;1;1;1;1;37.05555555555556;46;44;1;38.2;37;1;1;7;34;15.0;42;1;1;33;2;45;7;32;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;44.35294117647059
41;43;50;47;1;47;0;42;15.0;1;1;0;1;42.27777777777778;43;45;1;37.8;41;0;1;7;35;15.0;43;1;1;39;2;44;7;33;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;44.46666666666667
0;45;0;0;1;0;0;0;7.0;0;0;0;0;41.0;41;41;0;40.142857142857146;0;0;0;4;0;7.0;47;1;1;32;2;44;4;0;0.0;1;0;0;2;3;2;2;0;2;1;2;3;1;3.0;45.0
35;47;46;42;1;37;47;32;15.0;1;1;0;1;34.44444444444444;43;35;1;36.93333333333333;43;1;1;7;37;15.0;40;1;1;35;2;42;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;40.64705882352941
44;47;44;40;1;40;49;38;15.0;1;1;0;1;36.77777777777778;47;46;1;42.4;50;1;1;7;35;15.0;47;1;1;45;2;47;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.94117647058823
42;44;50;47;1;45;50;33;15.0;1;2;0;1;35.72222222222222;42;42;1;37.266666666666666;31;1;1;7;30;15.0;49;1;1;40;2;44;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;42.11764705882353
0;0;0;36;0;0;0;0;2.0;0;0;0;0;31.428571428571427;0;0;0;32.0;0;0;1;1;32;2.0;0;0;0;0;2;0;1;0;0.0;0;0;0;2;3;2;2;0;2;0;2;3;1;2.0;36.0
36;45;41;43;1;37;47;34;15.0;1;1;2;1;36.44444444444444;42;48;1;39.0;45;1;1;7;35;15.0;45;1;2;41;2;38;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;40.76470588235294
0;0;0;0;0;0;40;0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;1;0;0;0;0.0;0;0;0;0;1;0;0;0;0.0;0;0;0;2;3;2;2;0;2;0;2;3;1;2.0;40.0
43;38;34;37;1;41;0;31;15.0;1;1;3;1;36.833333333333336;44;37;1;36.8;45;0;1;7;35;15.0;43;1;2;39;2;43;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;39.06666666666667
42;47;44;38;1;38;49;30;15.0;1;1;1;1;37.388888888888886;44;42;1;39.333333333333336;43;1;1;7;33;15.0;46;1;1;40;2;46;7;37;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;3.0;40.94117647058823
40;43;50;50;1;43;50;39;15.0;1;1;1;1;37.05555555555556;41;44;1;40.733333333333334;46;1;1;7;37;15.0;45;1;1;40;2;42;7;43;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;4.0;45.1764705882353
36;37;40;44;2;33;50;34;15.0;1;1;1;1;36.111111111111114;43;48;1;37.8;44;1;1;7;33;15.0;42;1;1;36;2;39;7;37;0.0;2;1;1;2;3;2;2;0;2;1;2;3;1;2.0;39.76470588235294
38;45;34;46;1;42;50;34;15.0;1;2;0;1;33.166666666666664;44;37;1;39.13333333333333;42;1;1;7;34;15.0;47;1;1;47;2;50;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;41.23529411764706
41;43;43;41;1;45;35;35;15.0;1;1;2;1;33.72222222222222;40;46;1;36.6;32;1;1;7;34;15.0;42;1;1;34;2;45;7;30;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;2.0;39.05882352941177
37;45;44;50;1;42;50;33;15.0;1;1;1;1;34.22222222222222;35;39;1;39.93333333333333;30;1;1;7;35;15.0;43;1;1;42;2;45;7;35;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;3.0;40.529411764705884
41;45;37;46;1;42;50;30;15.0;1;1;0;1;34.5;50;42;1;41.13333333333333;42;1;1;7;31;15.0;46;1;1;47;2;50;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;41.470588235294116
46;40;44;42;1;41;43;30;15.0;1;1;1;1;35.22222222222222;40;50;1;40.0;36;1;1;7;37;15.0;45;1;1;37;2;44;7;37;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;40.05882352941177
45;35;32;39;1;41;50;37;15.0;1;2;2;1;34.166666666666664;41;44;1;35.2;30;1;1;7;30;15.0;37;1;1;32;2;42;7;31;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;38.470588235294116
42;47;48;38;1;45;45;32;15.0;1;1;1;1;42.388888888888886;47;36;1;38.2;40;1;1;7;30;15.0;46;1;1;49;2;45;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;41.88235294117647
40;41;50;47;1;44;49;41;15.0;1;1;0;1;38.333333333333336;50;45;1;38.333333333333336;35;1;1;7;32;15.0;40;1;1;34;2;47;7;37;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.05882352941177
40;44;50;42;1;42;37;30;15.0;1;1;1;1;36.0;48;44;1;37.266666666666666;36;1;1;7;36;15.0;47;1;1;38;2;42;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;39.76470588235294
33;45;37;30;1;38;0;34;15.0;1;1;0;1;35.27777777777778;40;45;1;37.2;33;0;1;7;39;15.0;45;1;1;33;2;42;7;32;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;2.0;35.06666666666667
47;41;48;42;1;41;50;30;15.0;1;1;1;1;36.27777777777778;48;48;1;40.86666666666667;46;1;1;7;39;15.0;49;1;1;48;2;45;7;31;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;43.294117647058826
42;45;50;44;1;45;41;38;15.0;1;1;0;1;36.888888888888886;43;42;1;38.733333333333334;44;1;1;7;32;15.0;38;1;1;38;2;44;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.64705882352941
43;45;46;41;1;46;49;37;15.0;1;1;2;1;39.833333333333336;44;48;1;39.06666666666667;31;1;1;7;38;15.0;39;1;1;40;2;47;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;41.64705882352941
47;46;38;38;1;43;41;30;15.0;1;2;2;1;35.333333333333336;41;36;1;39.0;34;1;1;7;34;15.0;47;1;1;45;2;43;7;36;0.0;1;1;4;2;3;2;2;0;2;1;2;3;1;2.0;39.11764705882353
42;46;30;34;1;45;43;22;15.0;1;1;2;1;35.44444444444444;50;42;1;34.06666666666667;33;1;1;6;40;12.0;36;1;1;44;2;41;7;17;3.0;1;1;4;2;3;2;2;1;2;1;2;3;1;2.0;36.588235294117645
0;0;50;44;0;44;0;0;9.0;0;0;1;1;28.666666666666668;45;33;1;39.0;0;0;1;4;0;9.0;0;1;2;34;2;44;4;0;0.0;1;0;0;2;3;2;2;0;2;0;2;3;1;4.0;45.714285714285715
47;41;48;44;1;48;43;38;15.0;1;1;0;1;36.166666666666664;46;46;1;42.46666666666667;45;1;1;7;37;15.0;45;1;1;46;2;47;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;44.705882352941174
44;50;42;50;1;35;50;36;15.0;1;1;0;1;38.611111111111114;50;50;1;40.4;40;1;1;7;35;15.0;41;1;1;47;2;41;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;42.294117647058826
0;44;0;0;1;0;0;0;9.0;0;0;0;0;17.22222222222222;39;31;0;33.666666666666664;0;0;0;3;0;7.0;0;1;1;12;2;41;4;0;2.0;1;0;0;2;3;2;2;1;2;0;2;3;1;3.0;44.0
40;32;33;39;1;35;0;31;15.0;1;1;2;1;34.55555555555556;50;43;1;34.333333333333336;41;0;1;7;32;15.0;36;1;1;33;2;34;7;34;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;36.4
0;0;0;0;0;32;0;0;6.0;0;0;0;0;24.933333333333334;40;31;1;32.166666666666664;0;0;0;3;0;6.0;41;1;0;0;2;0;3;0;0.0;0;0;0;2;3;2;2;0;2;1;2;3;1;2.0;32.0
41;41;35;41;1;34;0;31;15.0;1;1;1;1;33.111111111111114;40;40;1;37.0;30;0;1;7;30;15.0;43;1;1;33;2;42;7;38;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;2.0;35.266666666666666
42;45;42;37;1;37;35;30;15.0;1;1;2;1;33.5;42;37;1;37.333333333333336;39;1;1;7;32;15.0;47;1;1;32;2;46;7;37;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;2.0;37.94117647058823
34;44;37;37;1;37;42;28;15.0;1;2;1;1;37.05555555555556;50;44;1;33.46666666666667;41;1;1;6;33;12.0;38;1;1;47;2;45;7;10;3.0;1;1;2;2;3;2;2;1;2;1;2;3;1;2.0;37.294117647058826
41;43;47;40;1;49;45;30;15.0;1;1;0;1;36.05555555555556;48;48;1;38.46666666666667;40;1;1;7;33;15.0;44;1;1;34;2;45;7;33;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;42.11764705882353
35;45;34;38;1;35;0;33;15.0;1;1;1;1;37.166666666666664;35;31;1;38.06666666666667;40;0;1;7;39;15.0;47;1;1;31;2;44;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;36.666666666666664
46;44;50;42;1;41;50;31;15.0;1;1;1;1;37.166666666666664;50;49;1;39.93333333333333;45;1;1;7;35;15.0;47;1;1;37;2;44;7;35;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;43.529411764705884
37;35;36;37;1;43;0;32;15.0;1;2;2;1;36.5;42;40;1;33.46666666666667;42;0;1;7;30;15.0;30;1;2;37;2;39;7;30;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;2.0;38.266666666666666
41;50;50;43;1;0;46;33;12.0;1;1;2;1;37.6;50;48;0;35.583333333333336;0;1;1;6;31;12.0;35;1;1;30;2;30;6;38;0.0;1;0;3;2;3;2;2;0;2;1;2;3;1;3.0;43.27272727272727
41;46;49;35;1;0;50;42;12.0;1;1;0;1;33.666666666666664;42;39;0;37.75;0;1;1;6;34;12.0;43;1;1;47;2;40;6;30;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;3.0;43.63636363636363
39;42;43;39;1;0;36;35;12.0;1;2;1;1;37.46666666666667;40;34;0;37.75;0;1;1;6;36;12.0;37;1;1;37;2;47;6;36;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;2.0;38.72727272727273
30;42;49;42;1;0;40;33;12.0;1;1;2;1;34.46666666666667;48;37;0;36.25;0;1;1;6;34;12.0;47;1;1;35;2;40;6;32;0.0;1;0;3;2;3;2;2;0;2;1;2;3;1;2.0;39.09090909090909
42;45;39;47;1;0;50;35;12.0;1;1;1;1;36.4;50;45;0;40.333333333333336;0;1;1;6;34;12.0;47;1;1;46;2;41;6;35;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;3.0;42.81818181818182
44;37;40;40;1;0;46;30;12.0;1;1;2;1;34.93333333333333;41;42;0;38.0;0;1;1;6;30;12.0;35;1;1;44;2;33;6;41;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;2.0;39.72727272727273
44;36;39;39;1;0;43;32;12.0;1;1;0;1;37.2;40;43;0;40.916666666666664;0;1;1;6;33;12.0;43;1;1;47;2;47;6;36;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;2.0;39.09090909090909
0;0;0;0;0;0;40;0;2.0;0;0;0;0;16.5;33;0;0;7.0;0;1;0;0;0;0.0;0;0;0;0;1;7;1;0;2.0;1;0;0;2;3;2;2;1;2;0;2;3;1;2.0;40.0
0;8;30;0;1;0;0;0;0.0;0;0;0;1;0.0;0;0;0;0.0;0;0;0;0;0;0.0;0;0;0;0;1;0;0;0;0.0;0;0;0;2;3;2;2;0;2;0;2;3;1;1.0;22.666666666666668
0;0;0;0;0;0;44;0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;1;0;0;0;0.0;0;0;0;0;1;0;0;0;0.0;0;0;0;2;3;2;2;0;2;0;2;3;1;3.0;44.0
43;0;0;0;0;0;42;0;9.0;1;0;1;0;31.866666666666667;44;46;0;37.44444444444444;0;1;0;4;28;7.0;41;1;1;32;2;42;5;0;2.0;1;0;0;2;3;2;2;1;2;2;2;3;1;3.0;42.5
41;36;30;35;1;0;47;30;12.0;1;2;1;1;34.13333333333333;48;46;0;39.0;0;1;1;6;38;12.0;48;1;1;37;2;44;6;30;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;2.0;36.54545454545455
31;42;30;31;1;0;37;33;12.0;1;1;2;1;34.333333333333336;33;36;0;35.25;0;1;1;6;34;12.0;37;1;2;42;2;33;6;32;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;2.0;33.27272727272727
45;45;47;47;1;0;0;39;12.0;1;1;0;1;40.733333333333334;46;42;0;37.916666666666664;0;0;1;6;37;12.0;37;1;1;30;2;46;6;36;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;3.0;44.55555555555556
40;46;49;38;1;0;0;31;12.0;1;1;0;1;33.733333333333334;38;42;0;36.0;0;0;1;6;31;12.0;44;1;1;38;2;38;6;30;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;3.0;40.22222222222222
46;47;41;40;1;0;0;32;12.0;1;1;0;1;35.2;45;40;0;37.75;0;0;1;6;30;12.0;47;1;1;44;2;41;6;32;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;3.0;40.55555555555556
44;44;48;41;1;0;0;34;12.0;1;1;1;1;36.333333333333336;42;38;0;39.833333333333336;0;0;1;6;37;12.0;50;1;1;44;2;47;6;32;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;3.0;42.0
44;48;36;43;1;0;0;30;12.0;1;1;0;1;35.2;50;42;0;37.083333333333336;0;0;1;6;35;12.0;46;1;1;45;2;31;6;31;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;2.0;39.333333333333336
38;47;38;34;1;0;0;40;12.0;1;1;0;1;32.53333333333333;42;39;0;37.083333333333336;0;0;1;6;30;12.0;38;1;1;44;2;41;6;33;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;2.0;38.55555555555556
41;45;35;35;1;0;0;33;12.0;1;1;2;1;33.266666666666666;40;43;0;37.916666666666664;0;0;1;6;32;12.0;43;1;2;42;2;44;6;30;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;2.0;37.0
0;0;38;0;0;0;0;0;6.0;0;0;0;1;22.916666666666668;31;35;0;37.666666666666664;0;0;0;3;0;6.0;0;1;1;47;2;31;3;0;0.0;1;0;0;2;3;2;2;0;2;0;2;3;1;2.0;38.0
42;37;38;47;1;0;0;35;12.0;1;1;0;1;35.13333333333333;40;44;0;38.5;0;0;1;6;38;12.0;46;1;1;33;2;42;6;34;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;3.0;40.111111111111114
37;48;43;30;1;0;0;30;12.0;1;1;2;1;33.2;35;42;0;38.416666666666664;0;0;1;6;36;12.0;43;2;1;48;2;38;6;30;0.0;2;0;1;2;3;2;2;0;2;1;2;3;1;2.0;36.44444444444444
35;45;47;43;1;0;0;37;12.0;1;1;1;1;36.2;47;39;0;33.5;0;0;1;6;30;12.0;46;1;1;32;2;32;6;30;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;3.0;41.0
46;46;49;44;1;0;0;34;12.0;1;1;1;1;33.86666666666667;47;45;0;39.75;0;0;1;6;38;12.0;47;1;1;48;2;30;6;36;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;3.0;43.55555555555556
32;47;39;44;1;0;0;37;12.0;1;1;0;1;33.86666666666667;44;47;0;40.833333333333336;0;0;1;6;35;12.0;44;1;1;47;2;43;6;34;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;2.0;39.0
34;44;39;34;1;0;0;0;9.0;1;0;1;1;33.2;46;43;0;40.0;0;0;1;5;35;9.0;44;1;2;35;2;45;5;0;0.0;1;0;0;2;3;2;2;0;2;1;2;3;1;2.0;36.857142857142854
33;41;35;31;1;0;0;37;12.0;1;1;0;1;31.666666666666668;37;49;0;40.083333333333336;0;0;1;6;36;12.0;48;1;1;44;2;41;6;31;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;2.0;34.77777777777778
0;45;25;0;1;0;0;0;7.0;0;0;0;1;31.0;50;43;0;41.42857142857143;0;0;0;4;0;7.0;42;1;1;40;2;41;4;0;0.0;1;0;0;2;3;2;2;0;2;1;2;3;1;2.0;31.666666666666668
32;32;42;32;1;0;0;33;12.0;1;1;1;1;34.266666666666666;35;32;0;35.833333333333336;0;0;1;6;30;12.0;42;1;1;47;2;34;6;34;0.0;1;0;3;2;3;2;2;0;2;1;2;3;1;2.0;34.44444444444444
38;44;38;36;1;0;0;31;12.0;1;1;1;1;33.53333333333333;43;40;0;35.0;0;0;1;6;32;12.0;40;1;1;37;2;30;6;34;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;2.0;36.666666666666664
36;40;40;44;1;0;0;0;9.0;1;0;1;1;34.0;46;35;0;38.333333333333336;0;0;1;5;30;9.0;41;1;1;44;2;43;5;0;0.0;1;0;0;2;3;2;2;0;2;1;2;3;1;2.0;40.0
42;42;47;47;1;0;0;45;12.0;1;1;1;1;37.6;45;47;0;40.166666666666664;0;0;1;6;36;12.0;43;1;1;33;2;45;6;39;0.0;1;0;2;2;3;2;2;0;2;1;2;3;1;3.0;44.888888888888886
43;38;46;45;1;0;0;30;12.0;1;1;0;1;34.6;38;32;0;34.666666666666664;0;0;1;6;34;12.0;40;1;1;33;2;44;6;30;0.0;1;0;1;2;3;2;2;0;2;1;2;3;1;3.0;40.666666666666664
