NOTA_SUELOS;NOTAS_SISC;NOTA_TOP;NOTA_GEOGEO;NOTA_POO;VECES_BD;NOTA_ME;NOTA_ECUA;CAR_CINCO;NOTA_PROGB;NOTA_FOTO;NOTA_CARTO;LITERATURA_ICFES;VECES_CARTO;NOTA_CFJC;VECES_SISC;NCA_CUATRO;NOTA_PROB;NOTA_AGEO;NOTA_BD;NOTA_PRII;NOTA_ECO_UNO;VECES_ME;VECES_EST;NAC_CINCO;NCA_CINCO;NCC_CINCO;EPA_CINCO;EPA_CUATRO;NAP_CINCO;NAA_CINCO;VECES_ECO_UNO;VECES_AGEO;NOTA_EST;NCP_CINCO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;PROMEDIO_CUATRO;PROMEDIO_CINCO;CREDITOS_ECO_UNO;CREDITOS_EST;CREDITOS_BD;CREDITOS_AGEO;CREDITOS_ME;CREDITOS_SISC;CREDITOS_CARTO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
40;43;35;50;50;1;45;40;0;45;38;33;54.87;1;42;1;17.0;40;40;45;40;38;1;1;7;18.0;18.0;2;2;0;7;1;1;40;0.0;37.35294117647059;37.666666666666664;43.05555555555556;43.1764705882353;40.5;2;2;3;3;2;3;3;3.0;40.06666666666667
30;32;35;36;50;1;39;30;0;30;45;38;54.87;1;45;1;17.0;30;33;32;36;35;1;1;7;18.0;18.0;2;2;0;7;1;1;40;0.0;34.411764705882355;35.0;36.833333333333336;35.64705882352941;35.166666666666664;2;2;3;3;2;3;3;2.0;35.2
40;38;30;36;30;2;36;34;2;45;35;37;57.88;1;40;1;17.0;32;30;32;44;37;1;1;7;18.0;18.0;2;2;0;7;1;2;39;0.0;33.23529411764706;32.666666666666664;33.611111111111114;37.8235294117647;35.27777777777778;2;2;3;3;2;3;3;2.0;38.93333333333333
30;34;35;34;50;1;34;35;2;30;30;39;51.41;1;45;2;17.0;40;32;32;34;30;2;1;7;18.0;18.0;2;2;0;7;1;1;44;0.0;32.35294117647059;38.0;35.0;36.1764705882353;34.833333333333336;2;2;3;3;2;3;3;2.0;37.2
35;30;35;30;40;1;30;30;1;45;35;38;57.32;1;45;1;17.0;30;32;42;30;32;1;1;7;18.0;18.0;2;2;0;7;2;1;42;0.0;34.705882352941174;34.333333333333336;34.55555555555556;33.705882352941174;35.22222222222222;2;2;3;3;2;3;3;2.0;38.93333333333333
30;42;35;31;44;1;0;34;1;30;30;0;46.97;0;45;1;14.0;35;30;33;35;39;0;1;5;13.0;13.0;2;2;0;5;1;2;41;0.0;31.470588235294116;35.333333333333336;33.0;33.857142857142854;36.53846153846154;2;2;3;3;2;3;3;2.0;36.142857142857146
34;30;30;30;30;2;33;34;2;30;41;35;53.24;1;44;1;17.0;33;35;34;39;30;1;1;7;18.0;18.0;2;2;0;7;1;2;38;0.0;31.294117647058822;32.0;36.0;33.588235294117645;33.55555555555556;2;2;3;3;2;3;3;2.0;38.2
34;31;30;32;39;1;31;37;4;30;32;33;51.14;2;37;1;17.0;42;35;30;32;38;1;2;7;18.0;18.0;2;2;0;7;2;2;42;0.0;30.58823529411765;33.0;34.27777777777778;36.294117647058826;33.833333333333336;2;2;3;3;2;3;3;2.0;35.46666666666667
30;39;30;32;50;1;37;37;1;50;30;40;53.24;1;35;1;17.0;30;43;39;35;38;1;1;7;18.0;18.0;2;2;0;7;1;2;48;0.0;35.0;33.333333333333336;34.77777777777778;35.88235294117647;40.5;2;2;3;3;2;3;3;2.0;38.2
30;30;35;40;30;1;35;30;2;30;30;40;44.9;1;40;1;17.0;46;40;38;37;35;2;1;7;18.0;18.0;2;2;0;7;1;2;41;0.0;32.05882352941177;33.333333333333336;30.555555555555557;37.8235294117647;37.0;2;2;3;3;2;3;3;2.0;36.53333333333333
30;38;35;33;35;1;31;31;1;30;35;37;44.91;1;30;1;17.0;41;42;38;35;33;1;1;7;18.0;18.0;2;2;0;7;1;2;41;0.0;32.94117647058823;36.333333333333336;31.72222222222222;36.8235294117647;37.5;2;2;3;3;2;3;3;2.0;39.4
38;35;40;32;34;1;30;34;3;44;40;40;46.97;1;30;1;17.0;42;42;30;41;37;3;1;7;18.0;18.0;2;2;0;7;2;2;43;0.0;37.1764705882353;33.06666666666667;34.27777777777778;38.88235294117647;36.72222222222222;2;2;3;3;2;3;3;2.0;37.266666666666666
30;43;35;32;35;2;30;40;1;30;40;42;64.21;1;45;1;17.0;41;30;43;39;33;1;1;7;18.0;18.0;2;2;0;7;1;1;43;0.0;32.94117647058823;36.0;34.44444444444444;37.1764705882353;38.111111111111114;2;2;3;3;2;3;3;3.0;40.46666666666667
33;38;30;33;32;1;33;33;1;30;39;36;68.15;1;34;1;17.0;30;38;31;46;30;2;1;7;18.0;18.0;2;2;0;7;1;1;38;0.0;32.35294117647059;33.0;34.55555555555556;35.705882352941174;35.05555555555556;2;2;3;3;2;3;3;2.0;36.13333333333333
30;31;30;30;40;1;32;33;1;35;36;37;56.79;1;37;1;17.0;40;32;30;42;30;1;1;7;18.0;18.0;2;2;0;7;2;1;34;0.0;33.411764705882355;31.333333333333332;34.388888888888886;35.35294117647059;32.333333333333336;2;2;3;3;2;3;3;2.0;36.4
40;37;30;37;30;1;30;34;0;30;33;39;56.57;1;40;1;17.0;48;35;31;39;30;1;1;7;18.0;18.0;2;2;0;7;1;1;43;0.0;31.176470588235293;34.333333333333336;33.388888888888886;39.529411764705884;35.111111111111114;2;2;3;3;2;3;3;3.0;43.333333333333336
35;34;30;33;40;1;31;35;1;30;40;45;65.59;1;40;1;17.0;30;30;39;37;38;1;1;7;18.0;18.0;2;2;0;7;2;1;48;0.0;31.176470588235293;36.666666666666664;35.0;37.529411764705884;37.666666666666664;2;2;3;3;2;3;3;3.0;40.733333333333334
32;43;35;36;32;1;39;34;1;30;35;41;46.97;1;35;1;17.0;35;43;44;38;31;1;1;7;18.0;18.0;2;2;0;7;1;2;39;0.0;34.294117647058826;32.666666666666664;33.833333333333336;38.470588235294116;40.611111111111114;2;2;3;3;2;3;3;3.0;40.93333333333333
0;0;25;0;0;0;0;0;0;0;0;0;54.66;0;0;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;1;0;0;0;0;0;0.0;25.0;27.0;0.0;0.0;0.0;2;2;3;3;2;3;3;4.0;50.0
30;30;30;39;34;1;33;30;3;50;36;34;45.12;1;40;1;17.0;32;36;37;30;30;1;2;7;18.0;18.0;2;2;0;7;2;2;30;0.0;37.8235294117647;35.0;34.388888888888886;35.470588235294116;33.166666666666664;2;2;3;3;2;3;3;2.0;33.8
35;32;35;30;43;1;35;30;2;40;42;41;62.59;1;46;1;17.0;30;33;32;38;36;1;1;7;18.0;18.0;2;2;0;7;2;2;34;0.0;37.64705882352941;34.666666666666664;36.72222222222222;35.8235294117647;34.666666666666664;2;2;3;3;2;3;3;2.0;35.666666666666664
35;42;30;34;50;1;30;30;2;35;35;43;65.43;1;40;1;17.0;30;36;35;40;30;2;1;7;18.0;18.0;2;2;0;7;1;2;48;0.0;33.23529411764706;37.666666666666664;35.27777777777778;35.1764705882353;38.0;2;2;3;3;2;3;3;3.0;40.733333333333334
0;0;30;0;0;0;0;0;0;45;0;0;47.41;0;0;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;1;0;0;0;0;0;0.0;33.92857142857143;32.333333333333336;0.0;0.0;0.0;2;2;3;3;2;3;3;4.0;50.0
33;38;35;34;33;1;38;36;3;50;35;36;56.79;2;35;1;17.0;37;38;38;37;38;2;1;7;18.0;18.0;2;2;0;7;3;1;36;0.0;37.0;33.666666666666664;32.833333333333336;34.64705882352941;37.44444444444444;2;2;3;3;2;3;3;2.0;37.733333333333334
40;30;35;32;32;1;34;35;1;41;40;38;53.3;1;45;1;17.0;45;39;37;36;35;1;1;7;18.0;18.0;2;2;0;7;1;2;44;0.0;35.76470588235294;36.333333333333336;34.77777777777778;36.76470588235294;36.55555555555556;2;2;3;3;2;3;3;2.0;38.06666666666667
37;30;30;38;30;1;20;33;3;35;34;44;44.91;1;40;1;15.0;45;30;36;34;30;4;1;7;16.0;18.0;2;2;1;6;3;3;30;2.0;33.8235294117647;30.666666666666668;33.166666666666664;36.86666666666667;32.22222222222222;2;2;3;3;2;3;3;1.0;30.0
0;0;0;0;0;0;0;0;0;15;0;0;52.97;0;0;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;1;0;0;0;0;0;0.0;16.636363636363637;34.0;0.0;0.0;0.0;2;2;3;3;2;3;3;4.0;50.0
36;0;30;0;32;1;0;0;1;30;39;0;61.76;0;35;0;6.0;0;0;24;0;35;0;0;2;2.0;5.0;1;2;1;1;2;0;0;3.0;30.294117647058822;34.0;33.916666666666664;32.833333333333336;28.4;2;2;3;3;2;3;3;2.0;39.0
35;44;35;31;40;1;32;34;1;50;35;46;53.3;1;45;1;17.0;30;35;35;46;32;2;1;7;18.0;18.0;2;2;0;7;1;1;39;0.0;36.470588235294116;33.0;36.22222222222222;36.11764705882353;38.111111111111114;2;2;3;3;2;3;3;2.0;37.266666666666666
35;43;35;42;30;1;40;45;0;50;35;40;58.76;1;45;1;17.0;50;37;34;41;38;1;1;7;18.0;18.0;2;2;0;7;1;1;46;0.0;37.94117647058823;36.0;36.388888888888886;40.529411764705884;39.44444444444444;2;2;3;3;2;3;3;2.0;39.266666666666666
35;36;35;38;30;2;0;35;1;35;40;37;58.52;1;45;1;12.0;35;21;34;37;24;0;1;6;11.0;16.0;2;2;2;4;1;1;46;5.0;33.23529411764706;34.333333333333336;32.77777777777778;36.25;32.75;2;2;3;3;2;3;3;2.0;39.125
30;41;30;30;37;1;32;35;1;40;36;44;53.5;1;41;1;17.0;39;32;36;40;33;1;1;7;18.0;18.0;2;2;0;7;1;2;40;0.0;33.23529411764706;36.333333333333336;34.44444444444444;36.588235294117645;37.166666666666664;2;2;3;3;2;3;3;2.0;36.666666666666664
30;38;30;33;45;1;33;30;2;35;36;43;47.18;1;44;1;17.0;30;31;35;36;35;1;1;7;18.0;18.0;2;2;0;7;2;2;30;0.0;32.1764705882353;36.0;35.27777777777778;34.8235294117647;35.388888888888886;2;2;3;3;2;3;3;2.0;39.666666666666664
30;36;30;32;35;1;35;38;0;30;40;39;55.65;1;40;1;17.0;43;32;30;37;35;1;1;7;18.0;18.0;2;2;0;7;1;1;40;0.0;30.58823529411765;35.666666666666664;34.333333333333336;37.8235294117647;35.05555555555556;2;2;3;3;2;3;3;2.0;37.53333333333333
35;44;30;37;45;1;32;40;0;50;40;44;54.66;1;40;1;17.0;35;36;40;40;31;1;1;7;18.0;18.0;2;2;0;7;1;1;42;0.0;35.588235294117645;37.333333333333336;36.666666666666664;37.94117647058823;39.0;2;2;3;3;2;3;3;2.0;37.733333333333334
11;0;40;30;0;0;0;25;0;35;34;0;51.43;0;0;0;5.0;31;0;0;0;0;0;0;0;0.0;0.0;1;2;0;0;0;0;0;0.0;30.176470588235293;34.0;13.933333333333334;30.4;0.0;2;2;3;3;2;3;3;2.0;36.0
30;30;30;38;33;2;14;13;3;40;45;37;49.09;2;35;1;12.0;42;30;34;35;35;1;1;7;14.0;18.0;1;2;2;5;3;1;11;4.0;32.94117647058823;36.0;30.444444444444443;39.416666666666664;28.5;2;2;3;3;2;3;3;1.0;28.8
30;40;30;30;30;1;37;38;1;50;30;38;47.18;1;40;1;17.0;45;33;30;36;36;2;1;7;18.0;18.0;2;2;0;7;1;1;37;0.0;35.88235294117647;37.0;32.72222222222222;36.470588235294116;35.72222222222222;2;2;3;3;2;3;3;2.0;37.2
