RENDIMIENTO_DOS;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_UNO;PG_ICFES;NCA_UNO;EPA_UNO;NAP_UNO;NCP_UNO;IDIOMA_ICFES;VECES_POO;NAA_UNO;VECES_CIR_UNO;VECES_EYB;VECES_DEM;CAR_UNO;QUIMICA_ICFES;ANO_INGRESO;GENERO;NCC_UNO;VECES_HCI;BIOLOGIA_ICFES;NAC_UNO;APT_VERB_ICFES;PROMEDIO_DOS;FILOSOFIA_ICFES;FISICA_ICFES;CREDITOS_HCI
2.0;40;35;35;50;45;30;30;1;1;37.64705882352941;423.91;17.0;2;0;0.0;58.45;1;7;2;1;1;0;56.05;2009;1;17.0;1;48.23;7;56.57;37.1875;47.08;52.53;1
2.0;45;40;30;35;45;30;30;2;1;38.529411764705884;418.44;17.0;2;0;0.0;57.13;1;7;2;1;1;0;49.3;2009;1;17.0;1;46.34;7;46.97;36.25;47.08;54.91;1
2.0;35;33;35;35;45;30;40;2;3;37.0;377.48;15.0;2;0;0.0;52.09;1;6;2;1;1;3;50.66;2009;0;15.0;1;38.26;6;47.14;34.625;43.59;49.32;1
2.0;50;40;30;35;45;30;35;1;1;36.76470588235294;465.0;17.0;2;0;0.0;47.66;1;7;1;1;1;0;52.46;2009;0;17.0;1;55.53;7;49.43;37.5;62.81;58.68;1
2.0;50;30;30;30;50;35;45;3;1;36.333333333333336;411.65;15.0;2;0;0.0;45.98;1;6;1;1;1;2;44.28;2009;0;15.0;1;55.8;6;46.97;36.875;44.33;54.91;1
2.0;30;30;30;45;50;25;45;4;2;34.666666666666664;420.9;15.0;2;0;0.0;65.86;1;6;5;1;1;1;50.94;2009;0;15.0;1;53.85;6;48.95;33.125;47.08;54.91;1
1.0;15;0;20;15;40;0;25;0;4;33.666666666666664;412.11;14.0;2;1;1.0;53.32;3;5;0;1;1;3;52.16;2009;0;15.0;3;55.79;6;56.79;20.0;39.26;58.23;1
1.0;15;0;0;15;15;0;15;0;0;24.666666666666668;443.18;8.0;1;2;7.0;48.43;1;4;0;1;1;2;56.05;2009;0;15.0;1;62.35;6;52.77;15.0;46.69;52.53;1
2.0;35;35;35;40;50;35;30;1;2;32.64705882352941;433.97;17.0;2;0;0.0;54.57;2;7;3;1;1;1;47.67;2009;0;17.0;1;62.35;7;52.77;36.25;41.86;50.09;1
2.0;30;30;30;30;50;30;35;2;1;35.294117647058826;408.12;17.0;2;0;0.0;54.57;1;7;2;1;1;1;47.13;2009;0;17.0;1;40.23;7;51.08;31.5625;42.25;53.45;1
2.0;35;30;30;30;40;26;40;2;3;32.333333333333336;416.94;15.0;2;0;0.0;44.74;2;6;4;1;1;2;55.57;2009;0;15.0;2;53.84;6;49.15;31.4375;39.64;53.45;1
