PROMEDIO_TRES;PROMEDIO_DOS;NOTA_INT;NCA_DOS;NCA_TRES;NOTA_FIS_DOS;PG_ICFES;NOTA_FIS_TRES;BIOLOGIA_ICFES;VECES_FIS_TRES;CON_MAT_ICFES;PROMEDIO_UNO;FISICA_ICFES;NOTA_EL_UNO;NOTA_DEM;NAA_TRES;VECES_INT;NAA_DOS;NOTA_CIR_DOS;VECES_CIR_DOS;NAC_TRES;NAP_TRES;NCC_TRES;EPA_TRES;CAR_TRES;VECES_EL_UNO;VECES_MULTI;NCP_TRES;NOTA_EE_UNO;VECES_DEM;VECES_ECUA;NOTA_ECUA;CAR_DOS;NOTA_MULTI;CREDITOS_MULTI;CREDITOS_FIS_TRES;CREDITOS_EL_UNO;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
29.72222222222222;28.235294117647058;27.5;11.0;12.0;30.0;461.1;30.0;53.95;1;75.27;35.0;58.93;30.0;45.0;5;2;4;25.0;3;7;2;18.0;1;3;2;2;6.0;35.0;1;1;30.0;2;25.0;3;3;3;2.0;36.333333333333336
35.294117647058826;34.411764705882355;30.0;17.0;17.0;35.0;497.25;35.0;70.81;1;67.54;38.75;69.69;30.0;0.0;6;1;6;40.0;1;6;0;17.0;2;1;1;1;0.0;45.0;0;2;30.0;1;35.0;3;3;3;2.0;39.666666666666664
32.638888888888886;33.970588235294116;30.0;14.0;18.0;35.0;499.7;35.0;62.54;1;72.55;35.0;64.0;30.0;45.0;7;2;5;30.0;1;7;0;18.0;2;1;1;1;0.0;35.0;1;2;32.5;2;30.0;3;3;3;2.0;39.4
34.705882352941174;34.85294117647059;27.5;14.0;17.0;35.0;472.03;30.0;58.09;2;72.55;40.416666666666664;64.0;30.0;0.0;6;2;5;40.0;1;6;0;17.0;2;1;1;1;0.0;40.0;0;1;30.0;2;40.0;3;3;3;2.0;37.333333333333336
16.666666666666668;15.0;0.0;0.0;1.0;0.0;508.98;0.0;62.54;0;78.22;25.454545454545453;58.93;0.0;50.0;1;0;0;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;0;0.0;3;3;3;1.0;20.0
33.77777777777778;34.11764705882353;35.0;17.0;18.0;35.0;520.07;35.0;65.0;1;89.86;35.833333333333336;58.93;30.0;40.0;7;1;6;30.0;1;7;0;18.0;2;0;1;1;0.0;44.0;1;1;35.0;1;30.0;3;3;3;2.0;38.0
38.333333333333336;35.294117647058826;30.0;17.0;18.0;35.0;482.55;35.0;60.25;1;69.99;36.666666666666664;56.51;40.0;45.0;7;1;6;40.0;1;7;0;18.0;2;0;1;1;0.0;45.0;1;1;35.0;0;35.0;3;3;3;3.0;43.0
40.0;35.0;0.0;3.0;2.0;0.0;499.31;0.0;67.71;0;78.22;39.54545454545455;64.0;0.0;0.0;1;0;1;0.0;0;1;0;2.0;2;0;0;0;0.0;40.0;0;0;0.0;0;0.0;3;3;3;2.0;35.0
35.0;25.0;0.0;2.0;3.0;22.5;443.65;0.0;58.09;0;60.49;32.27272727272727;69.69;0.0;45.0;2;0;1;0.0;0;2;0;3.0;2;0;0;0;0.0;30.0;1;0;0.0;5;0.0;3;3;3;1.0;28.5
34.411764705882355;34.411764705882355;35.0;17.0;17.0;35.0;460.6;30.0;53.95;1;65.16;36.666666666666664;58.93;30.0;0.0;6;1;6;35.0;1;6;0;17.0;2;0;1;1;0.0;45.0;0;1;35.0;1;35.0;3;3;3;2.0;36.0
24.0;35.0;30.0;15.0;10.0;40.0;469.88;30.0;58.09;1;69.99;35.0;58.93;0.0;45.0;4;1;5;30.0;1;6;2;15.0;1;0;0;1;5.0;0.0;1;1;30.0;0;15.0;3;3;3;2.0;36.0
33.38235294117647;31.764705882352942;35.0;17.0;14.0;30.0;472.66;35.0;62.54;1;72.55;33.333333333333336;54.12;30.0;0.0;5;1;6;27.5;2;6;1;17.0;2;1;1;1;3.0;40.0;0;1;30.0;0;40.0;3;3;3;2.0;36.0
35.55555555555556;31.764705882352942;30.0;17.0;18.0;30.0;466.5;30.0;51.92;1;75.27;40.833333333333336;61.41;45.0;45.0;7;1;6;35.0;2;7;0;18.0;2;1;1;1;0.0;35.0;1;1;35.0;0;30.0;3;3;3;2.0;40.0
11.6;18.88888889;25.0;0.0;0.0;10.0;507.0;1.0;58.09;1;67.54;25.378787879090908;61.41;0.0;0.0;0;2;0;0.0;0;2;2;5.0;1;0;0;0;5.0;27.5;0;0;0.0;3;0.0;3;3;3;1.0;25.0
29.166666666111112;33.529411764705884;30.0;17.0;12.0;35.0;451.26;25.0;58.09;3;67.54;37.5;64.0;23.33333333;40.0;5;1;6;30.0;2;7;2;18.0;1;3;3;1;6.0;35.0;1;1;30.0;1;30.0;3;3;3;2.0;36.0
28.529411764705884;31.058823529411764;30.0;15.0;5.0;30.0;496.04;25.0;62.54;2;55.71;35.833333333333336;64.0;25.0;0.0;2;1;5;27.5;2;6;4;17.0;1;4;2;2;12.0;40.0;0;1;30.0;1;27.5;3;3;3;2.0;35.266666666666666
36.666666666666664;30.0;30.0;14.0;3.0;35.0;484.72;0.0;60.25;0;78.22;36.81818181818182;56.51;0.0;40.0;2;1;5;0.0;0;2;0;3.0;2;0;0;0;0.0;35.0;1;0;0.0;0;0.0;3;3;3;2.0;32.0
32.35294117647059;32.64705882352941;22.5;11.0;17.0;30.0;458.0;30.0;58.09;1;60.49;33.333333333333336;64.0;35.0;0.0;6;2;4;30.0;1;6;0;17.0;2;0;1;1;0.0;35.0;0;1;30.0;2;35.0;3;3;3;2.0;31.333333333333332
15.0;15.0;0.0;0.0;1.0;0.0;474.12;0.0;60.25;0;62.82;28.636363636363637;56.51;0.0;45.0;1;0;0;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;0;0.0;3;3;3;1.0;15.0
31.61764705882353;36.3235294117647;30.0;17.0;11.0;35.0;457.32;27.5;53.95;2;58.13;32.083333333333336;66.74;25.0;0.0;4;1;6;40.0;1;6;2;17.0;2;2;2;1;6.0;40.0;0;1;30.0;1;30.0;3;3;3;2.0;36.05882352882353
30.0;33.38235294117647;30.0;14.0;9.0;27.5;469.54;27.5;60.25;2;69.99;38.75;58.93;22.5;45.0;4;3;5;25.0;3;7;3;18.0;1;3;2;1;9.0;45.0;1;1;30.0;2;30.0;3;3;3;2.0;31.08888888933333
15.0;15.0;0.0;0.0;0.0;0.0;475.1;0.0;55.99;0;67.54;17.727272727272727;58.93;0.0;0.0;0;0;0;0.0;0;1;1;2.0;1;0;0;0;2.0;15.0;0;0;0.0;0;0.0;3;3;3;1.0;15.0
15.0;15.0;0.0;0.0;1.0;0.0;476.96;0.0;65.51;0;53.42;24.09090909090909;63.43;0.0;45.0;1;0;0;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;1;0.0;3;3;3;1.0;15.0
15.0;15.0;0.0;0.0;0.0;0.0;354.43;0.0;38.26;0;44.48;15.0;54.12;0.0;0.0;0;0;0;0.0;0;1;1;2.0;1;0;0;0;2.0;15.0;0;0;0.0;0;0.0;3;3;3;1.0;15.0
