NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;IDIOMA_ICFES;VECES_CATEDRA_DEM;NOTA_EE_UNO;PG_ICFES;NAP_UNO;VECES_DIFERENCIAL;CON_MAT_ICFES;NOTA_CATEDRA_CON;VECES_EE_UNO;NOTA_CATEDRA_FJC;NCP_UNO;LOCALIDAD_COLEGIO;EPA_UNO;VECES_PROG_BASICA;BIOLOGIA_ICFES;LITERATURA_ICFES;VECES_TEXTOS;VECES_CATEDRA_CON;VECES_CATEDRA_FJC;VECES_SEMINARIO;QUIMICA_ICFES;CREDITOS_PROG_BASICA;CREDITOS_LOGICA;CREDITOS_CATEDRA_FJC;PROMEDIO_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
30.0;40.0;30.0;9;2;40.0;35.0;40.0;1;9;18.0;18.0;43.48;1;37.0;463.92;0;3;64.24;41.0;1;35.0;0.0;8;2;2;57.16;61.03;1;1;1;1;52.83;3;3;1;34.72222222222222;2.0;35.63157894736842
22.5;22.5;30.0;4;7;25.0;27.5;30.0;2;9;18.0;7.0;50.67;2;33.0;477.42;5;2;55.73;46.0;1;27.5;11.0;0;1;2;69.14;66.67;2;1;2;2;63.23;3;3;1;28.02777777777778;2.0;36.333333333333336
35.0;50.0;50.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;53.32;1;45.0;463.6;0;1;64.16;44.0;1;35.0;0.0;4;2;1;52.77;48.26;1;1;1;1;59.89;3;3;1;42.166666666666664;3.0;41.21052631578947
22.5;35.0;30.0;3;5;27.5;23.33333333;23.33333333;3;8;17.0;5.0;41.7;1;0.0;450.52;5;2;58.15;0.0;1;40.0;12.0;11;1;2;59.24;49.43;2;0;1;3;57.31;3;3;1;23.725490195294118;1.0;23.0
27.5;45.0;30.0;7;1;45.0;30.0;50.0;1;9;18.0;12.0;45.94;1;15.0;444.47;2;2;70.11;35.0;1;35.0;6.0;5;2;1;46.76;52.45;1;1;1;1;56.08;3;3;1;31.944444444444443;2.0;32.05882353
35.0;45.0;40.0;9;0;40.0;35.0;50.0;1;9;18.0;18.0;48.4;1;30.0;447.62;0;1;64.24;41.0;1;40.0;0.0;18;2;1;53.07;56.64;1;1;1;1;56.4;3;3;1;37.833333333333336;2.0;34.86842105263158
25.0;25.0;25.0;3;6;30.0;27.5;25.0;2;9;18.0;5.0;67.6;2;41.0;448.33;6;2;60.49;45.0;1;27.5;13.0;10;1;2;53.95;57.32;1;1;2;2;54.01;3;3;1;29.0;2.0;32.39473684157895
21.66666667;27.5;27.5;3;4;30.0;30.0;25.0;1;8;17.0;6.0;49.63;2;15.0;455.89;5;3;64.24;0.0;1;35.0;11.0;20;1;2;63.98;52.54;1;0;1;2;60.27;3;3;1;25.686274510588234;1.0;12.178571428571429
30.0;45.0;45.0;9;1;45.0;40.0;50.0;1;9;18.0;18.0;52.09;1;36.0;472.71;0;2;52.15;43.0;1;40.0;0.0;20;2;1;64.99;62.97;1;1;1;1;55.57;3;3;1;39.72222222222222;3.0;41.31578947368421
27.5;45.0;40.0;7;1;30.0;30.0;40.0;1;9;18.0;12.0;55.64;1;15.0;452.1;2;2;65.25;41.0;1;40.0;6.0;12;2;1;55.53;57.14;1;1;1;1;57.31;3;3;1;32.0;2.0;34.71052631578947
30.0;30.0;35.0;7;0;40.0;35.0;40.0;1;8;17.0;15.0;62.69;1;15.0;479.35;1;1;75.27;0.0;1;40.0;2.0;20;2;1;65.0;55.25;1;0;1;1;57.44;3;3;1;32.35294117647059;1.0;19.642857142857142
25.0;45.0;40.0;8;1;45.0;35.0;50.0;1;9;18.0;14.0;59.64;1;39.0;478.63;1;2;61.49;50.0;1;45.0;4.0;7;2;1;54.77;54.54;1;1;1;1;62.0;3;3;1;37.94444444444444;2.0;35.868421053157896
22.5;45.0;35.0;6;1;40.0;35.0;45.0;1;8;17.0;11.0;59.64;1;15.0;459.49;2;4;70.26;0.0;1;40.0;6.0;0;2;1;49.05;52.45;1;0;1;1;54.59;3;3;1;31.764705882352942;1.0;28.764705882941175
25.0;45.0;35.0;8;1;45.0;35.0;50.0;1;9;18.0;14.0;72.32;1;37.0;447.77;1;2;67.13;44.0;1;45.0;4.0;16;2;1;51.06;54.54;1;1;1;1;60.27;3;3;1;36.55555555555556;2.0;33.894736841052634
