NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_EI_IA;VECES_EI_IA;CREDITOS_EI_IA;NOTA_EI_IIA;VECES_EI_IIA;CREDITOS_EI_IIA;NOTA_EI_IIIA;VECES_EI_IIIA;CREDITOS_EI_IIIA;NOTA_TRABGRAD;VECES_TRABGRAD;CREDITOS_TRABGRAD;NOTA_TV;VECES_TV;CREDITOS_TV;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
49.0;27.5;35.0;27.5;42.388888888888886;23.5;41.0;30.0;0;43.0;49.0;47.0;3;3;49.0;1;3;38.0;2;3;49.0;2;3;40.0;1;3;44.0;1;2;44.529411764705884;3;17.0;17.0;0.0;6;6;0;2;2.0;38.2
45.0;31.357142857142858;30.0;45.0;38.388888888888886;41.0;37.0;25.0;0;43.0;50.0;50.0;3;3;35.0;0;3;40.0;2;3;45.0;2;3;38.0;2;3;41.0;1;2;42.92857142857143;4;14.0;17.0;3.0;5;6;1;2;3.0;40.25
47.0;33.285714285714285;30.0;23.5;38.111111111111114;34.0;33.0;40.0;0;42.0;47.0;47.0;3;3;47.0;1;3;47.0;3;3;47.0;2;3;31.0;2;3;44.0;1;2;43.8235294117647;4;17.0;17.0;0.0;6;6;0;2;2.0;34.766666666666666
45.0;29.107142857142858;32.0;25.0;40.388888888888886;33.0;39.0;30.0;0;46.0;45.0;48.0;2;3;45.0;1;3;37.0;2;3;45.0;2;3;39.0;1;3;43.0;1;2;42.8235294117647;3;17.0;17.0;0.0;6;6;0;2;2.0;39.666666666666664
43.0;40.57142857214286;35.0;30.0;38.55555555555556;35.0;31.0;27.5;0;43.0;44.0;38.0;3;3;44.0;1;3;30.0;2;3;43.0;2;3;37.0;1;3;34.0;2;2;37.88235294117647;4;17.0;17.0;0.0;6;6;0;2;2.0;38.13333333333333
38.0;36.142857142857146;30.5;31.0;36.416666666666664;24.33333333;31.0;27.5;0;34.0;48.0;42.0;1;3;48.0;1;3;46.0;1;3;38.0;2;3;35.0;1;3;44.0;1;2;42.05882352941177;1;17.0;17.0;0.0;6;6;0;2;1.0;28.333333333333332
45.0;25.089285714285715;16.66666667;30.0;32.33333333388889;32.0;30.0;30.0;1;31.0;44.0;44.0;1;3;39.0;1;3;37.5;3;3;45.0;3;3;40.0;1;3;43.0;1;2;41.3235294117647;2;17.0;17.0;0.0;6;6;0;2;2.0;37.4
47.0;31.071428571428573;40.0;30.0;44.333333333333336;48.0;45.0;35.0;0;47.0;42.0;42.0;2;3;42.0;1;3;43.0;2;3;47.0;2;3;42.0;1;3;38.0;1;2;42.588235294117645;3;17.0;17.0;0.0;6;6;0;2;2.0;39.13333333333333
45.0;31.5;25.5;19.5;38.361111111111114;39.0;34.0;30.0;1;46.0;44.0;44.0;3;3;39.0;0;3;45.0;2;3;45.0;2;3;36.0;1;3;47.0;1;2;43.142857142857146;3;14.0;17.0;3.0;5;6;1;2;3.0;40.333333333333336
49.0;41.714285714285715;32.0;35.0;38.166666666666664;33.0;33.0;25.0;0;42.0;44.0;44.0;1;3;44.0;2;3;34.0;1;3;49.0;2;3;41.0;1;3;41.0;1;2;42.23529411764706;2;17.0;17.0;0.0;6;6;0;2;2.0;36.583333333333336
45.0;27.928571427857143;39.0;35.0;40.666666666666664;39.0;41.0;35.0;1;43.0;47.0;47.0;3;3;33.0;0;3;46.0;2;3;45.0;2;3;37.0;1;3;48.0;1;2;44.357142857142854;3;14.0;17.0;3.0;5;6;1;2;2.0;39.666666666666664
48.0;31.785714285714285;32.0;33.0;41.72222222222222;39.0;42.0;40.0;0;43.0;44.0;44.0;1;3;40.0;1;3;38.0;2;3;48.0;2;3;43.0;1;3;50.0;1;2;43.470588235294116;2;17.0;17.0;0.0;6;6;0;2;1.0;21.666666666666668
44.0;35.57142857142857;40.0;50.0;44.666666666666664;43.0;47.0;35.0;0;50.0;48.0;48.0;2;3;40.0;0;3;39.0;3;3;44.0;2;3;37.0;2;3;48.0;1;2;42.857142857142854;4;14.0;17.0;3.0;5;6;1;2;2.0;39.5
48.0;40.357142857142854;40.0;50.0;44.388888888888886;50.0;43.0;35.0;0;43.0;49.0;49.0;2;3;31.0;0;3;44.0;3;3;48.0;2;3;40.0;1;3;46.0;1;2;45.357142857142854;3;14.0;17.0;3.0;5;6;1;2;3.0;40.5
42.0;39.07142857142857;35.0;25.0;36.80555555555556;30.0;28.5;30.0;1;32.0;47.0;47.0;3;3;33.0;0;3;34.0;2;3;42.0;2;3;35.0;1;3;40.0;2;2;39.57142857142857;4;14.0;17.0;3.0;5;6;1;2;2.0;39.416666666666664
44.0;30.714285714285715;35.0;40.0;42.833333333333336;36.0;36.0;40.0;0;45.0;48.0;48.0;3;3;30.0;0;3;46.0;2;3;44.0;2;3;37.0;1;3;42.0;1;2;43.5;3;14.0;17.0;3.0;5;6;1;2;2.0;39.166666666666664
44.0;30.0;35.0;50.0;42.888888888888886;41.0;42.0;30.0;0;46.0;46.0;46.0;1;3;40.0;1;3;34.0;2;3;44.0;2;3;47.0;2;3;45.0;1;2;42.529411764705884;3;17.0;17.0;0.0;6;6;0;2;2.0;39.8
45.0;30.678571428571427;27.5;35.0;36.63333333333333;20.5;0.0;23.33333333;1;43.0;40.0;40.0;3;3;33.0;0;3;41.0;2;3;45.0;2;3;31.0;1;3;46.0;0;2;39.25;3;12.0;17.0;5.0;4;6;2;2;1.0;27.555555555555557
