CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
60.51;68.41;14;79.57;66.99;461.66;64.91;35.333333333333336;30.0;35.0;35.0;7;0;40.0;35.0;40.0;1;7;15.0;15.0;1;0.0;0;1;0.0;0;25.272727272727273;1.0
71.35;59.21;5;68.87;66.48;462.02;62.11;35.24074074000001;23.33333333;35.0;40.0;8;1;45.0;30.0;45.0;1;9;18.0;14.0;1;37.0;1;3;42.0;1;30.333333333333332;2.0
121.49;47.21;16;67.71;63.27;453.94;53.22;32.46666666666667;39.0;31.0;25.0;5;2;13.5;38.0;39.0;1;7;15.0;10.0;1;0.0;2;1;0.0;0;8.875;1.0
110.39;77.13;14;63.88;61.2;480.41;64.72;41.22222222222222;41.0;40.0;45.0;9;0;50.0;34.0;32.0;1;9;18.0;18.0;1;41.0;0;1;45.0;1;34.0;2.0
64.12;79.81;2;62.09;83.48;465.36;70.13;32.50000000055556;31.0;18.0;37.0;6;3;24.66666667;39.0;44.0;1;9;18.0;14.0;4;35.0;3;1;30.0;1;35.19444444444444;2.0
76.37;50.86;9;58.75;56.77;419.71;56.18;39.05555555555556;30.0;36.0;42.0;9;0;50.0;37.0;42.0;1;9;18.0;18.0;1;40.0;0;1;50.0;1;34.83333333388889;2.0
81.47;70.18;15;61.54;61.4;427.11;60.16;37.6875;34.0;38.0;44.0;8;0;41.0;32.0;43.0;1;8;16.0;16.0;1;0.0;0;1;37.0;0;46.0;4.0
69.96;77.13;10;53.24;50.15;415.3;62.45;31.624999999375;30.0;30.0;35.0;7;1;34.0;20.33333333;39.0;3;8;16.0;13.0;1;0.0;1;1;41.0;0;24.0;1.0
72.11;70.18;20;71.7;54.54;427.46;60.16;28.97222222222222;24.5;33.0;39.0;5;3;24.5;32.5;43.0;2;9;18.0;9.0;1;17.0;4;2;9.0;1;31.944444444444443;2.0
87.61;59.9;6;51.93;56.66;418.55;58.25;37.166666666666664;31.0;38.0;40.0;9;1;48.0;37.0;42.0;1;9;18.0;18.0;1;32.0;0;1;36.0;2;33.22222222222222;2.0
79.59;71.53;11;62.09;66.12;427.9;50.41;38.111111111111114;40.0;34.0;41.0;8;0;43.0;45.0;43.0;1;9;18.0;16.0;1;10.0;1;1;43.0;1;33.5;2.0
76.65;59.9;20;54.13;53.09;412.59;54.32;37.27777777777778;27.0;37.0;42.0;8;1;36.0;40.0;43.0;1;9;18.0;14.0;1;37.0;1;2;46.0;1;32.25;2.0
74.79;66.03;5;51.3;55.44;416.15;60.38;34.22222222222222;28.0;33.0;37.0;7;2;43.0;27.0;39.0;2;9;18.0;11.0;1;37.0;2;3;40.0;1;32.44444444444444;2.0
73.85;85.05;20;53.82;63.72;412.76;56.23;41.72222222222222;40.0;34.0;43.0;9;0;47.0;44.0;43.0;1;9;18.0;18.0;1;34.0;0;1;50.0;1;35.44444444444444;2.0
74.79;47.58;5;49.94;52.28;395.97;54.35;32.5;28.0;31.0;40.0;6;2;35.0;24.0;42.0;2;9;18.0;9.0;1;26.0;3;2;45.0;1;35.888888888888886;2.0
69.96;69.93;10;73.69;55.8;423.0;58.25;38.611111111111114;31.0;40.0;46.0;8;1;43.0;42.0;42.0;1;9;18.0;17.0;1;36.0;1;1;24.0;1;34.05555555611111;2.0
76.65;53.32;15;51.9;53.09;401.92;52.42;42.166666666666664;40.0;42.0;45.0;9;0;43.0;43.0;34.0;1;9;18.0;18.0;1;42.0;0;1;45.0;1;36.416666666666664;2.0
