NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
1468;38.11764705882353;35.94117647058823;33.0;39.86666666666667;45.0;37.57142857142857;14;37.0;44.0;48.0;34.93333333333333;1;15;15;0;7;7;0;2;0.0;0;1;35.0;1;2;34.0;1;2;30.0;1;3;31.0;2;2;37.0;1;2;45.0;1;2;35.0;1;2;2;35.85714285714285
1469;34.94117647058823;35.23333333333333;30.0;38.36363636363637;38.0;32.65;10;25.5;44.0;42.0;33.33333333333334;1;6;4;2;3;2;1;2;0.0;0;1;0.0;0;2;35.0;1;2;0.0;0;3;27.0;3;2;38.0;1;2;0.0;0;2;0.0;0;2;2;39.4
1470;36.94117647058823;36.05882352941177;43.0;37.93333333333333;45.0;35.45;10;35.0;41.0;38.0;33.13333333333333;1;15;12;3;7;6;1;2;0.0;0;1;34.0;1;2;34.0;1;2;27.0;1;3;30.0;2;2;37.0;1;2;38.0;1;2;35.0;1;2;2;37.0
1471;43.0;38.64705882352941;36.0;40.0;39.0;40.21428571428572;14;45.0;45.0;42.0;37.06666666666667;0;15;15;0;7;7;0;2;0.0;0;1;34.0;1;2;36.0;1;2;42.0;1;3;32.0;1;2;39.0;1;2;37.0;1;2;37.0;1;2;3;41.42857142857143
1472;34.76923076923077;34.06666666666667;36.0;32.72727272727273;29.0;35.28571428571428;7;27.0;36.0;36.0;35.33333333333334;0;6;6;0;3;3;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;39.0;1;2;35.0;1;2;32.0;1;2;1;30.0
1473;35.2;36.25;26.5;41.57142857142857;0.0;40.66666666666666;3;0.0;38.0;0.0;40.0;0;2;2;0;1;1;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;2;40.0;1;2;0;0.0
1474;37.52941176470588;35.8235294117647;33.5;39.33333333333334;41.0;39.33333333333334;12;42.0;41.0;44.0;36.5;0;8;8;0;4;4;0;2;0.0;0;1;0.0;0;2;30.0;1;2;0.0;0;3;41.0;1;2;38.0;1;2;37.0;1;2;0.0;0;2;3;41.42857142857143
1477;36.8235294117647;34.52941176470588;32.0;39.0;44.0;37.3;10;38.0;42.0;40.0;33.2;1;15;12;3;7;6;1;2;0.0;0;1;30.0;1;2;30.0;1;2;28.0;1;3;31.0;2;2;37.0;1;2;43.0;1;2;36.0;1;2;2;38.57142857142857
1478;41.29411764705883;38.41176470588236;31.0;43.4;47.0;41.85714285714285;14;44.0;44.0;40.0;37.73333333333333;0;15;15;0;7;7;0;2;0.0;0;1;35.0;1;2;30.0;1;2;32.0;1;3;40.0;1;2;43.0;1;2;41.0;1;2;46.0;1;2;3;40.90909090909091
1481;38.94117647058823;40.0;35.0;42.69230769230769;47.0;39.04166666666666;12;45.0;39.0;47.0;36.26666666666667;2;15;15;0;7;7;0;2;0.0;0;1;39.0;1;2;32.0;2;2;31.0;1;3;36.5;2;2;39.0;1;2;41.0;1;2;38.0;1;2;2;37.5
1484;39.94117647058823;33.91176470588236;24.0;41.0;40.0;37.3;10;30.0;47.0;40.0;37.16666666666666;0;12;12;0;6;6;0;2;0.0;0;1;30.0;1;2;31.0;1;2;0.0;0;3;30.0;1;2;38.0;1;2;46.0;1;2;48.0;1;2;2;37.5
