NOTA_ASD;NOTA_CEM;NOTA_IO_UNO;NOTA_INSE;NOTA_IYM;NOTA_EE_UNO;NOTA_GENH;VECES_CEM;NOTA_EL_DOS;VECES_IYM;VECES_INSE;PROMEDIO_CUATRO;NOTA_MPI;VECES_EE_UNO;VECES_ASD;NAA_CUATRO;NOTA_GEE;NOTA_ME;NCC_CUATRO;NOTA_PYE;NCA_CUATRO;NOTA_CIR_TRES;NOTA_ELD;VECES_GENH;NCP_CUATRO;VECES_EL_DOS;VECES_IO_UNO;VECES_ME;CAR_CUATRO;NAP_CUATRO;NAC_CUATRO;EPA_CUATRO;VECES_PYE;CREDITOS_ASD;CREDITOS_IYM;CREDITOS_IO_UNO;CREDITOS_INSE;CREDITOS_GENH;CREDITOS_EE_UNO;CREDITOS_CEM;RENDIMIENTO_CINCO;PROMEDIO_CINCO
37;31;44;35;30;30;31;2;36;1;1;36.1764705882353;35;1;1;7;30;36;17.0;32;17.0;44;39;1;0.0;2;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;33.35294117647059
43;35;40;36;38;0;32;2;34;1;1;37.8235294117647;35;0;1;7;33;40;17.0;32;17.0;46;43;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;37.214285714285715
38;40;38;36;44;0;30;3;40;1;1;40.35294117647059;40;0;1;7;34;45;17.0;37;17.0;46;39;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;38.285714285714285
39;30;36;34;30;0;31;2;33;1;1;34.88235294117647;41;0;1;7;32;37;17.0;36;17.0;30;35;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;32.857142857142854
34;23;0;39;34;0;40;3;39;1;1;31.529411764705884;31;0;1;6;30;36;17.0;33;15.0;12;33;2;2.0;3;0;1;3;1;7;2;1;2;3;2;2;2;3;3;2.0;33.083333333333336
40;32;40;38;50;0;35;2;36;1;1;35.588235294117645;40;0;1;7;37;39;17.0;36;17.0;32;30;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.42857142857143
19;0;0;0;0;0;0;0;0;0;0;37.0;37;0;1;1;0;0;2.0;0;2.0;0;0;0;0.0;0;0;0;0;0;1;2;0;2;3;2;2;2;3;3;1.0;19.0
36;26;32;30;44;0;0;2;36;1;1;33.25;39;0;1;4;14;39;12.0;34;10.0;0;0;0;2.0;1;1;1;0;1;5;2;1;2;3;2;2;2;3;3;2.0;33.833333333333336
0;0;0;3;0;0;0;0;11;0;1;14.4;30;0;0;1;18;0;10.0;0;2.0;0;5;0;8.0;2;0;0;3;3;4;1;0;2;3;2;2;2;3;3;1.0;3.0
38;30;37;41;36;0;35;3;36;1;1;38.411764705882355;41;0;1;7;35;42;17.0;34;17.0;44;37;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;35.714285714285715
