RENDIMIENTO_TRES;IDIOMA_ICFES;PG_ICFES;FISICA_ICFES;ANO_INGRESO;APT_VERB_ICFES;QUIMICA_ICFES;FILOSOFIA_ICFES;GENERO;BIOLOGIA_ICFES;PROMEDIO_UNO;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_TRES
1.0;59.81;410.84;50.98;2009;54.87;45.38;44.33;0;53.84;32.666666666666664;15;30;30;0;15;35;45;1;3;15.25
2.0;39.11;445.52;50.09;2009;52.77;56.05;44.33;0;62.35;35.0;40;30;30;40;35;45;40;1;1;35.666666666666664
2.0;55.64;442.02;51.55;2009;57.14;42.03;56.09;0;55.53;36.1764705882353;40;30;35;40;40;35;50;1;2;35.0
2.0;54.64;475.31;55.16;2009;62.78;55.37;54.45;0;55.27;38.8235294117647;35;35;30;45;35;30;40;1;2;31.166666666666668
1.0;51.23;417.78;42.78;2009;55.4;59.09;56.81;0;48.23;29.0;15;0;15;0;0;0;45;0;5;15.0
1.0;49.65;416.6;55.85;2009;51.08;61.3;44.72;0;50.07;34.11764705882353;20;0;30;0;40;15;30;0;1;30.0
2.0;61.22;470.69;56.0;2009;62.59;57.04;54.45;0;54.55;40.588235294117645;35;40;35;45;30;30;45;1;1;34.166666666666664
1.0;62.81;440.42;46.37;2009;51.38;59.03;47.3;0;51.89;40.294117647058826;15;15;25;20;40;15;45;2;2;25.0
2.0;33.63;442.2;50.98;2009;51.08;48.83;49.38;0;60.01;35.88235294117647;35;30;30;50;40;30;40;1;2;35.166666666666664
2.0;45.2;437.73;45.75;2009;57.65;49.97;50.07;1;52.41;38.8235294117647;45;35;30;40;50;30;50;2;1;31.666666666666668
2.0;36.71;440.41;53.45;2009;51.08;53.84;48.98;0;57.84;35.0;35;30;30;40;30;35;50;2;1;30.5
2.0;51.56;430.74;51.55;2009;51.38;50.87;51.78;0;51.89;36.470588235294116;45;30;30;40;40;40;40;1;1;30.833333333333332
3.0;59.9;440.62;58.4;2009;44.9;45.02;52.09;1;52.41;37.05882352941177;45;30;35;35;40;45;50;2;1;40.5
