CON_MAT_ICFES;QUIMICA_ICFES;PG_ICFES;FISICA_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;LOCALIDAD;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIF;EPA_UNO;NOTA_PROGB;NOTA_FIS_UNO;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;PROMEDIO_DOS;NAA_DOS;NOTA_INT;VECES_INT;NCA_DOS;NOTA_FIS_DOS;CAR_DOS;PROMEDIO_TRES;NCA_TRES;NOTA_FIS_TRES;NOTA_EL_UNO;VECES_FIS_TRES;NOTA_DEM;PROMEDIO_CINCO;RENDIMIENTO_CINCO
72.55;55.7;430.29;46.84;48.43;55.99;0;20;51.21;30.3125;25.0;2;26.25;35.0;7.0;0.0;35.0;2;30.91176470588235;4;35.0;1;12.0;30.0;2;36.470588235294116;17.0;40.0;30.0;1;0.0;35.0;2.0
67.54;57.44;482.39;56.51;54.57;60.25;0;12;59.48;30.833333333333332;22.5;2;40.0;30.0;4.0;0.0;40.0;1;26.274509803529412;1;22.5;2;3.0;35.0;5;21.416666667111112;3.0;22.5;4.333333333;2;45.0;21.8333333335;1.0
62.82;55.7;471.05;69.69;54.57;60.25;0;20;59.48;31.818181818181817;22.5;2;40.0;35.0;4.0;0.0;35.0;1;33.38235294117647;5;22.5;2;14.0;50.0;2;18.731092437058827;2.0;14.14285714;3.0;7;0.0;40.0;2.0
60.49;48.97;410.43;58.93;44.74;53.95;0;19;51.21;35.416666666666664;30.0;2;35.0;40.0;0.0;0.0;40.0;0;36.76470588235294;6;40.0;1;17.0;35.0;0;38.23529411764706;17.0;35.0;35.0;1;0.0;44.4;3.0
62.82;57.44;482.43;72.97;71.53;58.09;0;20;59.48;32.9166666675;30.0;2;40.0;26.66666667;3.0;0.0;30.0;1;33.529411764705884;4;35.0;1;11.0;35.0;2;35.55555555555556;18.0;40.0;35.0;1;30.0;36.8;2.0
78.22;55.7;463.16;58.93;47.21;55.99;0;21;51.21;39.166666666666664;45.0;2;40.0;30.0;0.0;0.0;40.0;0;35.588235294117645;6;35.0;1;17.0;35.0;0;33.05555555555556;18.0;35.0;30.0;1;40.0;40.0;2.0
72.55;52.34;492.98;72.97;55.84;53.95;0;10;70.06;32.083333333333336;30.0;2;35.0;30.0;0.0;0.0;35.0;0;35.294117647058826;6;40.0;1;17.0;35.0;0;36.1764705882353;17.0;32.5;45.0;2;0.0;39.333333333333336;2.0
67.77;65.03;483.31;58.68;53.56;59.24;0;20;55.21;40.416666666666664;40.0;2;50.0;35.0;0.0;0.0;40.0;0;31.764705882352942;5;40.0;1;15.0;30.0;1;27.63888888888889;9.0;15.0;15.0;1;45.0;18.0;1.0
69.99;45.4;480.69;66.74;64.23;65.0;0;4;59.48;33.333333333333336;30.0;2;40.0;25.0;3.0;0.0;40.0;1;32.05882352941177;5;25.0;2;14.0;35.0;2;32.22222222222222;15.0;30.0;15.0;1;45.0;9.0;1.0
69.99;57.44;461.56;61.41;49.65;58.09;0;10;61.76;28.541666666666668;32.5;1;25.0;27.5;8.0;0.0;27.5;4;36.76470588235294;5;30.0;1;15.0;45.0;1;39.72222222222222;18.0;35.0;40.0;1;30.0;42.13333333333333;3.0
78.22;57.44;488.45;64.0;44.74;67.71;1;20;66.94;33.75;30.0;2;40.0;30.0;0.0;0.0;40.0;0;33.529411764705884;6;30.0;1;17.0;40.0;0;31.029411764705884;14.0;30.0;30.0;1;0.0;32.666666666666664;2.0
62.82;59.25;464.66;64.0;64.23;60.25;0;10;59.48;29.583333333333332;25.0;1;32.5;30.0;4.0;0.0;32.5;1;24.264705882352942;1;27.5;2;3.0;22.5;4;33.73529411764706;11.0;35.0;27.5;1;0.0;24.138888887500002;1.0
78.22;61.18;467.75;66.74;49.65;53.95;0;10;57.32;37.916666666666664;35.0;2;50.0;30.0;0.0;0.0;35.0;0;36.61764705882353;5;27.5;2;14.0;40.0;2;32.44444444444444;18.0;30.0;30.0;1;40.0;39.8;2.0
75.27;52.34;493.74;61.41;47.21;70.81;0;20;64.21;34.583333333333336;30.0;2;40.0;35.0;0.0;0.0;30.0;0;32.23529411764706;6;32.5;2;17.0;30.0;4;32.8235294117647;17.0;41.0;30.0;1;0.0;32.819444444999995;2.0
85.28;59.25;475.58;66.74;55.84;51.92;0;9;53.22;35.416666666666664;40.0;2;35.0;30.0;0.0;0.0;40.0;0;31.176470588235293;5;30.0;1;15.0;35.0;1;32.638888888888886;15.0;30.0;30.0;1;45.0;38.266666666666666;2.0
85.28;55.7;448.7;56.51;59.81;58.09;0;13;53.22;35.208333333333336;40.0;2;35.0;27.5;3.0;0.0;40.0;1;36.1764705882353;6;40.0;1;17.0;35.0;1;37.0;18.0;35.0;35.0;1;45.0;38.2;2.0
78.22;50.66;443.18;58.93;45.98;53.95;0;1;64.21;35.416666666666664;30.0;2;45.0;30.0;0.0;0.0;40.0;0;31.176470588235293;5;30.0;1;14.0;30.0;2;29.117647058235292;11.0;25.0;30.0;3;0.0;22.383333334;1.0
67.54;65.59;486.36;56.51;64.23;58.09;1;9;64.21;43.333333333333336;45.0;2;50.0;35.0;0.0;0.0;45.0;0;34.11764705882353;5;32.5;2;14.0;35.0;2;35.833333333333336;18.0;35.0;35.0;1;50.0;36.53333333333333;2.0
81.5;61.18;459.46;61.41;71.53;55.99;1;20;59.48;30.0;25.0;2;30.0;35.0;4.0;0.0;35.0;1;33.529411764705884;5;30.0;1;14.0;45.0;1;15.794117645882352;5.0;30.0;3.0;1;0.0;35.0;2.0
69.99;47.22;441.32;61.41;59.81;62.54;0;5;59.48;36.041666666666664;30.0;2;50.0;27.5;3.0;0.0;40.0;1;30.88235294117647;5;25.0;2;14.0;35.0;3;38.888888888888886;18.0;30.0;35.0;1;45.0;40.03333333333333;3.0
72.55;47.22;460.18;54.12;88.67;58.09;0;16;64.21;37.916666666666664;30.0;2;50.0;35.0;0.0;0.0;40.0;0;35.294117647058826;6;35.0;1;17.0;40.0;0;38.611111111111114;18.0;35.0;45.0;1;45.0;38.93333333333333;2.0
65.16;57.44;462.42;58.93;42.2;62.54;0;14;64.21;32.083333333333336;30.0;2;30.0;40.0;1.0;0.0;30.0;1;36.61764705882353;6;40.0;1;17.0;35.0;1;33.529411764705884;14.0;30.0;25.0;1;0.0;35.333333333333336;2.0
72.55;61.18;476.68;61.41;62.69;58.09;1;20;66.94;33.125;27.5;2;45.0;27.5;7.0;0.0;35.0;2;33.23529411705882;5;30.0;2;14.0;40.0;2;31.527777778333334;12.0;27.5;35.0;2;45.0;39.2;2.0
72.55;50.66;471.6;54.12;0.0;55.99;0;15;59.48;28.75;27.5;1;30.0;25.0;7.0;0.0;35.0;2;33.970588235294116;5;35.0;2;14.0;40.0;2;21.529411764705884;5.0;11.0;20.0;5;0.0;5.4;1.0
69.99;47.22;426.6;61.41;44.74;55.99;0;13;57.32;30.833333333333332;25.0;2;35.0;30.0;4.0;0.0;35.0;1;31.61764705882353;5;30.0;1;14.0;30.0;1;27.352941177058824;5.0;30.0;26.66666667;1;0.0;31.366666666666667;2.0
72.55;57.44;458.17;58.93;54.57;60.25;0;10;61.76;36.666666666666664;40.0;2;35.0;35.0;0.0;0.0;35.0;0;33.529411764705884;6;30.0;2;17.0;30.0;2;32.76470588235294;17.0;30.0;31.5;1;0.0;27.5;1.0
58.13;50.66;450.4;58.93;65.86;55.99;0;11;70.06;33.333333333333336;35.0;2;30.0;30.0;0.0;0.0;35.0;0;27.794117647058822;2;25.0;2;5.0;27.5;5;27.441176470588236;8.0;40.0;14.0;1;0.0;7.142857142857143;1.0
70.42;60.85;487.75;49.04;53.56;61.19;0;4;55.21;33.75;35.0;2;35.0;30.0;0.0;0.0;35.0;0;37.35294117647059;6;35.0;1;17.0;40.0;0;28.970588235294116;8.0;27.5;22.5;2;0.0;36.56666666666667;2.0
58.15;59.03;485.74;58.68;62.81;70.86;0;20;57.14;33.333333333333336;35.0;2;27.5;32.5;3.0;0.0;40.0;1;29.852941175882354;4;22.5;2;11.0;30.0;3;24.264705882941175;5.0;24.0;9.5;3;0.0;8.7;1.0
75.27;59.25;510.79;61.41;59.81;58.09;0;3;59.48;32.5;35.0;2;30.0;30.0;0.0;0.0;35.0;0;33.529411764705884;4;27.5;2;11.0;40.0;2;28.08823529411765;8.0;22.5;27.5;2;0.0;40.06666666666667;3.0
58.15;49.26;468.8;63.43;57.84;61.19;1;10;61.16;32.5;30.0;2;35.0;30.0;0.0;0.0;35.0;0;34.411764705882355;4;22.5;2;11.0;45.0;2;31.176470588235293;14.0;30.0;35.0;1;0.0;37.766666666666666;2.0
95.12;54.13;482.83;56.8;54.31;57.44;0;10;55.39;33.333333333333336;35.0;2;30.0;30.0;0.0;0.0;40.0;0;32.05882352941177;5;30.0;1;14.0;35.0;2;29.117647058235292;11.0;23.33333333;30.0;3;0.0;37.733333333333334;2.0
69.99;68.28;475.13;54.12;48.43;55.99;1;13;59.48;35.0;35.0;2;30.0;40.0;0.0;0.0;35.0;0;33.8235294117647;6;30.0;1;17.0;30.0;0;30.735294117647058;11.0;25.0;27.5;2;0.0;37.4;2.0
85.34;52.36;444.47;67.15;45.2;45.62;0;1;48.93;44.166666666666664;45.0;2;45.0;45.0;0.0;0.0;40.0;0;44.11764705882353;6;45.0;1;17.0;50.0;0;35.0;17.0;30.0;35.0;2;0.0;39.06666666666667;2.0
67.05;54.13;448.89;59.29;47.79;47.7;1;20;70.67;29.166666666666668;25.0;1;30.0;30.0;4.0;0.0;35.0;1;28.808823529411764;4;21.25;4;11.0;30.0;3;19.882352941764708;5.0;14.66666667;1.0;3;0.0;7.000000002;1.0
60.48;54.05;466.95;58.68;49.6;57.36;0;20;61.16;37.083333333333336;45.0;2;30.0;35.0;0.0;0.0;35.0;0;34.705882352941174;6;30.0;1;17.0;40.0;0;33.38235294117647;14.0;27.5;30.0;2;0.0;40.2;3.0
60.49;52.34;460.68;64.0;65.86;62.54;1;11;57.32;36.25;40.0;2;35.0;30.0;0.0;0.0;40.0;0;33.8235294117647;6;35.0;1;17.0;30.0;0;32.94117647058823;17.0;30.0;30.0;1;0.0;40.333333333333336;3.0
67.77;54.05;472.61;56.34;60.2;61.19;0;19;51.38;29.166666666666668;22.5;1;35.0;30.0;4.0;0.0;30.0;1;26.397058824117646;2;23.75;4;5.0;25.0;6;29.29411764764706;8.0;26.66666667;31.0;3;0.0;11.1;1.0
