NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_VARCOM;NOTA_TELEC_UNO;NAC_OCHO;NOTA_TELEMA_UNO;VECES_STG;CON_MAT_ICFES;NCA_OCHO;NCC_OCHO;PROMEDIO_SIETE;PROMEDIO_TRES;CAR_OCHO;NOTA_COMDIG;NOTAS_BDATOS;NCP_OCHO;NAA_OCHO;NOTA_BIOING_UNO;NCC_SIETE;EPA_OCHO;VECES_INSIND;VECES_BDATOS;VECES_TELEC_UNO;VECES_INGECO;VECES_C_UNO;VECES_BIOING_UNO;VECES_TELEMA_UNO;CREDITOS_STG;CREDITOS_BIOING_UNO;CREDITOS_C_UNO;CREDITOS_INGECO;CREDITOS_TELEC_UNO;CREDITOS_BDATOS;CREDITOS_TELEMA_UNO;CREDITOS_INSIND;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
42.0;39.07142857142857;35.0;25.0;36.80555555555556;30.0;28.5;30.0;1;32.0;47.0;40.0;36.0;8;37.0;1;65.16;15.0;18.0;31.75;34.411764705882355;1;37.0;50.0;3.0;7;42.0;12.0;2;2;1;1;1;1;1;1;1;2;3;2;3;2;2;3;2.0;39.57142857142857
44.0;30.714285714285715;35.0;40.0;42.833333333333336;36.0;36.0;40.0;0;45.0;48.0;40.0;48.0;8;41.0;1;72.55;18.0;18.0;38.333333333333336;33.38235294117647;0;44.0;50.0;0.0;8;49.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;43.5
44.0;30.0;35.0;50.0;42.888888888888886;41.0;42.0;30.0;0;46.0;46.0;35.0;43.0;8;40.0;1;75.27;18.0;18.0;42.0;35.55555555555556;0;43.0;50.0;0.0;8;48.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.529411764705884
45.0;30.678571428571427;27.5;35.0;36.63333333333333;20.5;0.0;23.33333333;1;43.0;40.0;25.0;30.0;7;34.0;1;67.54;12.0;15.0;29.430555555;29.166666666111112;1;35.0;41.0;3.0;6;48.0;12.0;2;0;1;1;1;2;1;1;1;2;3;2;3;2;2;3;2.0;39.25
47.0;36.464285714285715;29.0;35.0;37.5;28.33333333;36.0;30.0;1;38.0;45.0;45.0;35.0;8;35.0;1;55.71;15.0;18.0;32.74999999916667;28.529411764705884;1;36.0;47.0;3.0;7;44.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;2.0;39.8235294117647
45.0;32.6;19.0;25.0;34.888888888888886;33.0;34.0;27.5;1;37.0;46.0;25.0;40.0;8;34.0;1;60.49;15.0;18.0;30.25;32.35294117647059;1;33.0;41.0;3.0;7;40.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;42.05882352941177
50.0;31.464285714285715;27.33333333;30.0;39.33333333277778;30.0;47.0;40.0;1;40.0;45.0;32.5;31.0;8;39.0;1;58.13;15.0;18.0;33.666666666666664;31.61764705882353;1;38.0;44.0;3.0;7;48.0;12.0;2;1;1;1;1;3;1;1;1;2;3;2;3;2;2;3;3.0;42.214285714285715
33.0;26.75;24.5;30.0;34.80555555555556;36.0;32.0;40.0;1;43.0;46.0;30.0;34.0;8;41.0;2;65.16;15.0;18.0;34.666666666666664;34.44444444444444;2;36.0;33.0;3.0;7;44.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;41.0
47.0;30.142857142857142;18.0;36.0;37.27777777777778;21.5;30.0;22.5;1;49.0;47.0;23.33333333;36.0;8;42.0;1;72.55;15.0;18.0;32.125;31.764705882352942;1;40.0;46.0;3.0;7;49.0;12.0;2;1;1;1;1;3;1;1;1;2;3;2;3;2;2;3;3.0;43.8235294117647
47.0;37.5;37.0;50.0;41.388888888888886;50.0;36.0;40.0;0;43.0;48.0;30.0;39.0;8;40.0;1;72.55;18.0;18.0;45.0;35.833333333333336;0;40.0;49.0;0.0;8;49.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.0
43.0;30.892857142857142;30.0;37.0;37.333333333333336;32.0;31.0;30.0;0;34.0;42.0;45.0;34.0;8;43.0;1;78.22;18.0;18.0;34.083333333333336;31.470588235294116;0;37.0;46.0;0.0;8;49.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;41.07142857142857
48.0;38.785714285714285;30.0;35.0;42.333333333333336;40.0;43.0;27.5;0;43.0;46.0;30.0;47.0;8;37.0;1;75.87;18.0;18.0;37.0;34.26470588235294;1;43.0;50.0;0.0;8;47.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;4.0;46.8235294117647
43.0;34.607142857142854;21.66666667;38.0;32.66666666722222;30.0;29.0;25.0;2;31.0;46.0;25.0;31.0;8;34.0;1;62.82;12.0;18.0;31.833333333333332;30.58823529411765;2;30.0;45.0;6.0;6;40.0;12.0;2;2;1;1;1;3;1;1;1;2;3;2;3;2;2;3;2.0;39.94117647058823
43.0;32.5;30.0;35.0;40.666666666666664;41.0;39.0;27.5;0;43.0;45.0;30.0;42.0;8;39.0;1;69.99;18.0;18.0;38.583333333333336;33.611111111111114;0;45.0;50.0;0.0;8;46.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;44.357142857142854
44.0;36.785714285714285;30.0;35.0;38.05555555555556;30.0;33.0;35.0;0;39.0;47.0;45.0;40.0;8;43.0;1;67.54;18.0;18.0;35.5;39.411764705882355;0;40.0;35.0;0.0;8;49.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.529411764705884
