NOTA_HISTORIA_COL;NOTA_ESTADISTICA;NOTA_CIBERNETICA_UNO;NOTA_INV_OP_DOS;NOTA_REDES_COM_UNO;NOTA_GI_UNO;VECES_HISTORIA_COL;VECES_CIBERNETICA_UNO;NOTA_CIENCIAS_COMP_DOS;VECES_REDES_COM_UNO;VECES_GI_UNO;VECES_ESTADISTICA;NOTA_MOD_PROG_DOS;VECES_CIENCIAS_COMP_DOS;VECES_INV_OP_DOS;CAR_CINCO;NOTA_METODOS_NUM;VECES_FISICA_TRES;NOTA_MOD_PROG_UNO;NOTA_PROB;NAC_CINCO;NOTA_ARQ_COMP;NOTA_CIENCIAS_COMP_UNO;NOTA_FISICA_TRES;NCA_CINCO;NCC_CINCO;NOTA_INV_OP_UNO;VECES_MOD_PROG_DOS;VECES_INV_OP_UNO;NCP_CINCO;NAA_CINCO;EPA_CINCO;NAP_CINCO;VECES_PROB;CREDITOS_ESTADISTICA;CREDITOS_HISTORIA_COL;CREDITOS_GI_UNO;CREDITOS_CIENCIAS_COMP_DOS;CREDITOS_INV_OP_DOS;CREDITOS_CIBERNETICA_UNO;CREDITOS_REDES_COM_UNO;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_SEIS;PROMEDIO_SEIS
32.0;40.0;37.0;40.0;30.0;45;1;1;42.0;1;1;1;30.0;1;1;4;30.0;3;29.33333333;18.66666667;7;27.5;19.0;18.66666667;8.0;19.0;35.0;1;1;11.0;3;1;4;3;3;2;3;3;3;2;2;29.0;32.39473684157895;30.555555555555557;2.0;38.833333333333336
35.0;32.0;44.0;47.0;44.0;50;1;1;40.0;1;1;1;49.0;1;1;0;35.0;1;48.0;39.0;7;42.0;38.0;34.0;19.0;19.0;36.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;39.72222222222222;41.31578947368421;40.55555555555556;3.0;41.833333333333336
33.0;39.0;44.0;47.0;30.0;50;1;1;44.0;1;1;1;36.0;1;1;2;30.0;2;35.0;34.0;7;36.0;30.0;33.5;19.0;19.0;33.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;32.0;34.71052631578947;33.638888888888886;3.0;41.888888888888886
33.0;33.0;50.0;47.0;44.0;44;1;1;37.0;1;1;1;43.0;1;1;0;40.0;1;37.0;30.0;7;32.0;38.0;35.0;19.0;19.0;34.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;37.94444444444444;35.868421053157896;37.94444444444444;3.0;40.94444444444444
0.0;36.0;0.0;0.0;32.0;0;0;0;0.0;1;0;1;13.5;0;0;2;42.0;0;30.0;10.0;3;0.0;0.0;0.0;0.0;8.0;0.0;2;0;8.0;0;1;3;2;3;2;3;3;3;2;2;31.764705882352942;28.764705882941175;35.7;2.0;34.4
30.0;32.0;36.0;40.0;36.0;50;2;1;39.0;2;1;1;48.0;1;1;1;35.0;1;30.0;29.5;7;42.0;35.0;30.0;16.0;19.0;37.0;1;1;3.0;6;2;1;2;3;2;3;3;3;2;2;36.55555555555556;33.894736841052634;33.888888888888886;2.0;38.166666666666664
37.0;36.0;48.0;44.0;44.0;50;1;1;38.0;1;1;1;44.0;1;1;0;40.0;1;42.0;35.0;7;36.0;34.0;34.0;19.0;19.0;37.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;35.833333333333336;36.71052631578947;38.333333333333336;3.0;42.333333333333336
35.0;41.0;47.0;45.0;41.0;50;1;1;34.0;1;1;1;39.0;1;1;0;35.0;1;44.0;32.0;7;43.0;40.0;30.0;19.0;19.0;37.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;38.0;38.63157894736842;35.50000000055556;3.0;42.0
7.0;36.0;0.0;0.0;33.0;0;2;0;0.0;1;0;1;0.0;0;0;1;32.0;0;37.0;0.0;3;16.5;8.0;0.0;2.0;7.0;0.0;0;0;5.0;1;1;2;0;3;2;3;3;3;2;2;27.04705882352941;28.852941175882354;20.791666666666668;1.0;26.857142857142858
48.0;41.0;33.0;40.0;39.0;50;1;1;40.0;1;1;1;47.0;1;1;0;35.0;1;46.0;32.0;7;40.0;30.0;39.0;19.0;19.0;32.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;38.22222222222222;35.526315789473685;36.388888888888886;3.0;41.833333333333336
33.0;37.0;30.0;40.0;37.0;50;1;2;37.0;1;1;1;49.0;1;1;1;40.0;1;35.0;34.0;7;35.0;29.0;31.0;16.0;19.0;38.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;37.388888888888886;39.36842105263158;34.19444444444444;2.0;38.44444444444444
35.0;38.0;30.0;47.0;44.0;40;1;1;37.0;1;1;1;48.0;1;1;1;39.0;1;40.0;34.0;7;32.0;36.0;33.0;19.0;19.0;30.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;34.666666666666664;37.63157894736842;34.888888888888886;2.0;39.111111111111114
30.0;50.0;45.0;38.0;45.0;50;1;1;35.0;1;1;1;43.0;1;1;1;35.0;1;33.0;31.5;7;39.0;40.0;32.0;19.0;19.0;41.0;1;1;0.0;7;2;0;2;3;2;3;3;3;2;2;39.27777777777778;37.526315789473685;36.833333333333336;3.0;42.166666666666664
44.0;31.0;45.0;42.0;40.0;50;1;1;37.0;1;1;1;49.0;1;1;0;35.0;1;47.0;35.0;7;44.0;32.0;32.0;19.0;19.0;33.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;39.94444444444444;35.36842105263158;34.666666666666664;3.0;41.0
38.0;41.0;50.0;45.0;30.0;45;1;1;38.0;1;1;1;30.0;1;1;1;30.0;1;36.0;32.0;7;44.0;30.0;32.0;19.0;19.0;38.0;1;1;0.0;7;2;0;2;3;2;3;3;3;2;2;30.63888888888889;36.23684210526316;37.94444444444444;3.0;41.27777777777778
0.0;0.0;0.0;0.0;35.0;0;0;0;0.0;1;0;0;23.0;0;0;0;41.0;0;38.0;41.0;2;0.0;0.0;0.0;3.0;6.0;0.0;1;0;3.0;1;2;1;1;3;2;3;3;3;2;2;32.05882352941177;27.15625;31.75;2.0;35.0
36.0;40.0;46.0;42.0;0.0;0;1;1;37.0;0;0;1;44.0;1;1;0;35.0;0;38.0;37.0;4;0.0;34.0;0.0;12.0;12.0;38.0;1;1;0.0;4;2;0;1;3;2;3;3;3;2;2;35.294117647058826;34.199999999333336;33.02777777777778;3.0;40.07692307692308
40.0;36.0;33.0;41.0;39.0;45;1;1;42.0;1;1;1;30.0;1;1;0;30.0;1;21.5;33.0;7;45.0;30.0;36.0;19.0;19.0;40.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;39.5;33.184210525789474;32.166666666666664;2.0;39.77777777777778
21.5;36.0;38.0;32.0;40.0;45;2;1;46.0;1;1;1;40.0;1;1;1;15.0;1;30.0;22.0;7;45.0;36.0;31.0;16.0;19.0;31.0;1;1;3.0;6;2;1;2;3;2;3;3;3;2;2;33.888888888888886;35.31578947368421;34.416666666666664;2.0;37.55555555555556
32.0;36.0;30.0;40.0;40.0;0;1;2;42.0;1;0;1;49.0;1;1;1;41.0;1;29.66666667;30.0;7;38.0;31.5;33.0;19.0;19.0;30.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;36.833333333333336;37.473684210526315;34.111111111111114;2.0;37.2
31.0;37.0;42.0;46.0;46.0;45;1;1;38.0;1;1;1;45.0;1;1;1;34.0;2;41.0;37.0;7;42.0;37.0;26.0;16.0;19.0;37.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;38.333333333333336;35.86842105263158;39.611111111111114;3.0;40.888888888888886
38.0;0.0;0.0;0.0;0.0;0;1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;1;0;0;3;2;3;3;3;2;2;30.6;25.40909090909091;34.0;2.0;38.0
44.0;50.0;50.0;45.0;36.0;50;1;1;41.0;1;1;1;42.0;1;1;0;36.0;1;41.0;43.0;7;41.0;38.0;32.0;19.0;19.0;39.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;38.5;36.94736842105263;39.22222222222222;4.0;45.44444444444444
42.0;30.0;35.0;33.0;42.0;32;1;1;28.0;1;1;1;47.0;2;1;1;41.0;1;49.0;38.0;7;30.0;40.0;30.0;19.0;19.0;30.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;35.05555555555556;36.71052631578947;36.69444444444444;2.0;33.72222222222222
0.0;0.0;0.0;0.0;4.5;0;0;0;0.0;2;0;0;0.0;0;0;0;38.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;1;0;0;3;2;3;3;3;2;2;27.133333333333333;24.64285714292857;8.727272727272727;1.0;4.5
36.0;43.0;50.0;48.0;46.0;50;1;1;41.0;1;1;1;47.0;1;1;0;39.0;1;40.0;49.0;7;38.0;40.0;46.0;19.0;19.0;43.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;42.666666666666664;42.526315789473685;43.333333333333336;3.0;45.0
37.0;35.0;39.0;39.0;30.0;44;1;1;31.0;2;1;1;49.0;1;1;2;42.0;2;31.0;27.0;7;40.0;36.0;31.5;16.0;19.0;37.0;1;1;3.0;6;2;1;2;3;2;3;3;3;2;2;31.805555555555557;37.94736842105263;36.166666666666664;2.0;36.611111111111114
34.0;41.0;50.0;48.0;46.0;50;1;1;41.0;1;1;1;46.0;1;1;0;38.0;1;42.0;39.0;7;30.0;39.0;46.0;19.0;19.0;39.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;39.888888888888886;41.31578947368421;39.833333333333336;3.0;44.44444444444444
31.0;35.0;30.0;41.0;39.0;50;1;1;32.0;1;1;1;48.0;1;1;1;31.0;1;31.0;25.5;7;39.0;30.0;30.0;16.0;19.0;30.0;1;1;3.0;6;2;1;2;3;2;3;3;3;2;2;35.25;35.89473684210526;33.666666666666664;2.0;37.44444444444444
44.0;0.0;0.0;0.0;0.0;0;1;0;0.0;0;0;0;0.0;0;0;0;41.0;1;27.0;0.0;2;33.0;0.0;30.0;5.0;5.0;0.0;0;0;0.0;2;2;0;0;3;2;3;3;3;2;2;33.94444444444444;31.94117647;32.611111111111114;3.0;44.0
0.0;0.0;0.0;0.0;0.0;50;0;0;0.0;0;1;0;0.0;0;0;0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;1;0;0;3;2;3;3;3;2;2;19.883333331875;17.346153846153847;40.0;4.0;50.0
49.0;31.5;44.0;40.0;40.0;50;1;1;31.0;1;1;2;44.0;1;1;0;42.0;1;44.0;33.0;7;43.0;30.0;33.0;19.0;19.0;30.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;34.09259259333333;34.28947368421053;31.52777777888889;3.0;40.19444444444444
48.0;39.0;47.0;41.0;32.0;50;1;1;30.0;1;1;1;48.0;1;1;1;41.0;2;31.0;33.0;7;41.0;39.0;26.0;16.0;19.0;41.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;34.0;34.05263157894737;33.305555555;3.0;40.77777777777778
27.0;31.0;17.66666667;41.0;35.0;41;3;3;32.5;1;1;1;41.0;2;1;1;31.0;1;48.0;22.0;7;41.0;45.0;31.0;16.0;19.0;36.0;1;1;3.0;6;2;1;2;3;2;3;3;3;2;2;37.0;35.21052631578947;34.916666666666664;2.0;33.10185185222222
35.0;0.0;0.0;0.0;0.0;0;1;0;0.0;0;0;0;0.0;0;0;0;31.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;1;0;0;3;2;3;3;3;2;2;25.572916666875;28.03125;30.428571428571427;2.0;35.0
27.0;27.0;30.0;36.0;34.0;50;2;1;33.5;1;1;2;42.0;2;1;1;30.5;1;30.0;34.0;7;50.0;20.66666667;37.0;16.0;19.0;33.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;33.666666666666664;30.473684210526315;35.05555555555556;2.0;34.52777777777778
30.0;40.0;33.0;50.0;45.0;45;1;1;36.0;1;1;1;33.0;1;1;1;41.0;2;33.0;30.0;7;48.0;36.0;28.0;16.0;19.0;34.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;36.05555555555556;35.39473684210526;38.94444444444444;3.0;40.5
20.0;37.0;0.0;37.0;39.0;0;2;0;32.0;1;0;1;36.0;1;1;3;39.0;2;44.0;30.5;6;32.0;33.0;24.5;11.0;17.0;29.0;1;2;6.0;4;2;2;2;3;2;3;3;3;2;2;36.111111111111114;32.333333333333336;29.96875;2.0;33.53846153846154
39.0;40.0;36.0;46.0;33.0;50;1;1;43.0;1;1;1;42.0;1;1;2;37.0;2;44.0;37.0;7;38.0;30.0;33.5;19.0;19.0;38.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;38.94444444444444;35.473684210526315;38.22222222222222;3.0;41.833333333333336
4.0;0.0;0.0;0.0;0.0;0;1;0;0.0;0;0;0;0.0;0;0;1;34.0;1;46.0;0.0;2;34.0;0.0;38.0;5.0;5.0;0.0;0;0;0.0;2;2;0;0;3;2;3;3;3;2;2;36.55555555555556;29.142857142142855;33.5;1.0;4.0
25.0;38.0;33.0;44.0;33.0;50;2;1;42.0;1;1;1;35.0;1;1;2;41.0;2;43.0;30.0;7;31.0;18.0;29.0;13.0;19.0;30.0;1;1;6.0;5;2;2;1;3;2;3;3;3;2;2;39.44444444444444;36.05263157894737;38.22222222222222;2.0;39.111111111111114
45.0;43.0;38.5;48.0;40.0;45;1;2;42.0;1;1;1;40.0;1;1;1;36.0;1;50.0;30.0;7;47.0;26.5;43.0;16.0;19.0;32.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;35.55555555555556;32.3421052631579;40.166666666666664;3.0;43.388888888888886
21.0;0.0;0.0;0.0;0.0;0;2;0;0.0;0;0;0;0.0;0;0;0;16.0;0;30.5;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;1;0;0;3;2;3;3;3;2;2;35.520833332500004;27.857142855714283;30.8;1.0;21.0
0.0;0.0;0.0;0.0;7.5;0;0;0;0.0;2;0;0;0.0;0;0;0;9.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;1;0;0;3;2;3;3;3;2;2;25.433333333333334;2.75;5.5;1.0;7.5
43.0;34.0;39.0;48.0;47.0;50;1;1;38.0;1;1;1;47.0;1;1;0;36.0;1;43.0;37.0;7;32.0;34.0;30.0;19.0;19.0;36.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;40.44444444444444;39.0;39.44444444444444;3.0;42.666666666666664
35.0;32.0;31.0;37.0;35.0;43;1;1;39.0;1;1;1;35.0;1;1;0;42.0;1;31.0;36.0;7;41.0;35.0;34.0;19.0;19.0;31.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;35.79629629611111;34.421052631578945;31.833333334444447;2.0;36.388888888888886
44.0;42.0;39.0;39.0;33.0;50;1;1;43.0;1;1;1;43.0;1;1;0;35.0;1;47.0;43.0;7;41.0;37.0;38.0;19.0;19.0;37.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;36.111111111111114;36.1578947368421;38.05555555555556;3.0;41.888888888888886
34.0;40.0;31.0;47.0;40.0;45;1;1;42.0;1;1;1;39.0;1;1;1;35.0;1;49.0;30.0;7;46.0;29.5;42.0;16.0;19.0;33.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;38.111111111111114;32.36842105263158;40.77777777777778;3.0;40.666666666666664
33.0;30.0;38.0;42.0;47.0;50;1;1;40.0;1;1;1;44.0;1;1;0;36.0;1;45.0;37.0;7;44.0;36.0;36.0;19.0;19.0;34.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;38.583333333333336;39.21052631578947;35.27777777777778;3.0;40.111111111111114
24.66666667;33.0;49.0;30.0;28.0;0;3;1;35.0;2;0;1;29.0;1;1;4;39.0;2;35.0;30.0;7;33.0;29.5;18.0;7.0;19.0;29.5;2;2;12.0;3;1;4;1;3;2;3;3;3;2;2;35.71296296222223;32.55263157894737;34.52777777777778;2.0;33.155555555999996
0.0;28.0;0.0;0.0;0.0;0;0;0;0.0;0;0;1;0.0;0;0;0;31.0;0;0.0;0.0;1;0.0;0.0;0.0;2.0;2.0;0.0;0;0;0.0;1;2;0;0;3;2;3;3;3;2;2;32.96296296222223;31.142857142142855;22.611111110555555;1.0;28.0
41.0;35.0;33.0;41.0;31.0;45;1;1;32.0;1;1;1;39.0;1;1;2;42.0;4;35.0;31.0;7;38.0;29.5;23.25;13.0;19.0;36.0;1;1;6.0;5;2;2;1;3;2;3;3;3;2;2;34.72222222222222;29.421052631052632;32.49999999944444;2.0;37.166666666666664
44.0;45.0;49.0;40.0;33.0;50;1;1;25.0;2;1;1;19.0;2;1;1;33.0;1;32.0;34.0;7;38.0;37.0;33.0;16.0;19.0;36.0;2;1;3.0;6;2;1;1;3;2;3;3;3;2;2;32.611111111111114;33.94736842157895;31.13888888888889;3.0;40.666666666666664
44.0;44.0;40.0;42.0;31.0;45;1;1;43.0;1;1;1;45.0;1;1;1;38.0;1;34.5;33.0;7;42.0;38.0;30.0;16.0;19.0;28.5;1;2;3.0;6;2;1;1;3;2;3;3;3;2;2;36.02777777777778;34.26315789473684;35.944444445;3.0;41.77777777777778
