NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;PROMEDIO_SIETE;VECES_CCON;NOTA_EI_DOS;NOTA_ELECPOT;NAC_CINCO;NCC_SIETE;NAA_SIETE;EPA_SIETE;NOTA_AUTO;NOTA_MAQEL;VECES_AIELEC;VECES_ECO;NOTA_ECO;NOTA_ASP;NAP_SIETE;NAC_SIETE;NCA_SIETE;VECES_ASP;CAR_SIETE;NCP_SIETE;VECES_EI_DOS;CREDITOS_EI_DOS;CREDITOS_AIELEC;CREDITOS_SUBEL;CREDITOS_L_DOS;CREDITOS_HIST;CREDITOS_FGEP;CREDITOS_CCON;RENDIMIENTO_OCHO;PROMEDIO_OCHO
41;43;45;38;33;35;3;1;1;1;46;37.72222222222222;1;30;30;7;18.0;7;2;39;34;1;1;34;42;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;36.666666666666664
39;48;48;45;34;35;1;1;1;1;43;35.5;1;43;31;7;18.0;7;2;30;35;1;1;35;42;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;3.0;40.93333333333333
37;43;43;42;32;30;1;1;1;1;42;36.888888888888886;1;37;44;7;18.0;7;2;31;31;1;1;31;30;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;36.8
40;45;34;42;38;35;1;1;1;1;43;35.833333333333336;1;47;31;7;18.0;7;2;34;37;1;1;37;41;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;40.666666666666664
39;30;35;35;34;32;1;1;1;1;37;34.111111111111114;1;36;30;7;18.0;7;2;30;33;1;1;33;37;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;2.0;34.333333333333336
37;45;41;41;34;35;2;1;1;1;42;35.27777777777778;1;39;34;7;18.0;7;2;34;30;1;1;30;41;0;7;18.0;2;1;0.0;1;3;2;3;2;2;2;1;2.0;38.46666666666667
35;32;39;41;35;34;2;1;1;1;47;39.166666666666664;1;34;32;7;18.0;7;2;30;43;1;1;43;43;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;35.266666666666666
38;47;42;46;33;38;1;1;1;1;43;35.05555555555556;1;42;39;7;18.0;7;2;31;33;1;1;33;34;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;3.0;40.666666666666664
43;46;44;43;37;33;1;1;1;1;42;36.0;1;41;34;7;18.0;7;2;36;33;1;1;33;30;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;40.266666666666666
31;48;47;38;30;34;1;1;1;1;40;35.55555555555556;1;36;31;7;18.0;7;2;33;40;1;1;40;33;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;2.0;36.733333333333334
33;45;42;44;34;32;2;1;1;1;46;37.05555555555556;1;41;31;7;18.0;7;2;35;38;1;1;38;39;0;7;18.0;2;4;0.0;1;3;2;3;2;2;2;1;2.0;38.2
39;44;43;45;35;33;1;1;1;1;43;42.27777777777778;1;33;40;6;18.0;7;2;36;42;1;2;42;47;0;7;18.0;1;2;0.0;1;3;2;3;2;2;2;1;2.0;37.8
32;44;47;41;0;0;0;1;1;1;41;41.0;1;0;0;4;2.0;1;2;0;0;0;0;0;0;0;1;2.0;0;0;0.0;0;3;2;3;2;2;2;1;3.0;40.142857142857146
35;42;40;35;37;30;1;1;1;1;43;34.44444444444444;1;42;30;7;18.0;7;2;38;31;1;1;31;30;0;7;18.0;3;2;0.0;1;3;2;3;2;2;2;1;2.0;36.93333333333333
45;47;47;46;35;38;1;1;1;1;47;36.77777777777778;1;43;30;7;18.0;7;2;33;41;1;1;41;36;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;3.0;42.4
40;44;49;42;30;30;1;1;1;1;42;35.72222222222222;1;36;31;7;18.0;7;2;37;31;1;1;31;41;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;2.0;37.266666666666666
0;0;0;0;32;0;0;0;0;0;0;31.428571428571427;0;0;0;4;7.0;3;2;30;32;1;2;32;0;0;3;7.0;0;3;0.0;0;3;2;3;2;2;2;1;2.0;32.0
41;38;45;48;35;35;2;2;1;1;42;36.44444444444444;1;37;31;7;18.0;7;2;30;37;1;1;37;41;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;39.0
39;43;43;37;35;30;2;2;1;1;44;36.833333333333336;1;37;34;7;18.0;7;2;37;39;2;1;39;36;0;7;18.0;3;3;0.0;1;3;2;3;2;2;2;1;2.0;36.8
40;46;46;42;33;37;3;1;1;1;44;37.388888888888886;1;37;31;7;18.0;7;2;30;36;1;1;36;38;0;7;18.0;3;2;0.0;1;3;2;3;2;2;2;1;2.0;39.333333333333336
40;42;45;44;37;43;2;1;1;1;41;37.05555555555556;1;37;30;7;18.0;7;2;39;42;1;1;42;30;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;40.733333333333334
36;39;42;48;33;37;1;1;1;2;43;36.111111111111114;1;34;31;7;18.0;7;2;37;35;1;1;35;35;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;37.8
47;50;47;37;34;30;1;1;1;1;44;33.166666666666664;1;38;31;7;18.0;7;2;30;34;1;2;34;30;0;7;18.0;2;3;0.0;1;3;2;3;2;2;2;1;2.0;39.13333333333333
34;45;42;46;34;30;3;1;1;1;40;33.72222222222222;1;33;30;7;18.0;7;2;40;33;2;1;33;30;0;7;18.0;1;2;0.0;1;3;2;3;2;2;2;1;2.0;36.6
42;45;43;39;35;35;3;1;1;1;35;34.22222222222222;1;43;30;7;18.0;7;2;39;30;1;1;30;40;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;2.0;39.93333333333333
47;50;46;42;31;30;1;1;1;1;50;34.5;1;47;30;7;18.0;7;2;37;30;1;1;30;36;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;3.0;41.13333333333333
37;44;45;50;37;37;2;1;1;1;40;35.22222222222222;1;36;32;7;18.0;7;2;41;32;1;1;32;30;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;40.0
