NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
24;9;476.9;62.82;58.93;55.99;83.41;9;35.33333333333334;0;15;0;7;0;1;35.0;35.0;35.0;35.0;35.0;40.0;35.0;32.3125;2;16;10;6;6;4;2;2;30.0;1;3;22.5;2;3;27.5;2;3;38.0;1;2;0.0;0;1;45.0;1;3;33.0;1;2;2;33.15384615384615
25;16;469.39;60.49;64.0;62.54;48.43;19;15.0;0;9;9;0;4;1;15.0;0.0;15.0;15.0;0.0;15.0;0.0;15.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;0;0.0
27;10;486.46;72.55;51.73;62.54;71.53;10;38.33333333333334;0;15;0;7;0;5;40.0;40.0;35.0;40.0;40.0;40.0;35.0;36.625;0;16;16;0;6;6;0;2;40.0;1;3;30.0;1;3;45.0;1;3;30.0;1;2;0.0;0;1;35.0;1;3;38.0;1;2;2;38.06666666666667
28;2;465.84;75.27;64.0;55.99;76.45;11;37.0;0;15;0;7;0;5;35.0;30.0;35.0;40.0;40.0;40.0;45.0;38.0;0;16;16;0;6;6;0;2;40.0;1;3;35.0;1;3;35.0;1;3;40.0;1;2;0.0;0;1;40.0;1;3;39.0;1;2;2;37.53333333333333
29;6;481.74;78.22;56.51;58.09;59.81;6;38.33333333333334;0;9;0;4;0;1;35.0;0.0;40.0;45.0;0.0;40.0;0.0;40.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;40.0;1;3;0.0;0;2;0;0.0
31;14;463.31;72.55;51.73;53.95;64.23;18;33.13333333333333;1;15;4;6;1;5;25.0;35.0;30.0;40.0;40.0;35.0;41.0;30.46875;2;16;10;6;6;4;2;2;30.0;1;3;27.5;2;3;25.0;3;3;30.0;1;2;0.0;0;1;30.0;1;3;45.0;1;2;2;37.73333333333333
32;7;479.42;75.27;61.41;65.0;64.23;6;37.66666666666666;0;15;0;7;0;5;40.0;30.0;35.0;40.0;40.0;40.0;40.0;34.25;2;16;13;3;6;5;1;2;35.0;2;3;25.0;2;3;30.0;1;3;42.0;1;2;0.0;0;1;40.0;1;3;37.0;1;2;2;37.66666666666666
33;10;455.39;65.16;69.69;65.0;71.53;10;35.0;0;11;0;5;0;10;30.0;0.0;35.0;45.0;40.0;35.0;0.0;30.0;2;12;9;3;4;3;1;2;30.0;1;3;25.0;2;3;30.0;1;3;0.0;0;2;0.0;0;1;35.0;2;3;0.0;0;2;1;26.08333333333333
40;16;456.64;58.13;66.74;60.25;79.55;18;33.6;0;15;0;7;0;5;30.0;40.0;30.0;40.0;35.0;40.0;32.0;33.125;2;16;13;3;6;5;1;2;32.5;2;3;27.5;2;3;30.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;35.0;1;2;3;41.13333333333333
41;6;457.91;85.28;61.41;65.0;59.81;7;36.33333333333334;0;15;0;7;0;5;35.0;35.0;40.0;40.0;35.0;35.0;35.0;30.25;3;16;13;3;6;5;1;2;30.0;1;3;27.5;2;3;30.0;1;3;30.0;1;2;0.0;0;1;32.5;2;3;32.0;2;2;2;34.66666666666666
42;6;450.16;72.55;58.93;51.92;59.81;8;27.27272727272727;1;11;9;2;3;1;25.0;0.0;25.0;35.0;25.0;40.0;0.0;28.33333333333333;0;9;3;6;3;1;2;1;25.0;1;3;0.0;0;3;20.0;1;3;0.0;0;2;0.0;0;1;40.0;1;3;0.0;0;2;2;40.0
43;10;486.91;85.28;51.73;65.0;57.13;12;22.77777777777778;0;9;5;2;2;10;15.0;0.0;30.0;20.0;0.0;35.0;0.0;25.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;25.0;1;3;0.0;0;2;0;0.0
44;19;490.11;72.55;69.69;60.25;59.81;19;33.46666666666667;1;15;0;7;0;5;30.0;30.0;30.0;40.0;40.0;40.0;36.0;30.15625;2;16;13;3;6;5;1;2;30.0;2;3;22.5;2;3;30.0;1;3;35.0;1;2;0.0;0;1;35.0;1;3;30.0;1;2;2;32.0
45;10;467.75;81.5;51.73;55.99;54.57;2;38.0;0;15;0;7;0;5;30.0;35.0;40.0;40.0;40.0;40.0;50.0;32.90625;1;16;13;3;6;5;1;2;30.0;1;3;27.5;2;3;30.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;37.0;1;2;3;40.4
46;12;456.92;75.27;56.51;55.99;65.86;10;36.33333333333334;0;15;0;7;0;5;30.0;35.0;35.0;40.0;40.0;40.0;45.0;40.625;0;16;16;0;6;6;0;2;35.0;1;3;45.0;1;3;40.0;1;3;45.0;1;2;0.0;0;1;40.0;1;3;40.0;1;2;3;41.46666666666667
47;21;461.49;65.16;64.0;55.99;76.45;10;23.88888888888889;0;9;4;3;1;10;15.0;0.0;30.0;35.0;0.0;30.0;0.0;20.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;20.0;1;3;0.0;0;2;0;0.0
48;14;500.12;85.28;54.12;58.09;65.86;14;40.45454545454545;0;11;0;5;0;1;45.0;0.0;35.0;40.0;40.0;40.0;0.0;32.5;0;6;6;0;2;2;0;2;0.0;0;3;0.0;0;3;30.0;1;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;0;0.0
52;6;491.58;62.82;56.51;70.81;73.83;6;34.66666666666666;1;15;4;6;1;5;25.0;40.0;35.0;40.0;35.0;45.0;40.0;32.40625;3;16;7;9;6;3;3;1;25.0;2;3;27.5;2;3;28.33333333333333;3;3;35.0;1;2;0.0;0;1;40.0;1;3;43.0;1;2;2;35.2
53;16;467.79;78.22;58.93;55.99;67.6;8;38.0;0;15;0;7;0;5;30.0;45.0;35.0;45.0;40.0;40.0;45.0;35.40625;1;16;13;3;6;5;1;2;35.0;1;3;27.5;2;3;35.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;42.0;1;2;2;39.4
59;14;463.98;78.22;58.93;65.0;52.09;14;33.0;1;15;0;7;0;1;32.5;35.0;30.0;40.0;30.0;35.0;35.0;30.0;2;12;9;3;4;3;1;2;30.0;1;3;25.0;2;3;35.0;1;3;0.0;0;2;0.0;0;1;30.0;2;3;0.0;0;2;1;26.0
60;16;485.01;72.55;49.32;60.25;55.84;11;37.66666666666666;0;15;0;7;0;5;40.0;30.0;35.0;40.0;35.0;40.0;45.0;35.75;2;16;13;3;6;5;1;2;35.0;1;3;32.5;2;3;27.5;2;3;40.0;1;2;0.0;0;1;45.0;1;3;36.0;1;2;2;39.2
61;15;474.74;81.5;61.41;60.25;67.6;14;36.33333333333334;1;15;4;6;1;5;27.5;45.0;35.0;40.0;40.0;40.0;40.0;34.71875;1;16;13;3;6;5;1;2;27.5;2;3;30.0;1;3;40.0;1;3;30.0;1;2;0.0;0;1;45.0;1;3;34.0;1;2;2;38.93333333333333
62;16;463.85;69.99;61.41;62.54;55.84;16;38.0;0;15;0;7;0;5;35.0;40.0;35.0;40.0;40.0;45.0;40.0;36.1875;0;16;16;0;6;6;0;2;35.0;1;3;40.0;1;3;30.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;42.0;1;2;3;40.86666666666667
63;8;463.31;55.71;66.74;51.92;49.65;8;31.37777777777778;2;15;4;6;1;1;21.66666666666667;30.0;40.0;40.0;32.5;35.0;32.0;32.78125;2;16;13;3;6;5;1;2;32.5;2;3;25.0;2;3;30.0;1;3;41.0;1;2;0.0;0;1;30.0;1;3;45.0;1;2;2;31.53333333333333
66;8;482.21;75.27;66.74;49.87;52.09;8;33.66666666666666;1;15;4;6;1;5;22.5;40.0;30.0;40.0;35.0;45.0;45.0;35.15625;2;16;13;3;6;5;1;2;27.5;2;3;40.0;1;3;30.0;2;3;30.0;1;2;0.0;0;1;40.0;1;3;45.0;1;2;3;40.93333333333333
67;16;493.93;60.49;66.74;70.81;49.65;16;26.53846153846154;1;13;6;4;2;10;15.0;15.0;35.0;30.0;40.0;40.0;0.0;23.33333333333333;1;9;3;6;3;1;2;1;15.0;1;3;0.0;0;3;20.0;2;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;2;35.0
69;5;475.19;67.54;69.69;60.25;49.65;5;18.18181818181818;3;11;10;1;4;10;15.0;0.0;16.66666666666667;40.0;15.0;20.0;0.0;15.0;1;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;3;3;0.0;0;2;1;15.0
70;11;489.31;78.22;58.93;65.0;59.81;11;32.11111111111111;1;15;4;6;1;5;21.66666666666667;35.0;30.0;40.0;35.0;45.0;40.0;33.6875;0;16;16;0;6;6;0;2;30.0;1;3;35.0;1;3;30.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;32.0;1;2;2;35.4
71;15;461.13;73.29;58.68;57.36;60.2;15;15.0;0;9;9;0;4;1;15.0;0.0;15.0;15.0;0.0;15.0;0.0;15.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;0;0.0
72;8;415.29;47.67;41.52;53.95;76.45;8;27.0;2;15;8;4;3;1;22.5;25.0;30.0;40.0;30.0;45.0;15.0;30.0;1;12;9;3;4;3;1;2;30.0;1;3;15.0;2;3;35.0;1;3;0.0;0;2;0.0;0;1;40.0;1;3;0.0;0;2;1;28.75
74;6;471.49;69.99;58.93;58.09;55.84;7;30.42222222222222;1;15;4;6;1;5;23.33333333333333;30.0;30.0;35.0;30.0;40.0;39.0;29.53125;3;16;11;5;6;4;2;1;22.5;2;3;33.33333333333334;3;3;30.0;1;3;25.0;2;2;0.0;0;1;35.0;1;3;30.0;1;2;2;36.0
78;11;493.34;78.22;46.84;65.0;79.55;11;35.66666666666666;1;15;4;6;1;5;27.5;40.0;35.0;40.0;40.0;40.0;40.0;35.78125;1;16;13;3;6;5;1;2;35.0;1;3;27.5;2;3;45.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;35.0;1;2;2;39.8
79;18;457.59;69.99;58.93;62.54;52.09;18;33.24444444444445;2;15;4;6;1;5;26.66666666666667;30.0;35.0;40.0;32.5;40.0;41.0;36.09375;1;16;13;3;6;5;1;2;27.5;2;3;40.0;1;3;35.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;40.0;1;2;2;39.4
80;14;501.39;85.28;54.12;60.25;59.81;11;33.33333333333334;0;9;0;4;0;1;30.0;0.0;35.0;40.0;0.0;35.0;0.0;45.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;45.0;1;3;0.0;0;2;0;0.0
81;10;485.7;60.48;63.43;63.27;57.84;10;30.26666666666667;1;15;4;6;1;5;22.5;30.0;30.0;40.0;30.0;40.0;37.0;34.375;1;16;16;0;6;6;0;2;30.0;2;3;35.0;1;3;30.0;1;3;40.0;1;2;0.0;0;1;35.0;1;3;40.0;1;2;2;33.1
82;17;499.26;69.99;66.74;60.25;83.41;8;39.93333333333333;0;15;0;7;0;5;35.0;45.0;45.0;40.0;40.0;40.0;37.0;40.3125;0;16;16;0;6;6;0;2;40.0;1;3;35.0;1;3;50.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;45.0;1;2;3;42.0
84;14;493.97;72.55;61.41;67.71;64.23;9;37.33333333333334;0;15;0;7;0;1;35.0;45.0;30.0;40.0;40.0;40.0;40.0;31.60714285714286;2;14;11;3;5;4;1;2;35.0;2;3;22.5;2;3;30.0;1;3;0.0;0;2;0.0;0;1;40.0;1;3;30.0;1;2;2;34.44444444444444
89;6;468.99;81.5;51.73;55.99;54.57;20;36.66666666666666;1;15;0;7;0;5;30.0;40.0;40.0;40.0;35.0;40.0;40.0;33.6875;0;16;16;0;6;6;0;2;30.0;1;3;30.0;1;3;35.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;37.0;1;2;2;38.53333333333333
90;14;479.55;81.5;49.32;60.25;62.69;10;32.8;2;15;4;6;1;15;20.0;40.0;35.0;35.0;40.0;40.0;36.0;33.78125;3;16;13;3;6;5;1;2;22.5;2;3;30.0;1;3;30.0;2;3;37.0;1;2;0.0;0;1;45.0;2;3;42.0;1;2;3;43.46666666666667
91;3;474.47;67.54;66.74;45.64;88.67;11;37.46666666666667;0;15;0;7;0;5;30.0;45.0;35.0;45.0;45.0;40.0;36.0;39.375;0;16;16;0;6;6;0;2;40.0;1;3;35.0;1;3;40.0;1;3;40.0;1;2;0.0;0;1;35.0;1;3;50.0;1;2;2;38.46666666666667
93;2;486.26;67.54;72.97;60.25;73.83;12;28.88888888888889;0;9;3;3;1;10;30.0;0.0;25.0;30.0;0.0;35.0;0.0;20.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;20.0;1;3;0.0;0;2;0;0.0
95;8;509.37;89.86;56.51;65.0;65.86;8;30.4;3;15;6;5;2;5;22.5;32.5;40.0;30.0;22.5;30.0;38.0;32.78125;2;16;10;6;6;4;2;2;25.0;2;3;27.5;2;3;35.0;1;3;41.0;1;2;0.0;0;1;30.0;1;3;45.0;1;2;2;36.4
97;13;487.09;67.54;61.41;53.95;76.45;13;15.0;0;9;9;0;4;10;15.0;0.0;15.0;15.0;0.0;15.0;0.0;15.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;0;0.0
98;9;477.07;72.55;56.51;62.54;88.67;8;33.0;1;15;4;6;1;5;22.5;35.0;30.0;45.0;40.0;40.0;40.0;34.375;1;16;16;0;6;6;0;2;30.0;2;3;30.0;1;3;30.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;45.0;1;2;2;33.23333333333333
100;14;463.72;89.86;54.12;55.99;50.87;9;36.2;0;15;0;7;0;5;35.0;40.0;30.0;35.0;35.0;40.0;44.0;30.09375;3;16;8;8;6;3;3;1;27.5;2;3;25.0;2;3;30.0;1;3;28.5;2;2;0.0;0;1;35.0;1;3;36.0;1;2;2;34.2
101;8;479.66;75.27;54.12;65.0;52.09;8;33.33333333333334;0;9;0;4;0;1;30.0;0.0;35.0;40.0;0.0;35.0;0.0;30.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;30.0;1;3;0.0;0;2;0;0.0
102;10;466.52;78.22;69.69;58.09;43.48;11;34.0;0;15;0;7;0;5;30.0;40.0;30.0;40.0;30.0;40.0;40.0;33.5625;2;16;10;6;6;4;2;2;25.0;2;3;25.0;2;3;35.0;1;3;41.0;1;2;0.0;0;1;40.0;1;3;40.0;1;2;2;35.06666666666667
103;0;445.46;75.27;56.51;49.87;73.83;8;26.92307692307692;1;13;4;5;1;1;15.0;0.0;30.0;40.0;30.0;40.0;30.0;24.16666666666667;2;9;3;6;3;1;2;1;17.5;2;3;0.0;0;3;30.0;1;3;0.0;0;2;0.0;0;1;25.0;2;3;0.0;0;2;1;15.0
104;1;456.64;75.27;51.73;62.54;76.45;11;21.11111111111111;0;9;7;2;2;10;15.0;0.0;20.0;40.0;0.0;30.0;0.0;20.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;20.0;1;3;0.0;0;2;0;0.0
106;11;433.46;62.82;69.69;58.09;33.63;11;25.38461538461538;1;13;6;4;2;10;15.0;15.0;30.0;40.0;35.0;40.0;0.0;20.83333333333333;1;9;3;6;3;1;2;1;15.0;1;3;0.0;0;3;17.5;2;3;0.0;0;2;0.0;0;1;30.0;1;3;0.0;0;2;1;30.0
107;9;451.46;69.99;56.51;53.95;48.43;9;37.33333333333334;1;15;4;6;1;5;27.5;45.0;40.0;40.0;30.0;40.0;50.0;34.6875;1;16;13;3;6;5;1;2;28.33333333333333;3;3;35.0;1;3;30.0;1;3;45.0;1;2;0.0;0;1;35.0;1;3;40.0;1;2;2;33.93333333333333
108;10;452.98;60.49;66.74;60.25;64.23;10;31.33333333333333;1;15;4;6;1;5;22.5;30.0;30.0;40.0;35.0;40.0;40.0;33.1875;1;16;16;0;6;6;0;2;30.0;2;3;35.0;1;3;30.0;1;3;32.0;1;2;0.0;0;1;40.0;1;3;31.0;1;2;2;36.66666666666666
110;18;464.46;65.16;58.93;58.09;50.87;18;35.0;0;15;0;7;0;5;35.0;35.0;35.0;40.0;30.0;40.0;35.0;31.71875;3;16;7;9;6;3;3;1;27.5;2;3;27.5;2;3;27.5;2;3;30.0;1;2;0.0;0;1;40.0;1;3;40.0;1;2;2;34.6
111;9;453.44;69.99;56.51;49.87;62.69;9;17.27272727272727;3;11;10;1;4;10;15.0;0.0;16.66666666666667;35.0;0.0;15.0;15.0;15.0;2;6;0;6;2;0;2;1;15.0;4;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;3;3;0.0;0;2;1;15.0
112;10;413.16;60.49;41.52;49.87;45.98;10;31.83333333333333;2;15;7;5;2;5;22.5;30.0;27.5;45.0;45.0;40.0;35.0;34.15625;2;16;13;3;6;5;1;2;32.5;2;3;20.0;3;3;35.0;1;3;38.0;1;2;0.0;0;1;40.0;1;3;44.0;1;2;2;35.33333333333334
113;6;457.61;58.13;66.74;58.09;67.6;6;34.0;1;15;4;6;1;5;25.0;40.0;30.0;40.0;40.0;40.0;40.0;32.875;0;16;16;0;6;6;0;2;30.0;1;3;30.0;1;3;30.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;38.0;1;2;2;34.4
114;10;471.3;58.13;61.41;51.92;53.32;9;23.58974358974359;1;13;9;3;3;1;16.66666666666667;15.0;25.0;35.0;30.0;40.0;0.0;24.16666666666667;2;9;3;6;3;1;2;1;17.5;2;3;0.0;0;3;20.0;2;3;0.0;0;2;0.0;0;1;35.0;1;3;0.0;0;2;1;20.0
117;15;464.61;60.49;54.12;51.92;48.43;4;15.0;0;9;9;0;4;1;15.0;0.0;15.0;15.0;0.0;15.0;0.0;20.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;20.0;1;3;0.0;0;2;0;0.0
118;17;440.62;69.99;54.12;53.95;71.53;15;15.0;0;9;9;0;4;10;15.0;0.0;15.0;15.0;0.0;15.0;0.0;15.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;0;0.0
125;10;472.35;81.5;46.84;53.95;45.98;2;20.55555555555556;2;9;7;2;2;10;15.0;0.0;20.0;30.0;0.0;35.0;0.0;17.5;1;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;17.5;2;3;0.0;0;2;0;0.0
126;8;449.5;62.82;61.41;58.09;62.69;8;34.46666666666667;1;15;4;6;1;5;22.5;40.0;35.0;40.0;40.0;40.0;41.0;35.0625;1;16;14;2;6;5;1;2;35.0;1;3;30.0;1;3;35.0;1;3;26.5;2;2;0.0;0;1;40.0;1;3;44.0;1;2;3;40.13333333333333
