PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;LOCALIDAD;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_TRES
467.75;81.5;51.73;61.18;54.57;2.0;38.0;10;55.99;2;0;15.0;7;30.0;35.0;40.0;40.0;40.0;40.0;50.0;2.0;32.90625;40.4;3.0
456.92;75.27;56.51;55.7;65.86;2.0;36.333333333333336;12;55.99;10;0;15.0;7;30.0;35.0;35.0;40.0;40.0;40.0;45.0;3.0;40.625;41.46666666666667;3.0
461.49;65.16;64.0;54.01;76.45;1.0;23.88888888888889;21;55.99;10;0;9.0;3;15.0;0.0;30.0;35.0;0.0;30.0;0.0;1.0;20.0;0.0;0.0
500.12;85.28;54.12;61.18;65.86;3.0;40.45454545454545;14;58.09;14;0;11.0;5;45.0;0.0;35.0;40.0;40.0;40.0;0.0;2.0;32.5;0.0;0.0
471.41;75.27;61.41;54.01;47.21;1.0;20.0;21;53.95;20;0;9.0;0;20.0;0.0;20.0;15.0;0.0;25.0;0.0;1.0;15.0;0.0;0.0
408.37;53.2;56.51;50.66;48.43;1.0;23.71794871794877;10;53.95;10;2;13.0;4;12.0;12.666666666667;30.0;45.0;30.0;40.0;0.0;1.0;23.6;27.5;1.0
483.34;62.82;64.0;59.25;54.57;2.0;32.69230769230769;14;58.09;8;1;13.0;5;32.5;0.0;35.0;40.0;40.0;40.0;15.0;2.0;32.5;0.0;0.0
491.58;62.82;56.51;55.7;73.83;2.0;34.666666666666664;6;70.81;6;1;15.0;6;25.0;40.0;35.0;40.0;35.0;45.0;40.0;2.0;32.406249999999936;35.2;2.0
467.79;78.22;58.93;52.34;67.6;2.0;38.0;16;55.99;8;0;15.0;7;30.0;45.0;35.0;45.0;40.0;40.0;45.0;2.0;35.40625;39.4;2.0
401.54;56.19;40.38;50.5;44.86;1.0;29.73333333333333;18;50.92;3;2;15.0;6;19.0;35.0;30.0;30.0;30.0;40.0;40.0;2.0;33.125;28.5;1.0
455.49;72.55;58.93;45.4;42.2;2.0;35.333333333333336;21;60.25;20;1;15.0;6;25.0;45.0;35.0;35.0;40.0;40.0;40.0;2.0;38.375;39.0;2.0
501.68;67.54;69.69;59.25;59.81;2.0;34.2;20;70.81;20;0;15.0;7;35.0;30.0;30.0;35.0;35.0;40.0;39.0;2.0;32.09375;35.8;2.0
471.02;61.68;58.17;52.17;51.96;2.0;39.66666666666666;14;57.59;8;0;15.0;7;35.0;40.0;40.0;40.0;40.0;45.0;45.0;3.0;40.3125;40.2;3.0
456.26;67.54;58.93;57.44;58.45;2.0;36.06666666666667;20;51.92;20;0;15.0;7;30.0;40.0;35.0;45.0;40.0;45.0;33.0;2.0;37.1875;37.4;2.0
463.98;78.22;58.93;50.66;52.09;2.0;33.0;14;65.0;14;1;15.0;7;32.5;35.0;30.0;40.0;30.0;35.0;35.0;1.0;30.0;26.0;1.0
485.01;72.55;49.32;57.44;55.84;2.0;37.66666666666666;16;60.25;11;0;15.0;7;40.0;30.0;35.0;40.0;35.0;40.0;45.0;2.0;35.75;39.2;2.0
474.74;81.5;61.41;59.25;67.6;2.0;36.333333333333336;15;60.25;14;1;15.0;6;27.5;45.0;35.0;40.0;40.0;40.0;40.0;2.0;34.71875;38.93333333333333;2.0
463.85;69.99;61.41;54.01;55.84;2.0;38.0;16;62.54;16;0;15.0;7;35.0;40.0;35.0;40.0;40.0;45.0;40.0;2.0;36.1875;40.86666666666667;3.0
463.31;55.71;66.74;59.25;49.65;2.0;31.377777777777865;8;51.92;8;2;15.0;6;21.666666666667;30.0;40.0;40.0;32.5;35.0;32.0;2.0;32.78125;31.53333333333333;2.0
480.59;65.25;65.89;55.66;53.56;2.0;38.0;20;63.27;20;0;15.0;7;35.0;50.0;30.0;40.0;40.0;40.0;40.0;2.0;33.4375;40.333333333333336;3.0
480.49;72.55;51.73;50.66;67.6;2.0;38.0;0;62.54;1;0;15.0;7;30.0;40.0;35.0;45.0;45.0;40.0;45.0;2.0;35.5;39.86666666666667;2.0
482.21;75.27;66.74;52.34;52.09;2.0;33.666666666666664;8;49.87;8;1;15.0;6;22.5;40.0;30.0;40.0;35.0;45.0;45.0;2.0;35.15625;40.93333333333333;3.0
493.93;60.49;66.74;59.25;49.65;1.0;26.53846153846154;16;70.81;16;1;13.0;4;15.0;15.0;35.0;30.0;40.0;40.0;0.0;1.0;23.33333333333333;35.0;2.0
446.14;69.99;69.69;50.66;58.45;2.0;36.66666666666666;20;49.87;20;0;9.0;4;40.0;0.0;30.0;40.0;0.0;40.0;0.0;3.0;45.0;0.0;0.0
475.19;67.54;69.69;59.25;49.65;1.0;18.181818181818272;5;60.25;5;3;11.0;1;15.0;0.0;16.666666666667;40.0;15.0;20.0;0.0;1.0;15.0;15.0;1.0
489.31;78.22;58.93;55.7;59.81;2.0;32.1111111111112;11;65.0;11;1;15.0;6;21.666666666667;35.0;30.0;40.0;35.0;45.0;40.0;2.0;33.6875;35.4;2.0
