CON_MAT_ICFES;QUIMICA_ICFES;PG_ICFES;FISICA_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;LOCALIDAD;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIF;EPA_UNO;NOTA_PROGB;NOTA_FIS_UNO;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
62.82;57.44;474.12;56.51;76.45;60.25;0;10;66.94;28.636363636363637;20.0;1;40.0;25.0;7.0;0.0;40.0;2;15.0;1.0
58.13;61.18;457.32;66.74;73.83;53.95;0;13;59.48;32.083333333333336;25.0;2;35.0;35.0;4.0;0.0;40.0;1;31.61764705882353;2.0
69.99;48.97;469.54;58.93;67.6;60.25;0;5;57.32;38.75;40.0;2;45.0;30.0;0.0;0.0;40.0;0;30.0;1.0
67.54;61.18;475.1;58.93;79.55;55.99;0;7;64.21;17.727272727272727;15.0;1;15.0;25.0;11.0;0.0;15.0;4;15.0;1.0
53.42;52.46;476.96;63.43;53.56;65.51;0;19;74.87;24.09090909090909;15.0;1;40.0;15.0;7.0;0.0;40.0;2;15.0;1.0
44.48;41.37;354.43;54.12;40.88;38.26;0;8;47.14;15.0;15.0;1;15.0;15.0;11.0;0.0;15.0;4;15.0;1.0
65.16;52.34;451.32;66.74;58.45;55.99;0;7;53.22;37.916666666666664;35.0;2;40.0;40.0;0.0;0.0;35.0;0;34.44444444444444;2.0
72.55;54.01;472.69;66.74;40.88;60.25;0;20;51.21;37.5;32.5;2;40.0;40.0;0.0;0.0;40.0;0;31.764705882352942;2.0
72.55;48.97;476.82;58.93;71.53;62.54;1;4;61.76;38.75;35.0;2;45.0;35.0;0.0;0.0;45.0;0;35.833333333333336;2.0
69.99;54.01;475.78;66.74;54.57;62.54;0;7;55.25;35.416666666666664;35.0;2;40.0;30.0;0.0;0.0;40.0;0;26.555555555555557;1.0
78.22;59.25;457.21;56.51;69.48;58.09;0;8;51.21;29.583333333333332;27.5;1;30.0;30.0;4.0;0.0;35.0;1;31.470588235294116;2.0
75.87;53.9;468.28;58.17;51.96;48.51;1;7;65.33;37.916666666666664;27.5;2;40.0;45.0;4.0;0.0;40.0;1;34.26470588235294;2.0
81.5;65.59;482.79;56.51;73.83;60.25;0;16;57.32;42.916666666666664;45.0;2;45.0;40.0;0.0;0.0;40.0;0;36.388888888888886;2.0
62.82;41.37;389.1;46.84;57.13;43.37;0;9;49.19;33.333333333333336;30.0;2;35.0;35.0;0.0;0.0;35.0;0;30.58823529411765;2.0
69.99;57.44;455.29;61.41;65.86;58.09;1;19;49.19;41.666666666666664;40.0;2;50.0;35.0;0.0;0.0;40.0;0;33.611111111111114;2.0
67.54;65.59;473.44;61.41;88.67;60.25;0;5;59.48;37.916666666666664;35.0;2;40.0;40.0;0.0;0.0;40.0;0;39.411764705882355;2.0
69.99;52.34;438.15;58.93;55.84;49.87;0;20;64.21;32.5;25.0;2;35.0;35.0;4.0;0.0;35.0;1;17.77777777777778;1.0
62.82;54.01;470.68;61.41;57.13;53.95;0;20;57.32;35.833333333333336;27.5;2;40.0;40.0;4.0;0.0;40.0;1;32.970588235294116;2.0
62.82;52.34;446.87;58.93;55.84;55.99;0;11;53.22;34.583333333333336;30.0;2;40.0;30.0;0.0;0.0;40.0;0;31.805555555555557;2.0
72.55;55.7;430.29;46.84;48.43;55.99;0;20;51.21;30.3125;25.0;2;26.25;35.0;7.0;0.0;35.0;2;36.470588235294116;2.0
67.54;57.44;482.39;56.51;54.57;60.25;0;12;59.48;30.833333333333332;22.5;2;40.0;30.0;4.0;0.0;40.0;1;21.416666667111112;1.0
62.82;55.7;471.05;69.69;54.57;60.25;0;20;59.48;31.818181818181817;22.5;2;40.0;35.0;4.0;0.0;35.0;1;18.731092437058827;1.0
75.27;61.18;490.49;72.97;65.86;60.25;0;20;49.19;36.81818181818182;35.0;2;40.0;35.0;0.0;0.0;40.0;0;15.0;1.0
60.49;48.97;410.43;58.93;44.74;53.95;0;19;51.21;35.416666666666664;30.0;2;35.0;40.0;0.0;0.0;40.0;0;38.23529411764706;2.0
62.82;57.44;482.43;72.97;71.53;58.09;0;20;59.48;32.9166666675;30.0;2;40.0;26.66666667;3.0;0.0;30.0;1;35.55555555555556;2.0
78.22;55.7;463.16;58.93;47.21;55.99;0;21;51.21;39.166666666666664;45.0;2;40.0;30.0;0.0;0.0;40.0;0;33.05555555555556;2.0
72.55;52.34;492.98;72.97;55.84;53.95;0;10;70.06;32.083333333333336;30.0;2;35.0;30.0;0.0;0.0;35.0;0;36.1764705882353;2.0
67.77;65.03;483.31;58.68;53.56;59.24;0;20;55.21;40.416666666666664;40.0;2;50.0;35.0;0.0;0.0;40.0;0;27.63888888888889;1.0
69.99;45.4;480.69;66.74;64.23;65.0;0;4;59.48;33.333333333333336;30.0;2;40.0;25.0;3.0;0.0;40.0;1;32.22222222222222;2.0
72.55;55.7;470.9;58.93;65.86;58.09;0;10;51.21;30.454545454545453;25.0;2;35.0;30.0;4.0;0.0;40.0;1;40.0;2.0
69.99;57.44;461.56;61.41;49.65;58.09;0;10;61.76;28.541666666666668;32.5;1;25.0;27.5;8.0;0.0;27.5;4;39.72222222222222;2.0
78.22;57.44;488.45;64.0;44.74;67.71;1;20;66.94;33.75;30.0;2;40.0;30.0;0.0;0.0;40.0;0;31.029411764705884;2.0
72.55;57.44;485.27;56.51;83.41;65.0;0;10;57.32;22.291666666666668;20.0;1;20.0;20.0;11.0;0.0;27.5;4;22.5;1.0
62.82;59.25;464.66;64.0;64.23;60.25;0;10;59.48;29.583333333333332;25.0;1;32.5;30.0;4.0;0.0;32.5;1;33.73529411764706;2.0
78.22;61.18;467.75;66.74;49.65;53.95;0;10;57.32;37.916666666666664;35.0;2;50.0;30.0;0.0;0.0;35.0;0;32.44444444444444;2.0
60.49;55.7;469.61;64.0;73.83;65.0;0;9;64.21;15.0;15.0;1;15.0;15.0;11.0;0.0;15.0;4;15.0;1.0
69.99;55.7;450.04;64.0;42.2;60.25;0;10;53.22;25.454545454545453;27.5;1;20.0;25.0;10.0;0.0;35.0;3;13.333333333333334;1.0
75.27;52.34;493.74;61.41;47.21;70.81;0;20;64.21;34.583333333333336;30.0;2;40.0;35.0;0.0;0.0;30.0;0;32.8235294117647;2.0
72.55;52.34;482.48;58.93;71.53;62.54;0;16;57.32;32.916666666666664;27.5;2;40.0;30.0;4.0;0.0;40.0;1;31.833333333333332;2.0
85.28;59.25;475.58;66.74;55.84;51.92;0;9;53.22;35.416666666666664;40.0;2;35.0;30.0;0.0;0.0;40.0;0;32.638888888888886;2.0
81.5;48.97;469.34;49.32;97.34;55.99;0;12;59.48;26.363636364545457;27.5;1;16.66666667;30.0;7.0;0.0;40.0;2;30.0;1.0
85.28;55.7;448.7;56.51;59.81;58.09;0;13;53.22;35.208333333333336;40.0;2;35.0;27.5;3.0;0.0;40.0;1;37.0;2.0
78.22;50.66;443.18;58.93;45.98;53.95;0;1;64.21;35.416666666666664;30.0;2;45.0;30.0;0.0;0.0;40.0;0;29.117647058235292;1.0
53.2;52.34;463.52;58.93;0.0;65.0;0;20;55.25;18.636363636363637;15.0;1;25.0;15.0;11.0;0.0;25.0;4;10.0;1.0
67.54;65.59;486.36;56.51;64.23;58.09;1;9;64.21;43.333333333333336;45.0;2;50.0;35.0;0.0;0.0;45.0;0;35.833333333333336;2.0
81.5;61.18;459.46;61.41;71.53;55.99;1;20;59.48;30.0;25.0;2;30.0;35.0;4.0;0.0;35.0;1;15.794117645882352;1.0
69.99;47.22;441.32;61.41;59.81;62.54;0;5;59.48;36.041666666666664;30.0;2;50.0;27.5;3.0;0.0;40.0;1;38.888888888888886;2.0
72.55;47.22;460.18;54.12;88.67;58.09;0;16;64.21;37.916666666666664;30.0;2;50.0;35.0;0.0;0.0;40.0;0;38.611111111111114;2.0
65.16;57.44;462.42;58.93;42.2;62.54;0;14;64.21;32.083333333333336;30.0;2;30.0;40.0;1.0;0.0;30.0;1;33.529411764705884;2.0
72.55;61.18;476.68;61.41;62.69;58.09;1;20;66.94;33.125;27.5;2;45.0;27.5;7.0;0.0;35.0;2;31.527777778333334;2.0
55.8;49.26;421.29;53.97;45.71;53.71;0;6;49.43;34.583333333333336;30.0;2;45.0;30.0;0.0;0.0;40.0;0;25.0;1.0
72.55;50.66;471.6;54.12;0.0;55.99;0;15;59.48;28.75;27.5;1;30.0;25.0;7.0;0.0;35.0;2;21.529411764705884;1.0
61.77;72.77;517.02;65.82;71.1;65.87;0;20;66.73;15.0;15.0;1;15.0;15.0;11.0;0.0;15.0;4;15.0;1.0
75.27;50.66;451.99;56.51;76.45;58.09;0;16;57.32;35.416666666666664;30.0;2;50.0;30.0;0.0;0.0;30.0;0;15.0;1.0
70.5;58.05;457.14;59.29;55.3;51.64;0;12;51.1;22.083333333333332;20.0;1;15.0;30.0;8.0;0.0;20.0;3;35.0;2.0
69.99;47.22;426.6;61.41;44.74;55.99;0;13;57.32;30.833333333333332;25.0;2;35.0;30.0;4.0;0.0;35.0;1;27.352941177058824;1.0
67.77;55.66;477.31;65.89;74.16;65.51;0;15;55.21;14.166666666666666;10.0;1;15.0;15.0;12.0;0.0;15.0;5;15.0;1.0
72.55;57.44;458.17;58.93;54.57;60.25;0;10;61.76;36.666666666666664;40.0;2;35.0;35.0;0.0;0.0;35.0;0;32.76470588235294;2.0
58.13;50.66;450.4;58.93;65.86;55.99;0;11;70.06;33.333333333333336;35.0;2;30.0;30.0;0.0;0.0;35.0;0;27.441176470588236;1.0
70.42;60.85;487.75;49.04;53.56;61.19;0;4;55.21;33.75;35.0;2;35.0;30.0;0.0;0.0;35.0;0;28.970588235294116;1.0
58.15;59.03;485.74;58.68;62.81;70.86;0;20;57.14;33.333333333333336;35.0;2;27.5;32.5;3.0;0.0;40.0;1;24.264705882941175;1.0
75.27;59.25;510.79;61.41;59.81;58.09;0;3;59.48;32.5;35.0;2;30.0;30.0;0.0;0.0;35.0;0;28.08823529411765;1.0
58.15;49.26;468.8;63.43;57.84;61.19;1;10;61.16;32.5;30.0;2;35.0;30.0;0.0;0.0;35.0;0;31.176470588235293;2.0
95.12;54.13;482.83;56.8;54.31;57.44;0;10;55.39;33.333333333333336;35.0;2;30.0;30.0;0.0;0.0;40.0;0;29.117647058235292;1.0
69.99;68.28;475.13;54.12;48.43;55.99;1;13;59.48;35.0;35.0;2;30.0;40.0;0.0;0.0;35.0;0;30.735294117647058;2.0
85.34;52.36;444.47;67.15;45.2;45.62;0;1;48.93;44.166666666666664;45.0;2;45.0;45.0;0.0;0.0;40.0;0;35.0;2.0
85.28;50.66;475.79;56.51;73.83;65.0;0;13;59.48;23.541666666666668;20.0;1;20.0;30.0;8.0;0.0;17.5;3;35.0;2.0
67.05;54.13;448.89;59.29;47.79;47.7;1;20;70.67;29.166666666666668;25.0;1;30.0;30.0;4.0;0.0;35.0;1;19.882352941764708;1.0
62.82;52.34;462.79;58.93;47.21;53.95;0;10;53.22;32.857142857142854;30.0;2;35.0;30.0;0.0;40.0;30.0;0;4.625000000083333;1.0
67.05;56.01;472.04;61.82;61.22;63.75;0;10;55.39;22.5;20.0;1;20.0;25.0;11.0;0.0;20.0;4;35.0;2.0
72.55;52.34;449.14;51.73;53.32;62.54;0;10;59.48;30.833333333333332;30.0;2;30.0;30.0;0.0;0.0;35.0;0;35.0;2.0
60.48;54.05;466.95;58.68;49.6;57.36;0;20;61.16;37.083333333333336;45.0;2;30.0;35.0;0.0;0.0;35.0;0;33.38235294117647;2.0
60.48;49.26;446.8;61.03;60.2;48.15;1;18;57.14;32.5;25.0;2;35.0;35.0;4.0;0.0;40.0;1;13.375;1.0
75.87;57.72;489.7;55.86;62.57;66.32;0;7;60.55;15.0;15.0;1;15.0;15.0;12.0;0.0;15.0;5;15.0;1.0
63.9;60.31;463.41;51.8;37.38;61.53;0;20;59.82;30.416666666666668;25.0;2;35.0;30.0;4.0;0.0;35.0;1;45.0;3.0
95.12;55.79;476.14;56.78;57.27;58.29;1;8;62.45;31.041666666666668;25.0;2;37.5;30.0;4.0;0.0;35.0;1;24.375;1.0
60.49;52.34;460.68;64.0;65.86;62.54;1;11;57.32;36.25;40.0;2;35.0;30.0;0.0;0.0;40.0;0;32.94117647058823;2.0
66.94;60.21;488.34;66.96;46.92;58.29;1;20;55.7;39.166666666666664;45.0;2;35.0;40.0;0.0;0.0;35.0;0;35.0;2.0
95.12;60.31;505.51;54.31;79.55;66.14;0;8;57.57;16.666666666666668;15.0;1;20.0;15.0;12.0;0.0;15.0;5;15.0;1.0
67.77;54.05;472.61;56.34;60.2;61.19;0;19;51.38;29.166666666666668;22.5;1;35.0;30.0;4.0;0.0;30.0;1;29.29411764764706;1.0
70.5;50.66;451.07;56.8;55.3;49.7;0;11;55.39;30.416666666666668;30.0;2;30.0;30.0;0.0;0.0;30.0;0;21.52941176352941;1.0
50.54;43.47;364.66;49.32;43.48;40.94;0;1;53.22;24.722222223333333;21.66666667;1;27.5;22.5;10.0;0.0;30.0;3;20.999999999411763;1.0
70.42;66.11;493.94;54.33;46.92;64.51;1;18;62.45;39.166666666666664;35.0;2;50.0;35.0;0.0;0.0;35.0;0;31.029411764117647;2.0
60.49;52.34;468.85;64.0;42.2;55.99;0;11;66.94;28.583333333333332;22.625;1;35.0;27.5;7.0;0.0;30.0;2;17.50000000125;1.0
67.54;63.27;476.58;66.74;79.55;62.54;0;7;57.32;15.0;15.0;1;15.0;15.0;12.0;0.0;15.0;5;15.0;1.0
63.9;58.05;460.57;54.31;56.28;53.57;0;10;57.57;30.208333333333332;27.5;2;32.5;30.0;4.0;0.0;30.0;1;35.0;2.0
74.38;70.38;484.03;51.86;40.5;56.37;0;11;57.87;29.305555556666665;26.66666667;1;30.0;30.0;4.0;0.0;30.0;1;35.0;2.0
67.54;57.44;451.4;64.0;69.48;51.92;0;5;59.48;39.583333333333336;40.0;2;50.0;30.0;0.0;0.0;35.0;0;35.0;2.0
79.12;48.52;449.11;46.7;59.25;54.46;0;10;57.87;27.291666666666668;22.5;1;27.5;30.0;7.0;0.0;30.0;2;30.91176470588235;2.0
67.05;62.92;452.84;51.8;50.37;61.53;0;16;62.18;35.0;30.0;2;45.0;30.0;0.0;0.0;35.0;0;34.705882352941174;2.0
79.16;60.31;484.85;67.15;56.28;61.53;0;10;55.39;35.0;35.0;2;35.0;35.0;0.0;0.0;35.0;0;25.499999999411763;1.0
70.42;60.46;433.07;54.33;49.51;44.37;0;8;70.86;29.305555555833337;25.0;1;30.0;35.0;5.0;0.0;21.66666667;2;30.5;2.0
69.93;50.18;423.89;67.96;59.92;53.42;0;20;44.61;34.583333333333336;35.0;2;30.0;35.0;0.0;0.0;40.0;0;32.294117647647056;2.0
74.44;56.01;481.06;64.43;45.2;57.44;0;7;62.18;32.916666666666664;35.0;2;30.0;30.0;0.0;0.0;35.0;0;33.8235294117647;2.0
