PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;NOTA_CALIDAD_DOS;PROMEDIO_NUEVE;NAA_NUEVE;NOTA_GRADO_UNO;NOTA_LOG_DOS;NOTA_FINANZAS;NOTA_HISTORIA;RENDIMIENTO_DIEZ
37;39;39;36;40;6;0;37;30;0;3
37;41;41;37;39;6;0;39;33;0;3
40;41;42;37;40;6;0;38;30;0;3
28;36;16;0;39;2;0;0;0;0;3
40;39;41;37;43;6;0;45;40;0;3
0;0;0;0;0;0;0;0;0;0;2
35;40;36;45;38;6;0;35;30;0;3
29;35;32;33;29;3;0;34;24;0;3
37;42;39;35;42;6;0;48;33;0;3
31;37;8;0;0;0;0;0;0;0;2
21;40;0;0;0;0;0;0;0;0;2
20;0;0;0;0;0;0;0;0;0;2
34;0;0;0;0;0;0;0;0;0;2
35;35;0;0;0;0;0;0;0;0;2
35;39;38;44;38;6;0;38;37;0;3
39;39;34;36;39;6;0;39;32;0;3
39;42;39;34;42;6;0;49;30;0;3
36;38;40;38;37;6;0;32;30;0;3
31;38;33;32;32;4;0;32;43;0;3
0;0;0;0;0;0;0;0;0;0;2
40;42;41;39;40;6;0;38;33;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
39;38;40;40;40;6;0;43;31;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
30;36;38;40;35;6;0;36;32;0;3
37;41;37;41;41;6;0;42;30;0;3
37;40;43;45;40;6;0;44;34;0;3
0;0;0;0;0;0;0;0;0;0;2
41;42;40;38;39;6;0;40;31;0;3
41;42;39;45;40;6;0;40;31;0;3
40;37;36;30;39;5;0;39;27;0;3
35;39;32;36;35;5;0;35;30;0;3
0;0;0;0;0;0;0;0;0;0;2
38;42;36;36;38;5;0;48;29;0;3
0;0;0;0;0;0;0;0;0;0;2
37;41;40;32;42;6;0;48;30;0;3
32;33;36;34;32;4;0;23;35;0;3
35;37;10;9;19;1;0;0;23;0;3
0;0;0;0;0;0;0;0;0;0;2
31;0;0;0;20;0;0;0;20;0;2
0;0;0;0;0;0;0;0;0;0;2
37;39;36;33;38;5;0;32;26;0;3
33;38;35;40;37;6;0;33;31;0;3
0;0;0;0;0;0;0;0;0;0;2
33;38;37;45;35;6;0;38;36;0;3
36;36;30;30;33;4;0;40;24;0;3
0;0;0;0;0;0;0;0;0;0;2
32;37;33;27;33;4;0;31;22;0;3
33;36;36;33;33;4;0;29;36;0;3
35;35;32;32;32;4;0;35;21;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
1;32;0;0;0;0;0;0;0;0;2
35;37;40;36;37;8;47;33;32;41;3
0;0;0;0;0;0;0;0;0;0;2
39;41;41;37;41;8;45;46;35;48;3
0;0;0;0;0;0;0;0;0;0;2
36;37;35;33;35;7;36;37;25;30;3
36;40;36;33;36;7;42;39;24;34;3
36;37;39;41;34;7;42;36;35;40;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
38;42;40;36;41;8;45;45;37;47;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
7;32;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
13;0;0;0;0;0;0;0;0;0;2
36;39;40;36;35;7;39;45;31;42;3
38;39;37;38;32;7;38;37;30;32;3
0;0;0;0;0;0;0;0;0;0;2
36;40;36;33;39;8;37;39;30;43;3
38;38;30;34;34;3;0;0;31;0;3
0;0;42;0;0;0;0;0;0;0;2
35;39;36;40;36;8;43;37;38;43;3
0;0;0;0;0;0;0;0;0;0;2
35;39;37;31;35;8;42;35;30;41;3
0;0;0;0;0;0;0;0;0;0;2
36;40;38;40;35;7;34;30;30;44;3
37;40;37;30;35;8;37;39;33;44;3
37;32;34;34;30;6;45;34;18;33;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
27;22;40;0;0;0;0;0;0;0;2
36;39;36;35;38;7;45;46;19;48;3
0;0;0;0;0;0;0;0;0;0;2
30;35;29;24;38;3;0;0;0;32;3
34;35;30;34;35;7;43;39;21;38;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
35;39;31;43;32;4;47;0;48;15;3
0;0;0;0;0;0;0;0;0;0;2
37;37;39;42;35;8;37;33;30;41;3
35;0;0;0;0;0;0;0;0;0;2
36;35;36;41;35;8;34;42;32;34;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
