PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO
412;75;56;50;45;8;21.331397682154474
454;59;52;56;49;8;22.210723855100937
426;69;55;55;49;9;24.035108685072892
415;63;65;44;58;8;23.29764340539123
418;60;63;50;47;19;22.85223030580157
405;76;55;59;53;8;25.23548426884161
409;75;56;56;52;11;23.932987306728563
428;64;59;52;52;8;22.10556012715155
425;76;51;52;63;10;25.314313730564294
442;63;52;68;71;8;23.06302844811209
432;63;60;59;56;18;22.779844717254612
429;68;52;59;74;16;22.932721110475818
411;69;59;55;47;19;24.89658266656592
424;55;65;63;52;11;22.112019016990423
416;59;65;44;56;3;22.24972785005921
409;68;60;56;53;8;25.03606303225316
386;76;59;52;50;5;22.985142087515378
424;55;65;50;61;19;22.259015821626345
384;52;52;63;70;19;20.586352240828973
387;55;52;48;94;7;21.472598569174075
413;55;49;50;47;10;22.325939439122816
422;55;60;59;43;11;21.622526092275024
401;63;52;50;52;5;23.790327257562183
409;55;56;53;58;18;22.556962836111104
388;61;58;57;52;5;19.815104252515678
377;64;47;52;45;11;23.50589072451134
479;108;61;68;70;9;25.055399425143005
464;77;78;73;68;19;24.223037163471787
471;85;67;61;75;10;23.49785527579072
460;77;70;61;65;16;23.62365148323984
459;80;70;55;72;16;24.5097518233589
467;91;52;62;61;19;25.930252755552615
452;80;67;61;65;9;23.932865955252815
441;85;67;61;50;6;22.39237861004223
461;91;53;61;80;10;24.286758545304068
442;90;62;64;70;11;24.565761217085203
446;80;67;61;77;11;23.498217511251312
449;76;67;66;59;1;24.635983051003393
450;81;64;60;75;9;23.6710967162037
421;90;66;53;58;8;24.858608328759313
450;74;67;67;65;10;24.20993368503283
419;90;70;54;55;8;24.97763929841605
452;73;70;55;70;10;24.634138706744324
426;90;59;54;56;7;24.657446260633407
452;73;65;64;75;10;24.474868398873145
451;64;65;67;65;11;23.85367303232473
449;70;65;67;83;12;24.995425270213968
426;90;55;61;61;16;26.61414225327991
435;85;57;60;70;13;24.225135627589356
435;76;65;67;51;7;22.43138241259296
439;80;57;61;68;10;25.07887900795663
435;81;61;58;68;4;23.28014482812857
425;74;67;59;68;12;24.64885981242584
447;70;62;61;70;19;23.776606922723513
423;80;65;61;80;11;23.119106165378305
443;74;60;64;55;11;23.537083918255757
447;70;67;57;50;20;23.33618835908852
432;84;61;62;61;14;23.549675982429807
444;76;57;67;75;11;25.038999046238757
441;77;61;69;51;8;24.90606834024576
436;85;54;62;94;9;24.919396014397506
435;74;67;59;63;11;24.57504552677024
451;67;64;65;83;11;24.462068732624207
437;74;62;57;56;19;24.34240721320046
429;77;62;59;68;8;24.212541045113035
429;90;52;58;50;8;25.050786892902266
439;77;61;56;57;11;24.271747322875896
