PG_ICFES,DEPARTAMENTO
439.0,BOYACA
451.0,BOGOTA
453.0,CUNDINAMARCA
462.0,BOGOTA
431.0,BOGOTA
426.0,BOGOTA
427.0,BOGOTA
429.0,BOGOTA
438.0,BOGOTA
433.0,BOGOTA
433.0,CUNDINAMARCA
435.0,BOGOTA
409.0,BOGOTA
415.0,BOGOTA
429.0,CAQUETA
425.0,BOYACA
407.0,NARINO
414.0,BOGOTA
422.0,BOGOTA
414.0,NO REGISTRA
408.0,CUNDINAMARCA
414.0,CUNDINAMARCA
422.0,HUILA
414.0,BOGOTA
417.0,BOGOTA
419.0,BOGOTA
415.0,BOGOTA
414.0,BOGOTA
424.0,BOGOTA
440.0,BOGOTA
436.0,BOGOTA
419.0,BOGOTA
423.0,BOGOTA
404.0,NO REGISTRA
390.0,NO REGISTRA
394.0,BOGOTA
419.0,BOGOTA
425.0,BOGOTA
427.0,BOGOTA
430.0,CUNDINAMARCA
397.0,CUNDINAMARCA
407.0,BOGOTA
400.0,BOYACA
432.0,BOGOTA
418.0,CESAR
432.0,BOGOTA
415.0,CUNDINAMARCA
397.0,BOGOTA
409.0,BOGOTA
403.0,NO REGISTRA
388.0,BOYACA
399.0,BOGOTA
397.0,CASANARE
409.0,BOGOTA
411.8,NO REGISTRA
402.8,NO REGISTRA
384.5,NO REGISTRA
406.0,BOGOTA
408.0,VALLE
407.0,BOGOTA
401.0,BOGOTA
396.0,BOGOTA
407.93,META
418.0,CUNDINAMARCA
400.0,BOGOTA
393.0,BOGOTA
417.0,BOGOTA
421.0,BOGOTA
390.0,CUNDINAMARCA
416.0,BOGOTA
382.0,BOGOTA
403.0,BOGOTA
413.0,CUNDINAMARCA
399.0,BOGOTA
421.0,BOGOTA
398.0,BOGOTA
399.0,BOGOTA
396.0,NO REGISTRA
386.0,BOGOTA
407.0,BOGOTA
411.82,BOGOTA
414.0,BOGOTA
377.0,CUNDINAMARCA
403.0,BOGOTA
402.0,BOGOTA
396.0,BOGOTA
380.0,BOGOTA
408.0,BOGOTA
400.69,NO REGISTRA
413.0,HUILA
379.0,BOGOTA
403.0,BOGOTA
396.0,BOGOTA
374.0,BOGOTA
396.04,BOGOTA
415.0,BOGOTA
395.0,BOGOTA
413.0,BOGOTA
386.0,BOGOTA
396.0,BOGOTA
392.0,HUILA
392.0,BOGOTA
415.59,CUNDINAMARCA
399.0,BOYACA
412.0,BOGOTA
407.0,BOGOTA
409.0,BOGOTA
359.43,BOGOTA
354.0,BOGOTA
376.0,BOGOTA
371.0,META
359.0,NO REGISTRA
532.0,NO REGISTRA
496.0,NO REGISTRA
436.0,NO REGISTRA
455.0,NO REGISTRA
462.0,NARINO
446.0,NO REGISTRA
445.96,NO REGISTRA
444.0,HUILA
429.0,BOGOTA
446.0,BOGOTA
431.0,BOGOTA
418.0,BOGOTA
424.0,META
421.0,BOGOTA
419.0,BOGOTA
423.0,CUNDINAMARCA
416.0,NO REGISTRA
436.0,BOGOTA
427.0,BOGOTA
404.0,NO REGISTRA
413.0,CUNDINAMARCA
410.0,BOGOTA
411.0,BOLIVAR
415.1,CUNDINAMARCA
407.0,BOGOTA
405.0,BOGOTA
406.0,NO REGISTRA
421.56,NO REGISTRA
421.0,BOGOTA
420.0,BOGOTA
410.0,BOGOTA
433.0,BOGOTA
393.0,NO REGISTRA
412.0,BOGOTA
409.0,CUNDINAMARCA
435.21,BOGOTA
410.0,BOGOTA
412.0,BOGOTA
418.0,BOGOTA
400.0,BOYACA
411.0,NO REGISTRA
395.0,NO REGISTRA
425.0,NO REGISTRA
421.0,BOGOTA
406.0,NO REGISTRA
405.0,BOGOTA
409.0,NO REGISTRA
405.0,BOGOTA
409.0,BOGOTA
388.0,NO REGISTRA
412.0,CUNDINAMARCA
411.0,TOLIMA
403.0,BOYACA
398.0,CUNDINAMARCA
407.0,BOGOTA
395.0,BOGOTA
409.34,NO REGISTRA
388.0,NO REGISTRA
412.0,BOYACA
399.0,BOGOTA
385.0,BOLIVAR
395.0,VALLE
421.0,BOGOTA
398.0,NO REGISTRA
387.0,CUNDINAMARCA
387.0,BOGOTA
393.0,BOGOTA
404.98,NO REGISTRA
379.0,NO REGISTRA
388.0,BOGOTA
369.0,BOGOTA
380.0,NO REGISTRA
375.0,BOGOTA
384.0,BOGOTA
393.1,BOGOTA
391.0,BOGOTA
380.0,BOGOTA
382.0,BOGOTA
388.0,BOGOTA
394.0,NO REGISTRA
382.0,NO REGISTRA
369.0,NO REGISTRA
386.74,BOGOTA
362.0,NO REGISTRA
391.34,CUNDINAMARCA
381.0,BOGOTA
379.93,NO REGISTRA
389.0,BOGOTA
361.0,BOYACA
384.0,BOGOTA
387.29,BOGOTA
378.0,BOGOTA
373.0,BOGOTA
374.0,NO REGISTRA
371.0,NO REGISTRA
374.0,CUNDINAMARCA
372.0,BOGOTA
387.0,CASANARE
360.0,BOLIVAR
370.0,NO REGISTRA
382.52,BOGOTA
380.0,CUNDINAMARCA
385.0,BOGOTA
365.0,BOGOTA
373.0,BOGOTA
367.0,CUNDINAMARCA
380.0,BOGOTA
381.0,BOYACA
377.0,BOGOTA
386.0,BOGOTA
387.0,BOGOTA
365.0,NO REGISTRA
353.0,BOGOTA
353.0,NO REGISTRA
374.0,BOGOTA
377.0,BOGOTA
367.0,BOYACA
354.0,NO REGISTRA
370.0,BOGOTA
361.0,BOGOTA
360.0,NO REGISTRA
380.0,NO REGISTRA
382.0,BOGOTA
422.0,NO REGISTRA
351.0,BOGOTA
386.0,CUNDINAMARCA
418.0,TOLIMA
386.0,NO REGISTRA
380.0,NO REGISTRA
373.0,NO REGISTRA
370.0,NO REGISTRA
366.0,NO REGISTRA
372.0,NO REGISTRA
380.0,NO REGISTRA
359.0,NO REGISTRA
357.0,NO REGISTRA
371.0,NO REGISTRA
360.0,NO REGISTRA
365.0,NO REGISTRA
357.0,NO REGISTRA
350.0,NO REGISTRA
361.0,NO REGISTRA
347.0,NO REGISTRA
352.0,NO REGISTRA
358.0,NO REGISTRA
324.0,NO REGISTRA
337.0,NO REGISTRA
336.0,NO REGISTRA
448.0,BOGOTA
432.0,NO REGISTRA
332.0,NO REGISTRA
334.0,NO REGISTRA
447.0,BOGOTA
335.0,NO REGISTRA
333.0,NO REGISTRA
331.0,NO REGISTRA
327.0,NO REGISTRA
350.0,NO REGISTRA
310.0,NO REGISTRA
333.0,NO REGISTRA
338.0,NO REGISTRA
330.0,NO REGISTRA
314.0,NO REGISTRA
334.0,NO REGISTRA
330.0,NO REGISTRA
332.0,NO REGISTRA
318.0,NO REGISTRA
327.0,NO REGISTRA
337.0,NO REGISTRA
329.0,NO REGISTRA
473.0,CUNDINAMARCA
334.0,NO REGISTRA
324.0,NO REGISTRA
435.0,BOGOTA
330.0,NO REGISTRA
318.0,NO REGISTRA
318.0,NO REGISTRA
327.0,NO REGISTRA
334.0,NO REGISTRA
325.0,NO REGISTRA
313.0,NO REGISTRA
324.0,NO REGISTRA
327.0,NO REGISTRA
320.0,NO REGISTRA
329.0,NO REGISTRA
312.0,NO REGISTRA
322.0,NO REGISTRA
301.0,NO REGISTRA
312.0,NO REGISTRA
318.0,NO REGISTRA
434.0,BOGOTA
414.0,BOGOTA
413.0,BOGOTA
423.0,BOGOTA
412.0,BOGOTA
440.0,CUNDINAMARCA
401.0,NO REGISTRA
420.0,BOYACA
408.0,BOGOTA
386.0,BOYACA
396.0,HUILA
411.0,CUNDINAMARCA
413.0,BOGOTA
401.0,CUNDINAMARCA
417.0,CUNDINAMARCA
399.0,BOGOTA
394.0,BOGOTA
408.0,CUNDINAMARCA
388.74,BOGOTA
400.0,CUNDINAMARCA
400.0,BOGOTA
392.0,CUNDINAMARCA
383.0,CUNDINAMARCA
387.0,BOGOTA
361.0,BOYACA
371.28,BOGOTA
373.0,BOGOTA
357.0,NO REGISTRA
365.0,NARINO
318.0,NO REGISTRA
362.0,BOGOTA
293.0,NO REGISTRA
365.0,BOGOTA
379.0,BOGOTA
312.0,NO REGISTRA
315.0,NO REGISTRA
312.0,NO REGISTRA
322.0,NO REGISTRA
330.0,NO REGISTRA
318.0,NO REGISTRA
322.0,NO REGISTRA
317.0,NO REGISTRA
318.0,NO REGISTRA
313.0,NO REGISTRA
321.0,NO REGISTRA
317.0,NO REGISTRA
387.5,CUNDINAMARCA
321.0,NO REGISTRA
387.0,CUNDINAMARCA
312.0,NO REGISTRA
325.0,NO REGISTRA
378.0,BOGOTA
382.0,NO REGISTRA
365.0,NO REGISTRA
364.0,BOGOTA
359.0,BOGOTA
357.0,NO REGISTRA
321.0,NO REGISTRA
350.0,BOGOTA
340.0,NO REGISTRA
342.0,BOGOTA
337.0,BOGOTA
339.0,NO REGISTRA
329.0,BOYACA
323.0,BOYACA
329.0,NO REGISTRA
336.0,NO REGISTRA
333.0,BOGOTA
334.0,BOGOTA
332.0,TOLIMA
323.0,BOGOTA
333.0,NO REGISTRA
324.0,NO REGISTRA
343.0,NO REGISTRA
320.0,CUNDINAMARCA
333.0,NO REGISTRA
445.0,BOGOTA
330.0,BOGOTA
310.0,NO REGISTRA
331.0,BOGOTA
334.0,META
400.0,BOGOTA
418.0,BOGOTA
392.0,TOLIMA
416.0,BOGOTA
409.0,BOGOTA
414.0,BOGOTA
399.0,BOGOTA
388.0,NO REGISTRA
390.0,BOGOTA
411.0,NO REGISTRA
382.0,BOGOTA
393.0,CUNDINAMARCA
418.0,BOGOTA
388.1,BOGOTA
403.0,CUNDINAMARCA
408.0,GUAINIA
392.0,BOGOTA
409.8,BOGOTA
419.45,META
421.82,CUNDINAMARCA
400.0,NARINO
392.0,BOYACA
374.0,BOGOTA
380.0,BOGOTA
330.0,BOGOTA
381.0,NARINO
305.0,BOGOTA
390.38,BOGOTA
319.0,BOGOTA
305.0,BOGOTA
307.0,BOGOTA
320.0,BOGOTA
316.0,NO REGISTRA
320.0,NO REGISTRA
302.0,NO REGISTRA
315.0,BOGOTA
307.0,BOYACA
327.0,BOGOTA
307.0,NO REGISTRA
306.0,NO REGISTRA
322.0,NO REGISTRA
315.0,BOGOTA
401.0,CUNDINAMARCA
323.0,BOGOTA
298.0,NO REGISTRA
385.79,BOGOTA
364.0,NARINO
395.0,NO REGISTRA
35.0,NO REGISTRA
356.0,NO REGISTRA
415.0,BOGOTA
