PG_ICFES,TIPO_COLEGIO
420.87,NO REGISTRA
401.0,OFICIAL
417.0,OFICIAL
413.0,NO OFICIAL
427.0,NO OFICIAL
424.0,NO OFICIAL
427.0,NO OFICIAL
407.0,NO OFICIAL
407.0,NO OFICIAL
418.0,OFICIAL
410.0,OFICIAL
394.0,NO REGISTRA
408.0,NO REGISTRA
421.0,OFICIAL
412.0,OFICIAL
426.0,NO OFICIAL
406.0,NO OFICIAL
418.0,NO REGISTRA
410.0,OFICIAL
456.0,OFICIAL
424.0,NO OFICIAL
428.0,OFICIAL
413.0,NO OFICIAL
417.0,NO OFICIAL
399.0,NO REGISTRA
408.0,NO OFICIAL
389.0,NO REGISTRA
394.0,NO REGISTRA
414.74,NO OFICIAL
386.0,OFICIAL
426.0,NO OFICIAL
415.0,NO OFICIAL
407.0,OFICIAL
423.0,NO OFICIAL
405.69,NO REGISTRA
416.0,OFICIAL
396.0,OFICIAL
421.0,NO REGISTRA
413.0,OFICIAL
417.0,NO OFICIAL
394.0,OFICIAL
443.0,OFICIAL
411.0,NO OFICIAL
397.0,OFICIAL
397.0,NO REGISTRA
399.0,OFICIAL
411.0,NO OFICIAL
385.0,NO OFICIAL
405.0,OFICIAL
410.0,OFICIAL
390.0,OFICIAL
404.0,NO OFICIAL
393.0,NO OFICIAL
409.0,OFICIAL
407.0,OFICIAL
413.0,OFICIAL
409.0,OFICIAL
407.33,OFICIAL
420.0,NO REGISTRA
403.0,NO REGISTRA
419.0,NO REGISTRA
405.0,NO OFICIAL
391.0,OFICIAL
409.0,NO OFICIAL
425.0,NO OFICIAL
383.0,OFICIAL
410.0,NO REGISTRA
421.0,OFICIAL
398.0,OFICIAL
416.0,NO OFICIAL
400.0,NO REGISTRA
383.0,OFICIAL
392.0,NO OFICIAL
406.1,OFICIAL
376.0,NO OFICIAL
405.0,OFICIAL
396.0,NO OFICIAL
395.0,NO OFICIAL
411.0,OFICIAL
401.0,OFICIAL
391.0,NO OFICIAL
397.0,NO OFICIAL
397.0,OFICIAL
399.0,NO REGISTRA
424.0,NO REGISTRA
359.0,NO OFICIAL
375.0,NO OFICIAL
362.0,NO OFICIAL
357.1,NO REGISTRA
413.0,OFICIAL
422.0,NO OFICIAL
407.0,OFICIAL
375.0,OFICIAL
397.0,NO REGISTRA
490.0,NO OFICIAL
456.0,NO OFICIAL
438.0,OFICIAL
460.0,NO OFICIAL
436.0,OFICIAL
450.0,OFICIAL
437.0,NO OFICIAL
436.0,NO OFICIAL
447.0,NO OFICIAL
446.0,NO OFICIAL
435.0,OFICIAL
429.0,NO OFICIAL
446.0,OFICIAL
436.0,OFICIAL
446.0,OFICIAL
432.0,NO OFICIAL
424.0,NO OFICIAL
418.0,NO OFICIAL
409.0,NO OFICIAL
442.0,NO OFICIAL
406.0,NO OFICIAL
422.0,OFICIAL
440.0,OFICIAL
429.0,OFICIAL
424.0,OFICIAL
445.0,NO OFICIAL
434.0,NO OFICIAL
427.0,OFICIAL
447.0,NO OFICIAL
413.0,NO OFICIAL
431.0,OFICIAL
422.0,NO OFICIAL
423.0,OFICIAL
410.0,NO OFICIAL
406.0,OFICIAL
408.0,OFICIAL
407.0,NO OFICIAL
413.0,NO REGISTRA
413.0,OFICIAL
438.0,OFICIAL
414.0,NO OFICIAL
428.0,NO OFICIAL
414.0,NO OFICIAL
415.0,NO OFICIAL
411.0,OFICIAL
425.0,OFICIAL
407.0,OFICIAL
417.0,OFICIAL
419.0,OFICIAL
408.0,OFICIAL
397.0,NO REGISTRA
443.0,NO OFICIAL
410.0,OFICIAL
421.0,NO OFICIAL
418.0,NO REGISTRA
405.0,NO OFICIAL
412.0,OFICIAL
403.0,OFICIAL
405.0,NO OFICIAL
398.0,OFICIAL
393.0,OFICIAL
394.0,OFICIAL
416.0,OFICIAL
412.0,OFICIAL
416.0,OFICIAL
418.0,NO REGISTRA
414.0,OFICIAL
396.0,OFICIAL
396.0,OFICIAL
393.0,NO OFICIAL
412.0,NO OFICIAL
403.0,NO OFICIAL
384.73,NO OFICIAL
406.0,OFICIAL
409.0,OFICIAL
396.0,OFICIAL
411.0,OFICIAL
425.0,OFICIAL
407.0,OFICIAL
408.0,OFICIAL
406.0,OFICIAL
405.0,NO OFICIAL
399.0,NO OFICIAL
409.0,NO OFICIAL
394.0,NO OFICIAL
420.0,OFICIAL
414.0,NO OFICIAL
414.0,NO OFICIAL
392.0,NO OFICIAL
400.0,NO OFICIAL
391.0,NO OFICIAL
403.0,OFICIAL
400.0,OFICIAL
391.0,OFICIAL
403.0,NO OFICIAL
405.0,OFICIAL
405.0,OFICIAL
393.0,NO OFICIAL
397.0,OFICIAL
413.0,NO OFICIAL
412.0,OFICIAL
373.0,OFICIAL
400.0,OFICIAL
376.0,OFICIAL
371.57,OFICIAL
400.0,OFICIAL
396.0,OFICIAL
471.0,NO REGISTRA
463.0,NO REGISTRA
469.0,NO REGISTRA
478.0,NO OFICIAL
440.0,NO REGISTRA
450.0,NO OFICIAL
447.0,OFICIAL
429.0,OFICIAL
425.0,NO OFICIAL
437.0,NO OFICIAL
426.0,NO REGISTRA
431.0,OFICIAL
423.0,NO REGISTRA
421.0,NO OFICIAL
416.0,OFICIAL
408.0,NO REGISTRA
432.0,NO OFICIAL
419.0,NO REGISTRA
433.0,NO REGISTRA
417.0,NO REGISTRA
402.0,OFICIAL
421.0,OFICIAL
407.0,NO REGISTRA
423.57,NO OFICIAL
400.0,NO OFICIAL
412.0,NO REGISTRA
413.66,OFICIAL
426.0,OFICIAL
421.0,OFICIAL
405.0,NO OFICIAL
421.0,NO OFICIAL
414.42,NO OFICIAL
409.0,NO REGISTRA
414.0,OFICIAL
403.0,OFICIAL
380.0,OFICIAL
407.0,OFICIAL
422.0,NO REGISTRA
379.0,NO REGISTRA
419.0,NO OFICIAL
403.0,OFICIAL
423.0,OFICIAL
405.0,NO REGISTRA
380.0,NO REGISTRA
416.0,NO REGISTRA
405.0,NO REGISTRA
416.0,NO REGISTRA
395.0,NO OFICIAL
404.0,NO REGISTRA
398.0,OFICIAL
416.0,NO REGISTRA
396.0,NO REGISTRA
401.0,OFICIAL
391.0,OFICIAL
405.24,OFICIAL
397.0,NO REGISTRA
398.0,OFICIAL
384.0,OFICIAL
405.0,NO REGISTRA
408.0,OFICIAL
391.0,NO OFICIAL
390.0,NO REGISTRA
401.39,NO OFICIAL
406.0,OFICIAL
385.0,NO REGISTRA
400.0,NO OFICIAL
392.0,NO OFICIAL
373.19,NO OFICIAL
390.0,OFICIAL
391.02,OFICIAL
399.0,NO REGISTRA
417.0,OFICIAL
399.0,OFICIAL
403.0,OFICIAL
387.0,NO OFICIAL
379.0,NO OFICIAL
395.0,OFICIAL
371.51,OFICIAL
384.64,NO OFICIAL
419.0,NO OFICIAL
385.0,OFICIAL
389.0,OFICIAL
394.26,NO OFICIAL
386.97,NO REGISTRA
394.51,NO OFICIAL
375.0,NO OFICIAL
398.0,OFICIAL
414.0,OFICIAL
379.0,NO OFICIAL
399.58,NO REGISTRA
407.0,NO OFICIAL
411.0,NO OFICIAL
372.0,OFICIAL
378.0,OFICIAL
361.0,OFICIAL
350.0,OFICIAL
374.52,NO REGISTRA
353.0,OFICIAL
382.85,NO OFICIAL
367.0,NO OFICIAL
376.12,NO OFICIAL
384.0,NO REGISTRA
397.0,OFICIAL
372.0,NO OFICIAL
390.0,OFICIAL
392.0,NO OFICIAL
385.0,OFICIAL
393.0,OFICIAL
394.0,OFICIAL
391.0,OFICIAL
395.71,NO REGISTRA
376.0,OFICIAL
384.0,OFICIAL
390.79,OFICIAL
384.0,OFICIAL
377.0,NO REGISTRA
386.0,NO OFICIAL
396.0,NO REGISTRA
384.0,OFICIAL
366.73,OFICIAL
380.0,NO OFICIAL
389.0,NO REGISTRA
383.0,NO REGISTRA
387.0,OFICIAL
361.0,OFICIAL
377.0,NO REGISTRA
377.0,OFICIAL
377.0,OFICIAL
385.0,NO REGISTRA
438.0,NO OFICIAL
488.0,NO OFICIAL
474.0,NO OFICIAL
436.0,OFICIAL
480.0,OFICIAL
454.0,NO OFICIAL
455.0,NO OFICIAL
457.0,NO OFICIAL
470.0,OFICIAL
469.0,NO REGISTRA
453.0,OFICIAL
444.0,NO REGISTRA
444.0,OFICIAL
439.0,OFICIAL
426.0,NO OFICIAL
459.0,OFICIAL
442.0,NO OFICIAL
436.0,NO OFICIAL
454.0,OFICIAL
463.0,NO REGISTRA
453.0,NO OFICIAL
452.0,NO OFICIAL
466.0,NO OFICIAL
439.0,OFICIAL
450.0,OFICIAL
446.0,OFICIAL
453.0,OFICIAL
437.0,NO REGISTRA
449.0,NO OFICIAL
460.0,NO OFICIAL
453.0,NO OFICIAL
429.0,NO OFICIAL
425.0,OFICIAL
430.0,NO REGISTRA
441.0,NO REGISTRA
427.0,OFICIAL
420.0,OFICIAL
436.0,NO REGISTRA
452.0,OFICIAL
443.0,NO OFICIAL
438.0,NO OFICIAL
430.0,NO REGISTRA
431.0,NO OFICIAL
411.0,NO REGISTRA
426.0,OFICIAL
435.0,OFICIAL
437.0,NO OFICIAL
435.0,OFICIAL
439.0,NO OFICIAL
429.0,NO OFICIAL
438.0,OFICIAL
422.0,NO OFICIAL
427.0,NO OFICIAL
408.0,NO OFICIAL
455.0,NO OFICIAL
404.0,OFICIAL
423.0,OFICIAL
