MUNICIPIO,PG_ICFES
BOJACA,376.0
SANDONA,411.0
NO REGISTRA,392.78
BOJACA,387.74
BOJACA,385.0
NO REGISTRA,387.0
BOJACA,390.0
BOJACA,397.0
NATAGAIMA,398.0
BOJACA,402.0
NO REGISTRA,397.0
BOJACA,385.0
NO REGISTRA,382.0
BOJACA,392.0
BOJACA,376.0
NO REGISTRA,383.0
BOJACA,388.0
BOJACA,380.0
SOATA,408.0
NO REGISTRA,385.0
NO REGISTRA,396.0
NO REGISTRA,368.0
BOJACA,379.0
BOJACA,392.0
BOJACA,388.0
BOJACA,381.0
NO REGISTRA,380.0
BOJACA,387.0
NO REGISTRA,371.0
ZIPACON,353.0
BOJACA,385.0
BOJACA,384.0
BOJACA,375.0
ACACIAS,466.0
NO REGISTRA,502.0
BOJACA,447.0
BOJACA,447.0
BOJACA,435.0
BOJACA,440.0
BOJACA,447.0
BOJACA,432.0
BOJACA,433.17
NO REGISTRA,426.0
BOJACA,437.0
BOJACA,432.0
PAILITAS,421.0
FLORENCIA,432.0
BOJACA,432.0
BOJACA,434.0
BOJACA,433.0
BOJACA,425.0
BOJACA,414.0
SOATA,425.0
FLORENCIA,398.0
BOJACA,419.0
BOJACA,421.0
BOJACA,434.0
BOJACA,429.0
NO REGISTRA,419.0
BOJACA,426.0
VILLETA,433.0
BOJACA,403.0
BOJACA,410.0
NO REGISTRA,422.0
BOJACA,421.0
BOJACA,434.0
BOJACA,421.0
BOJACA,419.0
BOJACA,424.0
BOJACA,420.0
CHOACHI,411.0
BOJACA,420.0
BOJACA,419.0
BOJACA,405.0
BOJACA,422.0
BOJACA,406.0
BOJACA,403.0
NEMOCON,414.0
BOJACA,408.0
EL BANCO,409.0
BOJACA,414.0
BOJACA,413.0
COTA,421.0
BOJACA,409.0
TURBACO,415.0
BOJACA,403.0
BOJACA,400.0
BOJACA,409.0
BOJACA,412.0
BOJACA,394.0
BOJACA,394.0
BOJACA,401.0
SOATA,402.0
NO REGISTRA,405.0
PALERMO,407.0
BOJACA,405.0
BOJACA,395.0
NO REGISTRA,410.0
NO REGISTRA,403.0
NO REGISTRA,406.0
NO REGISTRA,408.0
BOJACA,420.0
BOJACA,406.0
NO REGISTRA,406.0
BOJACA,402.0
FONSECA,416.0
BOJACA,394.0
BOJACA,387.0
BOJACA,402.0
NO REGISTRA,397.0
BOJACA,403.0
BOJACA,400.0
BOJACA,416.0
BOJACA,397.0
BOJACA,399.0
BOJACA,411.0
BOJACA,396.0
BOJACA,382.0
BOJACA,400.0
SINCE,402.0
BOJACA,405.0
BOJACA,405.0
BOJACA,399.16
NO REGISTRA,395.0
BOJACA,395.0
BOJACA,402.0
NO REGISTRA,392.0
BOJACA,393.0
BOJACA,392.0
BOJACA,405.0
BOJACA,386.0
BOJACA,398.0
BOJACA,395.0
NO REGISTRA,386.0
BOJACA,407.0
BOJACA,398.0
NATAGAIMA,394.0
BOJACA,390.0
BOJACA,385.0
NO REGISTRA,398.0
BOJACA,396.38
BOJACA,406.0
BOJACA,395.0
BOJACA,395.0
FUSAGASUGA,395.0
BOJACA,386.0
BOJACA,387.26
BOJACA,426.0
BOJACA,397.0
CHARALA,439.0
BOJACA,371.46
NO REGISTRA,459.0
CASTILLA LA NUEVA,447.0
BOJACA,457.0
NO REGISTRA,432.0
NO REGISTRA,453.0
NO REGISTRA,431.0
BOJACA,438.0
NO REGISTRA,442.0
BOJACA,422.0
NO REGISTRA,430.0
BOJACA,440.0
FLORENCIA,432.0
NO REGISTRA,420.0
NO REGISTRA,435.0
MEDELLIN,423.0
BOJACA,442.0
BOJACA,443.29
BOJACA,411.0
NO REGISTRA,429.0
VILLAVICENCIO,421.0
BOJACA,430.0
BOJACA,414.0
NO REGISTRA,406.0
NO REGISTRA,419.0
BOJACA,402.35
BOJACA,415.0
MAICAO,405.0
NO REGISTRA,412.0
BOJACA,414.0
BOJACA,402.0
SOLEDAD,395.0
BOJACA,404.0
NO REGISTRA,410.0
BOJACA,407.0
BOJACA,414.0
TIMANA,401.0
NO REGISTRA,400.0
SOLEDAD,402.0
BOJACA,405.0
NO REGISTRA,415.0
BOJACA,408.0
NO REGISTRA,398.0
NO REGISTRA,383.0
BOJACA,402.0
BOJACA,412.0
CUCUTA,385.0
SAN ANDRES,395.0
BOJACA,399.0
BOJACA,391.0
NO REGISTRA,411.0
BOJACA,407.0
BOJACA,391.0
NO REGISTRA,408.0
BOJACA,399.0
NO REGISTRA,384.0
FUSAGASUGA,392.0
BOJACA,402.42
BOJACA,403.0
NO REGISTRA,399.0
NO REGISTRA,383.0
NO REGISTRA,395.0
BOJACA,391.0
BOJACA,405.0
NO REGISTRA,398.05
NO REGISTRA,393.0
BOJACA,403.88
NO REGISTRA,390.0
BOJACA,395.0
BOJACA,395.0
BOJACA,386.0
BOJACA,403.0
TUBARA,379.0
BOJACA,408.0
BOJACA,377.0
BOJACA,387.0
BOJACA,383.0
NO REGISTRA,371.0
NO REGISTRA,397.0
