NOTA_DIF;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_TOP;NOTA_EYB;IDIOMA_ICFES;NOTA_HIST;NOTA_ECUA;NOTA_PROGB;LITERATURA_ICFES;NCA_TRES;NOTA_FOTO;NOTA_FIS_UNO;NOTA_CFJC;VECES_SUELOS;EPA_TRES;NOTA_MULTI;NAP_TRES;VECES_POO;NOTA_INT;NAC_TRES;NAP_UNO;CAR_TRES;VECES_FOTO;NCC_TRES;NCA_UNO;NAA_TRES;VECES_MULTI;NCP_TRES;VECES_HIST;VECES_CFJC;VECES_ECUA;VECES_FIS_DOS;VECES_TOP;EPA_DOS;CREDITOS_ECUA;CREDITOS_FIS_DOS;CREDITOS_CFJC;CREDITOS_FOTO;CREDITOS_MULTI;CREDITOS_POO;CREDITOS_SUELOS;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
25;0;0;0;30;40;40.88;35;0;35;45.01;2.0;30;0;0;0;1;0;1;0;0;2;1;1;1;3.0;11.0;1;0;1.0;1;2;0;0;2;2;3;3;1;2;3;3;3;33.18181818181818;30.333333333333332;20.0;0.0;0.0
30;38;34;32;40;40;45.98;30;34;44;46.97;18.0;40;32;30;1;2;31;0;2;34;7;0;2;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;37.1764705882353;33.06666666666667;34.27777777777778;2.0;38.88235294117647
30;30;35;30;35;40;50.87;40;40;30;64.21;18.0;40;30;45;1;2;30;0;1;30;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.94117647058823;36.0;34.44444444444444;2.0;37.1764705882353
15;0;0;0;30;40;44.74;40;0;30;47.18;0.0;0;0;0;0;1;0;0;0;0;0;2;0;0;0.0;8.0;0;0;0.0;1;0;0;0;3;2;3;3;1;2;3;3;3;31.0;28.666666666666668;0.0;0.0;0.0
30;33;32;38;30;35;36.79;40;33;30;68.15;18.0;39;35;34;1;2;34;0;1;35;7;0;2;1;18.0;15.0;7;2;0.0;1;1;1;2;1;2;3;3;1;2;3;3;3;32.35294117647059;33.0;34.55555555555556;2.0;35.705882352941174
30;30;40;30;30;35;58.45;35;33;35;56.79;18.0;36;40;37;2;2;37;0;1;31;7;0;2;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;33.411764705882355;31.333333333333332;34.388888888888886;2.0;35.35294117647059
30;40;30;31;30;40;47.21;40;34;30;56.57;18.0;33;30;40;1;2;30;0;1;30;7;0;1;1;18.0;15.0;7;3;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;31.176470588235293;34.333333333333336;33.388888888888886;2.0;39.529411764705884
30;35;40;30;30;40;50.37;40;35;30;65.59;18.0;40;30;40;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;31.176470588235293;36.666666666666664;35.0;2.0;37.529411764705884
20;0;0;0;0;15;83.41;40;0;15;59.48;0.0;0;0;0;0;1;0;0;0;0;0;2;0;0;0.0;8.0;0;0;0.0;1;0;0;0;0;1;3;3;1;2;3;3;3;15.0;28.0;0.0;0.0;0.0
30;32;32;36;35;35;76.45;35;34;30;46.97;18.0;35;38;35;1;2;34;0;1;38;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;34.294117647058826;32.666666666666664;33.833333333333336;2.0;38.470588235294116
20;0;0;0;25;40;52.09;35;0;0;54.66;0.0;0;0;0;0;1;0;0;0;0;0;2;0;0;0.0;8.0;0;0;0.0;1;0;0;0;1;1;3;3;1;2;3;3;3;25.0;27.0;0.0;0.0;0.0
30;30;34;35;30;35;48.43;45;30;50;45.12;18.0;36;43;40;1;2;40;0;1;33;7;0;2;1;18.0;15.0;7;3;0.0;1;1;2;1;2;2;3;3;1;2;3;3;3;37.8235294117647;35.0;34.388888888888886;2.0;35.470588235294116
30;35;43;34;35;50;58.59;45;30;40;62.59;18.0;42;30;46;1;2;35;0;3;40;7;0;2;2;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;37.64705882352941;34.666666666666664;36.72222222222222;2.0;35.8235294117647
30;35;50;30;30;50;50.37;45;30;35;65.43;18.0;35;30;40;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;33.23529411764706;37.666666666666664;35.27777777777778;2.0;35.1764705882353
