NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA_DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOSQ;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
1126;37.26666666666667;45.0;33.3235294117647;27.5;36.0;32.0;36.0;38.94444444444444;7;37.0;30.0;46.0;44.0;42.0;39.72222222222222;1;18;16;2;7;6;1;2;46.0;1;2;45.0;1;3;31.0;1;3;38.0;1;3;26.0;2;2;43.0;1;3;50;1;2;2;38.58823529411764
1127;37.6;44.0;37.38235294117647;33.5;32.0;39.0;44.0;39.0;7;40.0;35.0;45.0;31.0;43.0;40.88888888888889;0;18;18;0;7;7;0;2;43.0;1;2;45.0;1;3;46.0;1;3;41.0;1;3;33.0;1;2;36.0;1;3;40;1;2;3;42.76470588235294
1128;26.76666666666667;33.0;31.16666666666667;25.0;19.5;26.5;0.0;25.90909090909091;3;0.0;33.0;6.0;33.0;0.0;29.93333333333333;1;5;3;2;2;1;1;1;25.33333333333333;3;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;33.0;1;3;0;0;2;1;29.62121212121212
1131;33.33333333333334;49.0;37.47058823529412;37.0;37.0;27.5;45.0;39.0;7;35.0;35.0;39.0;31.0;47.0;38.33333333333334;1;18;18;0;7;7;0;2;44.0;1;2;45.0;1;3;31.0;1;3;30.0;1;3;30.5;2;2;41.0;1;3;50;1;2;2;35.70588235294117
1134;35.73333333333333;43.0;36.58823529411764;31.0;37.0;36.0;49.0;38.94444444444444;7;30.0;44.0;45.0;30.0;44.0;39.63888888888889;1;18;18;0;7;7;0;2;46.0;1;2;38.5;2;3;31.0;1;3;37.0;1;3;32.0;1;2;46.0;1;3;50;1;2;3;40.14705882352941
1136;31.23333333333333;44.0;34.1764705882353;33.5;25.5;31.0;44.0;37.83333333333334;7;38.0;33.0;41.0;34.0;44.0;34.80555555555556;1;18;18;0;7;7;0;2;40.0;1;2;35.0;1;3;34.0;1;3;30.5;2;3;37.0;1;2;30.0;1;3;42;1;2;2;35.3
1137;30.9;42.0;33.58823529411764;32.5;29.5;30.0;44.0;28.73076923076923;4;9.5;32.0;0.0;30.0;0.0;26.85714285714286;1;7;5;2;3;2;1;1;39.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;10.0;2;2;30.0;1;3;0;0;2;2;35.72727272727273
1140;31.35897435897436;0.0;24.3;22.5;1.0;34.0;0.0;35.0;2;0.0;0.0;0.0;30.0;0.0;39.0;0;2;2;0;1;1;0;2;39.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;2;34.0
1141;34.36666666666667;48.0;33.1764705882353;30.0;26.0;30.0;41.0;39.72222222222222;7;34.0;47.0;41.0;31.0;42.0;36.38888888888889;1;18;16;2;7;6;1;2;45.0;1;2;32.0;1;3;31.0;1;3;33.0;1;3;26.0;2;2;43.0;1;3;48;1;2;2;34.88235294117647
1145;32.15555555555555;36.0;31.55882352941176;28.5;27.0;26.5;44.0;38.83333333333334;7;36.0;37.0;36.0;32.0;46.0;37.05555555555556;1;18;18;0;7;7;0;2;32.0;1;2;31.0;2;3;37.0;1;3;30.0;1;3;39.0;1;2;47.0;1;3;45;1;2;2;34.8235294117647
