PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;RENDIMIENTO_CINCO;PROMEDIO_CINCO;NOTA_EE_CUATRO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;RENDIMIENTO_SEIS;PROMEDIO_SEIS;NCA_SEIS;NOTA_PLINEAL;NOTA_DISENO;NOTA_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE;NOTA_IECONOMICA;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
470.3;69.99;64.0;65.59;62.69;20;2.0;33.4;20;60.25;1;15.0;6;27.5;30.0;35.0;40.0;35.0;40.0;38.0;2.0;36.34375;16.0;16.0;6;32.5;40.0;30.0;35.0;47.0;2.0;37.06666666666667;6;30.0;35.0;0.0;45.0;41.0;2.0;36.388888888888886;35.0;40.0;35.0;30.0;35.0;2.0;34.23076923076923;40;35.0;35.0;0.0;40.0;0.0;2.0;32.53333333333333;12.0;25.0;45.0;0;2.0;37.11111111111112;30.0;5;36.0;40.0;40.0;0.0;2.0;34.333333333333336;37.84615384615385;2.0
498.96;85.28;54.12;61.18;57.13;7;3.0;41.66666666666666;14;62.54;0;15.0;7;45.0;45.0;40.0;35.0;35.0;40.0;45.0;3.0;40.892857142857146;14.0;14.0;5;45.0;40.0;0.0;32.5;50.0;3.0;43.125;3;40.0;45.0;0.0;45.0;0.0;2.0;38.07692307692308;35.0;40.0;0.0;40.0;40.0;2.0;36.66666666666666;0;0.0;0.0;0.0;0.0;0.0;2.0;35.0;5.0;0.0;35.0;0;1.0;15.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
459.4;67.54;58.93;55.7;65.86;20;2.0;34.666666666666664;20;60.25;0;15.0;7;35.0;30.0;35.0;40.0;40.0;35.0;30.0;2.0;33.1875;16.0;14.0;5;35.0;30.0;30.0;35.0;18.0;2.0;36.6;6;30.0;40.0;0.0;40.0;38.0;2.0;37.833333333333336;50.0;40.0;35.0;30.0;40.0;2.0;37.72727272727273;33;35.0;35.0;0.0;0.0;0.0;2.0;36.13333333333333;15.0;30.0;40.0;0;2.0;36.66666666666666;35.0;5;35.0;35.0;40.0;0.0;3.0;41.11111111111112;39.61538461538461;2.0
476.9;62.82;58.93;55.7;83.41;9;2.0;35.333333333333336;9;55.99;0;15.0;7;35.0;35.0;35.0;35.0;35.0;40.0;35.0;2.0;32.3125;16.0;10.0;4;30.0;22.5;38.0;45.0;33.0;2.0;33.15384615384615;3;25.0;35.0;0.0;30.0;28.0;1.0;28.875000000000064;20.666666666667;30.0;30.0;35.0;30.0;1.0;27.884615384615383;0;35.0;40.0;0.0;0.0;0.0;1.0;27.714285714285705;11.0;8.3333333333333;30.0;0;2.0;31.857142857142858;35.0;3;0.0;45.0;40.0;0.0;1.0;15.5;0.0;0.0
469.39;60.49;64.0;55.7;48.43;19;1.0;15.0;16;62.54;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;3.0;0.0;0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
499.77;73.29;58.68;49.26;55.64;19;2.0;33.833333333333336;0;59.24;2;15.0;6;30.0;40.0;27.5;35.0;35.0;40.0;40.0;2.0;30.3125;16.0;7.0;3;22.5;22.5;40.0;35.0;45.0;2.0;34.93333333333333;6;30.0;35.0;0.0;31.0;41.0;2.0;30.27777777777778;25.0;30.0;25.0;27.5;30.0;2.0;33.18181818181818;45;34.0;30.0;0.0;0.0;0.0;2.0;32.9;13.0;34.0;30.0;0;2.0;36.11111111111112;26.25;4;41.0;35.0;40.0;0.0;2.0;30.88888888888889;36.46153846153846;2.0
486.46;72.55;51.73;71.54;71.53;10;2.0;38.333333333333336;10;62.54;0;15.0;7;40.0;40.0;35.0;40.0;40.0;40.0;35.0;2.0;36.625;16.0;16.0;6;40.0;30.0;30.0;35.0;38.0;2.0;38.06666666666667;6;30.0;45.0;0.0;35.0;50.0;2.0;35.27777777777778;40.0;35.0;35.0;30.0;35.0;2.0;35.45454545454545;40;30.0;40.0;0.0;0.0;0.0;2.0;33.06666666666667;12.0;25.0;40.0;0;2.0;32.888888888888886;35.0;5;33.0;30.0;35.0;0.0;2.0;35.0;32.30769230769231;2.0
465.84;75.27;64.0;65.59;76.45;11;2.0;37.0;2;55.99;0;15.0;7;35.0;30.0;35.0;40.0;40.0;40.0;45.0;2.0;38.0;16.0;16.0;6;40.0;35.0;40.0;40.0;39.0;2.0;37.53333333333333;6;30.0;35.0;0.0;40.0;46.0;2.0;38.77777777777778;40.0;35.0;45.0;30.0;40.0;2.0;36.23076923076923;44;35.0;40.0;0.0;38.0;0.0;2.0;36.66666666666666;15.0;30.0;40.0;0;2.0;39.77777777777778;45.0;5;45.0;40.0;40.0;0.0;3.0;42.45454545454545;37.30769230769231;2.0
481.74;78.22;56.51;59.25;59.81;6;2.0;38.333333333333336;6;58.09;0;9.0;4;35.0;0.0;40.0;45.0;0.0;40.0;0.0;2.0;40.0;3.0;3.0;1;0.0;0.0;0.0;40.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
425.89;72.55;64.0;50.66;48.43;10;2.0;35.06666666666667;10;49.87;1;15.0;6;25.0;40.0;30.0;40.0;45.0;40.0;43.0;2.0;36.5625;16.0;14.0;5;30.0;35.0;27.5;40.0;40.0;2.0;37.6;6;30.0;40.0;0.0;40.0;35.0;2.0;35.27777777777778;45.0;30.0;30.0;30.0;30.0;2.0;39.92307692307692;45;35.0;45.0;0.0;42.0;0.0;2.0;36.06666666666667;15.0;30.0;45.0;0;2.0;32.666666666666664;40.0;4;27.0;35.0;35.0;0.0;2.0;32.666666666666664;37.07692307692308;2.0
