NOTA_FOGEP;NOTA_EI_OP_DI;NOTA_EI_OP_CII;NOTA_EI_OP_CI;NOTA_EI_OP_AIII;NOTA_ING_ECONOMICA;VECES_FOGEP;NOTA_GRADO_UNO;NOTA_GRADO_DOS;VECES_EI_OP_DI;NOTA_EI_OP_BIII;NCP_NUEVE;NOTA_GES_CAL_VAL_SOFT;NOTA_SIS_OP;VECES_EI_OP_BIII;VECES_GRADO_UNO;VECES_EI_OP_CII;NCA_NUEVE;NAC_OCHO;NAC_NUEVE;VECES_EI_OP_CI;VECES_GRADO_DOS;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AIII;CAR_NUEVE;NCC_NUEVE;NAA_NUEVE;EPA_NUEVE;VECES_EI_OP_AII;NAP_NUEVE;VECES_SIS_OP;NOTA_EI_OP_AII;CREDITOS_GRADO_DOS;CREDITOS_EI_OP_AIII;CREDITOS_GRADO_UNO;CREDITOS_FOGEP;CREDITOS_EI_OP_DI;CREDITOS_EI_OP_CII;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;CREDITOS_EI_OP_BIII;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
37.0;38.0;42.0;42.0;38;35.0;1;50;50;1;46.0;0.0;44.0;35.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.73684210526316;37.94444444444444;36.73684210526316;40.94444444444444;3;3.0;42.55555555555556
40.0;32.0;45.0;38.0;41;40.0;1;50;50;1;50.0;0.0;38.0;30.0;1;1;1;15.0;6;5;1;1;1;1;0;15.0;5;2;1;0;1;50.0;3;3;1;2;3;3;38.89473684210526;33.888888888888886;37.81578947368421;38.166666666666664;3;3.0;43.55555555555556
35.0;42.0;47.0;45.0;42;48.0;1;50;50;1;49.0;0.0;39.0;47.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;44.26315789473684;38.333333333333336;37.578947368421055;42.333333333333336;3;3.0;45.0
45.0;43.0;44.0;44.0;0;30.0;1;50;50;1;45.5;0.0;34.0;47.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;42.421052631578945;35.50000000055556;37.89473684210526;42.0;3;4.0;45.833333333333336
45.0;46.0;45.0;34.0;40;49.0;1;48;50;1;47.0;0.0;39.0;46.0;1;1;1;15.0;6;5;1;1;1;1;0;15.0;5;2;1;0;1;50.0;3;3;1;2;3;3;39.473684210526315;36.388888888888886;37.68421052631579;41.833333333333336;3;4.0;45.666666666666664
43.0;37.0;31.5;43.0;45;50.0;1;50;50;1;44.0;0.0;37.0;48.0;1;1;2;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.421052631578945;34.19444444444444;37.31578947368421;38.44444444444444;3;3.0;42.138888888888886
35.0;36.0;42.0;42.0;0;34.0;1;50;50;1;44.5;0.0;42.0;35.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;40.10526315789474;34.888888888888886;36.578947368421055;39.111111111111114;3;3.0;42.5
45.0;38.0;45.0;36.0;0;45.0;1;46;50;1;46.0;0.0;34.0;34.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;42.526315789473685;36.833333333333336;38.973684210526315;42.166666666666664;3;3.0;44.86666666666667
34.0;36.0;39.0;42.0;44;35.0;1;50;50;1;47.0;0.0;38.0;43.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;40.526315789473685;34.666666666666664;38.36842105263158;41.0;3;3.0;42.55555555555556
24.0;43.0;38.0;32.0;41;33.0;2;50;50;1;39.0;0.0;30.0;41.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;39.89473684210526;37.94444444444444;34.94736842105263;41.27777777777778;3;3.0;40.611111111111114
37.0;40.0;36.0;43.0;44;44.0;1;48;48;1;49.0;0.0;33.0;40.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;42.10526315789474;32.166666666666664;36.26315789473684;39.77777777777778;3;3.0;42.94444444444444
46.0;44.0;37.0;37.0;37;43.0;1;50;0;1;46.0;6.0;48.0;23.5;1;1;1;6.0;6;4;1;0;1;1;2;12.0;2;1;0;2;2;0.0;3;3;1;2;3;3;34.877192982105264;34.416666666666664;34.421052631578945;37.55555555555556;3;3.0;42.266666666666666
38.0;31.0;0.0;39.0;0;30.0;1;0;0;1;35.0;0.0;0.0;0.0;2;0;0;6.0;5;2;1;0;0;0;0;6.0;2;2;0;0;0;0.0;3;3;1;2;3;3;37.3;34.111111111111114;35.81578947368421;37.2;3;2.0;34.25
45.0;44.0;45.0;49.0;39;33.0;1;50;46;1;45.0;0.0;39.0;38.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;43.1578947368421;39.611111111111114;38.31578947368421;40.888888888888886;3;3.0;44.27777777777778
45.0;50.0;45.0;44.0;47;44.0;1;50;50;1;50.0;0.0;43.0;40.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.578947368421055;39.22222222222222;39.78947368421053;45.44444444444444;3;4.0;48.111111111111114
37.0;31.0;45.0;41.0;35;35.0;1;50;50;1;44.0;0.0;32.0;31.0;1;1;1;12.0;6;4;2;1;1;1;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;34.0;36.69444444444444;36.78947368421053;33.72222222222222;3;3.0;41.05555555555556
50.0;49.0;49.0;49.0;48;41.0;1;50;50;1;49.0;0.0;41.0;44.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;45.94736842105263;43.333333333333336;44.78947368421053;45.0;3;4.0;49.166666666666664
33.0;50.0;45.0;45.0;0;35.0;1;50;50;1;42.0;0.0;41.0;45.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.36842105263158;36.166666666666664;37.6578947368421;36.611111111111114;3;4.0;45.13333333333333
50.0;50.0;49.0;49.0;48;39.0;1;50;50;1;49.0;0.0;42.0;49.0;1;1;1;15.0;6;5;1;1;1;1;0;15.0;5;2;1;0;1;35.0;3;3;1;2;3;3;46.05263157894737;39.833333333333336;41.421052631578945;44.44444444444444;3;4.0;49.333333333333336
41.0;43.5;42.0;41.0;33;33.0;1;0;0;2;30.0;0.0;45.0;40.0;1;0;1;12.0;6;4;1;0;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;37.166666666666664;33.666666666666664;34.55263157894737;37.44444444444444;3;2.0;37.67857142857143
44.0;47.0;41.0;39.0;0;30.5;1;50;50;1;44.0;0.0;40.0;31.0;1;1;1;12.0;6;4;2;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;38.45614035052632;31.52777777888889;36.421052631578945;40.19444444444444;3;4.0;45.6
40.0;47.0;45.0;45.0;48;41.0;1;0;0;1;43.0;0.0;40.0;46.0;1;0;1;15.0;6;5;1;0;1;1;0;15.0;5;2;1;0;1;40.0;3;3;1;2;3;3;43.36842105263158;33.305555555;39.0;40.77777777777778;3;3.0;44.92857142857143
20.0;43.0;33.0;23.5;29;19.0;2;46;46;1;0.0;3.0;33.5;43.0;0;1;1;6.0;5;3;2;1;2;2;2;9.0;2;2;0;1;1;0.0;3;3;1;2;3;3;34.23684210526316;34.916666666666664;36.578947368421055;33.10185185222222;3;2.0;35.93333333333333
25.5;36.0;45.0;45.0;32;33.0;2;0;0;1;44.0;0.0;33.0;35.0;1;0;1;12.0;6;4;1;0;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;40.21052631578947;35.05555555555556;35.89473684263158;34.52777777777778;3;2.0;37.285714285714285
44.0;46.0;43.0;45.0;38;46.0;1;50;50;1;0.0;0.0;48.0;38.0;0;1;1;9.0;5;3;1;1;1;1;0;9.0;3;2;0;0;1;0.0;3;3;1;2;3;3;40.78947368421053;38.94444444444444;35.31578947368421;40.5;3;3.0;44.6
33.0;37.0;45.0;45.0;0;42.0;1;50;50;1;41.0;0.0;38.0;41.0;1;1;1;12.0;5;4;1;1;1;0;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;40.63157894736842;38.22222222222222;37.3421052631579;41.833333333333336;3;3.0;42.333333333333336
30.5;35.0;31.0;33.0;0;28.0;2;50;50;1;39.0;0.0;36.0;41.0;2;1;1;12.0;6;4;1;1;2;0;2;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;36.526315789473685;38.22222222222222;30.42105263157895;39.111111111111114;3;2.0;38.4
36.0;50.0;50.0;40.0;45;42.0;1;50;48;1;45.0;0.0;50.0;43.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;43.578947368421055;40.166666666666664;37.28947368421053;43.388888888888886;3;4.0;46.44444444444444
47.0;35.0;43.0;45.0;43;38.0;1;47;47;1;0.0;0.0;39.0;45.0;0;1;1;9.0;5;3;1;1;1;1;0;9.0;3;2;0;0;1;0.0;3;3;1;2;3;3;42.421052631578945;39.44444444444444;37.26315789473684;42.666666666666664;3;3.0;43.0
21.0;19.5;40.0;45.0;42;41.0;2;50;50;2;47.0;0.0;38.0;40.0;1;1;1;15.0;6;5;1;1;1;1;0;15.0;5;2;1;0;1;48.0;3;3;1;2;3;3;40.73684210526316;31.833333334444447;35.94736842105263;36.388888888888886;3;2.0;38.19444444444444
39.0;39.0;43.0;45.0;43;46.0;1;50;50;1;0.0;0.0;45.0;45.0;0;1;1;9.0;5;3;1;1;1;1;0;9.0;3;2;0;0;1;0.0;3;3;1;2;3;3;43.63157894736842;38.05555555555556;40.31578947368421;41.888888888888886;3;3.0;43.53333333333333
41.0;50.0;48.0;43.0;42;41.0;1;45;45;1;45.0;0.0;50.0;41.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.578947368421055;40.77777777777778;37.18421052631579;40.666666666666664;3;4.0;45.388888888888886
33.0;46.0;40.0;30.0;43;25.5;1;50;50;1;0.0;0.0;49.0;33.0;0;1;1;9.0;5;3;1;1;1;1;0;9.0;3;2;0;0;1;0.0;3;3;1;2;3;3;41.26315789473684;35.27777777777778;39.421052631578945;40.111111111111114;3;3.0;43.53333333333333
32.0;40.0;17.5;35.0;41;37.0;2;0;0;1;32.0;3.0;43.0;32.0;2;0;2;9.0;6;4;1;0;1;1;1;12.0;3;1;0;1;1;0.0;3;3;1;2;3;3;35.06666666666667;34.52777777777778;29.57894736842105;33.155555555999996;3;2.0;32.535714285714285
36.0;39.0;41.0;46.0;0;30.0;1;0;0;1;39.0;3.0;26.5;33.0;1;0;1;6.0;5;3;1;0;2;0;2;9.0;2;2;0;1;2;0.0;3;3;1;2;3;3;36.8421052631579;32.49999999944444;33.48684210526316;37.166666666666664;3;2.0;39.0
38.0;43.0;45.0;45.0;45;48.0;1;50;50;1;43.0;0.0;46.0;40.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.68421052631579;31.13888888888889;34.1578947368421;40.666666666666664;3;3.0;44.666666666666664
35.0;47.0;46.0;42.0;0;31.0;1;50;45;1;39.0;0.0;37.0;43.0;1;1;1;12.0;5;4;1;1;1;0;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;43.94736842105263;35.944444445;36.60526315789474;41.77777777777778;3;3.0;43.4
32.0;41.0;40.0;42.0;0;34.0;1;50;45;1;36.0;0.0;38.0;37.0;1;1;1;15.0;5;5;1;1;1;0;0;15.0;5;2;1;0;1;34.0;3;3;1;2;3;3;41.10526315789474;36.166666666666664;36.71052631578947;38.833333333333336;3;2.0;40.0
39.0;40.0;42.0;41.0;36;34.0;1;0;0;1;0.0;0.0;34.0;36.0;0;0;1;12.0;5;4;1;0;1;1;0;12.0;4;2;1;0;1;45.0;3;3;1;2;3;3;37.9375;35.55555555555556;38.421052631578945;36.94444444444444;3;2.0;39.27272727272727
39.0;40.0;46.0;43.0;41;32.0;1;50;50;1;49.0;0.0;43.0;41.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;42.421052631578945;33.833333333333336;39.5;44.111111111111114;3;3.0;44.77777777777778
33.5;38.0;38.0;30.0;36;32.5;2;50;50;1;0.0;0.0;35.0;37.0;0;1;1;9.0;5;3;1;1;1;1;0;9.0;3;2;0;0;1;0.0;3;3;1;2;3;3;37.0;35.94444444444444;35.05263157894737;39.22222222222222;3;3.0;40.2
36.0;44.0;42.0;41.0;0;39.0;1;50;0;1;41.5;0.0;41.0;48.0;2;1;1;12.0;6;4;1;0;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;40.05263157894737;37.77777777777778;32.89473684210526;41.77777777777778;3;3.0;42.041666666666664
