NOTA_INGECO;NOTA_DDP;NOTA_CTRL;NOTA_CONEM;NOTA_TDE;VECES_INGECO;PROMEDIO_CUATRO;VECES_IO_DOS;VECES_DDP;NAC_CINCO;NOTAS_RDC;VECES_CTRL;VECES_RDC;NOTA_IO_DOS;VECES_CONEM;NOTA_EL_DOS;VECES_CEM;VECES_TDE;NCP_CINCO;NCC_CINCO;NOTA_GENH;EPA_CINCO;VECES_INSE;NOTA_ASD;NCA_CINCO;NAA_CINCO;NOTA_INSE;NOTA_IO_UNO;NOTA_IYM;PROMEDIO_CINCO;VECES_IYM;CAR_CINCO;NOTA_CEM;NAP_CINCO;CREDITOS_TDE;CREDITOS_IO_DOS;CREDITOS_INGECO;NOTA_EE_UNO;CREDITOS_CONEM;CREDITOS_RDC;CREDITOS_DDP;CREDITOS_CTRL;RENDIMIENTO_SEIS;PROMEDIO_SEIS
47;46;36;39;37;1;37.705882352941174;2;1;6;40;1;1;33;2;39;2;1;0.0;14.0;32;2;1;42;14.0;6;38;37;46;39.07142857142857;1;1;37;0;3;2;2;0;3;2;3;2;2.0;39.88235294117647
44;47;42;40;38;1;37.23529411764706;1;2;6;43;1;1;35;1;36;1;1;0.0;14.0;33;2;1;42;14.0;6;42;40;30;36.57142857142857;1;0;36;0;3;2;2;0;3;2;3;2;3.0;41.35294117647059
43;46;32;32;33;1;36.11764705882353;2;1;6;41;1;1;31;1;38;2;1;0.0;14.0;33;2;1;44;14.0;6;40;46;36;39.357142857142854;1;1;39;0;3;2;2;0;3;2;3;2;2.0;36.88235294117647
45;48;40;33;32;1;41.94117647058823;1;1;6;41;1;1;38;1;41;1;1;0.0;14.0;40;2;1;49;14.0;6;43;37;41;42.142857142857146;1;0;43;0;3;2;2;0;3;2;3;2;2.0;39.23529411764706
37;31;30;35;33;1;33.1764705882353;1;1;6;38;1;1;35;1;33;3;1;0.0;14.0;34;2;1;39;14.0;6;40;44;45;40.214285714285715;1;2;38;0;3;2;2;0;3;2;3;2;2.0;33.94117647058823
44;46;35;35;34;1;36.35294117647059;1;1;6;42;1;1;32;2;35;2;1;0.0;14.0;35;2;1;41;14.0;6;42;31;46;38.857142857142854;1;1;36;0;3;2;2;0;3;2;3;2;2.0;38.294117647058826
38;47;34;38;31;1;35.23529411764706;1;1;6;44;1;1;30;1;30;1;1;0.0;14.0;31;2;1;41;14.0;6;33;39;39;35.57142857142857;1;0;31;0;3;2;2;0;3;2;3;2;2.0;37.64705882352941
37;36;40;38;37;1;40.1764705882353;1;1;6;36;2;1;36;1;36;1;1;0.0;14.0;38;2;1;33;14.0;6;42;39;37;36.07142857142857;1;0;30;0;3;2;2;0;3;2;3;2;2.0;37.11764705882353
26;0;0;0;0;2;23.8;0;0;2;0;0;0;0;0;0;3;0;3.0;5.0;0;1;0;0;2.0;1;0;30;0;28.2;0;1;27;1;3;2;2;0;3;2;3;2;1.0;26.0
31;49;35;0;0;1;34.411764705882355;1;1;6;42;1;1;31;0;39;1;0;3.0;14.0;34;1;2;37;11.0;5;35;32;30;29.785714285714285;1;2;17;1;3;2;2;0;3;2;3;2;2.0;38.63636363636363
30;40;30;41;36;1;35.88235294117647;1;1;6;37;1;1;43;1;37;1;1;0.0;14.0;34;2;1;41;14.0;6;32;43;43;37.92857142857143;1;0;34;0;3;2;2;0;3;2;3;2;2.0;37.11764705882353
0;44;23;22;0;0;35.76470588235294;1;1;6;0;1;0;31;1;33;3;0;0.0;14.0;31;2;2;33;14.0;6;36;43;34;34.57142857142857;1;2;32;0;3;2;2;0;3;2;3;2;2.0;30.6
38;46;40;36;44;1;36.88235294117647;1;1;6;38;1;1;38;1;39;3;1;0.0;14.0;37;2;1;32;14.0;6;40;38;45;37.714285714285715;1;1;33;0;3;2;2;0;3;2;3;2;3.0;40.35294117647059
43;48;38;33;44;2;39.0;1;1;6;44;1;1;35;2;39;1;1;0.0;14.0;38;2;1;35;14.0;6;41;41;34;36.92857142857143;1;0;35;0;3;2;2;0;3;2;3;2;3.0;40.88235294117647
40;41;36;46;36;1;35.05882352941177;1;1;6;40;2;1;32;1;30;2;1;0.0;14.0;36;2;1;32;14.0;6;38;44;38;37.714285714285715;1;1;38;0;3;2;2;0;3;2;3;2;2.0;39.11764705882353
32;44;0;0;0;3;29.23076923076923;0;1;1;0;0;0;0;0;22;0;0;0.0;2.0;0;2;0;0;2.0;1;0;37;0;37.0;0;0;0;0;3;2;2;0;3;2;3;2;2.0;39.2
44;44;30;43;36;1;34.8235294117647;1;1;6;40;1;1;31;1;35;2;1;0.0;14.0;30;2;1;42;14.0;6;44;40;38;37.92857142857143;1;1;35;0;3;2;2;0;3;2;3;2;2.0;38.76470588235294
38;0;0;0;0;2;31.88235294117647;0;0;4;0;0;0;0;0;38;1;0;5.0;9.0;0;1;1;21;4.0;2;40;37;0;21.77777777777778;0;1;0;2;3;2;2;0;3;2;3;2;2.0;38.0
30;36;35;42;36;1;37.88235294117647;1;1;6;44;1;1;44;2;38;1;1;0.0;14.0;34;2;1;38;14.0;6;35;45;36;36.285714285714285;1;0;32;0;3;2;2;0;3;2;3;2;2.0;38.11764705882353
0;0;0;0;0;0;34.6;0;0;3;0;0;0;0;0;41;1;0;5.0;7.0;0;1;1;9;2.0;1;40;0;0;16.142857142857142;0;0;5;2;3;2;2;0;3;2;3;2;0.0;0.0
39;42;30;43;44;2;35.588235294117645;1;1;6;40;1;1;31;2;38;1;1;0.0;14.0;35;2;1;36;14.0;6;41;39;35;36.142857142857146;1;0;33;0;3;2;2;0;3;2;3;2;2.0;39.23529411764706
37;50;35;44;40;1;42.1764705882353;1;1;6;44;1;1;35;1;48;1;1;0.0;14.0;36;2;1;35;14.0;6;43;49;47;40.214285714285715;1;0;32;0;3;2;2;0;3;2;3;2;3.0;41.411764705882355
31;0;0;0;0;2;33.35294117647059;1;0;6;42;0;1;31;0;31;2;0;3.0;14.0;31;2;1;33;11.0;5;30;36;45;32.07142857142857;2;2;18;1;3;2;2;0;3;2;3;2;2.0;34.666666666666664
34;46;35;47;38;1;39.0;1;1;6;45;1;1;32;1;43;1;1;0.0;14.0;34;2;1;38;14.0;6;43;32;46;37.714285714285715;1;0;32;0;3;2;2;0;3;2;3;2;3.0;40.294117647058826
45;37;39;31;32;1;39.705882352941174;1;1;6;40;1;1;35;1;46;1;1;0.0;14.0;42;2;1;43;14.0;6;40;40;34;38.142857142857146;1;0;34;0;3;2;2;0;3;2;3;2;2.0;36.35294117647059
40;47;30;36;37;1;38.1764705882353;1;1;6;31;1;1;37;2;43;1;1;0.0;14.0;35;2;1;37;14.0;6;41;44;33;38.5;1;0;42;0;3;2;2;0;3;2;3;2;2.0;37.411764705882355
0;40;27;0;0;0;34.470588235294116;2;1;6;30;1;2;31;0;36;2;0;5.0;14.0;24;1;1;32;9.0;4;33;36;30;27.928571428571427;2;3;17;2;3;2;2;0;3;2;3;2;2.0;32.888888888888886
42;45;43;32;36;1;38.705882352941174;1;1;6;40;1;1;43;1;37;1;1;0.0;14.0;33;2;1;36;14.0;6;36;45;39;37.714285714285715;1;0;37;0;3;2;2;0;3;2;3;2;2.0;39.705882352941174
30;46;34;33;37;1;38.470588235294116;1;1;6;31;1;1;45;1;43;1;1;0.0;14.0;38;2;1;47;14.0;6;41;40;42;41.285714285714285;1;0;40;0;3;2;2;0;3;2;3;2;2.0;36.94117647058823
50;50;46;33;34;1;42.05882352941177;1;1;6;39;1;1;48;1;43;1;1;0.0;14.0;35;2;1;47;14.0;6;40;48;45;43.142857142857146;1;0;43;0;3;2;2;0;3;2;3;2;3.0;42.1764705882353
30;50;33;35;36;1;37.8235294117647;1;1;6;44;1;1;38;2;31;1;1;0.0;14.0;32;2;1;41;14.0;6;41;39;42;37.92857142857143;1;0;33;0;3;2;2;0;3;2;3;2;2.0;38.411764705882355
