PROMEDIO_TRES;PG_ICFES;NOTA_FIS_DOS;NOTA_EL_DOS;NOTA_CAMPOS;NOTA_FCD;FISICA_ICFES;VECES_FCD;BIOLOGIA_ICFES;CON_MAT_ICFES;NOTA_PROGAPL;PROMEDIO_CUATRO;NOTA_VARCOM;NCA_TRES;NOTA_INT;NCP_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_PYE_UNO;NCC_CUATRO;NOTA_FIS_TRES;NAC_CUATRO;NCA_DOS;VECES_PYE_UNO;VECES_PROGAPL;NAA_CUATRO;VECES_FIS_TRES;VECES_EL_DOS;VECES_VARCOM;NOTA_L_UNO;CAR_CUATRO;PROMEDIO_DOS;VECES_L_UNO;EPA_CUATRO;PROMEDIO_UNO;VECES_CAMPOS;CREDITOS_FCD;CREDITOS_VARCOM;CREDITOS_CAMPOS;CREDITOS_L_UNO;CREDITOS_PROGAPL;CREDITOS_PYE_UNO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
33.970588235294116;530.42;35.0;30.0;30.0;45.0;58.93;1;67.71;81.5;35.0;34.666666666666664;30.0;14.0;40.0;0.0;15.0;0;35.0;15.0;40.0;6;17.0;1;1;6;1;1;1;0.0;0;34.85294117647059;0;2;39.166666666666664;1;3;2;2;2;3;2;2.0;37.666666666666664
31.11111111111111;470.95;35.0;30.0;35.0;40.0;61.41;1;62.54;60.49;35.0;34.333333333333336;30.0;12.0;30.0;0.0;15.0;0;35.0;15.0;27.5;6;17.0;1;1;6;2;1;1;0.0;0;31.764705882352942;0;2;32.916666666666664;1;3;2;2;2;3;2;3.0;40.8
33.23529411764706;514.21;35.0;30.0;30.0;50.0;81.3;1;58.09;81.5;50.0;38.0;30.0;17.0;35.0;0.0;15.0;0;30.0;15.0;35.0;6;17.0;1;1;6;1;1;1;0.0;0;38.529411764705884;0;2;37.916666666666664;1;3;2;2;2;3;2;3.0;41.266666666666666
29.02777777777778;479.19;40.0;10.25;7.0;35.0;64.0;1;55.99;60.49;35.0;23.583333333333332;19.5;12.0;31.66666667;7.0;8.0;3;30.0;15.0;30.0;6;17.0;1;1;3;1;4;6;0.0;2;33.82352941235294;0;1;31.25;1;3;2;2;2;3;2;1.0;13.5
32.205882352941174;454.65;35.0;30.0;30.0;40.0;56.51;1;55.99;81.5;35.0;33.666666666666664;35.0;14.0;27.5;0.0;15.0;0;30.0;15.0;35.0;6;14.0;1;1;6;1;1;1;0.0;0;32.205882352941174;0;2;34.166666666666664;1;3;2;2;2;3;2;2.0;36.733333333333334
35.138888888888886;478.74;35.0;35.0;25.0;45.0;64.0;1;58.09;72.55;50.0;38.666666666666664;35.0;18.0;30.0;2.0;13.0;1;35.0;15.0;30.0;6;17.0;1;1;5;1;1;1;0.0;1;36.1764705882353;0;2;35.416666666666664;2;3;2;2;2;3;2;3.0;41.333333333333336
31.61764705882353;450.22;30.0;30.0;35.0;45.0;66.74;1;53.95;72.55;30.0;35.0;40.0;14.0;35.0;0.0;15.0;0;30.0;15.0;30.0;6;17.0;1;1;6;2;1;1;0.0;0;32.35294117647059;0;2;35.416666666666664;1;3;2;2;2;3;2;3.0;40.93333333333333
34.94117647058823;447.85;35.0;27.5;30.0;40.0;72.97;1;62.54;67.54;35.0;32.833333333333336;32.5;17.0;30.0;3.0;12.0;1;30.0;15.0;30.0;6;17.0;1;1;5;1;2;2;0.0;2;32.64705882352941;0;2;35.0;1;3;2;2;2;3;2;2.0;35.93333333333333
35.55555555555556;454.59;30.0;40.0;25.0;40.0;64.0;1;53.95;67.54;40.0;36.0;35.0;18.0;30.0;2.0;13.0;1;30.0;15.0;35.0;6;17.0;1;1;5;1;1;1;0.0;1;34.705882352941174;0;2;35.208333333333336;2;3;2;2;2;3;2;1.0;27.766666666666666
23.928571428571427;486.27;30.0;0.0;0.0;40.0;66.74;1;62.54;72.55;40.0;37.5;0.0;5.0;23.33333333;0.0;8.0;0;30.0;8.0;30.0;3;14.0;1;1;3;1;0;0;0.0;0;33.382352940588234;0;2;32.916666666666664;0;3;2;2;2;3;2;0.0;0.0
38.05555555555556;485.28;35.0;35.0;35.0;40.0;61.41;1;67.71;60.49;30.0;34.333333333333336;35.0;18.0;30.0;0.0;15.0;0;30.0;15.0;30.0;6;17.0;1;1;6;1;1;1;0.0;0;33.529411764705884;0;2;33.333333333333336;1;3;2;2;2;3;2;3.0;42.46666666666667
40.0;490.19;15.0;0.0;0.0;0.0;61.41;0;60.25;81.5;15.0;21.0;0.0;2.0;15.0;3.0;2.0;1;30.0;5.0;0.0;2;2.0;1;1;1;0;0;0;0.0;0;19.264705882352942;0;1;30.454545454545453;0;3;2;2;2;3;2;0.0;0.0
22.867647058235292;470.9;35.0;9.0;0.0;3.666666667;76.74;3;55.99;67.54;30.0;19.076923077;30.0;5.0;30.0;6.0;7.0;2;30.0;13.0;21.0;5;11.0;1;1;3;3;1;1;0.0;1;30.441176470588236;0;1;33.333333333333336;0;3;2;2;2;3;2;1.0;1.0
18.681818181818183;442.26;40.0;0.0;0.0;40.0;61.41;1;58.09;75.27;30.0;32.5;0.0;5.0;30.0;2.0;6.0;1;25.0;8.0;0.0;3;14.0;2;1;2;0;0;0;0.0;1;32.205882352941174;0;2;29.791666665833333;0;3;2;2;2;3;2;0.0;0.0
29.72222222222222;461.1;30.0;45.0;27.5;45.0;58.93;1;53.95;75.27;30.0;36.333333333333336;25.0;12.0;27.5;4.0;11.0;2;40.0;15.0;30.0;6;11.0;1;1;4;1;1;2;0.0;2;28.235294117647058;0;2;35.0;2;3;2;2;2;3;2;2.0;37.333333333333336
35.294117647058826;497.25;35.0;40.0;35.0;40.0;69.69;1;70.81;67.54;45.0;39.666666666666664;40.0;17.0;30.0;0.0;15.0;0;35.0;15.0;35.0;6;17.0;1;1;6;1;1;1;0.0;0;34.411764705882355;0;2;38.75;1;3;2;2;2;3;2;2.0;39.8
32.638888888888886;499.7;35.0;37.0;25.0;45.0;64.0;1;62.54;72.55;50.0;39.4;40.0;18.0;30.0;2.0;13.0;1;32.5;15.0;35.0;6;14.0;2;1;5;1;1;1;0.0;2;33.970588235294116;0;2;35.0;2;3;2;2;2;3;2;2.0;37.06666666666667
34.705882352941174;472.03;35.0;30.0;35.0;40.0;64.0;1;58.09;72.55;50.0;37.333333333333336;30.0;17.0;27.5;0.0;15.0;0;35.0;15.0;30.0;6;14.0;1;1;6;2;1;1;0.0;0;34.85294117647059;0;2;40.416666666666664;1;3;2;2;2;3;2;3.0;41.13333333333333
33.77777777777778;520.07;35.0;35.0;45.0;35.0;58.93;1;65.0;89.86;40.0;38.0;40.0;18.0;35.0;0.0;15.0;0;35.0;15.0;35.0;6;17.0;1;1;6;1;1;1;0.0;0;34.11764705882353;0;2;35.833333333333336;1;3;2;2;2;3;2;3.0;42.86666666666667
38.333333333333336;482.55;35.0;35.0;30.0;50.0;56.51;1;60.25;69.99;50.0;43.0;50.0;18.0;30.0;0.0;15.0;0;40.0;15.0;35.0;6;17.0;1;1;6;1;1;1;0.0;0;35.294117647058826;0;2;36.666666666666664;1;3;2;2;2;3;2;3.0;43.53333333333333
35.0;443.65;22.5;0.0;0.0;0.0;69.69;0;58.09;60.49;27.5;28.5;0.0;3.0;0.0;3.0;2.0;1;30.0;5.0;0.0;2;2.0;1;2;1;0;0;0;0.0;1;25.0;0;1;32.27272727272727;0;3;2;2;2;3;2;0.0;0.0
34.411764705882355;460.6;35.0;30.0;30.0;40.0;58.93;1;53.95;65.16;40.0;36.0;40.0;17.0;35.0;0.0;15.0;0;35.0;15.0;30.0;6;17.0;1;1;6;1;1;1;0.0;0;34.411764705882355;0;2;36.666666666666664;1;3;2;2;2;3;2;2.0;37.06666666666667
24.0;469.88;40.0;0.0;0.0;0.0;58.93;0;58.09;69.99;40.0;36.0;0.0;10.0;30.0;0.0;5.0;0;30.0;5.0;30.0;2;15.0;1;1;2;1;0;0;0.0;0;35.0;0;2;35.0;0;3;2;2;2;3;2;0.0;0.0
33.38235294117647;472.66;30.0;35.0;35.0;40.0;54.12;1;62.54;72.55;35.0;36.0;40.0;14.0;35.0;0.0;15.0;0;30.0;15.0;35.0;6;17.0;1;1;6;1;1;1;0.0;0;31.764705882352942;0;2;33.333333333333336;1;3;2;2;2;3;2;3.0;43.333333333333336
35.55555555555556;466.5;30.0;45.0;35.0;45.0;61.41;1;51.92;75.27;40.0;40.0;35.0;18.0;30.0;0.0;15.0;0;35.0;15.0;30.0;6;17.0;1;1;6;1;1;1;0.0;0;31.764705882352942;0;2;40.833333333333336;1;3;2;2;2;3;2;2.0;38.03333333333333
11.6;507.0;10.0;0.0;0.0;0.0;61.41;0;58.09;67.54;0.0;25.0;0.0;0.0;25.0;2.0;0.0;1;25.0;2.0;1.0;1;0.0;2;0;0;1;0;0;0.0;1;18.88888889;0;1;25.378787879090908;0;3;2;2;2;3;2;0.0;0.0
29.166666666111112;451.26;35.0;40.0;35.0;40.0;64.0;1;58.09;67.54;40.0;36.0;25.0;12.0;30.0;2.0;13.0;1;30.0;15.0;25.0;6;17.0;1;1;5;3;1;2;0.0;1;33.529411764705884;0;2;37.5;1;3;2;2;2;3;2;2.0;36.03333333333333
