VECES_ECO;NOTA_L_UNO;NOTA_ASP;NOTA_ELECPOT;NOTA_ECO;NOTA_MAQEL;VECES_ASP;NAC_CINCO;NOTA_AUTO;NOTA_DDP;NOTAS_RDC;VECES_ELECPOT;VECES_AUTO;VECES_MAQEL;NCC_SEIS;NCA_SEIS;VECES_IO_DOS;NAC_SEIS;NOTA_CONEM;NOTA_CTRL;NAA_SEIS;NOTA_EI_UNO;NOTA_INGECO;NCP_SEIS;PROMEDIO_SEIS;PROMEDIO_CUATRO;NOTA_TDE;EPA_SEIS;VECES_DDP;VECES_EI_UNO;NAP_SEIS;VECES_L_UNO;CAR_SEIS;CREDITOS_MAQEL;CREDITOS_EI_UNO;CREDITOS_AUTO;VECES_INGECO;CREDITOS_L_UNO;CREDITOS_ASP;CREDITOS_ELECPOT;CREDITOS_ECO;RENDIMIENTO_SIETE;PROMEDIO_SIETE
1;46;42;46;43;43;1;7;36;50;44;1;1;1;17.0;17.0;1;7;46;45;7;36;45;0.0;45.0;43.23529411764706;39;2;1;1;0;1;0;3;3;2;1;2;3;3;2;3.0;41.72222222222222
1;44;30;31;32;32;2;7;31;44;41;2;1;2;17.0;17.0;1;7;36;30;7;34;30;0.0;35.35294117647059;38.0;33;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;33.05555555555556
1;47;34;34;34;34;1;7;32;50;40;1;1;1;17.0;17.0;1;7;38;33;7;44;35;0.0;39.588235294117645;40.88235294117647;37;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;36.888888888888886
1;40;42;44;41;41;1;7;30;50;42;1;1;1;17.0;17.0;1;7;39;43;7;32;45;0.0;43.76470588235294;41.76470588235294;41;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;38.833333333333336
1;46;38;43;32;32;1;7;35;50;41;1;1;1;17.0;17.0;1;7;33;45;7;45;48;0.0;42.35294117647059;39.76470588235294;37;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;38.888888888888886
2;45;30;30;36;36;2;7;37;40;39;2;1;1;17.0;17.0;2;7;44;45;7;37;31;0.0;38.8235294117647;35.705882352941174;34;2;1;1;0;2;2;3;3;2;1;2;3;3;2;2.0;35.27777777777778
1;36;32;33;49;49;1;7;31;42;38;1;1;1;17.0;17.0;1;7;32;30;7;38;30;0.0;36.529411764705884;32.76470588235294;43;2;1;1;0;1;1;3;3;2;2;2;3;3;2;2.0;38.22222222222222
1;47;35;30;30;30;1;7;31;46;44;3;1;1;17.0;17.0;1;7;30;34;7;39;30;0.0;36.35294117647059;37.529411764705884;36;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;34.333333333333336
1;48;31;32;33;33;1;7;40;47;43;2;1;1;17.0;17.0;1;7;41;46;7;32;38;0.0;42.23529411764706;37.8235294117647;42;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;34.77777777777778
1;35;30;35;36;36;1;7;36;42;38;2;1;2;17.0;17.0;1;7;33;40;7;35;30;0.0;37.1764705882353;35.23529411764706;39;2;1;1;0;1;2;3;3;2;1;2;3;3;2;2.0;34.55555555555556
