NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
1209;35.35294117647059;43;35.58823529411764;49.0;34.05882352941177;30.0;41.66666666666666;8;40.0;43.0;42.0;36.0;39.35714285714285;0;14;14;0;7;7;0;2;39.0;1;2;32.0;1;3;36.0;1;2;0;0;2;46.0;1;2;39.0;1;1;42.0;1;2;45.0;1;2;2;32.39583333333334
1210;37.47058823529412;48;40.76470588235294;49.0;40.1764705882353;40.0;42.73333333333333;8;48.0;46.0;46.0;40.0;40.28571428571428;0;14;14;0;7;7;0;2;43.0;1;2;30.0;1;3;44.0;1;2;0;0;2;44.0;1;2;38.0;1;1;45.0;1;2;42.0;1;2;2;39.5
1213;36.43333333333333;0;35.09375;37.0;30.57142857142857;45.0;33.3;4;43.0;35.0;32.0;0.0;33.9;1;10;8;2;5;4;1;2;28.5;2;2;30.0;1;3;39.0;1;2;0;0;2;38.0;1;2;38.0;1;1;0.0;0;2;0.0;0;2;2;34.64285714285715
1215;36.41176470588236;39;39.23529411764706;44.0;40.94117647058823;49.0;42.6;8;47.0;47.0;44.0;42.0;39.5;0;14;14;0;7;7;0;2;34.0;1;2;30.0;1;3;44.0;1;2;0;0;2;44.0;1;2;47.0;1;1;42.0;1;2;44.0;1;2;2;35.46666666666667
1217;40.70588235294117;48;39.94117647058823;47.0;35.02941176470588;41.0;41.8;8;45.0;44.0;44.0;43.0;39.42857142857143;0;14;14;0;7;7;0;2;40.0;1;2;32.0;1;3;46.0;1;2;0;0;2;30.0;1;2;48.0;1;1;44.0;1;2;44.0;1;2;2;39.375
1221;40.11764705882353;48;41.05882352941177;47.0;43.29411764705883;50.0;45.53333333333333;8;47.0;44.0;44.0;47.0;41.14285714285715;0;14;14;0;7;7;0;2;42.0;1;2;36.0;1;3;46.0;1;2;0;0;2;43.0;1;2;40.0;1;1;45.0;1;2;38.0;1;2;3;41.125
1223;30.92156862745098;0;29.97777777777777;0.0;32.45;30.0;32.04545454545455;4;30.0;38.0;0.0;16.5;40.125;0;8;8;0;4;4;0;2;30.0;1;2;42.0;1;3;0.0;0;2;0;0;2;0.0;0;2;41.0;1;1;47.0;1;2;0.0;0;2;2;33.4
1226;32.64705882352941;0;35.20588235294117;50.0;36.11764705882353;36.0;35.46666666666667;7;32.0;43.0;40.0;33.0;39.0;0;14;14;0;7;7;0;2;38.0;1;2;30.0;1;3;44.0;1;2;0;0;2;50.0;1;2;36.0;1;1;41.0;1;2;37.0;1;2;2;36.06666666666667
1230;37.11764705882353;40;36.41176470588236;45.0;39.58823529411764;49.0;39.4;8;44.0;40.0;43.0;43.0;43.5;0;14;14;0;7;7;0;2;38.0;1;2;47.0;1;3;38.0;1;2;0;0;2;45.0;1;2;46.0;1;1;46.0;1;2;44.0;1;2;2;35.875
1231;37.35294117647059;39;34.52941176470588;34.0;37.8235294117647;36.0;40.86666666666667;8;42.0;42.0;44.0;40.0;37.35714285714285;0;14;14;0;7;7;0;2;40.0;1;2;30.0;1;3;44.0;1;2;0;0;2;37.0;1;2;39.0;1;1;37.0;1;2;39.0;1;2;2;34.4
