NOTA_GEO_FIS;NOTA_L_DOS;NOTA_ECUA;CAR_CINCO;NOTA_CARTO;NOTA_LEGIC;NOTA_GEOGEO;NOTA_POO;NOTA_CFJC;NOTA_INGECO;VECES_L_DOS;NOTA_SUELOS;NOTA_FOTO;NAA_SEIS;NCA_SEIS;NOTA_HSE;NOTA_SIG;NOTA_ME;NOTA_EE_UNO;NOTA_PROGB;CAR_SEIS;VECES_CARTO;NOTA_TOP;LITERATURA_ICFES;VECES_EE_UNO;NOTAS_SISC;NCP_SEIS;VECES_BD;NCC_SEIS;NAP_SEIS;VECES_GEO_FIS;VECES_SIG;NAC_SEIS;EPA_SEIS;VECES_INGECO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_CINCO;PROMEDIO_CUATRO;PROMEDIO_SEIS;VECES_LEGIC;CREDITOS_GEO_FIS;CREDITOS_L_DOS;CREDITOS_EE_UNO;CREDITOS_INGECO;CREDITOS_LEGIC;VECES_HSE;CREDITOS_SIG;RENDIMIENTO_SIETE;PROMEDIO_SIETE
0;0;0;1;0;0;0;30;3;0;0;31;36;1;2.0;0;0;0;33;30;0;0;32;52.77;1.0;0;0.0;1;2.0;0;0;0;1;2;0;30.470588235294116;33.0;24.0;0.0;33.0;0;3;2;2;2;2;0;3;0.0;0.0
34;36;32;2;34;35;32;35;45;34;2;30;35;7;15.0;37;35;33;41;50;3;1;35;55.65;1.0;37;0.0;1;15.0;0;3;2;7;2;1;34.94117647058823;32.0;35.94444444444444;35.23529411764706;35.733333333333334;1;3;2;2;2;2;1;3;3.0;40.1875
31;35;31;2;43;40;37;50;45;43;1;30;40;7;15.0;44;40;35;47;30;0;1;40;49.34;1.0;38;0.0;2;15.0;0;1;1;7;2;1;33.8235294117647;39.0;36.94444444444444;37.05882352941177;39.13333333333333;1;3;2;2;2;2;1;3;2.0;38.8125
0;0;25;0;36;0;0;30;45;33;0;35;30;3;5.0;33;0;0;50;50;0;1;30;53.24;1.0;34;0.0;0;5.0;0;0;0;3;2;1;35.294117647058826;33.666666666666664;34.25;37.63636363636363;39.8;0;3;2;2;2;2;1;3;1.0;30.0
38;43;40;0;33;38;50;50;42;39;1;40;38;7;15.0;43;44;45;36;45;0;1;35;54.87;1.0;43;0.0;1;15.0;0;1;1;7;2;1;37.35294117647059;37.666666666666664;40.5;43.1764705882353;40.06666666666667;1;3;2;2;2;2;1;3;2.0;39.875
31;33;30;0;38;37;36;50;45;31;1;30;45;7;15.0;42;39;39;37;30;0;1;35;54.87;1.0;32;0.0;1;15.0;0;1;1;7;2;1;34.411764705882355;35.0;35.166666666666664;35.64705882352941;35.2;1;3;2;2;2;2;1;3;2.0;35.0625
31;43;34;2;37;40;36;30;40;40;1;40;35;7;15.0;42;39;36;43;45;1;1;30;57.88;1.0;38;0.0;2;15.0;0;2;1;7;2;1;33.23529411764706;32.666666666666664;35.27777777777778;37.8235294117647;38.93333333333333;1;3;2;2;2;2;1;3;2.0;39.0625
30;32;35;2;39;39;34;50;45;45;1;30;30;7;15.0;46;34;34;44;30;0;1;35;51.41;1.0;34;0.0;1;15.0;0;1;1;7;2;1;32.35294117647059;38.0;34.833333333333336;36.1764705882353;37.2;1;3;2;2;2;2;1;3;2.0;37.6875
38;44;30;1;38;39;30;40;45;36;1;35;35;7;15.0;46;38;30;36;45;1;1;35;57.32;1.0;30;0.0;1;15.0;0;2;1;7;2;1;34.705882352941174;34.333333333333336;35.22222222222222;33.705882352941174;38.93333333333333;1;3;2;2;2;2;1;3;2.0;37.75
0;0;34;1;0;38;31;44;45;34;0;30;30;4;7.0;45;0;0;32;30;0;0;35;46.97;1.0;42;0.0;1;7.0;0;0;0;4;2;1;31.470588235294116;35.333333333333336;36.53846153846154;33.857142857142854;36.142857142857146;1;3;2;2;2;2;1;3;2.0;33.0
40;43;34;2;35;34;30;30;44;38;1;34;41;7;15.0;40;33;33;42;30;0;1;30;53.24;1.0;30;0.0;2;15.0;0;1;1;7;2;1;31.294117647058822;32.0;33.55555555555556;33.588235294117645;38.2;1;3;2;2;2;2;1;3;2.0;39.9375
30;34;37;4;33;33;32;39;37;46;1;34;32;7;15.0;39;31;31;42;30;3;2;30;51.14;1.0;31;0.0;1;15.0;0;2;2;7;2;2;30.58823529411765;33.0;33.833333333333336;36.294117647058826;35.46666666666667;1;3;2;2;2;2;1;3;2.0;35.875
31;44;37;1;40;39;32;50;35;31;1;30;30;7;15.0;44;42;37;41;50;0;1;30;53.24;1.0;39;0.0;1;15.0;0;1;1;7;2;1;35.0;33.333333333333336;40.5;35.88235294117647;38.2;1;3;2;2;2;2;1;3;3.0;43.0625
32;39;30;2;40;37;40;30;40;36;1;30;30;7;15.0;36;38;35;39;30;0;1;35;44.9;1.0;30;0.0;1;15.0;0;1;1;7;2;1;32.05882352941177;33.333333333333336;37.0;37.8235294117647;36.53333333333333;1;3;2;2;2;2;1;3;2.0;36.125
