NOTA_EE_DOS;NCC_CINCO;NOTA_ADMICRO;PROMEDIO_TRES;NOTA_FCD;NAP_CINCO;NOTA_VARCOM;NOTA_TFM;PROMEDIO_CINCO;VECES_ADMICRO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;NAC_CINCO;NCA_CINCO;NOTA_EL_DOS;PROMEDIO_CUATRO;NOTA_ONDAS;EPA_CINCO;NOTA_CAMPOS;BIOLOGIA_ICFES;VECES_FOU;VECES_ONDAS;NOTA_EL_TRES;CAR_CINCO;NCP_CINCO;NAA_CINCO;NOTA_FOU;VECES_EL_TRES;VECES_TFM;NOTA_PROGAPL;NOTA_FIS_DOS;VECES_EE_DOS;VECES_FCD;CREDITOS_FOU;CREDITOS_EL_TRES;CREDITOS_EE_DOS;CREDITOS_ADMICRO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
40.0;15.0;30.0;32.205882352941174;40.0;0;35.0;47.0;36.733333333333334;1;454.65;81.5;56.51;6;15.0;30.0;33.666666666666664;30.0;2;30.0;55.99;1;2;40.0;1;0.0;6;30.0;1;1;35.0;35.0;1;1;2;3;2;3;2.0;33.285714285714285
50.0;15.0;30.0;35.138888888888886;45.0;0;35.0;45.0;41.333333333333336;1;478.74;72.55;64.0;6;15.0;35.0;38.666666666666664;35.0;2;25.0;58.09;1;1;45.0;0;0.0;6;45.0;1;1;50.0;35.0;1;1;2;3;2;3;1.0;29.107142857142858
41.0;15.0;45.0;31.61764705882353;45.0;0;40.0;44.0;40.93333333333333;1;450.22;72.55;66.74;6;15.0;30.0;35.0;35.0;2;35.0;53.95;1;1;45.0;0;0.0;6;30.0;1;1;30.0;30.0;1;1;2;3;2;3;3.0;40.57142857214286
40.0;15.0;30.0;34.94117647058823;40.0;0;32.5;48.0;35.93333333333333;1;447.85;67.54;72.97;6;15.0;27.5;32.833333333333336;30.0;2;30.0;62.54;1;2;35.0;1;0.0;6;30.0;1;1;35.0;35.0;1;1;2;3;2;3;2.0;36.142857142857146
0.0;15.0;22.5;35.55555555555556;40.0;3;35.0;44.0;27.766666666666666;2;454.59;67.54;64.0;6;8.0;40.0;36.0;36.0;1;25.0;53.95;2;1;30.0;2;7.0;3;27.5;1;1;40.0;30.0;1;1;2;3;2;3;1.0;25.089285714285715
0.0;2.0;0.0;23.928571428571427;40.0;1;0.0;0.0;0.0;0;486.27;72.55;66.74;1;0.0;0.0;37.5;0.0;1;0.0;62.54;0;0;0.0;0;2.0;0;0.0;0;0;40.0;30.0;1;1;2;3;2;3;1.0;10.0
48.0;15.0;50.0;38.05555555555556;40.0;0;35.0;42.0;42.46666666666667;1;485.28;60.49;61.41;6;15.0;35.0;34.333333333333336;35.0;2;35.0;67.71;1;1;45.0;0;0.0;6;30.0;1;1;30.0;35.0;1;1;2;3;2;3;2.0;31.071428571428573
0.0;4.0;0.0;22.867647058235292;3.666666667;2;30.0;0.0;1.0;0;470.9;67.54;76.74;2;0.0;9.0;19.076923077;0.0;1;0.0;55.99;1;0;0.0;0;4.0;0;2.0;0;0;30.0;35.0;1;3;2;3;2;3;0.0;0.0
0.0;2.0;0.0;18.681818181818183;40.0;1;0.0;0.0;0.0;0;442.26;75.27;61.41;1;0.0;0.0;32.5;0.0;1;0.0;58.09;0;0;0.0;0;2.0;0;0.0;0;0;30.0;40.0;1;1;2;3;2;3;0.0;0.0
45.0;15.0;35.0;29.72222222222222;45.0;1;25.0;44.0;37.333333333333336;1;461.1;75.27;58.93;6;13.0;45.0;36.333333333333336;37.0;2;27.5;53.95;2;1;35.0;1;2.0;5;27.0;1;1;30.0;30.0;1;1;2;3;2;3;2.0;31.5
40.0;15.0;40.0;35.294117647058826;40.0;0;40.0;44.0;39.8;1;497.25;67.54;69.69;6;15.0;40.0;39.666666666666664;35.0;2;35.0;70.81;1;1;45.0;0;0.0;6;30.0;1;1;45.0;35.0;1;1;2;3;2;3;3.0;41.714285714285715
50.0;15.0;25.0;32.638888888888886;45.0;1;40.0;47.0;37.06666666666667;2;499.7;72.55;64.0;6;12.0;37.0;39.4;35.0;2;25.0;62.54;1;1;30.0;1;3.0;5;40.0;1;1;50.0;35.0;1;1;2;3;2;3;1.0;27.928571427857143
50.0;15.0;45.0;34.705882352941174;40.0;0;30.0;44.0;41.13333333333333;1;472.03;72.55;64.0;6;15.0;30.0;37.333333333333336;30.0;2;35.0;58.09;2;1;40.0;1;0.0;6;35.0;1;1;50.0;35.0;1;1;2;3;2;3;2.0;31.785714285714285
42.0;15.0;40.0;33.77777777777778;35.0;0;40.0;48.0;42.86666666666667;1;520.07;89.86;58.93;6;15.0;35.0;38.0;40.0;2;45.0;65.0;1;1;45.0;0;0.0;6;40.0;1;1;40.0;35.0;1;1;2;3;2;3;2.0;35.57142857142857
48.0;15.0;45.0;38.333333333333336;50.0;0;50.0;49.0;43.53333333333333;1;482.55;69.99;56.51;6;15.0;35.0;43.0;45.0;2;30.0;60.25;1;1;35.0;0;0.0;6;40.0;1;1;50.0;35.0;1;1;2;3;2;3;3.0;40.357142857142854
40.0;15.0;35.0;34.411764705882355;40.0;0;40.0;47.0;37.06666666666667;1;460.6;65.16;58.93;6;15.0;30.0;36.0;30.0;2;30.0;53.95;1;1;30.0;0;0.0;6;40.0;1;1;40.0;35.0;1;1;2;3;2;3;2.0;39.07142857142857
0.0;2.0;0.0;24.0;0.0;1;0.0;0.0;0.0;0;469.88;69.99;58.93;1;0.0;0.0;36.0;0.0;1;0.0;58.09;0;0;0.0;0;2.0;0;0.0;0;0;40.0;40.0;1;0;2;3;2;3;0.0;0.0
38.0;15.0;45.0;33.38235294117647;40.0;0;40.0;48.0;43.333333333333336;1;472.66;72.55;54.12;6;15.0;35.0;36.0;35.0;2;35.0;62.54;1;1;45.0;0;0.0;6;45.0;1;1;35.0;30.0;1;1;2;3;2;3;2.0;30.714285714285715
50.0;15.0;35.0;35.55555555555556;45.0;0;35.0;46.0;38.03333333333333;1;466.5;75.27;61.41;6;15.0;45.0;40.0;30.0;2;35.0;51.92;1;1;32.5;1;0.0;6;35.0;2;1;40.0;30.0;1;1;2;3;2;3;1.0;30.0
40.0;15.0;35.0;29.166666666111112;40.0;0;25.0;40.0;36.03333333333333;1;451.26;67.54;64.0;6;15.0;40.0;36.0;32.0;2;35.0;58.09;1;2;30.5;2;0.0;6;40.0;2;1;40.0;35.0;1;1;2;3;2;3;2.0;30.678571428571427
36.0;15.0;40.0;28.529411764705884;40.0;0;45.0;45.0;36.2;1;496.04;55.71;64.0;6;15.0;28.0;35.266666666666666;30.0;2;30.0;62.54;1;1;32.0;0;0.0;6;30.0;1;1;40.0;30.0;1;1;2;3;2;3;2.0;36.464285714285715
0.0;2.0;0.0;36.666666666666664;0.0;1;0.0;0.0;0.0;0;484.72;78.22;56.51;1;0.0;0.0;32.0;0.0;1;0.0;60.25;0;0;0.0;0;2.0;0;0.0;0;0;30.0;35.0;1;0;2;3;2;3;0.0;0.0
40.0;15.0;35.0;32.35294117647059;35.0;0;25.0;46.0;37.53333333333333;2;458.0;60.49;64.0;6;15.0;30.0;31.333333333333332;30.0;2;30.0;58.09;1;1;40.0;1;0.0;6;30.0;1;1;35.0;30.0;1;1;2;3;2;3;2.0;32.6
