NOTA_EI_OP_AII;NOTA_GES_CAL_VAL_SOFT;NOTA_EI_OP_CI;NOTA_SIS_OP;VECES_EI_OP_AII;VECES_SIS_OP;NOTA_ING_ECONOMICA;VECES_EI_OP_CI;NAC_OCHO;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AI;NOTA_REDES_COM_TRES;NCC_OCHO;NOTA_EI_OP_BII;VECES_EI_OP_BII;NOTA_EI_OP_AI;VECES_EI_OP_BI;CAR_OCHO;VECES_DIS_ARQ_SOFT;NOTA_CIBERNETICA_TRES;NAP_OCHO;NOTA_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;EPA_OCHO;NCP_OCHO;NCA_OCHO;NAA_OCHO;CREDITOS_EI_OP_AII;CREDITOS_EI_OP_CI;CREDITOS_EI_OP_BII;CREDITOS_SIS_OP;CREDITOS_GES_CAL_VAL_SOFT;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
45.0;0.0;0.0;0.0;1;0;9.0;0;1;0;0;0.0;2.0;0.0;0;0.0;0;0;0;0.0;1;0.0;1;1;2.0;0.0;0;3;3;3;3;3;0.0;20.791666666666668;17.571428571428573;26.857142857142858;3.0;45.0
50.0;39.0;34.0;46.0;1;1;49.0;1;6;1;1;38.0;16.0;41.0;1;44.0;1;0;1;44.0;0;46.0;1;2;0.0;16.0;6;3;3;3;3;3;39.473684210526315;36.388888888888886;37.68421052631579;41.833333333333336;3.0;42.0
0.0;37.0;43.0;48.0;0;1;50.0;1;6;1;1;38.0;16.0;39.0;1;46.0;1;0;1;48.0;0;43.0;1;2;0.0;16.0;6;3;3;3;3;3;41.421052631578945;34.19444444444444;37.31578947368421;38.44444444444444;3.0;41.75
0.0;42.0;42.0;35.0;0;1;34.0;1;6;1;1;46.0;16.0;44.0;2;43.0;1;0;1;44.0;0;45.0;1;2;0.0;16.0;6;3;3;3;3;3;40.10526315789474;34.888888888888886;36.578947368421055;39.111111111111114;3.0;40.75
0.0;34.0;36.0;34.0;0;1;45.0;1;6;1;1;37.0;16.0;37.0;2;43.0;1;0;1;46.0;0;45.0;1;2;0.0;16.0;6;3;3;3;3;3;42.526315789473685;36.833333333333336;38.973684210526315;42.166666666666664;2.0;35.25
50.0;0.0;0.0;0.0;1;0;0.0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0;1;0.0;0.0;0;3;3;3;3;3;0.0;31.6;0.0;0.0;4.0;50.0
0.0;38.0;42.0;43.0;0;1;35.0;1;6;1;1;45.0;16.0;39.0;1;42.0;1;0;1;45.0;0;46.0;1;2;0.0;16.0;6;3;3;3;3;3;40.526315789473685;34.666666666666664;38.36842105263158;41.0;3.0;40.5
0.0;30.0;32.0;41.0;0;1;33.0;1;6;1;1;42.0;16.0;38.0;1;41.0;1;0;1;42.0;0;47.0;1;2;0.0;16.0;6;3;3;3;3;3;39.89473684210526;37.94444444444444;34.94736842105263;41.27777777777778;2.0;35.25
0.0;33.0;43.0;40.0;0;1;44.0;1;6;1;1;38.0;16.0;39.0;1;44.0;1;0;1;42.0;0;50.0;1;2;0.0;16.0;6;3;3;3;3;3;42.10526315789474;32.166666666666664;36.26315789473684;39.77777777777778;2.0;38.75
0.0;48.0;37.0;23.5;0;2;43.0;1;6;1;1;38.0;16.0;2.4;5;42.0;1;0;1;42.0;0;45.0;1;2;0.0;16.0;6;3;3;3;3;3;34.877192982105264;34.416666666666664;34.421052631578945;37.55555555555556;1.0;27.724999999999998
