NOTA_FOTO;NOTA_POO;NOTA_L_DOS;NOTA_FOTOD;NOTA_AVAM;NOTA_AVAP;NOTA_EI_CUATRO;NOTA_L_TRES;NOTA_EI_UNO;NOTA_ECONOMET;NOTA_FGEP;NOTA_ECUA;NOTA_GEOGEO;NOTA_EI_TRES;NCC_OCHO;VECES_FGEP;NAC_OCHO;VECES_FOTOD;NAA_OCHO;CAR_CINCO;CAR_OCHO;VECES_EI_CUATRO;VECES_L_TRES;NCP_OCHO;NCA_OCHO;EPA_OCHO;VECES_AVAM;VECES_EI_TRES;NAP_OCHO;CREDITOS_L_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;CREDITOS_FOTOD;CREDITOS_FGEP;CREDITOS_EI_CUATRO;CREDITOS_AVAM;CREDITOS_EI_TRES;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
30;30;0;0;0;0;0;0;30;0;0;25;0;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;0;0;0;2;34.25;39.8;30.0;0.0;2;2;3;2;3;0.0;0.0
38;50;43;40;44;36;45;45;37;42;38;40;50;42;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;40.5;40.06666666666667;39.875;42.5;2;2;3;2;3;3.0;40.61538461538461
45;50;33;39;38;37;47;49;42;34;35;30;36;38;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;35.166666666666664;35.2;35.0625;41.214285714285715;2;2;3;2;3;3.0;40.15384615384615
35;30;43;40;34;38;38;41;35;35;38;34;36;31;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;35.27777777777778;38.93333333333333;39.0625;36.642857142857146;2;2;3;2;3;3.0;42.9
30;50;32;39;38;34;38;43;48;33;33;35;34;35;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;34.833333333333336;37.2;37.6875;37.5;2;2;3;2;3;2.0;35.5
35;40;44;31;38;36;36;44;42;31;34;30;30;39;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;35.22222222222222;38.93333333333333;37.75;37.07142857142857;2;2;3;2;3;3.0;40.69230769230769
30;44;0;0;0;33;0;0;0;0;0;34;31;0;0.0;0;0;0;0;1;0;0;0;0.0;0.0;1;0;0;0;2;36.53846153846154;36.142857142857146;33.0;0.0;2;2;3;2;3;4.0;50.0
41;30;43;32;40;34;34;42;42;30;40;34;30;38;14.0;2;6;3;6;2;2;1;1;0.0;14.0;2;1;1;0;2;33.55555555555556;38.2;39.9375;37.42857142857143;2;2;3;2;3;2.0;32.1
32;39;34;35;40;34;35;38;36;37;33;37;32;40;14.0;1;6;1;6;4;0;1;1;0.0;14.0;2;1;1;0;2;33.833333333333336;35.46666666666667;35.875;36.92857142857143;2;2;3;2;3;2.0;38.25
30;50;44;38;37;43;50;46;50;40;43;37;32;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;40.5;38.2;43.0625;42.07142857142857;2;2;3;2;3;3.0;41.30769230769231
30;30;39;30;35;30;35;38;48;31;32;30;40;37;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;37.0;36.53333333333333;36.125;34.714285714285715;2;2;3;2;3;2.0;39.0
35;35;43;38;40;41;43;47;34;30;34;31;33;39;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;37.5;39.4;39.6875;40.285714285714285;2;2;3;2;3;3.0;44.1
40;34;39;36;32;33;37;40;45;37;37;34;32;33;14.0;1;6;1;6;3;0;1;1;0.0;14.0;2;1;1;0;2;36.72222222222222;37.266666666666666;38.0625;35.714285714285715;2;2;3;2;3;2.0;38.0
40;35;47;41;38;39;37;39;38;30;40;40;32;40;14.0;1;6;2;6;1;1;1;1;0.0;14.0;2;1;1;0;2;38.111111111111114;40.46666666666667;36.125;39.07142857142857;2;2;3;2;3;3.0;40.84615384615385
39;32;34;30;33;32;35;44;41;40;35;33;33;30;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;35.05555555555556;36.13333333333333;37.6875;34.214285714285715;2;2;3;2;3;1.0;25.0
36;40;33;36;40;35;36;39;39;30;31;33;30;36;14.0;1;6;2;6;1;1;1;1;0.0;14.0;2;1;1;0;2;32.333333333333336;36.4;37.4375;36.285714285714285;2;2;3;2;3;2.0;38.1
