NOTA_ECUA;NOTA_TERMO;NOTA_CIR_DOS;NOTA_FIS_DOS;NOTA_EL_UNO;VECES_ECUA;NOTA_FIS_TRES;NOTA_MULTI;NCP_DOS;PROMEDIO_DOS;NCA_DOS;VECES_TERMO;VECES_EL_UNO;VECES_MULTI;VECES_CIR_DOS;NAA_DOS;NAP_DOS;EPA_DOS;VECES_CIR_UNO;VECES_FIS_TRES;NOTA_INT;NOTA_POO;NOTA_EYB;NOTA_HCI;NOTA_CIR_UNO;NCC_DOS;NAC_DOS;NOTA_DEM;VECES_FIS_DOS;VECES_INT;VECES_POO;CAR_DOS;CREDITOS_MULTI;CREDITOS_FIS_TRES;CREDITOS_CIR_DOS;CREDITOS_TERMO;CREDITOS_EL_UNO;CREDITOS_ECUA;RENDIMIENTO_TRES;PROMEDIO_TRES
35;35;30;30;35;1;30;45;0.0;40.3125;16.0;1;1;1;1;7;0;2;2;1;40;50;45;40;35;16.0;7;50;1;2;1;2;3;3;3;3;3;3;2.0;35.0
35;35;35;35;30;1;35;40;0.0;40.9375;16.0;1;1;1;2;7;0;2;1;1;40;50;40;45;35;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;35.0
0;0;0;35;0;0;35;0;0.0;44.375;16.0;0;0;0;0;7;0;2;1;1;50;50;45;45;40;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;35.0
31;30;38;35;33;1;35;35;0.0;35.75;16.0;1;3;1;3;7;0;2;2;3;35;40;30;35;34;16.0;7;45;3;1;1;2;3;3;3;3;3;3;2.0;33.666666666666664
0;0;0;25;0;0;25;0;10.0;21.153846153846153;3.0;0;0;0;0;2;4;1;2;3;15;0;30;20;15;13.0;6;30;3;2;0;4;3;3;3;3;3;3;1.0;25.0
0;0;0;30;0;0;30;0;10.0;23.4375;6.0;0;0;0;0;3;4;1;2;1;20;15;40;15;15;16.0;7;40;1;2;2;4;3;3;3;3;3;3;1.0;30.0
37;36;33;30;32;1;30;30;0.0;34.375;16.0;2;1;2;2;7;0;2;1;2;30;35;40;45;30;16.0;7;50;2;2;1;3;3;3;3;3;3;3;2.0;33.0
35;35;35;30;30;1;30;35;0.0;40.9375;16.0;1;1;1;2;7;0;2;1;1;45;50;35;45;40;16.0;7;45;1;1;1;0;3;3;3;3;3;3;2.0;33.333333333333336
30;0;26;30;42;2;30;35;0.0;35.0;16.0;0;1;1;2;7;0;2;2;2;30;45;40;35;30;16.0;7;40;2;2;1;3;3;3;3;3;3;3;2.0;32.6
0;0;0;15;0;0;15;0;5.0;24.5;5.0;0;0;0;0;2;3;1;0;1;0;30;35;25;0;10.0;5;15;1;0;1;0;3;3;3;3;3;3;1.0;15.0
34;30;33;30;35;1;30;34;0.0;35.625;16.0;1;2;1;1;7;0;2;2;2;30;40;45;50;30;16.0;7;40;2;3;1;4;3;3;3;3;3;3;2.0;32.666666666666664
0;0;0;35;0;0;35;0;0.0;37.5;10.0;0;0;0;0;5;0;2;0;1;0;40;35;35;0;10.0;5;45;1;0;1;0;3;3;3;3;3;3;2.0;35.0
30;50;30;30;40;1;30;30;0.0;36.875;16.0;1;2;1;4;7;0;2;1;1;30;45;45;45;30;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;35.0
35;50;30;30;30;1;30;35;0.0;37.1875;16.0;1;1;1;2;7;0;2;2;1;30;40;45;35;40;16.0;7;50;1;1;1;1;3;3;3;3;3;3;2.0;35.0
30;30;30;30;30;1;30;35;0.0;39.0625;16.0;1;1;1;1;7;0;2;2;1;40;50;40;50;30;16.0;7;45;1;2;1;2;3;3;3;3;3;3;2.0;30.833333333333332
30;30;33;30;45;3;30;30;0.0;39.6875;16.0;1;2;1;2;7;0;2;2;2;30;45;45;45;45;16.0;7;50;2;2;1;3;3;3;3;3;3;3;2.0;33.0
45;35;35;30;35;1;30;40;0.0;38.4375;16.0;1;1;1;1;7;0;2;1;1;40;45;45;40;30;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;36.666666666666664
34;45;44;30;30;2;30;30;0.0;34.0625;16.0;1;2;1;2;7;0;2;2;3;30;40;35;35;30;16.0;7;50;3;1;1;2;3;3;3;3;3;3;2.0;35.5
35;40;40;35;40;1;35;45;0.0;40.625;16.0;1;1;1;2;7;0;2;1;1;40;50;40;45;35;16.0;7;45;1;1;1;0;3;3;3;3;3;3;2.0;39.166666666666664
