PROMEDIO_TRES;NOTA_TFM;NOTA_VARCOM;NOTA_COMANA;CON_MAT_ICFES;PROMEDIO_CINCO;NOTA_CCON;VECES_ADMICRO;VECES_COMANA;VECES_DDM;PROMEDIO_SEIS;PG_ICFES;NAC_SEIS;NAA_SEIS;NOTA_MOYGE;NOTAS_SYS;NOTA_ADMICRO;NOTA_FCD;NOTA_L_DOS;NCP_SEIS;VECES_L_DOS;CAR_SEIS;VECES_SYS;NOTA_DDM;NCC_CINCO;NCA_SEIS;NAP_SEIS;NAP_CINCO;NOTA_EE_TRES;NCC_SEIS;EPA_SEIS;VECES_COYGE;NOTA_EE_DOS;VECES_CCON;CREDITOS_SYS;CREDITOS_EE_TRES;VECES_EE_TRES;CREDITOS_COYGE;RENDIMIENTO_SIETE;PROMEDIO_SIETE
35.55555555555556;44.0;35.0;36.0;67.54;27.766666666666666;50.0;2;1;4;25.089285714285715;454.59;6;3;27.0;34.0;22.5;40.0;0.0;8.0;0;2;1;14.75;15.0;6.0;3;3;0.0;14.0;1;2;0.0;1;2;2;1;3;1.0;27.708333333333332
23.928571428571427;0.0;0.0;0.0;72.55;0.0;30.0;0;0;0;10.0;486.27;2;1;0.0;0.0;0.0;40.0;0.0;2.0;0;1;0;0.0;2.0;1.0;1;1;0.0;3.0;1;0;0.0;2;2;2;1;3;0.0;0.0
38.05555555555556;42.0;35.0;35.0;60.49;42.46666666666667;35.0;1;1;1;31.071428571428573;485.28;6;5;35.0;35.0;50.0;40.0;0.0;2.0;0;0;1;40.0;15.0;12.0;1;0;0.0;14.0;2;1;48.0;1;2;2;1;3;3.0;40.25
29.72222222222222;44.0;25.0;37.0;75.27;37.333333333333336;40.0;1;1;1;31.5;461.1;6;5;32.0;37.0;35.0;45.0;0.0;2.0;0;0;1;40.0;15.0;12.0;1;1;0.0;14.0;2;1;45.0;1;2;2;1;3;2.0;33.666666666666664
35.294117647058826;44.0;40.0;30.0;67.54;39.8;45.0;1;1;1;41.714285714285715;497.25;6;6;43.0;40.0;40.0;40.0;0.0;0.0;0;0;1;50.0;15.0;14.0;0;0;45.0;14.0;2;1;40.0;1;2;2;1;3;2.0;35.25
32.638888888888886;47.0;40.0;30.5;72.55;37.06666666666667;40.0;2;2;3;27.928571427857143;499.7;6;4;33.5;40.0;25.0;45.0;0.0;5.0;0;3;1;26.33333333;15.0;9.0;2;1;0.0;14.0;1;2;50.0;1;2;2;1;3;2.0;37.0
34.705882352941174;44.0;30.0;30.0;72.55;41.13333333333333;40.0;1;1;1;31.785714285714285;472.03;6;5;35.0;30.0;45.0;40.0;0.0;2.0;0;0;1;50.0;15.0;12.0;1;0;0.0;14.0;2;1;50.0;1;2;2;1;3;2.0;36.416666666666664
33.77777777777778;48.0;40.0;35.0;89.86;42.86666666666667;35.0;1;1;1;35.57142857142857;520.07;6;6;35.0;30.0;40.0;35.0;0.0;0.0;0;1;2;33.0;15.0;14.0;0;0;47.0;14.0;2;1;42.0;1;2;2;1;3;3.0;41.75
38.333333333333336;49.0;50.0;40.0;69.99;43.53333333333333;35.0;1;1;1;40.357142857142854;482.55;6;6;35.0;35.0;45.0;50.0;0.0;0.0;0;0;1;45.0;15.0;14.0;0;0;50.0;14.0;2;1;48.0;1;2;2;1;3;3.0;42.5
34.411764705882355;47.0;40.0;30.0;65.16;37.06666666666667;30.0;1;1;1;39.07142857142857;460.6;6;6;44.0;30.0;35.0;40.0;0.0;0.0;0;0;1;45.0;15.0;14.0;0;0;50.0;14.0;2;1;40.0;1;2;2;1;3;2.0;31.75
33.38235294117647;48.0;40.0;30.0;72.55;43.333333333333336;45.0;1;1;1;30.714285714285715;472.66;6;5;40.0;35.0;45.0;40.0;0.0;2.0;0;0;1;35.0;15.0;12.0;1;0;0.0;14.0;2;1;38.0;1;2;2;1;3;2.0;38.333333333333336
35.55555555555556;46.0;35.0;30.0;75.27;38.03333333333333;30.0;1;2;1;30.0;466.5;6;5;40.0;30.0;35.0;45.0;0.0;2.0;0;1;1;40.0;15.0;12.0;1;0;0.0;14.0;2;1;50.0;1;2;2;1;3;3.0;42.0
29.166666666111112;40.0;25.0;20.5;67.54;36.03333333333333;30.0;1;2;1;30.678571428571427;451.26;6;4;29.0;30.0;35.0;40.0;0.0;6.0;0;2;1;35.0;15.0;8.0;2;0;43.0;14.0;2;2;40.0;1;2;2;1;3;1.0;29.430555555
28.529411764705884;45.0;45.0;33.0;55.71;36.2;40.0;1;1;1;36.464285714285715;496.04;6;6;30.5;40.0;40.0;40.0;0.0;0.0;0;1;1;36.0;15.0;14.0;0;0;46.0;14.0;2;2;36.0;1;2;2;1;3;2.0;32.74999999916667
32.35294117647059;46.0;25.0;38.0;60.49;37.53333333333333;40.0;2;1;5;32.6;458.0;6;5;30.0;35.0;35.0;35.0;0.0;3.0;0;1;1;18.8;15.0;11.0;1;0;43.0;14.0;2;1;40.0;1;2;2;1;3;2.0;30.25
31.61764705882353;45.0;32.5;28.5;58.13;37.53333333333333;40.0;1;2;1;31.464285714285715;457.32;6;4;40.0;30.0;30.0;40.0;0.0;5.0;0;2;2;45.0;15.0;9.0;2;0;0.0;14.0;2;1;50.0;1;2;2;1;3;2.0;33.666666666666664
30.0;0.0;21.66666667;0.0;69.99;15.285714285714286;30.0;1;0;2;15.0;469.54;4;2;0.0;39.0;30.0;35.0;0.0;5.0;0;1;1;4.0;7.0;3.0;2;2;0.0;8.0;1;0;0.0;1;2;2;1;3;1.0;10.7
34.44444444444444;46.0;30.0;39.0;65.16;32.43333333333333;35.0;2;1;2;26.75;451.32;6;3;30.0;25.0;27.5;45.0;0.0;7.0;0;2;2;27.5;15.0;7.0;3;2;0.0;14.0;1;1;0.0;1;2;2;1;3;2.0;34.666666666666664
31.764705882352942;47.0;23.33333333;19.5;72.55;33.5;40.0;2;2;1;30.142857142857142;472.69;6;3;25.5;21.0;24.5;45.0;0.0;8.0;0;3;2;35.0;15.0;6.0;3;2;50.0;14.0;1;2;48.0;1;2;2;1;3;2.0;32.125
35.833333333333336;48.0;30.0;30.0;72.55;40.93333333333333;35.0;1;1;1;37.5;476.82;6;6;40.0;30.0;40.0;45.0;0.0;0.0;0;0;1;40.0;15.0;14.0;0;0;50.0;14.0;2;1;45.0;1;2;2;1;3;3.0;45.0
26.555555555555557;0.0;40.0;0.0;69.99;33.07142857142857;45.0;2;0;2;19.0625;475.78;4;1;0.0;11.0;28.5;40.0;0.0;7.0;0;2;2;28.5;7.0;1.0;3;2;0.0;8.0;1;0;48.0;1;2;2;1;3;1.0;19.0
31.470588235294116;42.0;45.0;30.0;78.22;39.733333333333334;32.0;1;1;2;30.892857142857142;457.21;6;4;29.0;35.0;40.0;40.0;0.0;6.0;0;3;1;24.5;15.0;8.0;2;0;40.0;14.0;2;2;50.0;2;2;2;1;3;2.0;34.083333333333336
34.26470588235294;46.0;30.0;35.0;75.87;37.6;35.0;2;1;1;38.785714285714285;468.28;6;6;40.0;45.0;30.0;50.0;0.0;0.0;0;0;1;35.0;15.0;14.0;0;0;44.0;14.0;2;1;35.0;1;2;2;1;3;2.0;37.0
36.388888888888886;0.0;35.0;0.0;81.5;29.583333333333332;32.5;2;0;0;12.5;482.79;3;1;0.0;15.0;30.0;45.0;0.0;4.0;0;1;1;0.0;12.0;1.0;2;1;0.0;5.0;1;0;0.0;2;2;2;1;3;2.0;35.0
30.58823529411765;46.0;25.0;30.0;62.82;36.2;35.0;1;1;1;34.607142857142854;389.1;6;6;31.5;30.0;30.0;30.0;0.0;0.0;0;1;1;35.0;15.0;14.0;0;0;50.0;14.0;2;2;30.0;1;2;2;1;3;2.0;31.833333333333332
33.611111111111114;45.0;30.0;35.0;69.99;38.5;40.0;1;1;1;32.5;455.29;6;5;35.0;35.0;35.0;45.0;0.0;2.0;0;0;1;45.0;15.0;12.0;1;0;0.0;14.0;2;1;50.0;1;2;2;1;3;2.0;38.583333333333336
39.411764705882355;47.0;45.0;35.0;67.54;33.733333333333334;40.0;1;1;1;36.785714285714285;473.44;6;6;35.0;30.0;30.0;40.0;0.0;0.0;0;0;1;35.0;15.0;14.0;0;1;50.0;14.0;2;1;40.0;1;2;2;1;3;2.0;35.5
32.970588235294116;48.0;25.0;38.0;62.82;38.0;30.0;1;1;1;37.857142857142854;470.68;6;6;43.0;31.0;40.0;45.0;0.0;0.0;0;0;1;35.0;15.0;14.0;0;0;45.0;14.0;2;1;40.0;1;2;2;1;3;2.0;38.75
31.805555555555557;0.0;35.0;0.0;62.82;37.857142857142854;35.0;1;0;0;40.0;446.87;3;3;35.0;0.0;40.0;30.0;0.0;0.0;0;0;0;0.0;7.0;6.0;0;1;50.0;6.0;2;1;50.0;1;2;2;1;3;1.0;30.0
36.470588235294116;39.0;35.0;26.33333333;72.55;35.0;45.0;1;3;1;33.857142856428574;430.29;6;5;32.0;37.0;35.0;35.0;0.0;3.0;0;2;1;30.0;15.0;11.0;1;1;45.0;14.0;2;2;50.0;1;2;2;1;3;2.0;32.27777777833334
21.416666667111112;0.0;21.66666667;0.0;67.54;21.8333333335;0.0;0;0;0;0.0;482.39;1;0;0.0;0.0;0.0;45.0;0.0;2.0;0;0;0;0.0;4.0;0.0;1;1;0.0;2.0;1;0;35.0;0;2;2;1;3;1.0;25.5
18.731092437058827;0.0;1.0;0.0;62.82;40.0;27.5;0;0;0;19.166666666666668;471.05;2;0;0.0;0.0;0.0;8.0;0.0;3.0;0;1;0;0.0;2.0;0.0;2;0;15.0;3.0;1;0;40.0;2;2;2;1;3;0.0;0.0
38.23529411764706;49.0;40.0;35.0;60.49;44.4;50.0;1;1;1;39.357142857142854;410.43;6;6;35.0;30.0;45.0;45.0;0.0;0.0;0;0;1;45.0;15.0;14.0;0;0;48.0;14.0;2;1;47.0;1;2;2;1;3;3.0;43.333333333333336
35.55555555555556;36.0;23.33333333;28.66666667;62.82;36.8;40.0;1;3;1;24.250000000714287;482.43;6;2;26.5;19.0;36.0;50.0;0.0;10.0;0;3;2;32.0;15.0;4.0;4;0;0.0;14.0;1;2;49.0;1;2;2;1;3;2.0;32.458333333333336
33.05555555555556;50.0;32.5;30.0;78.22;40.0;32.5;1;1;1;36.25;463.16;6;6;30.0;45.0;40.0;40.0;0.0;0.0;0;1;1;35.0;15.0;14.0;0;0;50.0;14.0;2;1;38.0;2;2;2;1;3;2.0;37.916666666666664
