NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
472;38.2;7;35.0;35.0;45.0;44.0;35.14705882352941;17;14;6;35.0;30.0;35.0;40.0;45.0;0;18;18;0;7;7;0;2;30.0;1;3;43.0;1;3;30.0;1;3;41.0;1;2;40.0;1;2;30.0;1;3;47.0;1;2;2;35.36111111111111
473;29.09090909090909;4;30.0;35.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
474;34.0;6;35.0;35.0;35.0;25.0;31.33333333333333;15;12;5;30.0;23.33333333333333;35.0;35.0;0.0;4;16;7;9;6;3;3;1;5.666666666666667;3;3;13.5;2;3;9.666666666666666;3;3;30.5;2;2;40.0;1;2;30.0;1;3;0.0;0;2;2;35.0
476;40.66666666666666;7;40.0;40.0;40.0;50.0;39.1764705882353;17;17;7;40.0;35.0;35.0;45.0;43.0;0;18;18;0;7;7;0;2;30.0;1;3;38.0;1;3;30.0;1;3;30.0;1;2;45.0;1;2;45.0;1;3;39.0;1;2;2;38.27777777777778
479;36.8;7;30.0;40.0;45.0;46.0;37.94117647058823;17;17;7;40.0;30.0;30.0;45.0;40.0;1;18;18;0;7;7;0;2;30.0;1;3;41.0;1;3;34.0;2;3;30.0;1;2;40.0;1;2;45.0;1;3;44.0;1;2;2;39.27777777777778
481;24.77272727272727;3;17.5;35.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;2;0.0;0;3;0.0;0;2;0;0.0
482;34.61538461538461;5;27.5;45.0;40.0;0.0;19.93333333333333;15;6;3;11.0;0.3333333333333333;40.0;45.0;0.0;1;7;4;3;3;2;1;2;0.0;0;3;0.0;0;3;0.0;0;3;30.0;1;2;40.0;1;2;26.5;2;3;0.0;0;2;1;8.4
483;35.4;6;35.0;35.0;45.0;38.0;33.58823529411764;17;14;6;30.0;25.0;37.0;45.0;31.0;2;16;10;6;6;4;2;2;28.5;2;3;37.0;1;3;27.5;2;3;30.0;1;2;45.0;1;2;40.0;1;3;0.0;0;2;2;33.375
485;45.86666666666667;7;50.0;40.0;50.0;44.0;41.0;17;17;7;40.0;35.0;45.0;45.0;41.0;0;18;18;0;7;7;0;2;30.0;1;3;39.0;1;3;30.0;1;3;40.0;1;2;45.0;1;2;45.0;1;3;47.0;1;2;2;39.44444444444444
486;26.73846153846154;4;18.0;40.0;32.0;0.0;22.01666666666667;12;6;3;0.0;18.0;30.0;30.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
487;38.0;7;30.0;40.0;45.0;45.0;37.76470588235294;17;17;7;30.0;30.0;40.0;50.0;41.0;0;18;18;0;7;7;0;2;30.0;1;3;45.0;1;3;35.0;1;3;35.0;1;2;40.0;1;2;50.0;1;3;46.0;1;2;2;39.61111111111111
488;40.2;7;35.0;40.0;45.0;44.0;37.88235294117647;17;17;7;35.0;30.0;40.0;45.0;42.0;0;18;18;0;7;7;0;2;35.0;1;3;50.0;1;3;32.0;1;3;42.0;1;2;45.0;1;2;45.0;1;3;43.0;1;2;3;41.16666666666666
490;38.2;7;30.0;40.0;45.0;44.0;36.58823529411764;17;17;7;35.0;30.0;40.0;45.0;41.0;1;18;18;0;7;7;0;2;30.0;1;3;36.0;1;3;31.5;2;3;40.0;1;2;40.0;1;2;45.0;1;3;44.0;1;2;2;38.44444444444444
492;27.42307692307692;3;27.5;35.0;9.5;0.0;24.15;15;9;4;10.0;10.75;30.0;40.0;0.0;0;4;4;0;2;2;0;2;0.0;0;3;0.0;0;3;0.0;0;3;35.0;1;2;35.0;1;2;0.0;0;3;0.0;0;2;2;31.0
493;30.26666666666667;5;25.0;40.0;11.0;41.0;26.2;15;6;3;27.5;6.5;35.0;40.0;0.0;0;5;2;3;2;1;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;15.0;1;3;0.0;0;2;0;0.0
