PROMEDIO_SIETE;NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;RENDIMIENTO_OCHO
36;32;32;46;39;30;30;2;1;1;1;47;2
33;48;30;47;45;38;36;2;1;1;1;47;2
33;47;43;44;47;35;34;1;1;1;1;44;3
33;35;45;44;43;35;0;0;2;1;1;46;2
31;44;41;48;49;36;31;1;1;1;1;37;3
31;40;41;42;43;0;0;0;1;1;1;50;3
34;47;34;42;32;30;34;3;1;1;1;35;2
33;37;30;40;40;32;34;2;1;1;1;43;2
34;44;43;41;35;30;0;0;1;1;1;46;2
18;36;0;0;0;0;0;0;1;0;0;36;2
37;33;45;43;47;36;39;2;1;1;1;45;3
34;33;44;40;32;34;30;1;1;1;1;38;2
41;45;48;45;38;35;32;1;1;1;1;49;2
38;47;33;43;0;32;37;1;1;0;1;43;2
26;0;30;39;0;31;0;0;0;0;1;44;2
35;43;43;44;41;32;36;2;1;1;1;41;2
35;44;36;44;34;37;36;2;1;1;1;42;2
33;38;44;40;36;32;36;2;1;1;1;38;2
36;47;45;44;40;33;30;1;1;1;1;48;2
34;46;34;44;40;37;34;2;1;1;1;37;2
33;48;43;46;44;31;32;1;1;1;1;35;2
36;35;46;42;35;38;32;1;1;1;1;39;2
31;35;46;43;32;32;33;2;1;1;1;32;2
35;40;44;45;46;34;42;2;1;1;1;43;3
35;39;46;42;43;33;30;2;1;1;1;43;2
37;43;33;35;45;33;33;1;1;1;1;44;2
33;41;44;44;30;31;34;1;1;1;1;40;2
37;45;39;47;41;33;43;2;1;2;1;37;3
32;30;41;39;33;32;36;2;1;1;2;34;2
35;48;44;43;37;34;42;3;1;1;1;38;3
38;46;41;42;50;31;39;3;1;1;1;50;3
35;45;43;44;43;31;34;1;1;1;1;40;2
32;47;43;44;40;37;33;2;1;1;1;31;2
41;0;44;0;0;0;0;0;0;0;3;41;3
37;43;42;47;44;34;30;2;1;1;1;45;2
36;32;48;44;40;32;35;1;1;1;1;43;2
35;30;39;43;31;41;31;1;1;1;1;41;2
40;0;44;35;35;0;0;0;0;1;1;40;2
42;48;37;43;40;33;30;1;1;1;1;43;2
35;34;49;47;39;39;42;3;1;1;1;44;3
39;45;39;40;34;35;35;2;1;1;1;35;2
45;44;45;45;42;37;36;1;1;1;1;48;3
37;39;48;46;41;37;38;2;1;1;1;43;3
16;43;38;46;0;0;0;0;1;0;1;33;3
40;37;46;41;41;36;36;1;1;1;1;48;2
32;46;30;46;36;31;31;3;1;1;1;41;2
38;48;48;46;40;37;34;1;1;1;1;49;3
38;47;45;47;43;45;34;1;1;1;1;46;3
21;32;42;46;41;0;0;0;1;1;1;38;2
37;41;42;49;41;39;31;2;1;2;1;45;2
34;33;32;39;30;35;37;2;1;1;1;44;2
32;44;48;47;0;40;31;1;1;0;1;39;3
36;36;44;46;0;33;35;2;1;0;1;43;2
33;39;39;43;31;31;30;2;1;1;1;35;2
34;41;43;45;42;40;30;1;1;1;1;50;2
36;34;39;40;42;30;38;2;1;1;1;36;2
32;46;46;47;35;44;36;2;1;1;1;35;3
35;48;44;47;37;42;34;1;1;1;1;50;3
35;34;47;43;45;34;30;2;1;1;1;47;2
15;0;38;0;0;0;0;0;0;0;1;31;2
19;37;36;42;36;0;0;0;1;1;1;38;2
19;0;44;44;37;0;0;0;0;1;1;39;3
17;0;0;0;32;0;0;0;0;1;0;34;2
36;36;45;39;46;36;43;1;1;1;1;40;3
40;43;36;44;40;41;31;2;1;1;1;41;2
36;41;42;47;39;30;37;2;1;1;1;44;2
38;35;48;38;30;35;30;1;1;1;1;31;2
32;0;37;0;0;0;0;0;0;0;1;32;2
15;0;41;0;0;0;0;0;0;0;1;31;3
36;34;48;40;30;33;32;1;1;1;1;45;2
39;48;44;47;41;37;30;1;1;1;1;45;2
40;45;49;45;45;34;30;1;1;1;1;50;3
37;44;49;43;38;41;33;1;1;1;1;40;3
21;36;45;0;0;0;0;0;1;0;1;47;3
37;46;48;45;44;34;32;1;1;1;1;50;3
41;42;37;47;47;35;37;2;1;1;1;48;2
39;42;45;32;41;33;39;1;1;1;1;44;2
0;0;43;45;0;0;0;0;0;0;1;0;3
37;32;47;43;39;31;30;2;1;1;1;49;2
27;0;39;0;0;0;0;0;0;0;2;27;2
38;42;32;44;36;39;38;2;1;1;1;41;2
44;45;45;48;41;39;32;1;1;1;1;44;3
39;37;48;44;41;33;32;1;1;1;1;50;2
41;37;46;44;41;30;34;1;1;1;1;47;2
42;41;43;50;42;38;30;1;1;1;1;42;2
45;49;45;42;38;37;34;1;1;1;1;50;3
39;34;48;48;42;35;34;1;1;1;1;49;2
37;37;38;45;41;39;33;1;1;2;1;41;2
38;33;45;45;38;31;31;1;1;1;2;39;2
39;33;44;45;33;40;35;1;1;1;1;42;2
43;45;46;46;42;37;35;1;1;1;1;43;3
38;34;39;48;40;39;33;2;1;1;1;41;2
17;0;41;0;0;0;0;0;0;0;1;34;3
39;39;46;45;43;35;35;2;1;1;1;50;2
40;36;38;45;45;33;31;2;1;1;1;39;2
21;10;42;16;36;0;0;0;1;1;1;43;1
18;47;36;48;36;0;0;0;1;1;1;37;3
22;0;0;40;0;0;0;0;0;0;0;44;2
0;0;38;42;0;0;0;0;0;0;1;0;2
38;41;45;42;37;31;34;2;1;1;1;44;2
18;0;22;37;0;0;0;0;0;0;1;37;1
40;45;47;45;39;33;31;2;1;1;1;39;2
37;36;47;36;49;33;39;1;1;1;1;41;3
0;0;39;47;0;0;0;0;0;0;1;0;3
19;0;46;44;38;0;0;0;0;1;1;38;3
37;48;45;32;40;38;34;2;1;2;1;40;2
39;41;45;49;35;37;30;2;2;1;1;40;2
40;48;41;49;30;40;35;2;1;1;1;44;2
38;0;36;33;0;0;0;0;0;0;1;38;2
0;0;44;46;0;0;0;0;0;0;1;0;3
32;36;39;33;45;35;22;1;1;1;1;40;2
38;41;45;47;39;41;32;1;1;1;1;37;2
24;0;46;31;31;0;0;0;0;1;1;48;2
22;0;0;30;0;0;0;0;0;0;0;45;1
43;40;44;40;39;41;33;1;1;1;1;45;2
40;40;45;46;49;41;36;3;1;1;1;44;3
39;42;46;49;47;38;30;2;1;1;1;48;3
33;41;47;39;42;36;31;2;1;1;1;45;2
40;33;47;49;41;41;35;2;1;1;1;42;2
34;35;45;40;38;38;30;1;1;1;1;36;2
34;34;44;37;39;34;0;0;1;1;1;39;2
18;0;30;31;44;0;0;0;0;1;1;36;2
37;40;42;41;45;38;30;1;1;1;1;40;2
34;32;45;47;39;35;30;2;1;1;1;45;2
32;48;46;38;31;34;35;1;1;1;2;32;2
32;35;46;45;41;30;20;1;1;1;1;41;2
18;0;45;44;45;0;0;0;0;1;1;42;3
36;34;31;48;0;37;30;2;1;0;2;39;2
33;34;41;41;32;31;22;2;1;1;1;35;2
32;32;41;40;34;34;30;2;1;1;1;30;2
0;0;43;33;0;0;0;0;0;0;1;0;2
