PROMEDIO_SIETE;NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;RENDIMIENTO_OCHO
0;0;42;40;0;0;0;0;0;0;1;0;3
21;0;0;33;44;0;0;0;0;1;0;43;3
23;47;39;33;40;38;0;0;1;1;1;46;3
11;33;46;34;0;0;0;0;1;0;1;0;2
22;38;38;44;38;0;0;0;1;1;1;45;2
36;0;39;44;0;0;0;0;0;0;2;49;3
0;28;42;43;0;0;0;0;2;0;1;0;2
0;0;42;36;0;0;0;0;0;0;2;0;2
33;0;47;41;0;0;20;1;0;0;1;44;2
18;18;30;40;37;0;0;0;1;1;1;37;1
20;0;0;0;35;0;0;0;0;1;0;40;2
18;0;47;41;35;0;0;0;0;1;1;37;3
19;0;0;38;36;0;0;0;0;1;0;39;2
34;0;41;0;0;43;31;1;0;0;1;49;2
15;0;32;45;0;0;0;0;0;0;1;31;2
0;0;44;41;0;0;0;0;0;0;1;0;3
47;0;0;47;43;0;0;0;0;1;0;47;3
0;0;39;44;0;0;0;0;0;0;1;0;3
36;48;46;47;34;31;23;1;1;1;1;0;2
17;44;46;45;0;0;0;0;1;0;1;34;3
19;0;41;36;38;0;0;0;0;1;1;39;2
20;0;0;37;43;0;0;0;0;1;0;40;3
35;0;33;47;44;0;0;0;0;1;1;46;3
36;0;0;36;0;0;0;0;0;0;0;46;2
36;48;39;46;47;0;0;0;1;1;1;45;3
0;0;30;47;0;0;0;0;0;0;1;0;2
45;0;34;48;0;0;0;0;0;0;1;45;2
44;0;0;0;48;0;0;0;0;1;0;44;4
24;0;42;35;0;0;0;0;0;0;1;48;2
45;48;46;39;48;0;0;0;1;1;2;45;4
35;0;0;0;0;0;0;0;0;0;0;43;0
40;0;45;38;33;0;0;0;0;1;1;40;2
38;0;40;35;38;0;0;0;0;1;1;39;2
36;0;37;49;48;0;0;0;0;1;1;40;3
23;0;0;45;0;0;0;0;0;0;0;46;3
21;0;37;40;36;0;0;0;0;1;1;43;2
0;0;37;29;0;0;0;0;0;0;1;0;2
21;0;39;40;43;0;0;0;0;1;1;42;3
17;0;43;48;41;0;0;0;0;1;1;35;3
22;0;41;48;43;0;0;0;0;1;1;45;3
21;0;39;40;46;0;0;0;0;1;1;42;3
45;0;0;44;37;0;0;0;0;1;0;45;2
37;0;45;48;38;0;0;0;0;1;1;41;3
18;0;42;49;33;0;0;0;0;1;1;37;2
26;44;31;0;0;32;0;0;1;0;1;0;2
22;0;40;45;45;0;0;0;0;1;1;45;3
19;0;38;31;0;0;0;0;0;0;1;39;2
45;0;0;38;0;0;0;0;0;1;0;45;1
35;0;41;44;42;0;0;0;0;1;1;37;3
25;0;45;47;43;0;0;0;0;1;1;44;3
37;38;37;47;40;33;0;0;1;1;1;45;2
32;0;0;35;45;0;0;0;0;1;0;34;3
49;0;47;47;0;0;0;0;0;0;1;49;4
0;0;31;42;0;0;0;0;0;0;1;0;2
42;0;43;44;0;0;0;0;0;0;1;42;3
19;0;43;48;42;0;0;0;0;1;1;39;3
21;0;36;38;0;0;0;0;0;0;1;34;2
29;0;0;46;39;0;0;0;0;1;0;37;3
0;0;44;38;0;0;0;0;0;0;1;0;3
35;0;0;44;43;0;0;0;0;1;0;35;3
22;44;46;31;38;33;0;0;1;1;1;45;2
21;0;39;46;43;0;0;0;0;1;1;43;3
0;0;44;45;0;0;0;0;0;0;1;0;3
17;0;38;34;45;0;0;0;0;1;1;34;2
0;0;45;38;0;0;0;0;0;0;1;0;3
35;0;44;35;40;0;0;0;0;1;1;44;3
0;0;44;43;0;0;0;0;0;0;1;0;3
0;0;43;44;0;0;0;0;0;0;1;0;3
19;36;36;47;44;0;0;0;1;1;1;44;2
41;0;41;42;45;0;0;0;0;1;1;41;3
23;0;46;37;43;0;0;0;0;1;1;47;3
15;0;35;46;0;0;0;0;0;0;2;15;2
29;0;47;38;40;0;0;0;0;1;1;44;3
35;0;0;36;34;0;0;0;0;1;0;35;2
0;0;35;45;0;0;0;0;0;0;1;0;2
0;0;32;36;0;0;0;0;0;0;1;0;2
18;0;45;30;0;0;0;0;0;0;1;37;2
0;0;33;47;0;0;0;0;0;0;1;0;2
0;0;35;45;0;0;0;0;0;0;1;0;2
22;0;35;37;0;0;0;0;0;0;1;22;2
0;0;34;48;0;0;0;0;0;0;1;0;2
20;0;46;47;43;0;0;0;0;1;1;41;3
0;0;43;38;0;0;0;0;0;0;1;0;3
22;0;45;48;43;0;0;0;0;1;1;45;3
0;0;35;36;0;0;0;0;0;0;1;0;2
18;0;38;41;42;0;0;0;0;1;1;37;3
9;0;46;38;0;0;0;0;0;0;2;9;3
0;0;38;48;0;0;0;0;0;0;1;0;3
0;0;43;36;0;0;0;0;0;0;1;0;3
0;0;36;48;0;0;0;0;0;0;1;0;2
33;0;42;37;0;0;0;0;0;0;1;0;3
34;0;0;46;0;0;0;0;0;0;0;34;4
31;0;40;30;0;0;0;0;0;0;1;31;2
14;0;43;45;0;0;0;0;0;0;1;29;3
0;0;36;34;0;0;0;0;0;0;2;0;2
21;0;0;40;0;0;0;0;0;0;0;42;2
0;0;34;40;0;0;0;0;0;0;1;0;2
43;0;0;35;42;0;0;0;0;1;0;43;2
18;0;0;40;0;0;0;0;0;0;0;37;2
0;0;44;39;0;0;0;0;0;0;1;0;3
38;0;36;38;0;0;0;0;0;0;1;38;2
0;0;46;40;0;0;0;0;0;0;1;0;3
0;0;30;39;0;0;0;0;0;0;1;0;2
45;0;44;0;0;0;0;0;0;0;1;45;3
0;0;39;49;0;0;0;0;0;0;1;0;3
44;0;43;38;0;0;0;0;0;0;1;44;3
35;0;0;36;0;0;0;0;0;0;0;35;2
22;0;50;48;43;0;0;0;0;1;1;45;4
35;0;0;0;42;0;0;0;0;1;0;35;3
19;0;31;45;0;0;0;0;0;0;1;39;2
22;0;0;45;45;0;0;0;0;1;0;45;3
46;0;35;48;0;0;0;0;0;0;1;46;2
16;0;0;45;37;0;0;0;0;1;0;33;2
15;0;40;35;0;0;0;0;0;0;1;31;2
24;0;46;0;47;0;0;0;0;1;1;48;4
17;0;0;38;0;0;0;0;0;0;0;34;2
44;0;46;42;44;0;0;0;0;1;1;44;3
24;0;0;48;45;0;0;0;0;1;0;48;4
20;0;47;45;0;0;0;0;0;0;1;40;4
24;48;0;48;0;0;0;0;1;0;0;49;4
49;0;0;48;47;0;0;0;0;1;0;49;4
0;0;41;48;0;0;0;0;0;0;1;0;3
23;0;34;48;0;0;0;0;0;0;1;46;2
48;0;46;44;41;0;0;0;0;1;1;48;3
0;0;39;48;0;0;0;0;0;0;1;0;3
41;0;47;45;0;0;0;0;0;0;1;41;4
42;0;38;47;37;0;0;0;0;1;1;42;2
19;0;0;43;38;0;0;0;0;1;0;39;2
40;0;0;47;0;0;0;0;0;0;0;40;4
20;0;33;48;0;0;0;0;0;0;1;41;2
39;0;0;48;0;0;0;0;0;0;0;39;4
37;0;41;0;0;0;0;0;0;0;1;37;3
33;0;44;38;40;0;0;0;0;1;1;33;3
41;0;0;35;37;0;0;0;0;1;0;41;2
22;0;38;48;0;0;0;0;0;0;1;44;3
0;0;37;47;0;0;0;0;0;0;1;0;3
42;0;0;47;0;0;0;0;0;0;0;42;4
0;0;42;30;0;0;0;0;0;0;1;0;2
22;0;42;48;46;0;0;0;0;1;1;44;3
20;0;39;0;41;0;0;0;0;1;1;40;2
22;0;30;0;0;0;0;0;0;0;2;45;1
0;0;45;46;0;0;0;0;0;0;1;0;4
41;0;40;49;0;0;0;0;0;0;1;41;3
30;0;25;11;0;0;0;0;0;0;1;30;1
0;0;43;48;0;0;0;0;0;0;1;0;3
0;0;30;0;40;0;0;0;0;1;1;0;2
0;0;40;48;0;0;0;0;0;0;1;0;3
0;0;41;48;0;0;0;0;0;0;1;0;3
20;0;45;44;0;0;0;0;0;0;1;40;3
0;0;35;34;0;0;0;0;0;0;1;0;2
0;0;43;45;0;0;0;0;0;0;1;0;3
41;0;0;48;0;0;0;0;0;0;0;41;4
0;0;42;35;0;0;0;0;0;0;1;0;2
0;24;36;45;0;0;0;0;3;0;1;0;2
40;0;42;34;0;0;0;0;0;0;1;40;2
0;0;47;45;0;0;0;0;0;0;1;0;4
0;0;0;0;0;34;32;1;0;0;0;0;2
0;0;0;0;0;33;32;1;0;0;0;0;2
23;0;37;42;44;0;0;0;0;1;1;47;3
22;0;44;0;0;0;0;0;0;0;1;45;3
0;0;41;39;0;0;0;0;0;0;1;0;3
24;0;0;0;45;0;0;0;0;1;0;49;3
18;0;36;35;0;0;0;0;0;0;1;36;2
15;0;36;37;0;0;0;0;0;0;1;31;2
0;0;42;39;0;0;0;0;0;0;1;0;3
35;0;0;42;0;0;0;0;0;0;0;35;3
46;0;46;44;0;0;0;0;0;0;2;46;4
38;0;41;0;0;0;0;0;0;0;1;38;3
44;0;0;0;43;0;0;0;0;1;0;44;3
41;0;40;0;0;0;0;0;0;0;1;41;2
0;0;35;37;0;0;0;0;0;0;1;0;2
0;0;46;46;0;0;0;0;0;0;1;0;4
19;0;42;34;0;0;0;0;0;0;1;38;2
39;0;36;40;43;0;0;0;0;1;1;39;2
0;0;41;42;0;0;0;0;0;0;1;0;3
0;0;44;43;0;0;0;0;0;0;1;0;3
21;0;45;0;43;0;0;0;0;1;1;42;3
0;0;43;43;0;0;0;0;0;0;1;0;3
34;0;0;0;39;0;0;0;0;1;0;34;2
48;0;41;0;0;0;0;0;0;0;1;48;3
32;0;41;0;0;0;0;0;0;0;1;32;3
47;0;43;0;0;0;0;0;0;0;1;47;3
25;0;45;0;0;0;0;0;0;0;1;50;3
42;0;44;0;0;0;0;0;0;0;1;42;3
35;0;0;0;0;0;0;0;0;0;0;43;0
35;0;0;0;0;0;0;0;0;0;0;43;0
35;0;0;0;0;0;0;0;0;0;0;43;0
