METRICA|VALOR|MODELO|TIPO_DE_DATOS
Puntuacion F1|55.06|SuperAprendizdoscapas|Prueba
Exactitud|63.85|SuperAprendizdoscapas|Prueba
Informacion Mutua Normalizada (NMI)|0.59|SuperAprendizdoscapas|Prueba
Indice Kappa de Cohen|4.88|SuperAprendizdoscapas|Prueba
Precision|80.27|SuperAprendizdoscapas|Entrenamiento
Exhaustividad|80.36|SuperAprendizdoscapas|Entrenamiento
Puntuacion F1|77.24|SuperAprendizdoscapas|Entrenamiento
Exactitud|80.36|SuperAprendizdoscapas|Entrenamiento
Informacion Mutua Normalizada (NMI)|38.64|SuperAprendizdoscapas|Entrenamiento
Indice Kappa de Cohen|55.31|SuperAprendizdoscapas|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}|SuperAprendizdoscapas|Hiperparametros del modelo
Precision|53.64|RedNeuronal|Prueba
Exhaustividad|63.68|RedNeuronal|Prueba
Puntuacion F1|52.03|RedNeuronal|Prueba
Exactitud|63.68|RedNeuronal|Prueba
Informacion Mutua Normalizada (NMI)|0.1|RedNeuronal|Prueba
Indice Kappa de Cohen|0.9|RedNeuronal|Prueba
Precision|59.07|RedNeuronal|Entrenamiento
Exhaustividad|62.28|RedNeuronal|Entrenamiento
Puntuacion F1|50.77|RedNeuronal|Entrenamiento
Exactitud|62.28|RedNeuronal|Entrenamiento
Informacion Mutua Normalizada (NMI)|1.27|RedNeuronal|Entrenamiento
Indice Kappa de Cohen|5.05|RedNeuronal|Entrenamiento
Hiperparametros|input_size=6, hidden_size=155, num_classes=4, num_epochs=100, learning_rate=0.0015|RedNeuronal|Entrenamiento
