METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|58.28|CatBoost|Prueba
Exhaustividad|64.51|CatBoost|Prueba
Puntuacion F1|53.48|CatBoost|Prueba
Exactitud|64.51|CatBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.62|CatBoost|Prueba
Indice Kappa de Cohen|3.57|CatBoost|Prueba
Precision|64.96|CatBoost|Entrenamiento
Exhaustividad|63.49|CatBoost|Entrenamiento
Puntuacion F1|52.47|CatBoost|Entrenamiento
Exactitud|63.49|CatBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|3.3|CatBoost|Entrenamiento
Indice Kappa de Cohen|8.19|CatBoost|Entrenamiento
Mejores Hiperparametros|learning_rate: 0.01, depth: 6, l2_leaf_reg: 42, border_count: 53, thread_count: 4, verbose: 0|CatBoost|Hiperparametros del modelo
Precision|56.13|LGBM|Prueba
Exhaustividad|63.35|LGBM|Prueba
Puntuacion F1|55.09|LGBM|Prueba
Exactitud|63.35|LGBM|Prueba
Informacion Mutua Normalizada (NMI)|0.42|LGBM|Prueba
Indice Kappa de Cohen|4.36|LGBM|Prueba
Precision|65.48|LGBM|Entrenamiento
Exhaustividad|65.48|LGBM|Entrenamiento
Puntuacion F1|57.21|LGBM|Entrenamiento
Exactitud|65.48|LGBM|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.86|LGBM|Entrenamiento
Indice Kappa de Cohen|15.56|LGBM|Entrenamiento
Mejores Hiperparametros|boosting_type: gbdt, class_weight: None, colsample_bytree: 0.8, importance_type: split, learning_rate: 0.1, max_depth: -1, min_child_samples: 200, min_child_weight: 0.001, min_split_gain: 0.0, n_estimators: 100, n_jobs: None, num_leaves: 31, objective: multiclass, random_state: 42, reg_alpha: 0.0, reg_lambda: 0.0, subsample: 1.0, subsample_for_bin: 200000, subsample_freq: 0, verbose: -1|LGBM|Hiperparametros del modelo
Precision|54.53|VotingHard|Prueba
Exhaustividad|63.52|VotingHard|Prueba
Puntuacion F1|52.91|VotingHard|Prueba
Exactitud|63.52|VotingHard|Prueba
Informacion Mutua Normalizada (NMI)|0.12|VotingHard|Prueba
Indice Kappa de Cohen|1.71|VotingHard|Prueba
Precision|72.84|VotingHard|Entrenamiento
Exhaustividad|66.69|VotingHard|Entrenamiento
Puntuacion F1|57.6|VotingHard|Entrenamiento
Exactitud|66.69|VotingHard|Entrenamiento
Informacion Mutua Normalizada (NMI)|11.08|VotingHard|Entrenamiento
Indice Kappa de Cohen|17.25|VotingHard|Entrenamiento
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0015, 'n_estimators': 36, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}, Estimador: XGB, Hiperparametros: {'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 5, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.2, 'reg_lambda': 0.12, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'loss': 'log_loss', 'max_features': 'sqrt'}|VotingHard|Hiperparametros del modelo
Precision|56.64|VotingSoft|Prueba
Exhaustividad|64.18|VotingSoft|Prueba
Puntuacion F1|53.79|VotingSoft|Prueba
Exactitud|64.18|VotingSoft|Prueba
Informacion Mutua Normalizada (NMI)|0.68|VotingSoft|Prueba
Indice Kappa de Cohen|3.63|VotingSoft|Prueba
Precision|73.78|VotingSoft|Entrenamiento
Exhaustividad|69.4|VotingSoft|Entrenamiento
Puntuacion F1|62.31|VotingSoft|Entrenamiento
Exactitud|69.4|VotingSoft|Entrenamiento
Informacion Mutua Normalizada (NMI)|15.59|VotingSoft|Entrenamiento
Indice Kappa de Cohen|25.49|VotingSoft|Entrenamiento
